Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.324	COMP389/COMP390	(0.252 COMP542) (0.174 COMP9) (0.168 COMP112) (0.154 COMP543) (0.102 COMP1721/COMP198) (0.095 COMP2831)
AR expression inhibitor	0.862	COMP198	(0.854 COMP360) (0.756 COMP1576) (0.754 COMP2830) (0.659 COMP389/COMP390) (0.640 COMP543) (0.596 COMP112) (0.557 COMP101) (0.539 COMP1530) (0.438 COMP542) (0.374 COMP343) (0.373 COMP1721) (0.360 COMP2831) (0.222 COMP9) (0.199 COMP2832)
CTGF expression inhibitor	0.902	COMP198	(0.821 COMP389/COMP390) (0.816 COMP360) (0.802 COMP1576) (0.627 COMP2831) (0.607 COMP542) (0.561 COMP101) (0.505 COMP1721) (0.436 COMP9) (0.408 COMP543) (0.377 COMP2830) (0.352 COMP343) (0.311 COMP1402) (0.278 COMP112) (0.245 COMP2833)
GRP78 expression inhibitor	0.039	COMP543	(0.036 COMP2831) (0.034 COMP542) (0.027 COMP343) (0.023 COMP112/COMP2830) (0.022 COMP2833/COMP9) (0.021 COMP1530)
ICAM1 expression inhibitor	0.598	COMP1530	(0.543 COMP2830) (0.502 COMP112) (0.493 COMP543) (0.489 COMP360) (0.480 COMP389/COMP390) (0.452 COMP198) (0.443 COMP343) (0.406 COMP542) (0.405 COMP1721) (0.386 COMP1576) (0.376 COMP101) (0.360 COMP9) (0.259 COMP1402) (0.242 COMP2831)
LDLR expression enhancer	0.301	COMP101	(0.289 COMP1576) (0.286 COMP198) (0.280 COMP360) (0.266 COMP389/COMP390) (0.228 COMP543) (0.225 COMP2831) (0.223 COMP9) (0.220 COMP112) (0.168 COMP542) (0.165 COMP1721)
NOS2 expression inhibitor	0.925	COMP2830	(0.826 COMP360) (0.807 COMP198) (0.754 COMP1530) (0.745 COMP1576) (0.694 COMP101) (0.585 COMP389/COMP390) (0.522 COMP543) (0.433 COMP542) (0.420 COMP343) (0.410 COMP112) (0.381 COMP2831) (0.358 COMP9) (0.353 COMP1721) (0.152 COMP2833)
NOS3 expression enhancer	0.673	COMP389/COMP390	(0.668 COMP2830) (0.562 COMP198) (0.540 COMP1530) (0.409 COMP101) (0.349 COMP360) (0.298 COMP2831) (0.294 COMP543) (0.247 COMP1576) (0.237 COMP1721) (0.188 COMP1402) (0.129 COMP9) (0.119 COMP542)
NOS3 expression inhibitor	0.765	COMP2830	(0.702 COMP198) (0.634 COMP543) (0.566 COMP1530) (0.565 COMP360) (0.545 COMP542) (0.523 COMP112) (0.506 COMP389/COMP390) (0.476 COMP1576) (0.410 COMP343) (0.376 COMP101) (0.351 COMP1721) (0.344 COMP9) (0.278 COMP2833) (0.251 COMP2831) (0.204 COMP2832)
TNF expression inhibitor	0.850	COMP2830	(0.801 COMP389/COMP390) (0.792 COMP198) (0.737 COMP542) (0.694 COMP360) (0.678 COMP1576) (0.657 COMP543) (0.651 COMP1530) (0.633 COMP101) (0.629 COMP112) (0.499 COMP343) (0.487 COMP1721/COMP2831) (0.469 COMP9) (0.332 COMP2833) (0.215 COMP1402)
VCAM1 expression inhibitor	0.969	COMP1530	(0.503 COMP389/COMP390) (0.473 COMP2830) (0.391 COMP101) (0.387 COMP1576) (0.361 COMP198) (0.358 COMP542) (0.327 COMP360) (0.309 COMP2831) (0.299 COMP1721) (0.264 COMP9) (0.251 COMP112) (0.218 COMP543) (0.184 COMP343) (0.165 COMP1402)
VEGF expression inhibitor	0.469	COMP198	(0.351 COMP1576) (0.318 COMP360) (0.279 COMP9) (0.259 COMP2831) (0.231 COMP389/COMP390) (0.225 COMP112) (0.216 COMP543) (0.215 COMP101) (0.214 COMP542) (0.196 COMP1402) (0.193 COMP1721) (0.181 COMP343) (0.156 COMP2833)
VEGFR2 expression inhibitor	0.115	COMP9	
