Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.285	COMP199	(0.162 COMP200) (0.124 COMP204)
Acetylcholine release stimulant	0.119	COMP199	
Actinic keratosis treatment	0.207	COMP205	(0.171 COMP204) (0.129 COMP202) (0.109 COMP208/COMP209) (0.107 COMP206) (0.097 COMP201) (0.084 COMP199/COMP203) (0.083 COMP200)
Acute neurologic disorders treatment	0.273	COMP200	(0.198 COMP204)
Acute respiratory distress syndrome (ARDS) treatment	0.335	COMP208/COMP209	(0.297 COMP207) (0.259 COMP203) (0.241 COMP204)
Age-related macular degeneration treatment	0.175	COMP199	
Alzheimer's disease treatment	0.468	COMP205	(0.337 COMP207)
Anabolic	0.177	COMP206	(0.172 COMP201/COMP202) (0.154 COMP200) (0.135 COMP204) (0.105 COMP199) (0.095 COMP205) (0.091 COMP203)
Analeptic	0.564	COMP207	(0.349 COMP202) (0.279 COMP201) (0.259 COMP208/COMP209) (0.256 COMP206) (0.201 COMP205) (0.178 COMP204) (0.177 COMP199) (0.169 COMP203)
Analgesic	0.270	COMP206	(0.239 COMP200)
Analgesic. opioid	0.115	COMP200	(0.075 COMP204) (0.067 COMP203)
Andropause treatment	0.070	COMP200	(0.069 COMP204)
Anesthetic	0.189	COMP200	(0.173 COMP204)
Anesthetic general	0.378	COMP200	(0.343 COMP204) (0.319 COMP208/COMP209) (0.302 COMP199) (0.296 COMP203) (0.281 COMP207) (0.176 COMP201)
Anesthetic inhalation	0.080	COMP199	(0.061 COMP201/COMP202) (0.056 COMP206) (0.047 COMP200)
Angiogenesis inhibitor	0.436	COMP199	(0.359 COMP207)
Angiogenesis stimulant	0.712	COMP207	(0.578 COMP203) (0.510 COMP208/COMP209) (0.323 COMP201/COMP202) (0.244 COMP206) (0.214 COMP204) (0.153 COMP200)
Antiacne	0.412	COMP202	(0.327 COMP206) (0.325 COMP201) (0.265 COMP208/COMP209) (0.238 COMP203) (0.189 COMP204) (0.161 COMP200) (0.104 COMP207)
Antialcoholic	0.324	COMP207	(0.208 COMP200) (0.156 COMP202)
Antiallergic	0.463	COMP204	(0.262 COMP206)
Antiamyloidogenic	0.587	COMP207	(0.496 COMP203) (0.321 COMP205) (0.269 COMP199) (0.177 COMP208/COMP209)
Antianemic	0.167	COMP199	
Antianorexic	0.245	COMP199	
Antiarrhythmic	0.246	COMP205	
Antiarthritic	0.381	COMP206	(0.284 COMP203) (0.247 COMP199) (0.243 COMP207)
Antiasthmatic	0.212	COMP204	
Antibacterial	0.727	COMP208/COMP209	(0.716 COMP207) (0.693 COMP203) (0.590 COMP206) (0.467 COMP205) (0.458 COMP204) (0.437 COMP202) (0.388 COMP201) (0.349 COMP200)
Antibiotic	0.292	COMP208/COMP209	(0.252 COMP207) (0.217 COMP203) (0.153 COMP206) (0.138 COMP204) (0.095 COMP202) (0.090 COMP201) (0.084 COMP200)
