Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.347	COMP199	(0.259 COMP205) (0.206 COMP200) (0.193 COMP204)
Antiviral (CMV)	0.128	COMP206	
Electron transport complex I inhibitor	0.505	COMP205	(0.101 COMP207)
Endocannabinoid uptake inhibitor	0.080	COMP199	
Equilibrative nucleoside transport protein inhibitor	0.062	COMP207	(0.045 COMP203/COMP208/COMP209)
Excitatory amino acid transporter 3 inhibitor	0.026	COMP199	
Excitatory amino acid transporter EAAC1 inhibitor	0.416	COMP199	
Folate transporter 1 inhibitor	0.010	COMP199	
GABA uptake inhibitor	0.044	COMP199/COMP200	
Ileal bile acid transport inhibitor	0.020	COMP199	
Multidrug resistance-associated protein 1 inhibitor	0.180	COMP207	
Nucleoside transporters inhibitor	0.056	COMP207	(0.038 COMP199)
P-glycoprotein inhibitor	0.400	COMP207	(0.298 COMP203) (0.281 COMP208/COMP209) (0.219 COMP205) (0.202 COMP200) (0.143 COMP204)
Proline transporter inhibitor	0.030	COMP199	
Sodium-dependent vitamin C transporter 2 inhibitor	0.122	COMP199	
Sodium/bile acid cotransporter inhibitor	0.459	COMP206	(0.382 COMP201/COMP202) (0.247 COMP204) (0.221 COMP200)
Sodium/glucose cotransporter 1 inhibitor	0.195	COMP207	(0.060 COMP208/COMP209) (0.046 COMP203) (0.039 COMP204) (0.027 COMP200)
Sodium/glucose cotransporter 2 inhibitor	0.186	COMP207	(0.101 COMP203) (0.093 COMP208/COMP209) (0.070 COMP205) (0.058 COMP204) (0.028 COMP200)
Sodium/glucose cotransporter inhibitor	0.245	COMP207	(0.098 COMP203) (0.091 COMP208/COMP209) (0.055 COMP204) (0.050 COMP205) (0.029 COMP200)
Sodium/hydrogen exchanger 3 inhibitor	0.014	COMP199	
Vesicular glutamate transport inhibitor	0.035	COMP199	
