Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.485	COMP105	(0.135 COMP137) (0.134 COMP113/COMP132/COMP142) (0.102 COMP77) (0.095 COMP112/COMP134) (0.083 COMP152) (0.077 COMP124) (0.071 COMP109/COMP136/COMP145) (0.064 COMP126) (0.063 COMP167) (0.057 COMP153) (0.054 COMP99) (0.044 COMP165/COMP166/COMP173) (0.042 COMP129) (0.038 COMP114/COMP131) (0.035 COMP144/COMP19) (0.030 COMP91) (0.024 COMP115)
5 Hydroxytryptamine 2A agonist	0.139	COMP104	(0.094 COMP116) (0.093 COMP118) (0.092 COMP120) (0.082 COMP125) (0.080 COMP107) (0.071 COMP101) (0.070 COMP147) (0.069 COMP130/COMP140) (0.067 COMP159) (0.066 COMP138) (0.061 COMP115) (0.060 COMP102/COMP146) (0.056 COMP106)
5 Hydroxytryptamine 2B agonist	0.083	COMP104	(0.055 COMP118) (0.051 COMP116/COMP120)
5 Hydroxytryptamine 2C antagonist	0.095	COMP125	(0.086 COMP115)
5 Hydroxytryptamine 3 agonist	0.109	COMP111	(0.056 COMP118)
5 Hydroxytryptamine 3A agonist	0.136	COMP115	(0.112 COMP104) (0.103 COMP110) (0.101 COMP114/COMP131) (0.090 COMP154)
5 Hydroxytryptamine uptake inhibitor	0.056	COMP104	
ATPase inhibitor	0.310	COMP95/COMP96	(0.294 COMP175) (0.291 COMP144/COMP19) (0.283 COMP147) (0.281 COMP154) (0.280 COMP98) (0.278 COMP159) (0.275 COMP123/COMP161) (0.273 COMP103) (0.263 COMP143/COMP149) (0.259 COMP102/COMP122/COMP146) (0.257 COMP155) (0.239 COMP141/COMP148) (0.233 COMP158/COMP172) (0.221 COMP94) (0.218 COMP101) (0.214 COMP111/COMP117/COMP121/COMP97) (0.207 COMP168) (0.202 COMP90) (0.200 COMP116/COMP128) (0.199 COMP153) (0.197 COMP86) (0.195 COMP120) (0.190 COMP118) (0.187 COMP156) (0.182 COMP133/COMP170) (0.181 COMP150/COMP151/COMP163) (0.180 COMP91) (0.176 COMP104) (0.174 COMP112/COMP134/COMP99) (0.168 COMP11/COMP8) (0.167 COMP115) (0.166 COMP110) (0.165 COMP125) (0.163 COMP114/COMP131) (0.159 COMP93) (0.155 COMP119/COMP157/COMP160/COMP162/COMP169) (0.154 COMP165/COMP166/COMP173) (0.152 COMP107) (0.149 COMP129) (0.147 COMP164) (0.141 COMP106)
Acetylcholine M1 receptor agonist	0.051	COMP113/COMP132/COMP142	(0.042 COMP130/COMP140)
Acetylcholine M1 receptor antagonist	0.194	COMP141	(0.167 COMP111) (0.157 COMP117/COMP121) (0.151 COMP154) (0.141 COMP144/COMP19) (0.132 COMP113/COMP132/COMP142) (0.126 COMP171) (0.119 COMP125) (0.117 COMP118)
Acetylcholine M2 receptor agonist	0.076	COMP130/COMP140	(0.070 COMP138) (0.061 COMP167)
Acetylcholine M3 receptor agonist	0.177	COMP130/COMP140	(0.171 COMP138) (0.147 COMP167) (0.081 COMP141) (0.076 COMP112/COMP134) (0.073 COMP114/COMP131)
Acetylcholinesterase inhibitor	0.559	COMP100	(0.326 COMP138) (0.323 COMP130/COMP140) (0.252 COMP125) (0.251 COMP155) (0.220 COMP159) (0.210 COMP147) (0.209 COMP102/COMP146) (0.188 COMP104) (0.181 COMP153) (0.172 COMP120/COMP124) (0.171 COMP110) (0.168 COMP114/COMP131/COMP135) (0.165 COMP116) (0.151 COMP101) (0.149 COMP126) (0.143 COMP90) (0.141 COMP118) (0.138 COMP107/COMP111/COMP128) (0.129 COMP115) (0.128 COMP148) (0.123 COMP106) (0.117 COMP158/COMP172)
Aconitate hydratase inhibitor	0.478	COMP117/COMP121	(0.190 COMP122) (0.176 COMP175) (0.147 COMP148) (0.111 COMP144/COMP19) (0.098 COMP128) (0.091 COMP11/COMP115/COMP8) (0.073 COMP119/COMP139/COMP157/COMP160/COMP162/COMP169) (0.072 COMP143/COMP149/COMP154) (0.066 COMP123/COMP161) (0.065 COMP141) (0.060 COMP110) (0.059 COMP106) (0.058 COMP107) (0.056 COMP118/COMP125/COMP155) (0.053 COMP114/COMP131) (0.052 COMP102/COMP146/COMP147) (0.051 COMP124/COMP159) (0.050 COMP116) (0.049 COMP120) (0.048 COMP109/COMP126/COMP136/COMP145) (0.047 COMP158/COMP172) (0.046 COMP113/COMP132/COMP142)
Acyl-CoA dehydrogenase inhibitor	0.258	COMP117/COMP121	(0.198 COMP128) (0.197 COMP175) (0.151 COMP122) (0.113 COMP11/COMP8) (0.094 COMP113/COMP132/COMP142) (0.087 COMP139) (0.086 COMP126) (0.085 COMP119/COMP157/COMP160/COMP162/COMP169) (0.081 COMP115/COMP124) (0.062 COMP159) (0.061 COMP148) (0.060 COMP154) (0.059 COMP147) (0.055 COMP125) (0.054 COMP102/COMP146) (0.053 COMP110/COMP118) (0.050 COMP112/COMP134) (0.048 COMP114/COMP120/COMP131)
Adenosine deaminase inhibitor	0.092	COMP117/COMP121	(0.081 COMP128) (0.066 COMP122/COMP175) (0.050 COMP174)
Adenylate cyclase inhibitor	0.278	COMP99	(0.208 COMP112/COMP134) (0.201 COMP117/COMP121) (0.194 COMP103/COMP110) (0.166 COMP109/COMP136/COMP145) (0.160 COMP152) (0.138 COMP101) (0.132 COMP111) (0.129 COMP175) (0.127 COMP122/COMP148) (0.125 COMP89) (0.112 COMP118) (0.103 COMP115) (0.099 COMP137) (0.097 COMP171)
Adenylate kinase inhibitor	0.440	COMP117/COMP121	(0.362 COMP128) (0.302 COMP175) (0.259 COMP122) (0.186 COMP139) (0.176 COMP11/COMP8) (0.151 COMP115) (0.143 COMP119/COMP157/COMP160/COMP162/COMP169) (0.140 COMP148) (0.125 COMP107) (0.118 COMP118) (0.114 COMP120) (0.110 COMP154) (0.108 COMP110/COMP116) (0.107 COMP106) (0.106 COMP113/COMP132/COMP142) (0.105 COMP125/COMP159) (0.104 COMP101/COMP111) (0.103 COMP109/COMP112/COMP134/COMP136/COMP145) (0.099 COMP147) (0.097 COMP114/COMP124/COMP131/COMP141) (0.096 COMP102/COMP126/COMP146) (0.093 COMP144/COMP19) (0.092 COMP123/COMP161) (0.090 COMP99)
Adrenaline uptake inhibitor	0.094	COMP167	(0.083 COMP130/COMP140) (0.074 COMP104) (0.067 COMP138)
Alcohol dehydrogenase inhibitor	0.408	COMP117/COMP121	(0.273 COMP122) (0.212 COMP128) (0.159 COMP115) (0.143 COMP175) (0.113 COMP148) (0.110 COMP103) (0.108 COMP100) (0.095 COMP106) (0.089 COMP135)
Aldosterone antagonist	0.233	COMP99	(0.202 COMP171) (0.194 COMP168) (0.151 COMP137) (0.149 COMP77) (0.145 COMP104) (0.130 COMP109/COMP136/COMP145) (0.122 COMP115) (0.114 COMP152) (0.103 COMP129) (0.094 COMP165/COMP166/COMP173) (0.085 COMP105/COMP167) (0.075 COMP114/COMP131) (0.069 COMP141) (0.068 COMP110) (0.065 COMP113/COMP132/COMP142) (0.058 COMP153) (0.057 COMP94) (0.056 COMP124) (0.055 COMP112/COMP134) (0.054 COMP87) (0.049 COMP117/COMP121) (0.048 COMP119/COMP157/COMP160/COMP162/COMP169) (0.047 COMP125) (0.044 COMP123/COMP130/COMP133/COMP140/COMP161/COMP170/COMP89)
Alkaline phosphatase inhibitor	0.325	COMP100	(0.252 COMP122) (0.247 COMP101) (0.194 COMP106) (0.187 COMP116) (0.182 COMP118) (0.165 COMP115/COMP125) (0.154 COMP120) (0.146 COMP148) (0.141 COMP147) (0.118 COMP135) (0.117 COMP102/COMP146) (0.113 COMP159) (0.108 COMP139)
Alpha 1a adrenoreceptor antagonist	0.072	COMP138	(0.070 COMP130/COMP140)
Alpha 1b adrenoreceptor antagonist	0.073	COMP125	
