Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP128	(0.492 COMP167) (0.362 COMP77) (0.310 COMP105) (0.283 COMP89) (0.263 COMP148) (0.223 COMP87) (0.180 COMP155) (0.169 COMP126) (0.168 COMP112/COMP134) (0.163 COMP117/COMP121) (0.160 COMP152) (0.146 COMP114/COMP131) (0.144 COMP124) (0.139 COMP144/COMP19) (0.136 COMP122) (0.133 COMP109/COMP136/COMP145) (0.123 COMP113/COMP132/COMP142) (0.122 COMP158/COMP172) (0.118 COMP143/COMP149) (0.113 COMP154) (0.104 COMP11/COMP8) (0.101 COMP171) (0.100 COMP175) (0.098 COMP153) (0.097 COMP137) (0.093 COMP91) (0.092 COMP164) (0.091 COMP90) (0.090 COMP141)
AR expression inhibitor	0.991	COMP128	(0.832 COMP100) (0.742 COMP119/COMP157/COMP160/COMP162/COMP169) (0.729 COMP171) (0.715 COMP99) (0.658 COMP11/COMP8) (0.611 COMP105) (0.596 COMP112/COMP134) (0.587 COMP168) (0.577 COMP150/COMP151/COMP163) (0.557 COMP101) (0.536 COMP109/COMP136/COMP145) (0.523 COMP148) (0.512 COMP137) (0.504 COMP117/COMP121) (0.499 COMP122) (0.492 COMP103) (0.485 COMP77) (0.479 COMP120/COMP152) (0.471 COMP141) (0.470 COMP87) (0.467 COMP116) (0.463 COMP133/COMP170) (0.456 COMP159/COMP175) (0.455 COMP118) (0.450 COMP129/COMP143/COMP149) (0.446 COMP94) (0.445 COMP110/COMP123/COMP161) (0.444 COMP147) (0.428 COMP98) (0.418 COMP102/COMP146) (0.408 COMP165/COMP166/COMP173) (0.394 COMP89) (0.392 COMP135) (0.363 COMP111) (0.356 COMP156) (0.343 COMP124) (0.341 COMP104) (0.338 COMP153) (0.323 COMP164) (0.320 COMP113/COMP132/COMP142) (0.319 COMP125/COMP138) (0.314 COMP115) (0.310 COMP130/COMP140) (0.300 COMP95/COMP96) (0.296 COMP106/COMP126) (0.292 COMP91) (0.290 COMP107) (0.281 COMP88) (0.278 COMP97) (0.268 COMP167) (0.261 COMP144/COMP19) (0.255 COMP114/COMP131) (0.252 COMP92) (0.249 COMP93) (0.236 COMP154) (0.217 COMP174) (0.209 COMP90) (0.203 COMP86) (0.190 COMP139) (0.181 COMP155)
CTGF expression inhibitor	0.811	COMP77	(0.801 COMP100) (0.766 COMP117/COMP121) (0.728 COMP148) (0.721 COMP147) (0.704 COMP128) (0.701 COMP106) (0.671 COMP159) (0.665 COMP99) (0.632 COMP102/COMP146) (0.581 COMP122/COMP135) (0.563 COMP123/COMP161) (0.561 COMP101) (0.551 COMP144/COMP19) (0.518 COMP156) (0.506 COMP94) (0.497 COMP93) (0.464 COMP125) (0.442 COMP107) (0.440 COMP115) (0.430 COMP104) (0.425 COMP143/COMP149) (0.410 COMP168) (0.403 COMP86) (0.396 COMP98) (0.395 COMP116) (0.390 COMP139) (0.376 COMP154) (0.370 COMP95/COMP96) (0.368 COMP129) (0.356 COMP91) (0.353 COMP109/COMP114/COMP131/COMP136/COMP145) (0.351 COMP137/COMP174) (0.346 COMP118) (0.344 COMP120) (0.324 COMP130/COMP140/COMP175/COMP92) (0.322 COMP110) (0.318 COMP171/COMP88) (0.305 COMP155) (0.294 COMP138) (0.283 COMP158/COMP172/COMP90) (0.278 COMP112/COMP134) (0.268 COMP167) (0.267 COMP11/COMP8) (0.264 COMP141) (0.263 COMP111) (0.259 COMP164) (0.258 COMP133/COMP170) (0.245 COMP97) (0.231 COMP126) (0.228 COMP153) (0.223 COMP113/COMP132/COMP142) (0.222 COMP119/COMP157/COMP160/COMP162/COMP169) (0.221 COMP103) (0.216 COMP152) (0.207 COMP89) (0.202 COMP124) (0.191 COMP105)
GRP78 expression inhibitor	0.039	COMP175	(0.033 COMP117/COMP121) (0.031 COMP122) (0.030 COMP109/COMP136/COMP145/COMP91) (0.025 COMP114/COMP131/COMP144/COMP19) (0.024 COMP95/COMP96) (0.023 COMP112/COMP134/COMP137/COMP99) (0.021 COMP104/COMP110) (0.020 COMP103/COMP139/COMP168/COMP171)
ICAM1 expression inhibitor	0.785	COMP155	(0.647 COMP105) (0.642 COMP130/COMP140) (0.638 COMP138) (0.562 COMP103) (0.502 COMP112/COMP134) (0.498 COMP153) (0.496 COMP158/COMP172) (0.473 COMP135) (0.472 COMP100) (0.470 COMP165/COMP166/COMP173) (0.465 COMP99) (0.464 COMP168) (0.449 COMP123/COMP161) (0.448 COMP154) (0.436 COMP117/COMP121/COMP159) (0.435 COMP90) (0.434 COMP148) (0.428 COMP147) (0.422 COMP91) (0.419 COMP104) (0.418 COMP102/COMP146) (0.413 COMP171/COMP77) (0.405 COMP150/COMP151/COMP163) (0.404 COMP175) (0.399 COMP122) (0.398 COMP143/COMP149) (0.395 COMP164) (0.394 COMP156) (0.389 COMP152) (0.386 COMP114/COMP131) (0.381 COMP144/COMP19) (0.376 COMP101) (0.374 COMP167) (0.372 COMP95/COMP96) (0.371 COMP109/COMP136/COMP145) (0.360 COMP126) (0.353 COMP141) (0.346 COMP107) (0.343 COMP125) (0.341 COMP137) (0.339 COMP133/COMP170) (0.337 COMP124) (0.332 COMP94) (0.330 COMP87) (0.324 COMP98) (0.321 COMP129) (0.315 COMP97) (0.311 COMP113/COMP132/COMP142) (0.310 COMP174) (0.309 COMP120) (0.303 COMP116) (0.300 COMP115/COMP86) (0.281 COMP118) (0.271 COMP111) (0.267 COMP106) (0.248 COMP93) (0.246 COMP11/COMP8) (0.245 COMP89) (0.229 COMP92) (0.221 COMP88)
LDLR expression enhancer	0.365	COMP77	(0.306 COMP100) (0.301 COMP101/COMP122) (0.285 COMP159) (0.283 COMP147) (0.282 COMP148) (0.281 COMP104) (0.272 COMP120) (0.271 COMP116) (0.257 COMP138) (0.256 COMP102/COMP146) (0.254 COMP118) (0.251 COMP130/COMP140) (0.248 COMP125) (0.244 COMP119/COMP157/COMP160/COMP162/COMP169) (0.243 COMP111) (0.241 COMP99) (0.220 COMP112/COMP134) (0.218 COMP135) (0.214 COMP11/COMP156/COMP8) (0.211 COMP126) (0.208 COMP153) (0.204 COMP107) (0.203 COMP174) (0.195 COMP115) (0.194 COMP158/COMP172) (0.193 COMP152) (0.191 COMP143/COMP149) (0.189 COMP124) (0.187 COMP106/COMP123/COMP161) (0.178 COMP117/COMP121) (0.176 COMP155) (0.172 COMP154) (0.160 COMP171) (0.158 COMP109/COMP136/COMP137/COMP145) (0.154 COMP133/COMP170) (0.152 COMP165/COMP166/COMP173) (0.147 COMP113/COMP132/COMP142) (0.145 COMP150/COMP151/COMP163) (0.143 COMP175) (0.141 COMP144/COMP19)
NOS2 expression inhibitor	0.749	COMP100	(0.729 COMP103) (0.723 COMP138) (0.706 COMP130/COMP140) (0.694 COMP101) (0.691 COMP102/COMP146) (0.679 COMP156) (0.661 COMP159) (0.657 COMP147) (0.618 COMP171) (0.613 COMP155) (0.604 COMP141) (0.603 COMP77) (0.588 COMP135) (0.578 COMP153) (0.563 COMP120) (0.559 COMP116) (0.557 COMP99) (0.553 COMP148) (0.548 COMP119/COMP157/COMP160/COMP162/COMP169) (0.544 COMP111) (0.519 COMP118) (0.509 COMP123/COMP161) (0.488 COMP11/COMP8) (0.478 COMP107) (0.477 COMP174) (0.473 COMP143/COMP149) (0.472 COMP105) (0.464 COMP90) (0.457 COMP158/COMP172) (0.452 COMP125) (0.445 COMP117/COMP121) (0.435 COMP164) (0.430 COMP122) (0.428 COMP154) (0.419 COMP150/COMP151/COMP163) (0.410 COMP112/COMP134/COMP152) (0.400 COMP104) (0.396 COMP106/COMP87) (0.391 COMP133/COMP170) (0.384 COMP165/COMP166/COMP173) (0.383 COMP97) (0.376 COMP144/COMP19) (0.372 COMP124) (0.371 COMP126) (0.365 COMP137) (0.363 COMP95/COMP96) (0.358 COMP109/COMP136/COMP145) (0.357 COMP86) (0.351 COMP113/COMP132/COMP142) (0.349 COMP89) (0.334 COMP115) (0.333 COMP94) (0.315 COMP168) (0.314 COMP93) (0.298 COMP175) (0.290 COMP128) (0.277 COMP110) (0.272 COMP91) (0.271 COMP114/COMP131) (0.261 COMP98) (0.237 COMP167) (0.232 COMP88) (0.231 COMP129) (0.226 COMP139) (0.178 COMP92)
NOS3 expression enhancer	0.502	COMP148	(0.459 COMP103) (0.409 COMP101) (0.354 COMP116) (0.348 COMP118) (0.326 COMP120) (0.323 COMP175) (0.322 COMP99) (0.313 COMP100) (0.294 COMP111) (0.290 COMP130/COMP140) (0.283 COMP147) (0.263 COMP77) (0.261 COMP122) (0.250 COMP138) (0.239 COMP159) (0.202 COMP102/COMP146) (0.171 COMP11/COMP8) (0.148 COMP98) (0.144 COMP137) (0.130 COMP115/COMP171) (0.125 COMP119/COMP157/COMP160/COMP162/COMP169) (0.121 COMP156) (0.120 COMP164)
NOS3 expression inhibitor	0.910	COMP77	(0.698 COMP99) (0.664 COMP117/COMP121) (0.657 COMP164) (0.590 COMP135) (0.556 COMP11/COMP8) (0.539 COMP100) (0.529 COMP103) (0.523 COMP112/COMP134) (0.509 COMP137) (0.508 COMP119/COMP157/COMP160/COMP162/COMP169) (0.482 COMP175) (0.477 COMP171) (0.470 COMP105) (0.465 COMP95/COMP96) (0.456 COMP91) (0.443 COMP94) (0.437 COMP109/COMP136/COMP145) (0.426 COMP123/COMP161) (0.424 COMP97) (0.423 COMP168) (0.418 COMP148/COMP89) (0.413 COMP152) (0.403 COMP129) (0.397 COMP125) (0.395 COMP88) (0.394 COMP92) (0.390 COMP126) (0.389 COMP98) (0.383 COMP87) (0.376 COMP101) (0.365 COMP90) (0.362 COMP122) (0.348 COMP104) (0.343 COMP158/COMP172) (0.325 COMP133/COMP170) (0.323 COMP130/COMP140) (0.315 COMP110/COMP115/COMP86) (0.314 COMP114/COMP131) (0.309 COMP107/COMP128/COMP147) (0.301 COMP138) (0.298 COMP143/COMP149) (0.293 COMP102/COMP146) (0.291 COMP174) (0.281 COMP159) (0.277 COMP116) (0.272 COMP167/COMP93) (0.270 COMP144/COMP19) (0.257 COMP156) (0.255 COMP150/COMP151/COMP163) (0.249 COMP106) (0.247 COMP120) (0.243 COMP118) (0.239 COMP165/COMP166/COMP173) (0.238 COMP139) (0.226 COMP113/COMP132/COMP142) (0.205 COMP155) (0.202 COMP124) (0.200 COMP141)
TNF expression inhibitor	0.904	COMP119/COMP157/COMP160/COMP162/COMP169	(0.899 COMP77) (0.870 COMP11/COMP8) (0.864 COMP156) (0.813 COMP99) (0.763 COMP117/COMP121) (0.757 COMP148) (0.749 COMP147) (0.742 COMP159) (0.704 COMP102/COMP146) (0.699 COMP100) (0.661 COMP105/COMP135) (0.653 COMP152) (0.634 COMP153) (0.633 COMP101) (0.629 COMP112/COMP134) (0.615 COMP174) (0.613 COMP103) (0.612 COMP171) (0.598 COMP143/COMP149) (0.587 COMP123/COMP125/COMP161) (0.586 COMP122) (0.585 COMP90) (0.583 COMP164) (0.582 COMP158/COMP172) (0.552 COMP107) (0.540 COMP116) (0.535 COMP120/COMP126) (0.533 COMP137) (0.527 COMP109/COMP136/COMP145) (0.526 COMP94) (0.515 COMP130/COMP140) (0.514 COMP154) (0.511 COMP138) (0.510 COMP104) (0.509 COMP175) (0.503 COMP133/COMP170) (0.494 COMP118) (0.493 COMP141) (0.484 COMP150/COMP151/COMP163) (0.475 COMP144/COMP19) (0.456 COMP124) (0.449 COMP95/COMP96) (0.448 COMP128) (0.447 COMP111/COMP155) (0.444 COMP106/COMP168) (0.430 COMP115) (0.429 COMP89) (0.428 COMP98) (0.426 COMP113/COMP132/COMP142) (0.404 COMP129) (0.398 COMP91) (0.391 COMP165/COMP166/COMP173) (0.360 COMP86) (0.358 COMP93) (0.350 COMP87) (0.342 COMP114/COMP131) (0.338 COMP110) (0.316 COMP167) (0.299 COMP92) (0.298 COMP97) (0.286 COMP88) (0.268 COMP139)
VCAM1 expression inhibitor	0.844	COMP103	(0.600 COMP138) (0.577 COMP102/COMP146) (0.576 COMP130/COMP140) (0.559 COMP148) (0.558 COMP135) (0.538 COMP159) (0.514 COMP158/COMP172) (0.501 COMP147) (0.487 COMP122) (0.448 COMP125) (0.423 COMP117/COMP121) (0.416 COMP156) (0.391 COMP101) (0.383 COMP120) (0.382 COMP107) (0.363 COMP104) (0.356 COMP123/COMP161) (0.353 COMP116) (0.352 COMP119/COMP157/COMP160/COMP162/COMP169) (0.343 COMP90) (0.342 COMP174) (0.340 COMP100) (0.336 COMP118) (0.332 COMP106) (0.324 COMP115) (0.323 COMP11/COMP8) (0.318 COMP175) (0.299 COMP86) (0.294 COMP141) (0.292 COMP94) (0.291 COMP126) (0.286 COMP95/COMP96) (0.285 COMP168) (0.282 COMP150/COMP151/COMP163) (0.281 COMP111) (0.278 COMP143/COMP149) (0.277 COMP154) (0.276 COMP155) (0.275 COMP153/COMP99) (0.267 COMP165/COMP166/COMP173) (0.265 COMP171) (0.261 COMP144/COMP19) (0.251 COMP112/COMP124/COMP134) (0.246 COMP133/COMP170) (0.242 COMP113/COMP132/COMP142) (0.238 COMP110) (0.233 COMP128) (0.226 COMP129) (0.212 COMP98) (0.205 COMP114/COMP131) (0.204 COMP77) (0.193 COMP139) (0.190 COMP109/COMP136/COMP145/COMP152) (0.188 COMP89) (0.186 COMP87) (0.179 COMP137) (0.173 COMP93) (0.159 COMP167)
VEGF expression inhibitor	0.334	COMP100	(0.287 COMP156) (0.268 COMP174) (0.251 COMP122) (0.246 COMP115) (0.236 COMP104) (0.233 COMP147) (0.229 COMP107/COMP130/COMP140) (0.228 COMP125) (0.227 COMP106) (0.226 COMP102/COMP146) (0.225 COMP112/COMP117/COMP121/COMP134/COMP148) (0.218 COMP110/COMP159) (0.216 COMP138) (0.215 COMP101) (0.210 COMP137) (0.203 COMP99) (0.199 COMP109/COMP116/COMP128/COMP136/COMP145) (0.192 COMP135) (0.191 COMP118) (0.185 COMP120) (0.179 COMP139) (0.169 COMP175) (0.168 COMP123/COMP161) (0.165 COMP98) (0.164 COMP94) (0.159 COMP86) (0.158 COMP95/COMP96) (0.156 COMP144/COMP19)
