Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.928	COMP128	(0.880 COMP110) (0.607 COMP139) (0.580 COMP141) (0.418 COMP107) (0.395 COMP106) (0.392 COMP171) (0.365 COMP119/COMP157/COMP160/COMP162/COMP169) (0.352 COMP117/COMP121) (0.342 COMP143/COMP149) (0.332 COMP77) (0.325 COMP11/COMP8) (0.277 COMP144/COMP19) (0.257 COMP148) (0.243 COMP174) (0.240 COMP111) (0.239 COMP99) (0.225 COMP87) (0.197 COMP109/COMP136/COMP145) (0.194 COMP164) (0.186 COMP123/COMP154/COMP161) (0.161 COMP101) (0.157 COMP156) (0.152 COMP150/COMP151/COMP163) (0.148 COMP147) (0.145 COMP152) (0.144 COMP158/COMP172) (0.141 COMP112/COMP134/COMP159/COMP89) (0.140 COMP126) (0.138 COMP118) (0.134 COMP116) (0.131 COMP133/COMP170) (0.130 COMP114/COMP131/COMP135) (0.127 COMP120/COMP153) (0.126 COMP93) (0.125 COMP137) (0.124 COMP124/COMP155) (0.122 COMP105/COMP122) (0.120 COMP125) (0.118 COMP90/COMP91) (0.116 COMP102/COMP146) (0.115 COMP168) (0.111 COMP103/COMP97) (0.109 COMP129) (0.107 COMP94) (0.105 COMP175)
Aldehyde dehydrogenase substrate	0.934	COMP128	(0.729 COMP110) (0.407 COMP106) (0.351 COMP141) (0.335 COMP139) (0.294 COMP117/COMP121) (0.243 COMP171) (0.211 COMP143/COMP144/COMP149/COMP19) (0.195 COMP148) (0.179 COMP122) (0.172 COMP101) (0.166 COMP154) (0.165 COMP147) (0.160 COMP174) (0.156 COMP87) (0.149 COMP159) (0.146 COMP11/COMP8) (0.141 COMP125) (0.137 COMP135) (0.136 COMP116) (0.132 COMP150/COMP151/COMP163) (0.130 COMP118) (0.125 COMP102/COMP146) (0.122 COMP119/COMP157/COMP160/COMP162/COMP169) (0.121 COMP120) (0.116 COMP123/COMP161) (0.115 COMP158/COMP172) (0.113 COMP103) (0.106 COMP156) (0.099 COMP175)
Aldehyde oxidase substrate	0.348	COMP106	(0.332 COMP128) (0.259 COMP122) (0.255 COMP117/COMP121) (0.250 COMP101) (0.229 COMP115) (0.226 COMP116) (0.208 COMP118) (0.205 COMP120) (0.193 COMP139) (0.192 COMP125) (0.191 COMP148) (0.189 COMP98) (0.184 COMP130/COMP140) (0.180 COMP147) (0.175 COMP175) (0.165 COMP138) (0.164 COMP159) (0.153 COMP174) (0.150 COMP107) (0.147 COMP102/COMP146) (0.142 COMP123/COMP161) (0.141 COMP111/COMP99) (0.135 COMP104)
Aldose reductase substrate	0.992	COMP128	(0.394 COMP103) (0.249 COMP175) (0.248 COMP117/COMP121) (0.246 COMP98) (0.218 COMP139) (0.199 COMP115) (0.187 COMP148) (0.160 COMP122) (0.153 COMP106) (0.144 COMP174) (0.136 COMP99) (0.128 COMP135)
Arylamine N-Acetyltransferase substrate	0.318	COMP117/COMP121	(0.214 COMP122) (0.164 COMP175) (0.121 COMP101) (0.117 COMP115) (0.089 COMP148) (0.084 COMP118) (0.071 COMP116)
CYP1A2 inhibitor	0.931	COMP100	(0.608 COMP102/COMP146) (0.527 COMP147/COMP159) (0.414 COMP107) (0.413 COMP101) (0.401 COMP111) (0.393 COMP148) (0.384 COMP120) (0.383 COMP116) (0.380 COMP118) (0.306 COMP135) (0.302 COMP115) (0.298 COMP125) (0.288 COMP106/COMP156) (0.283 COMP138) (0.274 COMP130/COMP140) (0.240 COMP122) (0.234 COMP104) (0.208 COMP154)
CYP1A2 substrate	0.710	COMP111	(0.707 COMP101) (0.633 COMP147) (0.625 COMP118) (0.616 COMP116) (0.570 COMP135) (0.555 COMP100) (0.550 COMP102/COMP146/COMP156/COMP159) (0.543 COMP99) (0.535 COMP120) (0.526 COMP106) (0.510 COMP148) (0.432 COMP107) (0.428 COMP117/COMP121) (0.403 COMP115) (0.401 COMP98) (0.391 COMP125) (0.373 COMP122) (0.359 COMP154) (0.352 COMP175) (0.348 COMP95/COMP96) (0.342 COMP128) (0.322 COMP174) (0.304 COMP89) (0.292 COMP130/COMP140) (0.288 COMP123/COMP161) (0.269 COMP77) (0.263 COMP97) (0.250 COMP138) (0.245 COMP139) (0.241 COMP104) (0.240 COMP11/COMP8) (0.235 COMP141) (0.223 COMP94) (0.221 COMP109/COMP136/COMP145) (0.217 COMP112/COMP134/COMP144/COMP19) (0.211 COMP171) (0.205 COMP155) (0.200 COMP91) (0.198 COMP103) (0.181 COMP158/COMP172)
CYP24 inhibitor	0.285	COMP126	(0.076 COMP152) (0.070 COMP158/COMP172) (0.068 COMP124) (0.060 COMP77/COMP90) (0.055 COMP164) (0.053 COMP153) (0.052 COMP165/COMP166/COMP173) (0.049 COMP113/COMP132/COMP142) (0.033 COMP133/COMP159/COMP170) (0.032 COMP147) (0.030 COMP175) (0.027 COMP150/COMP151/COMP163) (0.025 COMP141) (0.023 COMP123/COMP161) (0.020 COMP102/COMP146)
CYP2A6 inhibitor	0.257	COMP115	(0.252 COMP141) (0.215 COMP111) (0.176 COMP106) (0.171 COMP118) (0.155 COMP116) (0.150 COMP120) (0.131 COMP154) (0.118 COMP100) (0.108 COMP139) (0.101 COMP119/COMP157/COMP160/COMP162/COMP169) (0.093 COMP101) (0.091 COMP128) (0.084 COMP147) (0.081 COMP155) (0.080 COMP159) (0.075 COMP107) (0.074 COMP11/COMP125/COMP8) (0.073 COMP117/COMP121) (0.069 COMP102/COMP146) (0.067 COMP158/COMP172)
CYP2B6 inhibitor	0.388	COMP100	(0.349 COMP141) (0.330 COMP101/COMP117/COMP121) (0.310 COMP111) (0.309 COMP118/COMP119/COMP157/COMP160/COMP162/COMP169) (0.307 COMP116) (0.301 COMP148) (0.292 COMP147) (0.289 COMP104) (0.281 COMP120) (0.279 COMP11/COMP8) (0.278 COMP171) (0.274 COMP126/COMP143/COMP149) (0.267 COMP159) (0.261 COMP123/COMP161) (0.251 COMP125) (0.250 COMP128) (0.248 COMP102/COMP146) (0.246 COMP90) (0.244 COMP124) (0.242 COMP154) (0.239 COMP144/COMP19) (0.231 COMP115) (0.226 COMP113/COMP132/COMP142/COMP158/COMP172) (0.216 COMP165/COMP166/COMP173) (0.212 COMP107) (0.208 COMP152) (0.207 COMP122) (0.205 COMP106/COMP87) (0.204 COMP174) (0.197 COMP153) (0.187 COMP130/COMP140) (0.184 COMP135) (0.173 COMP89) (0.172 COMP109/COMP136/COMP145) (0.170 COMP155) (0.168 COMP139) (0.167 COMP138) (0.164 COMP133/COMP170) (0.161 COMP114/COMP131/COMP168) (0.160 COMP156) (0.152 COMP77) (0.148 COMP110)
