Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.541 COMP11/COMP8) (0.540 COMP119/COMP157/COMP160/COMP162/COMP169) (0.533 COMP171) (0.532 COMP99) (0.507 COMP117/COMP121) (0.493 COMP97) (0.471 COMP150/COMP151/COMP163) (0.464 COMP133/COMP135/COMP170) (0.463 COMP152) (0.453 COMP105) (0.448 COMP112/COMP134) (0.442 COMP124) (0.439 COMP168) (0.435 COMP89) (0.426 COMP113/COMP132/COMP142) (0.425 COMP137) (0.424 COMP95/COMP96) (0.421 COMP129/COMP94) (0.419 COMP110) (0.416 COMP126/COMP165/COMP166/COMP173) (0.413 COMP122/COMP143/COMP149) (0.408 COMP111) (0.405 COMP141/COMP175) (0.404 COMP109/COMP136/COMP145/COMP174) (0.391 COMP87) (0.390 COMP91) (0.383 COMP148) (0.371 COMP104) (0.358 COMP128) (0.349 COMP123/COMP161) (0.344 COMP125) (0.342 COMP164) (0.340 COMP118) (0.338 COMP154) (0.336 COMP90) (0.334 COMP153) (0.330 COMP120) (0.327 COMP114/COMP131) (0.323 COMP144/COMP19) (0.320 COMP101) (0.307 COMP116) (0.294 COMP115) (0.288 COMP156) (0.284 COMP159) (0.282 COMP138) (0.273 COMP102/COMP130/COMP140/COMP146) (0.269 COMP167/COMP86) (0.260 COMP147) (0.259 COMP158/COMP172) (0.258 COMP98) (0.253 COMP93) (0.251 COMP107) (0.224 COMP106) (0.207 COMP139) (0.204 COMP155) (0.200 COMP92) (0.192 COMP100) (0.187 COMP88)
Carcinogenic	0.925	COMP77	(0.924 COMP119/COMP157/COMP160/COMP162/COMP169) (0.890 COMP11/COMP8) (0.814 COMP164) (0.792 COMP123/COMP161) (0.731 COMP128) (0.723 COMP139) (0.696 COMP103) (0.681 COMP175) (0.671 COMP141) (0.609 COMP113/COMP132/COMP142) (0.602 COMP117/COMP121) (0.579 COMP99) (0.532 COMP110) (0.505 COMP111) (0.504 COMP101) (0.497 COMP124) (0.493 COMP171) (0.489 COMP158/COMP172) (0.437 COMP98) (0.422 COMP114/COMP131) (0.420 COMP150/COMP151/COMP163) (0.378 COMP97) (0.377 COMP112/COMP134) (0.350 COMP116/COMP118) (0.345 COMP143/COMP149) (0.340 COMP154) (0.337 COMP148) (0.329 COMP153) (0.326 COMP120) (0.323 COMP122) (0.320 COMP126) (0.305 COMP147) (0.299 COMP156) (0.295 COMP100) (0.292 COMP135) (0.288 COMP102/COMP146/COMP159) (0.281 COMP90/COMP95/COMP96) (0.271 COMP109/COMP136/COMP145) (0.252 COMP107) (0.248 COMP144/COMP19) (0.234 COMP133/COMP170) (0.227 COMP155) (0.226 COMP105) (0.221 COMP89/COMP94) (0.220 COMP115) (0.212 COMP87) (0.206 COMP106) (0.187 COMP165/COMP166/COMP173) (0.182 COMP125) (0.179 COMP129) (0.175 COMP152) (0.166 COMP174) (0.160 COMP168/COMP91) (0.155 COMP130/COMP140) (0.147 COMP137) (0.138 COMP138) (0.133 COMP86) (0.128 COMP104)
Carcinogenic. group 1	0.461	COMP117/COMP121	(0.456 COMP111) (0.387 COMP118) (0.355 COMP130/COMP140) (0.351 COMP116) (0.341 COMP120) (0.329 COMP122) (0.322 COMP115) (0.318 COMP138) (0.317 COMP101) (0.271 COMP147) (0.267 COMP128) (0.264 COMP159) (0.258 COMP100/COMP125) (0.254 COMP139) (0.249 COMP106) (0.246 COMP148) (0.239 COMP102/COMP146) (0.235 COMP104) (0.204 COMP175) (0.196 COMP107) (0.195 COMP141) (0.191 COMP11/COMP8) (0.190 COMP174) (0.180 COMP154) (0.173 COMP156) (0.167 COMP110) (0.165 COMP126) (0.163 COMP113/COMP132/COMP142) (0.162 COMP119/COMP157/COMP160/COMP162/COMP169) (0.161 COMP123/COMP161) (0.159 COMP135) (0.158 COMP114/COMP131) (0.157 COMP144/COMP19) (0.151 COMP124) (0.148 COMP158/COMP172) (0.146 COMP155) (0.141 COMP103) (0.137 COMP109/COMP136/COMP145) (0.135 COMP89/COMP98) (0.133 COMP86) (0.129 COMP165/COMP166/COMP173)
Carcinogenic. group 2A	0.419	COMP130/COMP140	(0.352 COMP138) (0.320 COMP111) (0.271 COMP118) (0.249 COMP116) (0.242 COMP120) (0.235 COMP115) (0.198 COMP101) (0.185 COMP122) (0.174 COMP147) (0.169 COMP159) (0.167 COMP106) (0.165 COMP139) (0.151 COMP102/COMP146) (0.148 COMP11/COMP8) (0.145 COMP104/COMP128) (0.144 COMP125) (0.123 COMP148) (0.122 COMP114/COMP117/COMP121/COMP131) (0.119 COMP154) (0.115 COMP175) (0.112 COMP100) (0.111 COMP119/COMP157/COMP160/COMP162/COMP169) (0.110 COMP107) (0.106 COMP141) (0.100 COMP155) (0.099 COMP110) (0.091 COMP113/COMP132/COMP142) (0.083 COMP98) (0.080 COMP156) (0.076 COMP124) (0.074 COMP103) (0.073 COMP123/COMP161)
Carcinogenic. group 2B	0.718	COMP113/COMP132/COMP142	(0.702 COMP111) (0.494 COMP118) (0.492 COMP101) (0.388 COMP116) (0.335 COMP120) (0.291 COMP148) (0.269 COMP115) (0.257 COMP128) (0.249 COMP103) (0.231 COMP124) (0.228 COMP139) (0.211 COMP11/COMP8) (0.210 COMP147) (0.203 COMP117/COMP121) (0.200 COMP109/COMP136/COMP145) (0.198 COMP106) (0.185 COMP159) (0.170 COMP99) (0.166 COMP102/COMP130/COMP140/COMP146) (0.163 COMP135) (0.162 COMP114/COMP131) (0.155 COMP119/COMP157/COMP160/COMP162/COMP169) (0.151 COMP112/COMP134) (0.145 COMP141) (0.143 COMP133/COMP170) (0.141 COMP138) (0.139 COMP122) (0.136 COMP125) (0.133 COMP100/COMP104) (0.128 COMP154) (0.126 COMP153) (0.125 COMP155) (0.119 COMP171) (0.118 COMP152) (0.117 COMP123/COMP161) (0.115 COMP94) (0.112 COMP144/COMP19) (0.111 COMP98) (0.096 COMP126) (0.094 COMP156) (0.093 COMP167) (0.091 COMP168) (0.089 COMP175) (0.088 COMP110) (0.087 COMP158/COMP172)
Carcinogenic. group 3	0.773	COMP175	(0.772 COMP141) (0.721 COMP128) (0.517 COMP111) (0.458 COMP139) (0.450 COMP171) (0.431 COMP117/COMP121) (0.359 COMP101) (0.346 COMP118) (0.332 COMP123/COMP147/COMP161) (0.327 COMP154) (0.319 COMP116) (0.315 COMP99) (0.308 COMP159) (0.295 COMP120) (0.274 COMP11/COMP8) (0.261 COMP148) (0.254 COMP102/COMP146) (0.252 COMP144/COMP155/COMP19) (0.241 COMP122) (0.240 COMP77) (0.229 COMP158/COMP172) (0.225 COMP115) (0.200 COMP156) (0.184 COMP100) (0.183 COMP114/COMP131) (0.178 COMP112/COMP134/COMP153) (0.175 COMP119/COMP157/COMP160/COMP162/COMP169) (0.167 COMP106) (0.162 COMP90) (0.148 COMP113/COMP132/COMP142) (0.144 COMP124) (0.137 COMP143/COMP149) (0.123 COMP126) (0.120 COMP133/COMP170) (0.118 COMP98) (0.111 COMP94) (0.109 COMP87) (0.105 COMP107) (0.098 COMP135) (0.097 COMP109/COMP136/COMP145) (0.096 COMP152)
Cardiodepressant	0.656	COMP111	(0.626 COMP101) (0.584 COMP120) (0.580 COMP116) (0.569 COMP174) (0.568 COMP112/COMP134) (0.566 COMP109/COMP136/COMP145) (0.545 COMP118) (0.502 COMP125) (0.477 COMP135) (0.413 COMP100/COMP156) (0.412 COMP117/COMP121) (0.398 COMP122) (0.394 COMP107) (0.357 COMP77) (0.346 COMP105) (0.333 COMP104) (0.331 COMP115) (0.326 COMP159) (0.322 COMP147) (0.297 COMP148) (0.279 COMP102/COMP146) (0.264 COMP114/COMP131) (0.252 COMP175) (0.243 COMP11/COMP8) (0.226 COMP113/COMP132/COMP142) (0.224 COMP128) (0.219 COMP106/COMP124) (0.216 COMP137) (0.204 COMP138) (0.187 COMP130/COMP140) (0.148 COMP119/COMP157/COMP160/COMP162/COMP169) (0.145 COMP152)
Cytotoxic	0.612	COMP103	(0.607 COMP77) (0.565 COMP164) (0.563 COMP105) (0.557 COMP150/COMP151/COMP163) (0.549 COMP143/COMP149) (0.518 COMP90) (0.510 COMP98) (0.497 COMP99) (0.484 COMP155) (0.470 COMP158/COMP172) (0.458 COMP94) (0.457 COMP153) (0.444 COMP138) (0.435 COMP175) (0.433 COMP130/COMP140) (0.406 COMP119/COMP157/COMP160/COMP162/COMP169) (0.401 COMP95/COMP96) (0.387 COMP144/COMP19) (0.384 COMP101) (0.371 COMP11/COMP8) (0.362 COMP110) (0.360 COMP117/COMP121) (0.355 COMP126) (0.352 COMP154) (0.350 COMP112/COMP134) (0.349 COMP123/COMP161) (0.339 COMP171) (0.330 COMP128) (0.328 COMP106) (0.322 COMP141) (0.317 COMP100) (0.316 COMP120) (0.293 COMP116) (0.286 COMP133/COMP170) (0.276 COMP135) (0.273 COMP118/COMP122) (0.268 COMP91) (0.266 COMP152) (0.265 COMP97) (0.259 COMP109/COMP136/COMP145) (0.254 COMP165/COMP166/COMP173) (0.252 COMP124) (0.241 COMP159) (0.236 COMP168) (0.234 COMP148) (0.224 COMP111/COMP147) (0.215 COMP156) (0.214 COMP114/COMP131/COMP139) (0.210 COMP92) (0.204 COMP104/COMP89) (0.203 COMP137) (0.199 COMP129) (0.196 COMP87) (0.192 COMP86) (0.189 COMP115) (0.188 COMP107) (0.186 COMP125) (0.185 COMP113/COMP132/COMP142) (0.174 COMP102/COMP146) (0.169 COMP93) (0.141 COMP174) (0.139 COMP167)
DNA damaging	0.747	COMP103	(0.540 COMP100) (0.467 COMP112/COMP134) (0.409 COMP148) (0.400 COMP159) (0.373 COMP147) (0.363 COMP102/COMP146) (0.339 COMP158/COMP172) (0.338 COMP138) (0.334 COMP117/COMP121) (0.327 COMP130/COMP140) (0.313 COMP122) (0.302 COMP144/COMP19) (0.297 COMP111) (0.291 COMP152) (0.288 COMP101) (0.284 COMP120) (0.278 COMP106) (0.257 COMP116) (0.250 COMP115) (0.248 COMP153) (0.244 COMP99) (0.239 COMP118/COMP125) (0.227 COMP123/COMP161) (0.212 COMP175) (0.204 COMP154) (0.200 COMP109/COMP136/COMP145) (0.194 COMP77) (0.187 COMP104/COMP155) (0.181 COMP94) (0.178 COMP150/COMP151/COMP163/COMP98) (0.174 COMP156/COMP165/COMP166/COMP173) (0.170 COMP90) (0.167 COMP135) (0.160 COMP113/COMP132/COMP142)
Embryotoxic	0.908	COMP77	(0.786 COMP103) (0.751 COMP99) (0.744 COMP112/COMP134) (0.712 COMP128) (0.707 COMP171) (0.673 COMP119/COMP157/COMP160/COMP162/COMP169) (0.671 COMP117/COMP121) (0.650 COMP141) (0.633 COMP11/COMP8) (0.594 COMP164) (0.513 COMP175) (0.426 COMP109/COMP136/COMP145) (0.418 COMP168) (0.400 COMP135) (0.397 COMP123/COMP161) (0.384 COMP101) (0.376 COMP122) (0.375 COMP154) (0.360 COMP152) (0.338 COMP126) (0.322 COMP148) (0.318 COMP143/COMP149) (0.307 COMP155) (0.304 COMP120) (0.296 COMP97) (0.294 COMP125) (0.290 COMP158/COMP172) (0.285 COMP118) (0.284 COMP116) (0.279 COMP98) (0.273 COMP174) (0.272 COMP111) (0.269 COMP90) (0.268 COMP144/COMP19) (0.257 COMP133/COMP170) (0.256 COMP115/COMP94) (0.245 COMP153) (0.235 COMP87) (0.234 COMP150/COMP151/COMP163) (0.232 COMP106/COMP124) (0.231 COMP156) (0.215 COMP113/COMP132/COMP142) (0.199 COMP159) (0.194 COMP95/COMP96) (0.188 COMP110) (0.185 COMP165/COMP166/COMP173) (0.182 COMP147) (0.179 COMP105) (0.173 COMP130/COMP140) (0.172 COMP138) (0.170 COMP114/COMP131) (0.166 COMP86) (0.153 COMP92) (0.151 COMP91) (0.149 COMP100) (0.148 COMP107) (0.146 COMP129) (0.144 COMP102/COMP146) (0.141 COMP139) (0.139 COMP89) (0.138 COMP137)
