Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine 2A agonist	0.058	COMP734	
5 Hydroxytryptamine 3A agonist	0.093	COMP734	
Acetylcholine M3 receptor agonist	0.098	COMP734	
Acetylcholinesterase inhibitor	0.499	COMP2082	(0.490 COMP734) (0.482 COMP2083) (0.437 COMP714) (0.435 COMP2081)
Aconitate hydratase inhibitor	0.046	COMP734	
Adenylate cyclase inhibitor	0.095	COMP734	
Adenylate kinase inhibitor	0.093	COMP734	
Adrenaline uptake inhibitor	0.112	COMP2083/COMP714	(0.110 COMP734) (0.073 COMP2082)
Alcohol dehydrogenase inhibitor	0.137	COMP2081	(0.111 COMP734)
Alkaline phosphatase inhibitor	0.363	COMP2081	(0.108 COMP734)
Alpha 2a adrenoreceptor antagonist	0.168	COMP734	(0.135 COMP2083) (0.105 COMP2082) (0.101 COMP714) (0.066 COMP2081)
Androgen agonist	0.101	COMP734	
Androgen antagonist	0.184	COMP734	(0.134 COMP714) (0.110 COMP2083) (0.108 COMP2082) (0.090 COMP2081)
Arginase inhibitor	0.046	COMP734	(0.039 COMP2081)
Aryl hydrocarbon receptor agonist	0.508	COMP2081	
Butyrylcholinesterase inhibitor	0.245	COMP2081	
CYP1A2 inhibitor	0.934	COMP2081	(0.431 COMP734) (0.321 COMP714) (0.273 COMP2082) (0.267 COMP2083)
CYP2C9 inhibitor	0.506	COMP2081	(0.302 COMP734) (0.253 COMP2082) (0.243 COMP2083)
CYP3A4 inhibitor	0.319	COMP2081	(0.210 COMP734)
Ca2+-transporting ATPase inhibitor	0.168	COMP734	(0.141 COMP2082/COMP714) (0.137 COMP2083) (0.134 COMP2081)
Cyclooxygenase 1 inhibitor	0.209	COMP734	(0.203 COMP2081) (0.166 COMP714) (0.147 COMP2082) (0.137 COMP2083)
Cyclooxygenase 2 inhibitor	0.181	COMP2081	(0.150 COMP734) (0.124 COMP714) (0.113 COMP2082) (0.104 COMP2083)
Cyclooxygenase inhibitor	0.209	COMP2081/COMP734	(0.159 COMP714) (0.145 COMP2082) (0.133 COMP2083)
Cystathionine beta-synthase inhibitor	0.906	COMP734	(0.835 COMP714) (0.803 COMP2081) (0.789 COMP2083) (0.754 COMP2082)
DNA polymerase beta inhibitor	0.452	COMP2081	
DOPA decarboxylase inhibitor	0.210	COMP2081	(0.167 COMP734) (0.142 COMP2082/COMP714) (0.132 COMP2083)
Dopamine D2 agonist	0.081	COMP2083	(0.075 COMP734) (0.069 COMP714) (0.063 COMP2082) (0.051 COMP2081)
Dopamine uptake inhibitor	0.059	COMP734	(0.057 COMP2083) (0.054 COMP714)
Electron transport complex I inhibitor	0.233	COMP2081	(0.156 COMP734) (0.134 COMP2082/COMP714) (0.127 COMP2083)
Estrogen agonist	0.730	COMP2083	(0.708 COMP714) (0.701 COMP2082) (0.663 COMP734) (0.127 COMP2081)
Glucocorticoid antagonist	0.077	COMP734	(0.058 COMP2083/COMP714) (0.056 COMP2082)
Glucose-6-phosphate isomerase inhibitor	0.049	COMP734	
HMG CoA reductase inhibitor	0.035	COMP734	(0.031 COMP714)
Heat shock protein 70 antagonist	0.203	COMP2081	(0.142 COMP734) (0.129 COMP2082)
MAO A inhibitor	0.544	COMP2081	(0.193 COMP734) (0.160 COMP2082) (0.129 COMP2083) (0.125 COMP714)
MAO inhibitor	0.473	COMP2081	(0.246 COMP734) (0.191 COMP2082) (0.166 COMP714) (0.155 COMP2083)
Na+ K+ transporting ATPase inhibitor	0.104	COMP734	(0.094 COMP2081) (0.093 COMP2082/COMP714) (0.086 COMP2083)
Opioid delta receptor agonist	0.039	COMP734	
Opioid delta receptor antagonist	0.146	COMP734	(0.053 COMP714)
Opioid kappa receptor agonist	0.082	COMP734	(0.053 COMP2082) (0.049 COMP2083) (0.046 COMP714)
Opioid mu receptor agonist	0.069	COMP734	
Peroxidase inhibitor	0.681	COMP2081	(0.488 COMP734) (0.373 COMP2082/COMP714) (0.324 COMP2083)
Phenylalanine 4-hydroxylase inhibitor	0.067	COMP734	
Phosphodiesterase 4D inhibitor	0.141	COMP2081	
Phosphofructokinase-1 inhibitor	0.084	COMP734	
Phospholipase A2 inhibitor	0.143	COMP734	
Phospholipase C inhibitor	0.179	COMP734	(0.153 COMP2081)
Pyruvate kinase inhibitor	0.489	COMP2081	
Succinate dehydrogenase inhibitor	0.294	COMP2081	(0.280 COMP734) (0.186 COMP2082/COMP714) (0.173 COMP2083)
Superoxide dismutase inhibitor	0.667	COMP2081	(0.274 COMP734)
Topoisomerase I inhibitor	0.554	COMP2083	(0.547 COMP2082) (0.526 COMP714) (0.458 COMP734) (0.250 COMP2081)
Topoisomerase II alpha inhibitor	0.431	COMP2081	(0.348 COMP714) (0.320 COMP2083) (0.292 COMP2082) (0.230 COMP734)
Triose-phosphate isomerase inhibitor	0.084	COMP734	
Tyrosine 3 hydroxylase inhibitor	0.293	COMP2081	(0.273 COMP734)
UDP-glucose 4-epimerase inhibitor	0.131	COMP734	
