Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.084	COMP734	
AR expression inhibitor	0.865	COMP2081	(0.616 COMP734) (0.575 COMP714) (0.554 COMP2083) (0.533 COMP2082)
CTGF expression inhibitor	0.836	COMP2081	(0.667 COMP734) (0.561 COMP714) (0.507 COMP2083) (0.470 COMP2082)
ICAM1 expression inhibitor	0.495	COMP2081	(0.458 COMP734) (0.417 COMP2082/COMP714) (0.403 COMP2083)
LDLR expression enhancer	0.347	COMP734	(0.297 COMP2081) (0.296 COMP714) (0.274 COMP2083) (0.267 COMP2082)
NOS2 expression inhibitor	0.858	COMP2081	(0.710 COMP734) (0.631 COMP714) (0.589 COMP2083) (0.571 COMP2082)
NOS3 expression enhancer	0.857	COMP2082	(0.855 COMP2083) (0.838 COMP714) (0.794 COMP734) (0.384 COMP2081)
NOS3 expression inhibitor	0.573	COMP2081	(0.505 COMP734) (0.504 COMP2082/COMP714) (0.486 COMP2083)
TNF expression inhibitor	0.728	COMP2081	(0.623 COMP734) (0.534 COMP714) (0.499 COMP2083) (0.488 COMP2082)
VCAM1 expression inhibitor	0.377	COMP734	(0.321 COMP2081) (0.306 COMP2082/COMP714) (0.282 COMP2083)
VEGF expression inhibitor	0.331	COMP2081	(0.250 COMP734) (0.229 COMP2082/COMP714) (0.216 COMP2083)
