Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.834	COMP2081	(0.241 COMP734) (0.177 COMP714)
15-Lipoxygenase inhibitor	0.732	COMP2081	(0.501 COMP2083) (0.483 COMP2082) (0.455 COMP714) (0.441 COMP734)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.088	COMP734	(0.049 COMP714)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.183	COMP2081	(0.121 COMP734) (0.088 COMP2082/COMP714) (0.074 COMP2083)
3C-like protease (Human coronavirus) inhibitor	0.164	COMP2081	
5 Hydroxytryptamine 2A agonist	0.058	COMP734	
5 Hydroxytryptamine 3A agonist	0.093	COMP734	
5 Hydroxytryptamine 3E antagonist	0.169	COMP734	
5 Hydroxytryptamine release inhibitor	0.502	COMP2081	(0.388 COMP734)
5 Hydroxytryptamine release stimulant	0.682	COMP734	(0.433 COMP2081) (0.345 COMP714) (0.282 COMP2083) (0.245 COMP2082)
5 Hydroxytryptamine uptake stimulant	0.536	COMP734	(0.478 COMP2081) (0.365 COMP2082/COMP714) (0.335 COMP2083)
5-Lipoxygenase inhibitor	0.369	COMP2081	(0.153 COMP734) (0.104 COMP714) (0.099 COMP2082) (0.082 COMP2083)
ABCA1 expression enhancer	0.084	COMP734	
AMP-activated protein kinase stimulant	0.227	COMP2081	(0.106 COMP734)
ATP citrate lysase inhibitor	0.035	COMP734	
Acetylcholine M3 receptor agonist	0.098	COMP734	
Acetylcholinesterase inhibitor	0.499	COMP2082	(0.490 COMP734) (0.482 COMP2083) (0.437 COMP714) (0.435 COMP2081)
Aconitate hydratase inhibitor	0.046	COMP734	
Adenylate cyclase inhibitor	0.095	COMP734	
Adenylate cyclase stimulant	0.194	COMP734	(0.165 COMP2081) (0.146 COMP714) (0.136 COMP2083) (0.132 COMP2082)
Adenylate kinase inhibitor	0.093	COMP734	
Adrenaline agonist	0.085	COMP734	
Adrenaline antagonist	0.158	COMP2083	(0.105 COMP2082) (0.082 COMP734) (0.077 COMP714)
Adrenaline uptake inhibitor	0.112	COMP2083/COMP714	(0.110 COMP734) (0.073 COMP2082)
Alcohol dehydrogenase inhibitor	0.137	COMP2081	(0.111 COMP734)
Alcohol oxidase inhibitor	0.072	COMP734	
Aldehyde dehydrogenase inhibitor	0.162	COMP734	(0.127 COMP2081)
Aldehyde oxidase inhibitor	0.753	COMP2081	(0.729 COMP734) (0.605 COMP714) (0.554 COMP2083) (0.502 COMP2082)
Aldose reductase inhibitor	0.382	COMP2081	(0.258 COMP2082) (0.242 COMP714) (0.240 COMP2083) (0.225 COMP734)
Alkaline phosphatase inhibitor	0.363	COMP2081	(0.108 COMP734)
Alkylator	0.267	COMP714	(0.227 COMP2083) (0.214 COMP2081) (0.208 COMP2082) (0.183 COMP734)
Alpha 1 adrenoreceptor agonist	0.056	COMP734	
Alpha 1L adrenoreceptor antagonist	0.068	COMP734	
Alpha 1d adrenoreceptor agonist	0.034	COMP734	
Alpha 2 adrenoreceptor antagonist	0.203	COMP734	(0.170 COMP2083) (0.138 COMP2082) (0.133 COMP714) (0.088 COMP2081)
