Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine 1B agonist	0.056	COMP221	
5 Hydroxytryptamine 3A agonist	0.153	COMP221	(0.106 COMP222) (0.091 COMP215)
ATPase inhibitor	0.373	COMP220	(0.366 COMP217) (0.264 COMP218/COMP219) (0.259 COMP122/COMP215) (0.253 COMP222) (0.248 COMP221) (0.238 COMP216)
Acetylcholinesterase inhibitor	0.574	COMP216	(0.533 COMP215) (0.522 COMP221) (0.519 COMP218/COMP219) (0.502 COMP222) (0.205 COMP217) (0.181 COMP220)
Aconitate hydratase inhibitor	0.190	COMP122	(0.099 COMP221) (0.077 COMP222) (0.075 COMP215) (0.057 COMP216) (0.047 COMP218/COMP219)
Acyl-CoA dehydrogenase inhibitor	0.151	COMP122	(0.072 COMP221) (0.062 COMP215/COMP222)
Adenosine A1 receptor agonist	0.027	COMP220	(0.025 COMP217)
Adenosine deaminase inhibitor	0.066	COMP122	(0.058 COMP220) (0.042 COMP217)
Adenylate cyclase inhibitor	0.163	COMP220	(0.127 COMP122) (0.125 COMP215) (0.098 COMP222) (0.097 COMP221)
Adenylate kinase inhibitor	0.259	COMP122	(0.148 COMP221) (0.136 COMP215/COMP222) (0.096 COMP220) (0.095 COMP216) (0.091 COMP218/COMP219)
Alcohol dehydrogenase inhibitor	0.273	COMP122	(0.228 COMP222) (0.208 COMP215) (0.202 COMP220) (0.135 COMP218/COMP219) (0.126 COMP221) (0.125 COMP217) (0.104 COMP216)
Aldosterone antagonist	0.105	COMP221	(0.058 COMP215) (0.052 COMP216) (0.046 COMP222)
Alkaline phosphatase inhibitor	0.329	COMP218/COMP219	(0.316 COMP215) (0.310 COMP222) (0.290 COMP216) (0.255 COMP220) (0.252 COMP122) (0.244 COMP221) (0.222 COMP217)
Alpha-mannosidase inhibitor	0.230	COMP220	(0.217 COMP217) (0.067 COMP122) (0.054 COMP221) (0.053 COMP222)
Androgen agonist	0.138	COMP222	(0.131 COMP215) (0.111 COMP221) (0.097 COMP218/COMP219) (0.091 COMP216) (0.057 COMP220)
Androgen antagonist	0.227	COMP222	(0.223 COMP215) (0.178 COMP221) (0.174 COMP218/COMP219) (0.154 COMP216)
Arginase inhibitor	0.080	COMP220	(0.052 COMP215) (0.047 COMP217/COMP222) (0.045 COMP122)
Argininosuccinate synthase inhibitor	0.154	COMP122	(0.074 COMP221) (0.063 COMP215/COMP222)
Aryl hydrocarbon receptor agonist	0.677	COMP216	(0.673 COMP218/COMP219) (0.613 COMP215) (0.610 COMP221) (0.608 COMP222) (0.365 COMP122) (0.215 COMP217) (0.193 COMP220)
Beta 1 adrenoreceptor agonist	0.026	COMP122	
Beta 1 adrenoreceptor antagonist	0.059	COMP122	
Beta 2 adrenoreceptor agonist	0.066	COMP122	
Beta 2 adrenoreceptor antagonist	0.045	COMP122	
Butyrylcholinesterase inhibitor	0.425	COMP216	(0.383 COMP221) (0.369 COMP215) (0.350 COMP218/COMP219) (0.343 COMP222)
CYP1A2 inhibitor	0.699	COMP218/COMP219	(0.658 COMP216) (0.613 COMP215) (0.610 COMP222) (0.532 COMP221) (0.240 COMP122/COMP217) (0.224 COMP220)
CYP2C9 inhibitor	0.417	COMP215	(0.408 COMP218/COMP219) (0.406 COMP222) (0.395 COMP216) (0.348 COMP221) (0.338 COMP122)
CYP2D6 inhibitor	0.229	COMP221	(0.203 COMP216)
CYP3A4 inhibitor	0.367	COMP216	(0.332 COMP221) (0.325 COMP218/COMP219) (0.320 COMP222) (0.318 COMP215)
Ca2+-transporting ATPase inhibitor	0.203	COMP122	(0.174 COMP222) (0.173 COMP215) (0.172 COMP221) (0.158 COMP218/COMP219) (0.157 COMP216) (0.152 COMP220) (0.142 COMP217)
Calcium channel L-type blocker	0.077	COMP122	
Carbonic anhydrase I inhibitor	0.090	COMP222	(0.084 COMP215/COMP221) (0.070 COMP216) (0.061 COMP218/COMP219/COMP220) (0.050 COMP122)
Carbonic anhydrase II inhibitor	0.071	COMP222	(0.065 COMP215) (0.061 COMP221) (0.053 COMP216) (0.049 COMP218/COMP219)
Carbonic anhydrase inhibitor	0.200	COMP222	(0.192 COMP215) (0.177 COMP221) (0.170 COMP220) (0.164 COMP216) (0.159 COMP218/COMP219) (0.131 COMP217) (0.059 COMP122)
Catalase inhibitor	0.224	COMP122	(0.095 COMP221) (0.088 COMP222) (0.068 COMP215)
Cyclooxygenase 1 inhibitor	0.215	COMP215	(0.209 COMP222) (0.203 COMP218/COMP219) (0.183 COMP216) (0.180 COMP122) (0.173 COMP221) (0.112 COMP220) (0.100 COMP217)
Cyclooxygenase 2 inhibitor	0.224	COMP221	(0.216 COMP215) (0.214 COMP216) (0.205 COMP222) (0.194 COMP218/COMP219) (0.113 COMP220) (0.108 COMP217) (0.106 COMP122)
Cyclooxygenase inhibitor	0.252	COMP215	(0.242 COMP222) (0.240 COMP221) (0.239 COMP216) (0.226 COMP218/COMP219) (0.142 COMP122) (0.129 COMP220) (0.121 COMP217)
Cystathionine beta-synthase inhibitor	0.650	COMP215	(0.636 COMP222) (0.601 COMP218/COMP219) (0.576 COMP122) (0.443 COMP216) (0.434 COMP220) (0.346 COMP221) (0.330 COMP217)
DNA polymerase beta inhibitor	0.459	COMP218/COMP219	(0.435 COMP122) (0.427 COMP216) (0.414 COMP215) (0.402 COMP221) (0.387 COMP222)
DOPA decarboxylase inhibitor	0.267	COMP122	(0.238 COMP215) (0.227 COMP222) (0.192 COMP218/COMP219) (0.164 COMP221) (0.144 COMP216)
Dihydrofolate reductase inhibitor	0.055	COMP122	
Electron transport complex I inhibitor	0.182	COMP216/COMP218/COMP219	(0.151 COMP122) (0.140 COMP215) (0.132 COMP222) (0.130 COMP221) (0.117 COMP217)
Estrogen agonist	0.284	COMP222	(0.180 COMP215) (0.103 COMP218/COMP219) (0.100 COMP220) (0.064 COMP217) (0.052 COMP216)
Fumarate hydratase inhibitor	0.083	COMP122	(0.041 COMP221) (0.037 COMP215/COMP222)
GABA aminotransferase inhibitor	0.204	COMP122	(0.194 COMP222) (0.166 COMP221) (0.160 COMP215) (0.129 COMP220) (0.126 COMP218/COMP219) (0.125 COMP216) (0.097 COMP217)
GRP78 expression inhibitor	0.038	COMP220	(0.034 COMP217) (0.031 COMP122) (0.022 COMP215/COMP221/COMP222)
Glucose-6-phosphate isomerase inhibitor	0.236	COMP220	(0.185 COMP217) (0.108 COMP221) (0.107 COMP215/COMP222) (0.074 COMP216) (0.073 COMP218/COMP219) (0.069 COMP122)
Glutamate dehydrogenase inhibitor	0.205	COMP122	(0.094 COMP222) (0.093 COMP221) (0.092 COMP215)
Heat shock protein 70 antagonist	0.208	COMP122	(0.195 COMP220) (0.192 COMP215) (0.191 COMP222) (0.190 COMP218/COMP219) (0.179 COMP217) (0.174 COMP216) (0.168 COMP221)
Hexokinase inhibitor	0.333	COMP122	(0.312 COMP220) (0.299 COMP217) (0.137 COMP222) (0.121 COMP215)
MAO A inhibitor	0.549	COMP222	(0.542 COMP215) (0.531 COMP218/COMP219) (0.513 COMP216) (0.443 COMP221) (0.137 COMP220) (0.107 COMP217)
MAO inhibitor	0.635	COMP222	(0.619 COMP216) (0.615 COMP215) (0.597 COMP218/COMP219) (0.515 COMP221) (0.132 COMP220) (0.103 COMP217)
NMDA receptor agonist	0.092	COMP122	(0.076 COMP221) (0.058 COMP222)
Na+ K+ transporting ATPase inhibitor	0.167	COMP220	(0.154 COMP217) (0.119 COMP215/COMP222) (0.110 COMP218/COMP219) (0.109 COMP221) (0.103 COMP216) (0.091 COMP122)
Neuropeptide Y1 antagonist	0.122	COMP122	
Ornithine carbamoyltransferase inhibitor	0.080	COMP122	
Peroxidase inhibitor	0.658	COMP222	(0.656 COMP215) (0.637 COMP122) (0.583 COMP218/COMP219) (0.460 COMP221) (0.452 COMP216)
Phenylalanine 4-hydroxylase inhibitor	0.225	COMP122	(0.178 COMP222) (0.165 COMP215) (0.113 COMP221) (0.077 COMP218/COMP219)
Phosphodiesterase 4D inhibitor	0.176	COMP218/COMP219	(0.174 COMP216) (0.143 COMP122) (0.083 COMP217) (0.065 COMP222)
Phosphofructokinase-1 inhibitor	0.438	COMP220	(0.328 COMP217) (0.227 COMP222) (0.220 COMP215) (0.203 COMP221) (0.187 COMP122) (0.134 COMP218/COMP219) (0.126 COMP216)
Phosphoglycerate kinase inhibitor	0.096	COMP122	(0.032 COMP217)
Phospholipase A2 inhibitor	0.241	COMP222	(0.238 COMP122) (0.235 COMP215) (0.206 COMP216) (0.202 COMP218/COMP219) (0.201 COMP221)
Phospholipase C inhibitor	0.271	COMP122	(0.202 COMP222) (0.196 COMP215) (0.167 COMP221) (0.165 COMP220) (0.160 COMP218/COMP219) (0.143 COMP216)
Phosphorylase inhibitor	0.091	COMP220	(0.071 COMP122) (0.058 COMP217)
Prostaglandin F2 alpha agonist	0.020	COMP122	
Pyruvate kinase inhibitor	0.391	COMP122	(0.361 COMP218/COMP219) (0.356 COMP215) (0.344 COMP222) (0.286 COMP216) (0.247 COMP221)
Retinoic acid alpha receptor agonist	0.091	COMP122	
Succinate dehydrogenase inhibitor	0.579	COMP122	(0.341 COMP215) (0.336 COMP218/COMP219) (0.302 COMP222) (0.272 COMP221) (0.263 COMP216)
Superoxide dismutase inhibitor	0.739	COMP122	(0.618 COMP218/COMP219) (0.532 COMP215) (0.499 COMP222) (0.464 COMP216) (0.408 COMP221)
Thyroid hormone agonist	0.026	COMP222	(0.025 COMP215) (0.024 COMP122)
Topoisomerase I inhibitor	0.394	COMP220	(0.368 COMP217) (0.266 COMP215) (0.256 COMP218/COMP219) (0.242 COMP222) (0.232 COMP122) (0.163 COMP216) (0.159 COMP221)
Topoisomerase II alpha inhibitor	0.253	COMP220	(0.250 COMP122) (0.246 COMP215) (0.244 COMP222) (0.243 COMP218/COMP219) (0.232 COMP217) (0.153 COMP216) (0.131 COMP221)
Triose-phosphate isomerase inhibitor	0.330	COMP220	(0.290 COMP122) (0.228 COMP217) (0.155 COMP221) (0.147 COMP222) (0.133 COMP215) (0.093 COMP216) (0.079 COMP218/COMP219)
Tyrosine 3 hydroxylase inhibitor	0.443	COMP222	(0.404 COMP215) (0.377 COMP122) (0.360 COMP221) (0.347 COMP218/COMP219) (0.316 COMP216)
UDP-glucose 4-epimerase inhibitor	0.458	COMP220	(0.376 COMP217) (0.361 COMP122) (0.192 COMP222) (0.180 COMP215) (0.177 COMP221) (0.101 COMP218/COMP219) (0.100 COMP216)
