Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.413	COMP122	(0.255 COMP222) (0.231 COMP215) (0.213 COMP218/COMP219) (0.205 COMP216) (0.187 COMP221)
Carcinogenic	0.867	COMP220	(0.746 COMP217) (0.676 COMP215) (0.662 COMP222) (0.515 COMP218/COMP219) (0.476 COMP221) (0.352 COMP216) (0.323 COMP122)
Carcinogenic. group 1	0.766	COMP217	(0.758 COMP220) (0.696 COMP221) (0.685 COMP222) (0.595 COMP216) (0.593 COMP215) (0.544 COMP218/COMP219) (0.329 COMP122)
Carcinogenic. group 2A	0.675	COMP217	(0.620 COMP220) (0.445 COMP221) (0.328 COMP216) (0.280 COMP215) (0.270 COMP222) (0.263 COMP218/COMP219) (0.185 COMP122)
Carcinogenic. group 2B	0.263	COMP215	(0.245 COMP221) (0.243 COMP222) (0.198 COMP220) (0.185 COMP218/COMP219) (0.180 COMP216) (0.139 COMP122) (0.123 COMP217)
Carcinogenic. group 3	0.785	COMP222	(0.735 COMP221) (0.720 COMP215) (0.466 COMP218/COMP219) (0.465 COMP216) (0.415 COMP220) (0.253 COMP217) (0.241 COMP122)
Cardiodepressant	0.398	COMP122	(0.265 COMP218/COMP219) (0.259 COMP221) (0.249 COMP215) (0.241 COMP222) (0.218 COMP216)
Cytotoxic	0.626	COMP220	(0.604 COMP217) (0.402 COMP215/COMP218/COMP219) (0.399 COMP222) (0.290 COMP216) (0.273 COMP122) (0.268 COMP221)
DNA damaging	0.719	COMP217	(0.709 COMP220) (0.505 COMP218/COMP219) (0.468 COMP215) (0.427 COMP222) (0.421 COMP216) (0.395 COMP221) (0.313 COMP122)
Embryotoxic	0.795	COMP220	(0.710 COMP217) (0.406 COMP215) (0.394 COMP222) (0.376 COMP122) (0.291 COMP218/COMP219) (0.267 COMP221) (0.202 COMP216)
Eye irritation. high	0.312	COMP222	(0.247 COMP215) (0.228 COMP122) (0.227 COMP221) (0.217 COMP220) (0.177 COMP218/COMP219) (0.162 COMP216) (0.159 COMP217)
Genotoxic	0.769	COMP220	(0.673 COMP217) (0.542 COMP122) (0.508 COMP215) (0.486 COMP222) (0.481 COMP218/COMP219) (0.278 COMP216) (0.260 COMP221)
Hypoglycemic	0.751	COMP220	(0.713 COMP217) (0.464 COMP222) (0.457 COMP215) (0.387 COMP216) (0.384 COMP218/COMP219) (0.381 COMP122) (0.331 COMP221)
Mutagenic	0.861	COMP220	(0.762 COMP217) (0.543 COMP215) (0.537 COMP222) (0.434 COMP218/COMP219) (0.370 COMP221) (0.330 COMP122) (0.309 COMP216)
Pneumotoxic	0.474	COMP215	(0.472 COMP122) (0.470 COMP222) (0.457 COMP218/COMP219) (0.417 COMP221) (0.304 COMP216)
Sedative	0.321	COMP217	(0.305 COMP220) (0.224 COMP221) (0.177 COMP216) (0.175 COMP218/COMP219) (0.173 COMP215) (0.143 COMP222) (0.137 COMP122)
Sensitization	0.581	COMP122/COMP220	(0.500 COMP217) (0.456 COMP222) (0.393 COMP215) (0.362 COMP218/COMP219) (0.335 COMP221) (0.317 COMP216)
Skin irritative effect	0.246	COMP122	(0.219 COMP222) (0.184 COMP215) (0.161 COMP221) (0.120 COMP218/COMP219) (0.106 COMP216) (0.086 COMP220)
Teratogen	0.830	COMP220	(0.762 COMP217) (0.456 COMP215) (0.439 COMP222) (0.399 COMP122) (0.342 COMP218/COMP219) (0.298 COMP221) (0.227 COMP216)
Toxic. respiratory center	0.146	COMP122	
Ulceration	0.698	COMP218/COMP219	(0.675 COMP215) (0.669 COMP122) (0.660 COMP216) (0.644 COMP222) (0.632 COMP217) (0.626 COMP220) (0.600 COMP221)
