Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.206	COMP3168	
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.080	COMP3168	
3C-like protease (Human coronavirus) inhibitor	0.172	COMP3168	
5 Hydroxytryptamine 2 agonist	0.051	COMP3168	
5 Hydroxytryptamine 2A agonist	0.077	COMP3168	
5 Hydroxytryptamine 2B agonist	0.039	COMP3168	
5 Hydroxytryptamine 3A agonist	0.099	COMP3168	
5 Hydroxytryptamine 3E antagonist	0.169	COMP3168	
5 Hydroxytryptamine 6 agonist	0.027	COMP3168	
5 Hydroxytryptamine release stimulant	0.234	COMP3168	
5 Hydroxytryptamine uptake stimulant	0.199	COMP3168	
AMP-activated protein kinase stimulant	0.093	COMP3168	
AMPA 1 receptor antagonist	0.025	COMP3168	
AMPA 2 receptor antagonist	0.032	COMP3168	
AMPA 4 receptor antagonist	0.047	COMP3168	
AMPA receptor antagonist	0.071	COMP3168	
Alpha 1L adrenoreceptor agonist	0.058	COMP3168	
Alpha 2 adrenoreceptor agonist	0.091	COMP3168	
Alpha 2a adrenoreceptor antagonist	0.079	COMP3168	
Alpha 2b adrenoreceptor agonist	0.018	COMP3168	
Alpha-N-acetylglucosaminidase inhibitor	0.106	COMP3168	
Aminoacyl-tRNA synthetase inhibitor	0.312	COMP3168	
Amylase inhibitor	0.111	COMP3168	
Antibacterial	0.365	COMP3168	
Apoptosis agonist	0.487	COMP3168	
Aryl hydrocarbon receptor agonist	0.193	COMP3168	
Aryl hydrocarbon receptor antagonist	0.085	COMP3168	
Aurora-C kinase inhibitor	0.314	COMP3168	
Benzodiazepine agonist	0.075	COMP3168	
CDC-like kinase 1 inhibitor	0.443	COMP3168	
CDC-like kinase 2 inhibitor	0.432	COMP3168	
CDC-like kinase 4 inhibitor	0.289	COMP3168	
CDK1/cyclin B inhibitor	0.181	COMP3168	
CDK1/cyclin B1 inhibitor	0.062	COMP3168	
CDK5/p25 inhibitor	0.135	COMP3168	
CF transmembrane conductance regulator antagonist	0.039	COMP3168	
CYP2A6 inhibitor	0.111	COMP3168	
Ca2+-transporting ATPase inhibitor	0.128	COMP3168	
Ca2+/calmodulin-dependent kinase II alpha inhibitor	0.322	COMP3168	
Ca2+/calmodulin-dependent kinase II beta inhibitor	0.162	COMP3168	
Ca2+/calmodulin-dependent protein kinase inhibitor	0.190	COMP3168	
Carbonic anhydrase XI inhibitor	0.014	COMP3168	
Clk dual-specificity kinase inhibitor	0.439	COMP3168	
Complement factor 1 inhibitor	0.019	COMP3168	
Complement factor 1r inhibitor	0.026	COMP3168	
Complement factor 1s inhibitor	0.027	COMP3168	
Corticotropin releasing factor 1 receptor antagonist	0.032	COMP3168	
Cyclin B inhibitor	0.065	COMP3168	
Cyclin B1 inhibitor	0.080	COMP3168	
Cyclin B2 inhibitor	0.055	COMP3168	
Cyclin D1 inhibitor	0.066	COMP3168	
Cyclin T1 inhibitor	0.017	COMP3168	
Cyclin-dependent kinase 1 inhibitor	0.108	COMP3168	
Cyclin-dependent kinase 3 inhibitor	0.154	COMP3168	
Cyclin-dependent kinase 5 inhibitor	0.395	COMP3168	
D-Ala-D-Ala ligase inhibitor	0.093	COMP3168	
DNA gyrase inhibitor	0.108	COMP3168	
DNA topoisomerase III inhibitor	0.009	COMP3168	
Death-associated protein kinase 3 inhibitor	0.172	COMP3168	
Dihydroorotate oxidase inhibitor	0.063	COMP3168	
Dual specificity tyrosine-phosphorylation regulated kinase 1A inhibitor	0.643	COMP3168	
Dual specificity tyrosine-phosphorylation regulated kinase 1B inhibitor	0.331	COMP3168	
Dyrk kinase inhibitor	0.614	COMP3168	
Electrolyte absorption antagonist	0.093	COMP3168	
ErbB-1 antagonist	0.189	COMP3168	
Estrogen-related receptor beta antagonist	0.033	COMP3168	
Factor XII inhibitor	0.094	COMP3168	
Ferrochelatase inhibitor	0.139	COMP3168	
Fructose-1.6-bisphosphatase inhibitor	0.054	COMP3168	
GABA C receptor agonist	0.106	COMP3168	
GABA C receptor rho-3 antagonist	0.327	COMP3168	
