Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.164	COMP27	(0.150 COMP40) (0.053 COMP1246)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.032	COMP1246	(0.015 COMP40) (0.014 COMP2500) (0.013 COMP27)
1.3-Beta-glucan synthase inhibitor	0.036	COMP1246	(0.031 COMP27) (0.030 COMP40) (0.028 COMP474)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.240	COMP492	(0.236 COMP474) (0.165 COMP1966) (0.164 COMP131) (0.117 COMP2502) (0.116 COMP1965) (0.101 COMP1961) (0.094 COMP2499) (0.087 COMP2498) (0.044 COMP152)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.200	COMP2498	(0.156 COMP2499) (0.113 COMP1965) (0.102 COMP1961) (0.098 COMP1966) (0.093 COMP474) (0.083 COMP152) (0.077 COMP492) (0.072 COMP2502) (0.038 COMP131) (0.027 COMP1246)
12-Lipoxygenase inhibitor	0.736	COMP79	(0.729 COMP63) (0.597 COMP2500) (0.436 COMP2501) (0.371 COMP2497) (0.343 COMP27) (0.328 COMP1961) (0.308 COMP40) (0.280 COMP1246) (0.241 COMP1966) (0.210 COMP2499)
15-Lipoxygenase inhibitor	0.731	COMP63	(0.720 COMP79) (0.598 COMP2501) (0.568 COMP2497) (0.491 COMP2500) (0.440 COMP2498) (0.439 COMP27) (0.392 COMP40) (0.341 COMP1246) (0.317 COMP1961) (0.254 COMP1966) (0.236 COMP2499)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.077	COMP141	(0.065 COMP1246) (0.055 COMP6) (0.054 COMP27) (0.050 COMP2502) (0.049 COMP1966) (0.048 COMP40) (0.044 COMP474) (0.042 COMP2498) (0.041 COMP1965) (0.035 COMP152/COMP1961)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.017	COMP152	(0.015 COMP474) (0.013 COMP1966/COMP2502) (0.012 COMP1961)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.139	COMP474	(0.108 COMP1966) (0.095 COMP1961) (0.087 COMP63) (0.083 COMP2499) (0.082 COMP1246/COMP2500) (0.081 COMP152/COMP2502) (0.073 COMP2497) (0.063 COMP131) (0.062 COMP1965) (0.060 COMP2501/COMP492/COMP79) (0.057 COMP6)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.075	COMP1246	(0.069 COMP2500) (0.055 COMP40) (0.051 COMP27) (0.050 COMP63) (0.047 COMP79) (0.045 COMP6)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.323	COMP63	(0.232 COMP79) (0.178 COMP27) (0.162 COMP40) (0.145 COMP2500) (0.141 COMP2497) (0.135 COMP2501) (0.094 COMP1246)
3C-like protease (Human coronavirus) inhibitor	0.198	COMP1246	(0.177 COMP79) (0.175 COMP141) (0.172 COMP63) (0.170 COMP2500) (0.137 COMP6)
5 Hydroxytryptamine 1D agonist	0.031	COMP1246	
5 Hydroxytryptamine 1D antagonist	0.057	COMP1246	
5 Hydroxytryptamine 1E antagonist	0.304	COMP1246	(0.273 COMP63) (0.272 COMP79) (0.270 COMP2500) (0.217 COMP141) (0.176 COMP6)
5 Hydroxytryptamine 1F antagonist	0.084	COMP1246	
5 Hydroxytryptamine 2 agonist	0.048	COMP1246	
5 Hydroxytryptamine 2A agonist	0.095	COMP2500	(0.087 COMP1246)
5 Hydroxytryptamine 2B agonist	0.045	COMP1246	
5 Hydroxytryptamine 3 agonist	0.081	COMP1246	
5 Hydroxytryptamine 3A agonist	0.188	COMP1246	(0.108 COMP6/COMP63) (0.101 COMP131) (0.096 COMP2500)
5 Hydroxytryptamine 3A antagonist	0.063	COMP1246	
5 Hydroxytryptamine 3E antagonist	0.264	COMP1246	(0.224 COMP6) (0.199 COMP131) (0.175 COMP2500/COMP63) (0.172 COMP492) (0.170 COMP141)
5 Hydroxytryptamine 4 agonist	0.028	COMP1246	
5 Hydroxytryptamine 4 antagonist	0.079	COMP1246	
5 Hydroxytryptamine 5 antagonist	0.054	COMP1246	
5 Hydroxytryptamine 5A antagonist	0.061	COMP1246	
5 Hydroxytryptamine 6 agonist	0.026	COMP1246	
5 Hydroxytryptamine 7 agonist	0.075	COMP1246	(0.057 COMP2500)
5 Hydroxytryptamine release inhibitor	0.682	COMP63	(0.648 COMP79) (0.644 COMP1246) (0.527 COMP40) (0.496 COMP2500) (0.492 COMP27) (0.400 COMP131) (0.390 COMP2497) (0.382 COMP2501) (0.364 COMP6) (0.295 COMP492) (0.291 COMP474)
5 Hydroxytryptamine release stimulant	0.795	COMP1246	(0.549 COMP40) (0.529 COMP2500) (0.527 COMP474) (0.495 COMP131/COMP27) (0.482 COMP63) (0.445 COMP79) (0.380 COMP492) (0.354 COMP6) (0.315 COMP2501) (0.301 COMP1966/COMP2498) (0.291 COMP141) (0.271 COMP152) (0.250 COMP2497) (0.189 COMP1961) (0.184 COMP1965) (0.166 COMP2502) (0.163 COMP2499)
5 Hydroxytryptamine uptake stimulant	0.575	COMP1246	(0.548 COMP2501) (0.534 COMP40) (0.507 COMP141/COMP27) (0.455 COMP2497) (0.442 COMP63) (0.427 COMP79) (0.384 COMP6) (0.370 COMP2500) (0.354 COMP131) (0.334 COMP474) (0.291 COMP492) (0.264 COMP152) (0.260 COMP2502) (0.243 COMP1961) (0.229 COMP1966) (0.215 COMP2499) (0.201 COMP1965)
5-Alpha-reductase 1 inhibitor	0.163	COMP2502	(0.108 COMP1966) (0.070 COMP2498) (0.068 COMP1961) (0.054 COMP141) (0.052 COMP40) (0.040 COMP6) (0.035 COMP474) (0.029 COMP27) (0.028 COMP1246) (0.027 COMP152) (0.026 COMP2499) (0.021 COMP131) (0.015 COMP492)
5-Alpha-reductase 2 inhibitor	0.174	COMP2502	(0.114 COMP1966) (0.098 COMP1961) (0.079 COMP2498) (0.063 COMP474) (0.059 COMP40) (0.048 COMP2499) (0.039 COMP152) (0.036 COMP27) (0.029 COMP1246) (0.024 COMP131/COMP492) (0.022 COMP141) (0.021 COMP1965) (0.019 COMP6)
