Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.601	COMP1246	(0.472 COMP40) (0.466 COMP6) (0.420 COMP27) (0.399 COMP131) (0.369 COMP141) (0.277 COMP2500) (0.248 COMP63) (0.244 COMP474) (0.239 COMP2501) (0.224 COMP2498) (0.203 COMP79) (0.169 COMP2497) (0.166 COMP492) (0.155 COMP1961) (0.147 COMP1966) (0.131 COMP1965) (0.117 COMP2499)
Acetylcholine release stimulant	0.201	COMP1246	(0.140 COMP2500) (0.125 COMP131) (0.124 COMP40) (0.114 COMP79) (0.112 COMP27) (0.105 COMP1966) (0.100 COMP492) (0.099 COMP63)
Actinic keratosis treatment	0.284	COMP141	(0.269 COMP2498) (0.268 COMP1965) (0.248 COMP2502) (0.240 COMP40) (0.231 COMP131) (0.229 COMP492) (0.225 COMP2499) (0.221 COMP27) (0.217 COMP1966/COMP474) (0.210 COMP152) (0.197 COMP1961) (0.184 COMP1246) (0.161 COMP63) (0.160 COMP6) (0.158 COMP2497) (0.120 COMP2500/COMP2501) (0.113 COMP79)
Acute neurologic disorders treatment	0.377	COMP40	(0.341 COMP6) (0.339 COMP27) (0.290 COMP492) (0.272 COMP1966) (0.262 COMP131) (0.258 COMP1965) (0.240 COMP474) (0.195 COMP1246) (0.165 COMP2502)
Acute respiratory distress syndrome (ARDS) treatment	0.303	COMP27	(0.264 COMP1965) (0.243 COMP40) (0.181 COMP1961) (0.168 COMP1966) (0.130 COMP2499) (0.126 COMP1246)
Age-related macular degeneration treatment	0.193	COMP2500	(0.185 COMP40) (0.174 COMP474) (0.169 COMP1966) (0.163 COMP27)
Allergic rhinitis treatment	0.265	COMP40	(0.161 COMP27)
Alzheimer's disease treatment	0.623	COMP152	(0.476 COMP2501) (0.440 COMP63) (0.425 COMP6) (0.408 COMP2497) (0.392 COMP79) (0.309 COMP2500) (0.308 COMP141) (0.260 COMP1966) (0.237 COMP1965)
Amyotrophic lateral sclerosis treatment	0.224	COMP1246	(0.216 COMP474) (0.194 COMP141) (0.190 COMP27) (0.184 COMP1966) (0.179 COMP1961) (0.175 COMP40)
Anabolic	0.211	COMP474	(0.198 COMP2502) (0.192 COMP27) (0.187 COMP40) (0.186 COMP152/COMP492) (0.176 COMP1246/COMP2498) (0.165 COMP1965) (0.163 COMP141/COMP1966) (0.159 COMP1961) (0.156 COMP131) (0.153 COMP2499) (0.151 COMP6) (0.145 COMP63) (0.141 COMP2497/COMP2500) (0.124 COMP2501) (0.118 COMP79)
Analeptic	0.862	COMP474	(0.648 COMP492) (0.616 COMP40) (0.583 COMP2502) (0.569 COMP2497) (0.559 COMP27) (0.546 COMP141) (0.537 COMP131) (0.479 COMP1246) (0.441 COMP6) (0.431 COMP1965) (0.428 COMP2501) (0.403 COMP1961) (0.400 COMP152) (0.395 COMP2499) (0.366 COMP1966) (0.346 COMP2498) (0.326 COMP2500) (0.318 COMP63) (0.248 COMP79)
Analgesic	0.309	COMP141	(0.308 COMP1966) (0.288 COMP1965/COMP2502) (0.266 COMP474) (0.255 COMP492) (0.228 COMP131)
Analgesic. opioid	0.075	COMP2497/COMP2501	
Andropause treatment	0.077	COMP474	
Anesthetic	0.518	COMP2498	(0.450 COMP1965) (0.401 COMP1966) (0.347 COMP2502) (0.341 COMP474) (0.328 COMP1961) (0.297 COMP131) (0.288 COMP1246) (0.283 COMP2499/COMP40) (0.235 COMP27) (0.230 COMP492) (0.198 COMP152) (0.142 COMP2500) (0.129 COMP141) (0.109 COMP6) (0.105 COMP2497)
Anesthetic general	0.508	COMP1246	(0.502 COMP40) (0.497 COMP474) (0.459 COMP1966) (0.458 COMP1965) (0.456 COMP27) (0.420 COMP2502) (0.418 COMP2498) (0.371 COMP1961) (0.332 COMP2499) (0.296 COMP2500) (0.250 COMP152) (0.160 COMP141) (0.158 COMP63) (0.155 COMP79) (0.152 COMP131) (0.145 COMP6) (0.141 COMP2501) (0.140 COMP492)
Anesthetic inhalation	0.409	COMP1246	(0.191 COMP474) (0.130 COMP152) (0.104 COMP492) (0.101 COMP141/COMP6) (0.095 COMP40) (0.087 COMP27) (0.079 COMP131) (0.071 COMP2500) (0.059 COMP2498) (0.058 COMP1965) (0.057 COMP1966/COMP2502) (0.053 COMP63) (0.052 COMP79)
Anesthetic local	0.277	COMP1246	(0.249 COMP131) (0.224 COMP2498) (0.186 COMP492) (0.161 COMP1966/COMP40) (0.148 COMP1965) (0.147 COMP474) (0.136 COMP2500) (0.132 COMP27) (0.126 COMP1961) (0.124 COMP2502) (0.111 COMP6) (0.107 COMP141) (0.096 COMP2499)
Angiogenesis inhibitor	0.340	COMP2500	(0.241 COMP79) (0.200 COMP152) (0.195 COMP63)
Angiogenesis stimulant	0.736	COMP27	(0.615 COMP40) (0.541 COMP141) (0.467 COMP492) (0.436 COMP131) (0.384 COMP1246) (0.350 COMP63) (0.330 COMP6) (0.324 COMP474) (0.317 COMP79) (0.300 COMP2500) (0.280 COMP1965) (0.274 COMP2499) (0.246 COMP2497) (0.234 COMP2498) (0.229 COMP2501/COMP2502) (0.214 COMP1966) (0.201 COMP152) (0.181 COMP1961)
Antiacne	0.631	COMP152	(0.586 COMP492) (0.536 COMP2502) (0.495 COMP474) (0.482 COMP131) (0.467 COMP141/COMP6) (0.461 COMP1966) (0.449 COMP2498) (0.440 COMP1961) (0.427 COMP1965) (0.407 COMP2499) (0.347 COMP40) (0.342 COMP27) (0.276 COMP1246) (0.110 COMP2500)
Antialcoholic	0.569	COMP492	(0.469 COMP152) (0.430 COMP141) (0.399 COMP2502) (0.325 COMP6) (0.305 COMP131) (0.303 COMP474) (0.287 COMP1246) (0.255 COMP1966) (0.227 COMP63) (0.216 COMP40) (0.189 COMP1965/COMP79) (0.180 COMP27) (0.156 COMP2497/COMP2500) (0.153 COMP2498)
Antiallergic	0.633	COMP27	(0.630 COMP40) (0.318 COMP1246)
Antiamyloidogenic	0.577	COMP2501	(0.568 COMP2497) (0.540 COMP79) (0.514 COMP2500) (0.495 COMP63) (0.224 COMP27) (0.214 COMP1246) (0.198 COMP40)
Antianemic	0.253	COMP27	(0.244 COMP40) (0.154 COMP1246) (0.119 COMP63) (0.116 COMP2500)
Antianginal	0.195	COMP1246	(0.131 COMP2500) (0.129 COMP40)
Antianorexic	0.340	COMP141	(0.305 COMP1246) (0.234 COMP6) (0.187 COMP40) (0.140 COMP27) (0.125 COMP79) (0.123 COMP2500) (0.117 COMP1966) (0.112 COMP63)
Antiarrhythmic	0.231	COMP1246	(0.135 COMP27)
Antiarthritic	0.528	COMP27	(0.506 COMP40) (0.453 COMP492) (0.305 COMP131) (0.289 COMP1246) (0.262 COMP2499) (0.254 COMP1961) (0.251 COMP1966)
Antiasthmatic	0.350	COMP27	(0.315 COMP40)
Antibacterial	0.560	COMP2497	(0.544 COMP2501) (0.479 COMP474) (0.477 COMP63) (0.464 COMP152) (0.452 COMP6) (0.443 COMP27/COMP492) (0.441 COMP40) (0.434 COMP79) (0.409 COMP141) (0.385 COMP131/COMP1965) (0.371 COMP1246) (0.349 COMP2500) (0.326 COMP2499) (0.304 COMP1961) (0.296 COMP2502) (0.251 COMP2498) (0.217 COMP1966)
Antibiotic	0.119	COMP6	(0.113 COMP2497) (0.108 COMP40) (0.107 COMP27) (0.106 COMP141) (0.099 COMP2501) (0.084 COMP1246/COMP63) (0.081 COMP474) (0.075 COMP492) (0.069 COMP79)
Antibiotic Aminoglycoside-like	0.035	COMP2497	
Antibiotic Anthracycline-like	0.023	COMP1246/COMP2500/COMP79	(0.022 COMP63) (0.019 COMP2497) (0.018 COMP6)
Antibiotic Glycopeptide-like	0.082	COMP63	(0.048 COMP79) (0.045 COMP1246)
Antibiotic Quinolone-like	0.019	COMP1246/COMP492	
Antibiotic Tetracycline-like	0.017	COMP63	(0.015 COMP79)
Anticataract	0.192	COMP1966	(0.179 COMP1246) (0.174 COMP63) (0.158 COMP474) (0.151 COMP40) (0.133 COMP1965) (0.116 COMP27) (0.112 COMP79) (0.095 COMP2499) (0.091 COMP2502)
