Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.581	COMP1762/COMP1771/COMP863	(0.580 COMP141/COMP264/COMP547) (0.481 COMP1240/COMP1247/COMP295) (0.474 COMP297) (0.340 COMP1184) (0.315 COMP2791) (0.275 COMP2839) (0.246 COMP1241) (0.240 COMP111) (0.187 COMP2837) (0.176 COMP4) (0.161 COMP101/COMP2834) (0.156 COMP2835) (0.146 COMP1244/COMP2822/COMP2836) (0.143 COMP312) (0.137 COMP774) (0.133 COMP309) (0.132 COMP505) (0.131 COMP616)
Aldehyde dehydrogenase substrate	0.351	COMP141/COMP264/COMP547	(0.314 COMP1240/COMP1247/COMP295) (0.309 COMP297) (0.246 COMP2791) (0.232 COMP1762/COMP1771/COMP863) (0.207 COMP1241) (0.172 COMP101) (0.162 COMP1184) (0.149 COMP1525) (0.147 COMP2837) (0.145 COMP2840) (0.144 COMP2836) (0.137 COMP2822) (0.122 COMP1244) (0.118 COMP774) (0.117 COMP2835) (0.116 COMP2838) (0.111 COMP505) (0.105 COMP215)
Aldehyde oxidase substrate	0.338	COMP1762/COMP1771/COMP863	(0.250 COMP101) (0.216 COMP505) (0.193 COMP215) (0.176 COMP616) (0.157 COMP222) (0.142 COMP1244) (0.141 COMP111) (0.137 COMP1241)
Aldose reductase substrate	0.947	COMP1762/COMP1771	(0.826 COMP863) (0.793 COMP2822) (0.754 COMP2837) (0.738 COMP2836) (0.670 COMP2791) (0.532 COMP309) (0.522 COMP1184) (0.399 COMP2835) (0.354 COMP1525) (0.333 COMP2840) (0.326 COMP692) (0.292 COMP2838) (0.267 COMP774) (0.150 COMP222) (0.138 COMP215)
Arylamine N-Acetyltransferase substrate	0.273	COMP863	(0.248 COMP692) (0.198 COMP1762/COMP1771) (0.171 COMP222) (0.151 COMP215) (0.125 COMP2837) (0.123 COMP505) (0.121 COMP101) (0.078 COMP2836)
CYP1A2 inhibitor	0.886	COMP289	(0.637 COMP2839) (0.613 COMP215) (0.610 COMP222) (0.530 COMP2834) (0.478 COMP4) (0.413 COMP101) (0.401 COMP111) (0.345 COMP312) (0.294 COMP692) (0.215 COMP505) (0.174 COMP616)
CYP1A2 substrate	0.818	COMP222	(0.798 COMP215) (0.792 COMP4) (0.710 COMP111) (0.707 COMP101) (0.602 COMP312) (0.557 COMP863) (0.524 COMP2835) (0.523 COMP2834) (0.476 COMP692) (0.475 COMP2839) (0.447 COMP505) (0.446 COMP289) (0.445 COMP1762/COMP1771) (0.410 COMP616) (0.402 COMP1184) (0.343 COMP297) (0.304 COMP2838) (0.266 COMP1240/COMP1247/COMP295) (0.264 COMP774) (0.238 COMP2837) (0.235 COMP141/COMP264/COMP547) (0.225 COMP2791) (0.218 COMP2836) (0.202 COMP2822) (0.195 COMP1241) (0.193 COMP1244) (0.187 COMP1525)
CYP24 inhibitor	0.089	COMP1244	(0.048 COMP297) (0.034 COMP616) (0.025 COMP141/COMP264/COMP547) (0.023 COMP1241)
CYP2A6 inhibitor	0.604	COMP289	(0.411 COMP2839) (0.284 COMP222) (0.255 COMP215) (0.252 COMP141/COMP264/COMP547) (0.229 COMP1240/COMP1247/COMP295) (0.215 COMP111) (0.192 COMP4) (0.161 COMP312) (0.151 COMP616) (0.129 COMP297) (0.119 COMP1241/COMP2834) (0.093 COMP101) (0.089 COMP505) (0.079 COMP1244) (0.068 COMP1762/COMP1771/COMP863)
CYP2B6 inhibitor	0.660	COMP2839	(0.583 COMP289) (0.450 COMP222) (0.443 COMP215) (0.349 COMP141/COMP264/COMP547) (0.330 COMP101) (0.310 COMP111) (0.298 COMP616) (0.285 COMP505) (0.269 COMP1244) (0.265 COMP1762/COMP1771/COMP863) (0.255 COMP4) (0.232 COMP312) (0.229 COMP1240/COMP1247/COMP295) (0.206 COMP297) (0.204 COMP2834) (0.168 COMP1241)
