Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.631	COMP505	(0.604 COMP1241) (0.592 COMP616) (0.469 COMP2791) (0.411 COMP297) (0.369 COMP141/COMP264/COMP547) (0.364 COMP222) (0.340 COMP1762/COMP1771/COMP863) (0.333 COMP2837) (0.325 COMP1244) (0.324 COMP215/COMP2835) (0.308 COMP2822) (0.282 COMP111) (0.280 COMP2836) (0.255 COMP1240/COMP1247/COMP295) (0.199 COMP4) (0.177 COMP774) (0.152 COMP2834) (0.146 COMP101/COMP312) (0.126 COMP309) (0.123 COMP2839)
Acetylcholine release stimulant	0.120	COMP1762/COMP1771/COMP863	(0.119 COMP101) (0.116 COMP616) (0.113 COMP505) (0.104 COMP2791) (0.101 COMP2837)
Actinic keratosis treatment	0.393	COMP297	(0.286 COMP2838) (0.284 COMP141/COMP264/COMP547) (0.244 COMP2840) (0.241 COMP1240/COMP1247/COMP295) (0.225 COMP2835) (0.218 COMP1525) (0.212 COMP505) (0.202 COMP616) (0.200 COMP1241) (0.159 COMP2791) (0.157 COMP1244) (0.154 COMP2837) (0.142 COMP774) (0.140 COMP215) (0.139 COMP222) (0.133 COMP1762/COMP1771/COMP863) (0.105 COMP2836) (0.103 COMP2822) (0.091 COMP692)
Acute neurologic disorders treatment	0.391	COMP1762/COMP1771	(0.200 COMP863) (0.199 COMP2791) (0.181 COMP2822) (0.168 COMP2836)
Acute respiratory distress syndrome (ARDS) treatment	0.464	COMP2791	(0.461 COMP2837) (0.437 COMP2822) (0.410 COMP2836) (0.311 COMP1184) (0.290 COMP1762/COMP1771) (0.289 COMP692) (0.280 COMP1525) (0.256 COMP309) (0.239 COMP2840) (0.233 COMP774) (0.232 COMP2835) (0.160 COMP863) (0.138 COMP2838) (0.131 COMP505)
Age-related macular degeneration treatment	0.207	COMP505	(0.197 COMP616)
Allergic rhinitis treatment	0.184	COMP863	
Alzheimer's disease treatment	0.534	COMP692	(0.486 COMP2839) (0.475 COMP215) (0.393 COMP222) (0.388 COMP774) (0.385 COMP1241) (0.364 COMP2791) (0.361 COMP2836) (0.357 COMP2822) (0.352 COMP1184) (0.340 COMP309) (0.308 COMP141/COMP264/COMP547) (0.289 COMP2837)
Amyotrophic lateral sclerosis treatment	0.194	COMP141/COMP264/COMP547	(0.182 COMP616)
Anabolic	0.177	COMP2835	(0.176 COMP1240/COMP1247/COMP295) (0.170 COMP297) (0.163 COMP141/COMP264/COMP547) (0.157 COMP616) (0.156 COMP505) (0.155 COMP774) (0.151 COMP1244) (0.150 COMP1762/COMP1771/COMP863) (0.149 COMP1525) (0.142 COMP222) (0.141 COMP101) (0.140 COMP215) (0.136 COMP2791) (0.128 COMP2840) (0.125 COMP111) (0.122 COMP1241) (0.114 COMP2837) (0.113 COMP2836) (0.107 COMP2838/COMP2839) (0.103 COMP2822) (0.096 COMP4) (0.091 COMP312)
