Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.454	COMP1240/COMP1247/COMP295	(0.422 COMP1762/COMP1771/COMP863) (0.409 COMP2839) (0.408 COMP111) (0.405 COMP141/COMP264/COMP547) (0.400 COMP297) (0.364 COMP4) (0.361 COMP1244) (0.329 COMP2834) (0.320 COMP101) (0.295 COMP774) (0.286 COMP2835) (0.284 COMP312) (0.277 COMP616) (0.274 COMP505) (0.255 COMP222) (0.238 COMP2791) (0.231 COMP215) (0.224 COMP1184) (0.190 COMP1241) (0.188 COMP2836) (0.169 COMP2822) (0.162 COMP2837) (0.156 COMP289)
Carcinogenic	0.895	COMP692	(0.813 COMP2839) (0.789 COMP774) (0.759 COMP297) (0.744 COMP1240/COMP1247/COMP295) (0.692 COMP2791) (0.680 COMP2835) (0.676 COMP215) (0.671 COMP141/COMP264/COMP547) (0.662 COMP222) (0.661 COMP2837) (0.658 COMP2836) (0.652 COMP1184) (0.637 COMP1762/COMP1771) (0.611 COMP2822) (0.589 COMP863) (0.505 COMP111) (0.504 COMP101) (0.502 COMP309) (0.477 COMP289) (0.462 COMP1241) (0.451 COMP4) (0.421 COMP505) (0.379 COMP1244) (0.366 COMP2838) (0.364 COMP1525) (0.357 COMP2834) (0.349 COMP312) (0.300 COMP2840) (0.248 COMP616)
Carcinogenic. group 1	0.685	COMP222	(0.667 COMP289) (0.593 COMP215) (0.586 COMP1762/COMP1771) (0.578 COMP2822) (0.568 COMP2837) (0.557 COMP2836) (0.507 COMP2791) (0.472 COMP863) (0.456 COMP111) (0.403 COMP2835) (0.357 COMP4) (0.319 COMP2834) (0.317 COMP101) (0.315 COMP1184) (0.293 COMP312) (0.242 COMP616) (0.241 COMP2839) (0.240 COMP309) (0.235 COMP505) (0.221 COMP692) (0.218 COMP1244) (0.195 COMP141/COMP264/COMP547) (0.193 COMP1241) (0.183 COMP297) (0.161 COMP1240/COMP1247/COMP295) (0.133 COMP1525)
Carcinogenic. group 2A	0.849	COMP289	(0.612 COMP2822) (0.549 COMP2837) (0.380 COMP2836) (0.330 COMP1184) (0.320 COMP111) (0.302 COMP2835) (0.287 COMP2791) (0.280 COMP215) (0.270 COMP222) (0.256 COMP1525) (0.252 COMP1762/COMP1771/COMP863) (0.242 COMP2834/COMP4) (0.236 COMP312) (0.226 COMP309) (0.217 COMP2840) (0.198 COMP101) (0.144 COMP616) (0.116 COMP505) (0.106 COMP141/COMP264/COMP2839/COMP547) (0.105 COMP297) (0.098 COMP2838) (0.090 COMP1241) (0.088 COMP1244) (0.085 COMP1240/COMP1247/COMP295)
Carcinogenic. group 2B	0.702	COMP111	(0.492 COMP101) (0.408 COMP4) (0.336 COMP2834) (0.318 COMP2822) (0.316 COMP2835) (0.297 COMP2836) (0.294 COMP1525) (0.282 COMP1240/COMP1247/COMP295) (0.275 COMP312) (0.272 COMP1762/COMP1771/COMP863) (0.263 COMP215) (0.254 COMP2837) (0.252 COMP2838) (0.243 COMP222) (0.240 COMP2840) (0.197 COMP2791) (0.186 COMP505) (0.183 COMP289) (0.165 COMP309) (0.148 COMP1184) (0.145 COMP141/COMP264/COMP547) (0.136 COMP774) (0.130 COMP616) (0.129 COMP1241) (0.125 COMP297) (0.114 COMP1244/COMP692)
Carcinogenic. group 3	0.785	COMP222	(0.772 COMP141/COMP264/COMP547) (0.722 COMP297) (0.720 COMP215) (0.674 COMP1240/COMP1247/COMP295) (0.627 COMP289) (0.517 COMP111) (0.359 COMP101) (0.358 COMP2835) (0.306 COMP1762/COMP1771/COMP692/COMP863) (0.301 COMP505) (0.295 COMP1241) (0.260 COMP2837) (0.248 COMP4) (0.244 COMP616) (0.237 COMP2836) (0.227 COMP774) (0.217 COMP2839) (0.216 COMP2822) (0.194 COMP2834) (0.193 COMP309) (0.163 COMP312) (0.152 COMP1244) (0.141 COMP2791) (0.136 COMP1184)
Cardiodepressant	0.767	COMP312	(0.734 COMP4) (0.697 COMP2834) (0.656 COMP111) (0.626 COMP101) (0.459 COMP1762/COMP1771/COMP863) (0.385 COMP505) (0.347 COMP2835) (0.249 COMP1525/COMP215) (0.241 COMP222) (0.205 COMP774) (0.200 COMP616) (0.197 COMP2840) (0.189 COMP2836) (0.179 COMP2822) (0.162 COMP289) (0.139 COMP2837) (0.138 COMP2791)
Cytotoxic	0.664	COMP2838	(0.654 COMP2840) (0.645 COMP1525) (0.606 COMP2791) (0.597 COMP692) (0.581 COMP2835) (0.570 COMP2836) (0.556 COMP2837) (0.546 COMP2822) (0.518 COMP1184) (0.489 COMP309) (0.482 COMP297) (0.480 COMP774) (0.402 COMP215) (0.399 COMP222) (0.384 COMP101) (0.361 COMP2839) (0.356 COMP1244) (0.354 COMP1240/COMP1247/COMP295) (0.322 COMP141/COMP264/COMP547/COMP863) (0.315 COMP505) (0.275 COMP1241) (0.265 COMP1762/COMP1771) (0.263 COMP616) (0.224 COMP111) (0.208 COMP2834/COMP289) (0.190 COMP4) (0.166 COMP312)
DNA damaging	0.703	COMP1184	(0.649 COMP692) (0.595 COMP2836) (0.588 COMP2822) (0.558 COMP2837) (0.544 COMP2838) (0.530 COMP1525) (0.506 COMP2791) (0.468 COMP215) (0.467 COMP2840) (0.452 COMP2835) (0.427 COMP222) (0.411 COMP309) (0.352 COMP289) (0.339 COMP1241/COMP4) (0.330 COMP2834) (0.319 COMP1244) (0.307 COMP774) (0.297 COMP111) (0.290 COMP616) (0.288 COMP101) (0.278 COMP312) (0.235 COMP1762/COMP1771/COMP863) (0.229 COMP2839/COMP505)
Embryotoxic	0.806	COMP774	(0.755 COMP2791/COMP2837) (0.749 COMP2835) (0.740 COMP309) (0.733 COMP2836) (0.732 COMP297) (0.729 COMP1525) (0.714 COMP2822) (0.698 COMP692) (0.689 COMP2838) (0.684 COMP1184) (0.681 COMP1240/COMP1247/COMP295) (0.666 COMP2840) (0.650 COMP141/COMP264/COMP547) (0.610 COMP1762/COMP1771) (0.568 COMP863) (0.533 COMP2839) (0.406 COMP215) (0.394 COMP222) (0.384 COMP101) (0.381 COMP505) (0.272 COMP111) (0.245 COMP616) (0.240 COMP1244) (0.238 COMP1241) (0.214 COMP4) (0.166 COMP312)
Eye irritation. high	0.781	COMP863	(0.699 COMP2835) (0.680 COMP1762/COMP1771) (0.537 COMP2791) (0.532 COMP505) (0.362 COMP1241) (0.353 COMP616) (0.333 COMP141/COMP264/COMP547) (0.327 COMP2836) (0.323 COMP297) (0.312 COMP222) (0.294 COMP2837/COMP2839) (0.288 COMP1244/COMP2822) (0.287 COMP101) (0.248 COMP1240/COMP1247/COMP295) (0.247 COMP215) (0.243 COMP1184) (0.235 COMP2838) (0.227 COMP111) (0.187 COMP774) (0.168 COMP2840) (0.153 COMP312) (0.146 COMP309) (0.144 COMP1525/COMP4) (0.132 COMP2834)
Genotoxic	0.974	COMP692	(0.841 COMP101) (0.797 COMP2836) (0.743 COMP111) (0.700 COMP2822) (0.697 COMP309) (0.685 COMP2837) (0.661 COMP4) (0.641 COMP2791) (0.603 COMP1184) (0.508 COMP215) (0.486 COMP222) (0.458 COMP2834/COMP863) (0.446 COMP312) (0.408 COMP2839) (0.341 COMP1762/COMP1771) (0.282 COMP2835) (0.279 COMP774) (0.249 COMP505) (0.175 COMP616) (0.172 COMP2838) (0.171 COMP2840) (0.148 COMP1244/COMP297) (0.136 COMP141/COMP264/COMP289/COMP547) (0.128 COMP1525) (0.127 COMP1241) (0.125 COMP1240/COMP1247/COMP295)
Hypoglycemic	0.808	COMP2837	(0.807 COMP1762/COMP1771) (0.793 COMP692) (0.790 COMP2822) (0.778 COMP2836) (0.743 COMP2791) (0.731 COMP1184) (0.678 COMP309) (0.613 COMP863) (0.569 COMP2839) (0.549 COMP2835) (0.464 COMP222) (0.457 COMP215) (0.381 COMP774) (0.373 COMP505) (0.333 COMP101) (0.293 COMP312) (0.276 COMP111) (0.249 COMP2834) (0.246 COMP289) (0.241 COMP4) (0.235 COMP1525) (0.224 COMP297) (0.212 COMP2840) (0.180 COMP141/COMP264/COMP547) (0.162 COMP1240/COMP1247/COMP295)
Mutagenic	0.935	COMP692	(0.756 COMP2837) (0.753 COMP1184) (0.742 COMP2791) (0.740 COMP774) (0.717 COMP309) (0.704 COMP2836) (0.671 COMP2822) (0.596 COMP2835) (0.552 COMP1762/COMP1771) (0.543 COMP215) (0.539 COMP1240/COMP1247/COMP295) (0.537 COMP222) (0.525 COMP863) (0.514 COMP297) (0.480 COMP2839) (0.451 COMP141/COMP264/COMP547) (0.450 COMP2838) (0.425 COMP2840) (0.419 COMP289) (0.407 COMP101) (0.404 COMP312) (0.399 COMP1525) (0.351 COMP505) (0.345 COMP616) (0.337 COMP111) (0.334 COMP4) (0.253 COMP2834) (0.212 COMP1241) (0.139 COMP1244)
Pneumotoxic	0.565	COMP1240/COMP1247/COMP295	(0.523 COMP101) (0.521 COMP141/COMP264/COMP547) (0.506 COMP505) (0.488 COMP1244) (0.474 COMP215) (0.470 COMP222) (0.420 COMP297) (0.414 COMP616) (0.375 COMP1762/COMP1771/COMP863) (0.349 COMP1241) (0.297 COMP289) (0.260 COMP774) (0.252 COMP111) (0.226 COMP2835/COMP4) (0.225 COMP312) (0.191 COMP2834) (0.165 COMP2836) (0.150 COMP2837)
Sedative	0.598	COMP141/COMP264/COMP547	(0.516 COMP312) (0.490 COMP1240/COMP1247/COMP295) (0.452 COMP4) (0.390 COMP111) (0.389 COMP2837) (0.384 COMP101/COMP2822) (0.350 COMP2791) (0.317 COMP297) (0.305 COMP616) (0.304 COMP289) (0.298 COMP2836) (0.295 COMP2834) (0.243 COMP1762/COMP1771) (0.238 COMP1241) (0.231 COMP863) (0.217 COMP505) (0.207 COMP1184) (0.205 COMP309) (0.201 COMP1525) (0.173 COMP215) (0.157 COMP1244) (0.151 COMP2840) (0.147 COMP692) (0.143 COMP222)
Sensitization	0.868	COMP774	(0.837 COMP2835) (0.791 COMP1184) (0.739 COMP2837) (0.714 COMP297) (0.680 COMP2836) (0.672 COMP2838) (0.640 COMP2840) (0.634 COMP111/COMP616) (0.617 COMP4) (0.614 COMP101) (0.612 COMP1525) (0.608 COMP141/COMP264/COMP547) (0.605 COMP505) (0.603 COMP2822) (0.601 COMP2791) (0.579 COMP312) (0.571 COMP2834) (0.555 COMP1762/COMP1771/COMP863) (0.508 COMP692) (0.483 COMP1244) (0.476 COMP1241) (0.456 COMP222) (0.403 COMP1240/COMP1247/COMP295) (0.393 COMP215) (0.324 COMP309) (0.314 COMP2839)
Skin irritative effect	0.795	COMP297	(0.734 COMP141/COMP264/COMP547) (0.704 COMP863) (0.679 COMP1241) (0.610 COMP505) (0.609 COMP1240/COMP1247/COMP295) (0.599 COMP1762/COMP1771) (0.584 COMP616) (0.546 COMP2839) (0.474 COMP1244) (0.452 COMP101) (0.410 COMP111) (0.382 COMP2791) (0.329 COMP4) (0.318 COMP312) (0.304 COMP2835) (0.267 COMP774) (0.238 COMP2834) (0.219 COMP222) (0.184 COMP215) (0.158 COMP2836) (0.147 COMP2837) (0.145 COMP2822) (0.118 COMP1184)
Teratogen	0.834	COMP774	(0.770 COMP1525/COMP2837) (0.769 COMP2791) (0.764 COMP2835) (0.750 COMP692) (0.748 COMP2836) (0.742 COMP2838) (0.737 COMP309) (0.732 COMP2822) (0.722 COMP1184) (0.721 COMP297) (0.716 COMP2840) (0.691 COMP1240/COMP1247/COMP295) (0.668 COMP141/COMP264/COMP547) (0.614 COMP1762/COMP1771) (0.574 COMP863) (0.456 COMP215) (0.454 COMP2839) (0.439 COMP222) (0.401 COMP101) (0.355 COMP505) (0.267 COMP111) (0.257 COMP1244) (0.248 COMP616) (0.247 COMP1241) (0.209 COMP4) (0.163 COMP312)
Toxic. respiratory center	0.149	COMP101	(0.142 COMP616)
