Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.174	COMP9	
AR expression inhibitor	0.461	COMP1356	(0.222 COMP9)
CTGF expression inhibitor	0.596	COMP1356	(0.436 COMP9)
GRP78 expression inhibitor	0.022	COMP9	
ICAM1 expression inhibitor	0.419	COMP1356	(0.360 COMP9)
LDLR expression enhancer	0.271	COMP1356	(0.223 COMP9)
NOS2 expression inhibitor	0.556	COMP1356	(0.358 COMP9)
NOS3 expression enhancer	0.172	COMP1356	(0.129 COMP9)
NOS3 expression inhibitor	0.416	COMP1356	(0.344 COMP9)
TNF expression inhibitor	0.651	COMP1356	(0.469 COMP9)
VCAM1 expression inhibitor	0.433	COMP1356	(0.264 COMP9)
VEGF expression inhibitor	0.302	COMP1356	(0.279 COMP9)
VEGFR2 expression inhibitor	0.115	COMP9	
