Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.294 COMP259) (0.221 COMP258) (0.169 COMP12) (0.163 COMP266) (0.159 COMP62) (0.139 COMP19) (0.131 COMP272) (0.128 COMP256/COMP271) (0.124 COMP255) (0.121 COMP240) (0.117 COMP43) (0.116 COMP257) (0.115 COMP241/COMP245) (0.108 COMP246) (0.107 COMP261/COMP263) (0.106 COMP252/COMP267) (0.104 COMP250) (0.103 COMP262) (0.102 COMP191/COMP198) (0.101 COMP242/COMP244/COMP247/COMP249/COMP251) (0.090 COMP264) (0.087 COMP269) (0.085 COMP248)
AR expression inhibitor	0.870	COMP191	(0.867 COMP265/COMP272) (0.862 COMP198) (0.831 COMP250) (0.806 COMP269) (0.754 COMP242/COMP244/COMP247/COMP249/COMP251) (0.731 COMP267) (0.723 COMP43) (0.712 COMP268) (0.701 COMP246) (0.675 COMP252) (0.663 COMP241/COMP245) (0.585 COMP270) (0.542 COMP258) (0.524 COMP262) (0.509 COMP261) (0.504 COMP266) (0.485 COMP77) (0.479 COMP62) (0.474 COMP256/COMP271) (0.471 COMP264) (0.441 COMP12) (0.435 COMP248) (0.432 COMP260) (0.414 COMP240) (0.368 COMP239) (0.325 COMP259) (0.308 COMP243) (0.304 COMP253) (0.281 COMP263) (0.272 COMP257) (0.261 COMP19) (0.244 COMP255)
CTGF expression inhibitor	0.925	COMP272	(0.912 COMP191) (0.905 COMP269) (0.902 COMP198) (0.885 COMP265) (0.874 COMP250) (0.848 COMP241/COMP245) (0.833 COMP258) (0.811 COMP77) (0.796 COMP267) (0.766 COMP266/COMP43) (0.742 COMP262) (0.677 COMP256/COMP271) (0.673 COMP12) (0.640 COMP261) (0.619 COMP242/COMP244/COMP247/COMP249/COMP251) (0.611 COMP240) (0.573 COMP257) (0.551 COMP19) (0.548 COMP263) (0.506 COMP259) (0.482 COMP255) (0.448 COMP239) (0.383 COMP260) (0.369 COMP252) (0.333 COMP246) (0.330 COMP248) (0.289 COMP243) (0.284 COMP62) (0.264 COMP264) (0.259 COMP253) (0.191 COMP254)
GRP78 expression inhibitor	0.041	COMP12	(0.038 COMP253/COMP255) (0.035 COMP257/COMP263) (0.033 COMP266) (0.027 COMP254) (0.025 COMP19/COMP256/COMP271) (0.021 COMP262) (0.020 COMP241/COMP245)
ICAM1 expression inhibitor	0.740	COMP268	(0.710 COMP270) (0.516 COMP241/COMP245) (0.511 COMP262) (0.495 COMP62) (0.492 COMP265) (0.456 COMP191) (0.455 COMP267) (0.452 COMP198) (0.440 COMP239) (0.439 COMP258) (0.438 COMP250) (0.436 COMP266) (0.432 COMP256/COMP269/COMP271) (0.426 COMP260) (0.420 COMP240) (0.413 COMP272/COMP77) (0.401 COMP12) (0.392 COMP263) (0.382 COMP257) (0.381 COMP19) (0.380 COMP261) (0.374 COMP242/COMP244/COMP247/COMP249/COMP251) (0.361 COMP243) (0.353 COMP264) (0.328 COMP43) (0.309 COMP252) (0.298 COMP259) (0.293 COMP246) (0.283 COMP253) (0.274 COMP255) (0.195 COMP248)
LDLR expression enhancer	0.526	COMP258	(0.375 COMP269) (0.365 COMP77) (0.315 COMP191) (0.306 COMP256/COMP271) (0.302 COMP265) (0.297 COMP241/COMP245) (0.289 COMP242/COMP244/COMP247/COMP249/COMP251) (0.286 COMP198) (0.278 COMP267) (0.276 COMP260) (0.272 COMP261) (0.262 COMP272) (0.250 COMP243) (0.226 COMP262) (0.223 COMP246) (0.217 COMP240) (0.209 COMP263) (0.208 COMP252) (0.203 COMP250/COMP255) (0.201 COMP257) (0.178 COMP12/COMP266) (0.176 COMP268) (0.151 COMP248) (0.147 COMP43) (0.141 COMP19) (0.139 COMP259) (0.135 COMP239)
NOS2 expression inhibitor	0.922	COMP272	(0.917 COMP267) (0.893 COMP269) (0.874 COMP265) (0.861 COMP191) (0.832 COMP270) (0.807 COMP198) (0.767 COMP62) (0.762 COMP242/COMP244/COMP247/COMP249/COMP251) (0.747 COMP260) (0.723 COMP250) (0.713 COMP243) (0.688 COMP258) (0.668 COMP241/COMP245) (0.630 COMP268) (0.626 COMP261) (0.604 COMP264) (0.603 COMP77) (0.585 COMP252) (0.549 COMP246) (0.542 COMP262) (0.508 COMP256/COMP271) (0.493 COMP240) (0.465 COMP239) (0.463 COMP12) (0.445 COMP266) (0.435 COMP248) (0.400 COMP263) (0.376 COMP19) (0.371 COMP257) (0.358 COMP43) (0.317 COMP253) (0.307 COMP255) (0.269 COMP259)
NOS3 expression enhancer	0.685	COMP272	(0.605 COMP242/COMP244/COMP247/COMP249/COMP251) (0.599 COMP191) (0.586 COMP241/COMP245) (0.562 COMP198) (0.521 COMP267) (0.489 COMP250) (0.486 COMP246) (0.474 COMP269) (0.472 COMP252) (0.449 COMP265) (0.389 COMP260) (0.365 COMP62) (0.361 COMP258) (0.314 COMP240) (0.302 COMP261) (0.283 COMP256/COMP271) (0.263 COMP77) (0.230 COMP270) (0.220 COMP263) (0.202 COMP257) (0.165 COMP248) (0.141 COMP262)
NOS3 expression inhibitor	0.910	COMP77	(0.893 COMP62) (0.842 COMP262) (0.813 COMP258) (0.751 COMP272) (0.703 COMP191) (0.702 COMP198) (0.699 COMP241/COMP245) (0.675 COMP239) (0.669 COMP250) (0.664 COMP266) (0.638 COMP261) (0.635 COMP267) (0.631 COMP269) (0.624 COMP242/COMP244/COMP247/COMP249/COMP251) (0.613 COMP265) (0.572 COMP270) (0.568 COMP12) (0.564 COMP252) (0.549 COMP246) (0.541 COMP43) (0.516 COMP260/COMP268) (0.515 COMP253) (0.447 COMP248) (0.416 COMP240) (0.400 COMP256/COMP271) (0.270 COMP19) (0.250 COMP263) (0.248 COMP257/COMP259) (0.216 COMP255) (0.200 COMP264)
TNF expression inhibitor	0.942	COMP62	(0.931 COMP258) (0.907 COMP267) (0.899 COMP77) (0.881 COMP262) (0.860 COMP269) (0.836 COMP191) (0.793 COMP239/COMP270) (0.792 COMP198) (0.789 COMP268) (0.782 COMP265) (0.763 COMP266) (0.735 COMP250) (0.730 COMP241/COMP245) (0.691 COMP272) (0.685 COMP248) (0.663 COMP261) (0.651 COMP256/COMP271) (0.646 COMP12) (0.600 COMP240) (0.557 COMP242/COMP244/COMP247/COMP249/COMP251/COMP253) (0.537 COMP243) (0.523 COMP43) (0.507 COMP260) (0.493 COMP264) (0.489 COMP263) (0.485 COMP257) (0.475 COMP19) (0.434 COMP252) (0.398 COMP259) (0.393 COMP246) (0.355 COMP255)
