Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.939	COMP43	(0.806 COMP248) (0.580 COMP264) (0.429 COMP239) (0.400 COMP262) (0.352 COMP266) (0.332 COMP77) (0.305 COMP12) (0.277 COMP19) (0.274 COMP258) (0.269 COMP62) (0.243 COMP259) (0.181 COMP268) (0.179 COMP240) (0.157 COMP261) (0.154 COMP241/COMP245) (0.135 COMP256/COMP271) (0.130 COMP253) (0.123 COMP250) (0.116 COMP270) (0.111 COMP243/COMP272) (0.109 COMP263) (0.107 COMP257)
Aldehyde dehydrogenase substrate	0.821	COMP43	(0.351 COMP264) (0.301 COMP262) (0.294 COMP266) (0.279 COMP248) (0.259 COMP239) (0.256 COMP12) (0.211 COMP19) (0.202 COMP256/COMP271) (0.195 COMP259) (0.192 COMP240) (0.179 COMP261) (0.175 COMP241/COMP245) (0.133 COMP272) (0.123 COMP253) (0.120 COMP250) (0.099 COMP269)
Aldehyde oxidase substrate	0.448	COMP254	(0.325 COMP261) (0.303 COMP256/COMP271) (0.283 COMP12) (0.267 COMP263) (0.255 COMP266) (0.235 COMP257) (0.225 COMP241/COMP245) (0.222 COMP43) (0.210 COMP240) (0.194 COMP248) (0.192 COMP253/COMP255) (0.173 COMP191) (0.166 COMP262) (0.164 COMP269) (0.162 COMP198) (0.149 COMP265) (0.147 COMP239)
Aldose reductase substrate	0.826	COMP43	(0.356 COMP62) (0.319 COMP270) (0.302 COMP239) (0.297 COMP12) (0.248 COMP266) (0.222 COMP243) (0.193 COMP248) (0.179 COMP262) (0.160 COMP272) (0.159 COMP256/COMP271) (0.148 COMP260) (0.146 COMP253) (0.144 COMP250) (0.135 COMP240) (0.130 COMP198)
Arylamine N-Acetyltransferase substrate	0.418	COMP262	(0.400 COMP253) (0.318 COMP266) (0.274 COMP12) (0.238 COMP256/COMP271) (0.206 COMP198) (0.199 COMP263) (0.194 COMP191) (0.192 COMP257) (0.190 COMP248) (0.182 COMP239) (0.166 COMP241/COMP245) (0.148 COMP240/COMP254) (0.135 COMP269) (0.099 COMP43) (0.097 COMP261) (0.090 COMP265) (0.081 COMP250) (0.079 COMP255)
CYP1A2 inhibitor	0.955	COMP272	(0.942 COMP265) (0.908 COMP269) (0.843 COMP191) (0.796 COMP198) (0.753 COMP267) (0.699 COMP250) (0.495 COMP241/COMP245) (0.410 COMP260) (0.353 COMP261) (0.313 COMP243) (0.305 COMP259) (0.268 COMP255) (0.267 COMP254) (0.260 COMP256/COMP271) (0.256 COMP263) (0.247 COMP242/COMP244/COMP247/COMP249/COMP251) (0.246 COMP257) (0.182 COMP43) (0.178 COMP262) (0.173 COMP240)
CYP1A2 substrate	0.932	COMP267	(0.923 COMP272) (0.760 COMP261) (0.758 COMP191) (0.755 COMP269) (0.746 COMP198) (0.696 COMP265) (0.669 COMP248) (0.624 COMP241/COMP245) (0.616 COMP242/COMP244/COMP247/COMP249/COMP251) (0.615 COMP43) (0.600 COMP262) (0.560 COMP250) (0.503 COMP239) (0.497 COMP12) (0.475 COMP246) (0.460 COMP243) (0.436 COMP252) (0.428 COMP266) (0.414 COMP255) (0.381 COMP263) (0.368 COMP240) (0.366 COMP257) (0.354 COMP256/COMP271) (0.315 COMP260) (0.269 COMP77) (0.259 COMP258) (0.252 COMP259) (0.235 COMP264) (0.217 COMP19/COMP254) (0.191 COMP62) (0.186 COMP253)
CYP24 inhibitor	0.134	COMP241/COMP245	(0.060 COMP77) (0.041 COMP258) (0.034 COMP261) (0.030 COMP254) (0.027 COMP255) (0.025 COMP264) (0.024 COMP257/COMP62) (0.022 COMP263)
CYP2A6 inhibitor	0.283	COMP255	(0.262 COMP257) (0.256 COMP263) (0.252 COMP264) (0.245 COMP259) (0.183 COMP250) (0.175 COMP254) (0.143 COMP198) (0.109 COMP191) (0.101 COMP265) (0.097 COMP241/COMP245) (0.091 COMP43) (0.078 COMP12) (0.076 COMP248/COMP272) (0.073 COMP266) (0.066 COMP269)
CYP2B6 inhibitor	0.533	COMP269	(0.528 COMP191) (0.506 COMP198) (0.487 COMP250) (0.482 COMP272) (0.430 COMP262) (0.426 COMP265) (0.423 COMP259) (0.349 COMP264) (0.346 COMP255) (0.330 COMP248/COMP266) (0.320 COMP241/COMP245) (0.312 COMP261) (0.290 COMP263) (0.289 COMP43) (0.287 COMP12) (0.274 COMP239) (0.268 COMP257) (0.250 COMP267) (0.243 COMP256/COMP271) (0.239 COMP19) (0.237 COMP260) (0.228 COMP240) (0.195 COMP254) (0.167 COMP243) (0.162 COMP253) (0.155 COMP242/COMP244/COMP247/COMP249/COMP251) (0.152 COMP77)
CYP2C19 inhibitor	0.675	COMP272	(0.637 COMP265) (0.625 COMP267) (0.575 COMP269) (0.556 COMP242/COMP244/COMP247/COMP249/COMP251) (0.555 COMP191) (0.544 COMP198) (0.527 COMP243) (0.520 COMP250) (0.509 COMP259) (0.491 COMP260) (0.475 COMP254) (0.465 COMP261) (0.456 COMP241/COMP245) (0.414 COMP262) (0.400 COMP239) (0.388 COMP258) (0.357 COMP263) (0.355 COMP257) (0.354 COMP255) (0.344 COMP256/COMP271) (0.323 COMP12) (0.314 COMP264) (0.308 COMP266) (0.261 COMP77) (0.260 COMP240) (0.244 COMP43)
CYP2C19 substrate	0.917	COMP62	(0.897 COMP77) (0.818 COMP258) (0.813 COMP267) (0.806 COMP264) (0.750 COMP272) (0.678 COMP262/COMP43) (0.595 COMP269) (0.584 COMP191) (0.575 COMP12) (0.570 COMP19) (0.558 COMP242/COMP244/COMP247/COMP249/COMP251) (0.554 COMP198) (0.547 COMP266) (0.531 COMP265) (0.529 COMP261) (0.473 COMP256/COMP271) (0.472 COMP255) (0.462 COMP241/COMP245) (0.455 COMP240) (0.445 COMP250) (0.420 COMP239) (0.396 COMP268) (0.383 COMP248) (0.375 COMP257/COMP263) (0.345 COMP260) (0.284 COMP246) (0.262 COMP252) (0.260 COMP270) (0.255 COMP259) (0.201 COMP243)
CYP2C9 inhibitor	0.631	COMP272	(0.586 COMP265) (0.575 COMP191) (0.565 COMP269) (0.548 COMP198) (0.515 COMP267) (0.435 COMP250) (0.402 COMP241/COMP245) (0.389 COMP242/COMP244/COMP247/COMP249/COMP251) (0.369 COMP254) (0.357 COMP256/COMP271) (0.315 COMP262) (0.308 COMP259) (0.303 COMP255) (0.296 COMP257) (0.291 COMP261) (0.290 COMP263) (0.277 COMP243) (0.264 COMP260) (0.221 COMP240/COMP266) (0.215 COMP12)
CYP2C9 substrate	0.830	COMP264	(0.793 COMP62) (0.779 COMP262) (0.773 COMP272) (0.757 COMP258) (0.747 COMP261) (0.717 COMP77) (0.682 COMP12) (0.658 COMP266) (0.605 COMP241/COMP245) (0.595 COMP191) (0.592 COMP269) (0.585 COMP198) (0.580 COMP248) (0.572 COMP43) (0.567 COMP256/COMP271) (0.557 COMP19) (0.528 COMP255) (0.523 COMP265) (0.522 COMP242/COMP244/COMP247/COMP249/COMP251) (0.512 COMP243) (0.504 COMP240) (0.459 COMP267) (0.442 COMP239) (0.436 COMP263) (0.433 COMP250/COMP257) (0.403 COMP270) (0.312 COMP246) (0.309 COMP260) (0.290 COMP252) (0.243 COMP253) (0.231 COMP268) (0.202 COMP259)
CYP2D6 inhibitor	0.285	COMP259	(0.262 COMP255) (0.256 COMP254) (0.234 COMP243) (0.219 COMP263) (0.218 COMP257) (0.193 COMP241/COMP245) (0.189 COMP248)
