Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.164	COMP262	(0.160 COMP239) (0.133 COMP266) (0.087 COMP12) (0.038 COMP255/COMP259) (0.037 COMP256/COMP271) (0.034 COMP263) (0.031 COMP240)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.028	COMP263	(0.026 COMP257) (0.020 COMP266) (0.019 COMP12) (0.017 COMP241/COMP245) (0.016 COMP255) (0.013 COMP256/COMP262/COMP271) (0.012 COMP43)
1.3-Beta-glucan synthase inhibitor	0.037	COMP62	(0.035 COMP77) (0.031 COMP262/COMP270) (0.030 COMP258) (0.028 COMP252/COMP266/COMP268) (0.027 COMP246/COMP248) (0.026 COMP239)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.157	COMP268	(0.145 COMP19) (0.042 COMP77)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.434	COMP268	(0.209 COMP270) (0.102 COMP77) (0.035 COMP19) (0.034 COMP257/COMP263) (0.033 COMP62)
12-Lipoxygenase inhibitor	0.927	COMP272	(0.835 COMP265) (0.829 COMP269) (0.796 COMP191) (0.740 COMP198) (0.697 COMP250) (0.570 COMP241/COMP245) (0.553 COMP243) (0.551 COMP240) (0.501 COMP261) (0.482 COMP256/COMP271) (0.477 COMP267) (0.407 COMP259) (0.343 COMP262) (0.320 COMP263) (0.318 COMP260) (0.315 COMP255/COMP257) (0.260 COMP266) (0.232 COMP242/COMP244/COMP247/COMP249/COMP251) (0.218 COMP12) (0.189 COMP43)
15-Lipoxygenase inhibitor	0.892	COMP272	(0.863 COMP242/COMP244/COMP247/COMP249/COMP251) (0.812 COMP269) (0.801 COMP191) (0.762 COMP250) (0.747 COMP265) (0.738 COMP198/COMP259) (0.701 COMP267) (0.680 COMP240) (0.529 COMP243) (0.503 COMP246) (0.491 COMP256/COMP271) (0.477 COMP260) (0.475 COMP241/COMP245) (0.473 COMP261) (0.449 COMP252) (0.439 COMP262) (0.337 COMP263) (0.326 COMP257) (0.324 COMP255) (0.317 COMP266) (0.230 COMP12)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.203	COMP77	(0.077 COMP264) (0.054 COMP262) (0.051 COMP19) (0.049 COMP248/COMP62) (0.046 COMP239) (0.043 COMP43) (0.040 COMP263) (0.037 COMP255/COMP259/COMP266) (0.036 COMP257) (0.035 COMP258/COMP268)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.021	COMP77	(0.015 COMP258/COMP62)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.129	COMP255	(0.121 COMP241/COMP245) (0.117 COMP263) (0.108 COMP257) (0.105 COMP256/COMP271) (0.100 COMP240) (0.092 COMP198) (0.087 COMP191) (0.071 COMP267) (0.069 COMP77) (0.067 COMP248) (0.065 COMP250/COMP269) (0.064 COMP12) (0.060 COMP261) (0.058 COMP266) (0.055 COMP19) (0.054 COMP239) (0.051 COMP272)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.148	COMP256/COMP271	(0.089 COMP240/COMP257) (0.088 COMP241/COMP245/COMP263) (0.076 COMP12) (0.069 COMP266) (0.064 COMP255) (0.052 COMP261) (0.051 COMP198/COMP253/COMP262) (0.047 COMP250) (0.044 COMP191) (0.043 COMP248) (0.041 COMP43) (0.040 COMP259) (0.039 COMP265)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.419	COMP191	(0.343 COMP198) (0.281 COMP269) (0.243 COMP265) (0.219 COMP267) (0.207 COMP256/COMP271) (0.178 COMP262) (0.171 COMP241/COMP245) (0.166 COMP242/COMP244/COMP247/COMP249/COMP251) (0.161 COMP240) (0.142 COMP250) (0.137 COMP266) (0.113 COMP261) (0.108 COMP272) (0.104 COMP12) (0.103 COMP263) (0.093 COMP246) (0.088 COMP257) (0.085 COMP260) (0.081 COMP252) (0.080 COMP239) (0.070 COMP248) (0.061 COMP255) (0.052 COMP43)
3C-Like protease (MERS coronavirus) inhibitor	0.027	COMP43	
3C-Like protease (SARS coronavirus) inhibitor	0.197	COMP43	(0.093 COMP264) (0.086 COMP191/COMP198/COMP268) (0.085 COMP240) (0.080 COMP265) (0.078 COMP256/COMP271)
3C-like protease (Human coronavirus) inhibitor	0.284	COMP257	(0.282 COMP263) (0.279 COMP255) (0.270 COMP256/COMP271) (0.265 COMP240) (0.263 COMP259) (0.227 COMP250) (0.175 COMP264) (0.174 COMP43) (0.168 COMP198) (0.165 COMP241/COMP245) (0.151 COMP12) (0.146 COMP191) (0.145 COMP269) (0.143 COMP272) (0.142 COMP261)
