Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.530 COMP262) (0.515 COMP239) (0.507 COMP266) (0.489 COMP12) (0.476 COMP258) (0.469 COMP248) (0.436 COMP62) (0.434 COMP259) (0.405 COMP256/COMP264/COMP271) (0.402 COMP43) (0.385 COMP268) (0.372 COMP241/COMP245) (0.369 COMP261) (0.352 COMP240) (0.341 COMP263) (0.332 COMP250) (0.323 COMP19) (0.321 COMP257) (0.295 COMP254) (0.291 COMP255) (0.267 COMP198) (0.252 COMP191) (0.246 COMP272) (0.240 COMP260) (0.235 COMP253) (0.233 COMP267) (0.230 COMP269) (0.222 COMP242/COMP244/COMP247/COMP249/COMP251) (0.207 COMP243) (0.170 COMP265)
Carcinogenic	0.959	COMP62	(0.925 COMP77) (0.860 COMP239) (0.802 COMP43) (0.799 COMP258) (0.748 COMP262) (0.732 COMP270) (0.675 COMP191) (0.671 COMP264) (0.646 COMP243) (0.639 COMP198) (0.637 COMP248) (0.624 COMP272) (0.602 COMP266) (0.589 COMP267) (0.588 COMP242/COMP244/COMP247/COMP249/COMP251) (0.582 COMP265) (0.536 COMP12) (0.531 COMP261) (0.528 COMP250) (0.512 COMP269) (0.465 COMP240) (0.444 COMP268) (0.437 COMP246) (0.423 COMP253) (0.405 COMP241/COMP245) (0.388 COMP252) (0.322 COMP257) (0.319 COMP263) (0.298 COMP256/COMP271) (0.275 COMP255) (0.248 COMP19) (0.217 COMP259) (0.157 COMP260)
Carcinogenic. group 1	0.529	COMP243	(0.486 COMP12) (0.461 COMP266) (0.448 COMP248) (0.407 COMP253) (0.397 COMP263) (0.393 COMP262) (0.371 COMP257) (0.318 COMP198) (0.314 COMP241/COMP245) (0.309 COMP250) (0.306 COMP261) (0.305 COMP254) (0.304 COMP255) (0.291 COMP259) (0.285 COMP43) (0.273 COMP191/COMP265) (0.257 COMP239) (0.253 COMP260) (0.251 COMP256/COMP271) (0.250 COMP269) (0.223 COMP272) (0.215 COMP240) (0.195 COMP264) (0.158 COMP267) (0.157 COMP19)
Carcinogenic. group 2A	0.362	COMP243	(0.322 COMP263) (0.281 COMP257) (0.224 COMP248) (0.190 COMP255) (0.183 COMP261) (0.162 COMP250) (0.158 COMP12/COMP241/COMP245) (0.140 COMP43) (0.138 COMP240/COMP256/COMP260/COMP271) (0.131 COMP253) (0.122 COMP266) (0.120 COMP272) (0.110 COMP198) (0.106 COMP264) (0.093 COMP259) (0.087 COMP265) (0.086 COMP191) (0.082 COMP262) (0.079 COMP267) (0.078 COMP269)
Carcinogenic. group 2B	0.524	COMP261	(0.461 COMP243) (0.435 COMP250) (0.381 COMP257) (0.378 COMP263) (0.338 COMP198) (0.328 COMP191) (0.323 COMP255) (0.316 COMP272) (0.304 COMP248) (0.286 COMP241/COMP245) (0.256 COMP253) (0.248 COMP12) (0.232 COMP265) (0.228 COMP43) (0.223 COMP269) (0.219 COMP240) (0.215 COMP267) (0.203 COMP259/COMP266) (0.168 COMP256/COMP271) (0.145 COMP264) (0.135 COMP262) (0.112 COMP19) (0.099 COMP239) (0.092 COMP260)
Carcinogenic. group 3	0.772	COMP264	(0.738 COMP43) (0.608 COMP198) (0.564 COMP250) (0.552 COMP272) (0.533 COMP191) (0.497 COMP257) (0.494 COMP261) (0.473 COMP263) (0.447 COMP239) (0.431 COMP266) (0.406 COMP241/COMP245) (0.396 COMP240) (0.381 COMP262) (0.378 COMP248) (0.377 COMP243) (0.361 COMP265) (0.336 COMP255) (0.330 COMP12) (0.327 COMP269) (0.318 COMP253) (0.280 COMP259) (0.272 COMP256/COMP271) (0.252 COMP19) (0.240 COMP77) (0.210 COMP267) (0.130 COMP62)
Cardiodepressant	0.500	COMP240	(0.498 COMP261) (0.496 COMP256/COMP271) (0.473 COMP248) (0.412 COMP266) (0.408 COMP241/COMP245) (0.403 COMP243) (0.399 COMP265) (0.395 COMP255) (0.383 COMP239) (0.363 COMP12) (0.357 COMP77) (0.356 COMP269) (0.349 COMP263) (0.348 COMP259) (0.342 COMP191) (0.334 COMP257) (0.333 COMP268) (0.329 COMP258) (0.328 COMP198) (0.268 COMP250) (0.264 COMP262) (0.239 COMP267) (0.225 COMP272) (0.196 COMP253) (0.147 COMP260) (0.139 COMP242/COMP244/COMP247/COMP249/COMP251)
Cytotoxic	0.897	COMP270	(0.788 COMP62) (0.667 COMP268) (0.608 COMP258) (0.607 COMP77) (0.517 COMP242/COMP244/COMP247/COMP249/COMP251) (0.513 COMP267) (0.494 COMP239) (0.473 COMP43) (0.456 COMP262) (0.428 COMP191) (0.427 COMP269) (0.408 COMP246/COMP252/COMP265) (0.398 COMP198) (0.387 COMP19/COMP243) (0.385 COMP248/COMP261) (0.362 COMP253) (0.360 COMP266) (0.354 COMP272) (0.324 COMP250) (0.322 COMP264) (0.318 COMP12) (0.311 COMP241/COMP245) (0.293 COMP260) (0.285 COMP256/COMP271) (0.283 COMP240) (0.215 COMP263) (0.207 COMP257) (0.189 COMP255) (0.144 COMP259)
DNA damaging	0.804	COMP243	(0.556 COMP265) (0.542 COMP269) (0.500 COMP191) (0.485 COMP250) (0.480 COMP272) (0.463 COMP198) (0.429 COMP261) (0.416 COMP62) (0.396 COMP267) (0.345 COMP241/COMP245) (0.334 COMP266) (0.333 COMP242/COMP244/COMP247/COMP249/COMP251) (0.324 COMP258) (0.321 COMP12) (0.302 COMP19) (0.282 COMP239) (0.279 COMP256/COMP271) (0.273 COMP240) (0.263 COMP246) (0.243 COMP263) (0.237 COMP270) (0.236 COMP260) (0.230 COMP252/COMP257) (0.226 COMP262) (0.211 COMP253) (0.194 COMP77) (0.161 COMP248)
Embryotoxic	0.965	COMP62	(0.908 COMP77) (0.858 COMP258) (0.828 COMP239) (0.772 COMP270) (0.767 COMP248) (0.671 COMP266) (0.661 COMP253) (0.650 COMP264) (0.644 COMP262) (0.642 COMP12) (0.620 COMP43) (0.542 COMP240) (0.470 COMP242/COMP244/COMP247/COMP249/COMP251) (0.450 COMP261) (0.435 COMP267) (0.391 COMP191) (0.365 COMP198) (0.346 COMP256/COMP271) (0.311 COMP241/COMP245) (0.308 COMP246) (0.296 COMP252) (0.290 COMP268) (0.282 COMP263) (0.281 COMP269) (0.268 COMP19) (0.264 COMP257) (0.258 COMP255) (0.246 COMP265) (0.244 COMP243) (0.228 COMP250) (0.223 COMP259) (0.184 COMP272) (0.137 COMP260)
