Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.136	COMP238	(0.105 COMP237)
AR expression inhibitor	0.666	COMP238	(0.597 COMP235) (0.548 COMP234) (0.335 COMP237)
CTGF expression inhibitor	0.581	COMP237	(0.191 COMP238)
GRP78 expression inhibitor	0.025	COMP237	
ICAM1 expression inhibitor	0.688	COMP238	(0.677 COMP235) (0.674 COMP234) (0.397 COMP237)
LDLR expression enhancer	0.165	COMP237	(0.158 COMP238)
NOS2 expression inhibitor	0.889	COMP235	(0.741 COMP234) (0.596 COMP238) (0.435 COMP237)
NOS3 expression enhancer	0.182	COMP235	(0.131 COMP234)
NOS3 expression inhibitor	0.549	COMP234	(0.518 COMP235) (0.470 COMP238) (0.440 COMP237)
TNF expression inhibitor	0.809	COMP238	(0.727 COMP234) (0.663 COMP235) (0.599 COMP237)
VCAM1 expression inhibitor	0.386	COMP237	
VEGF expression inhibitor	0.217	COMP237	
VEGFR2 expression inhibitor	0.084	COMP237	
