Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.049	COMP237	
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.014	COMP237	
1.3-Beta-glucan synthase inhibitor	0.033	COMP234	(0.032 COMP235) (0.030 COMP238)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.246	COMP238	
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.812	COMP238	(0.253 COMP234) (0.180 COMP235)
12-Lipoxygenase inhibitor	0.223	COMP237	
15-Lipoxygenase inhibitor	0.341	COMP237	
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.039	COMP238	
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.048	COMP237	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.061	COMP237	
3C-Like protease (SARS coronavirus) inhibitor	0.108	COMP238	
3C-like protease (Human coronavirus) inhibitor	0.136	COMP237	
5 Hydroxytryptamine 1E antagonist	0.235	COMP237	
5 Hydroxytryptamine 3E antagonist	0.183	COMP237	
5 Hydroxytryptamine 4 antagonist	0.051	COMP237	
5 Hydroxytryptamine release inhibitor	0.559	COMP237	
5 Hydroxytryptamine release stimulant	0.901	COMP235	(0.829 COMP234) (0.736 COMP238) (0.592 COMP237)
5 Hydroxytryptamine uptake stimulant	0.508	COMP237	
5-Alpha-reductase 1 inhibitor	0.014	COMP237	
5-Alpha-reductase 2 inhibitor	0.023	COMP238	(0.018 COMP237)
5-Alpha-reductase inhibitor	0.126	COMP238	(0.065 COMP237)
5-Lipoxygenase inhibitor	0.167	COMP237	
ABCA1 expression enhancer	0.136	COMP238	(0.105 COMP237)
AICAR transformylase inhibitor	0.061	COMP237	
AMP-activated protein kinase stimulant	0.925	COMP235	(0.867 COMP234) (0.721 COMP238)
AMPA 4 receptor antagonist	0.039	COMP237	
AR expression inhibitor	0.666	COMP238	(0.597 COMP235) (0.548 COMP234) (0.335 COMP237)
ATP citrate lysase inhibitor	0.042	COMP237	
ATPase (Vacuolar H+) inhibitor	0.121	COMP237	(0.096 COMP235)
ATPase inhibitor	0.237	COMP237	
Abortion inducer	0.485	COMP237	(0.453 COMP238)
Acaricide	0.386	COMP237	
Acetyl-CoA transferase 1 inhibitor	0.049	COMP237	
Acetyl-CoA transferase 2 inhibitor	0.079	COMP238	(0.077 COMP237)
Acetyl-CoA transferase inhibitor	0.088	COMP237	(0.072 COMP238)
Acetylcholine M1 receptor antagonist	0.133	COMP237	
Acetylcholine M4 receptor agonist	0.030	COMP237	
Acetylcholine M5 receptor agonist	0.092	COMP237	
Acetylcholine muscarinic agonist	0.053	COMP237	
Acetylcholine nicotinic antagonist	0.090	COMP237	
Acetylcholine release stimulant	0.245	COMP237	
Acetylcholinesterase inhibitor	0.113	COMP238	
Acid ceramidase inhibitor	0.031	COMP237	
Aconitate hydratase inhibitor	0.146	COMP237	
Actinic keratosis treatment	0.221	COMP237	(0.143 COMP238)
Acute neurologic disorders treatment	0.192	COMP234	(0.171 COMP237)
Acute respiratory distress syndrome (ARDS) treatment	0.465	COMP234	(0.426 COMP235) (0.392 COMP238) (0.176 COMP237)
Acyl-CoA dehydrogenase inhibitor	0.181	COMP237	
Adenine nucleotide translocase inhibitor	0.061	COMP237	
Adenosine A3 receptor antagonist	0.076	COMP237	
Adenosine deaminase inhibitor	0.084	COMP237	
Adenosine uptake inhibitor	0.035	COMP237	
Adenylate cyclase 1 inhibitor	0.073	COMP237	
Adenylate cyclase inhibitor	0.126	COMP237	
Adenylate cyclase stimulant	0.224	COMP237	(0.185 COMP238) (0.136 COMP234) (0.131 COMP235)
Adenylate kinase inhibitor	0.309	COMP237	
Age-related macular degeneration treatment	0.207	COMP237	
Alcohol dehydrogenase inhibitor	0.131	COMP237	
Alcohol dehydrogenase substrate	0.205	COMP237	(0.122 COMP238)
Alcohol oxidase inhibitor	0.320	COMP237	
Aldehyde dehydrogenase inhibitor	0.370	COMP237	
Aldehyde dehydrogenase substrate	0.232	COMP237	
Aldehyde oxidase inhibitor	0.605	COMP237	
Aldehyde oxidase substrate	0.183	COMP237	
Aldose reductase substrate	0.277	COMP234	(0.259 COMP235) (0.130 COMP237)
Aldosterone antagonist	0.167	COMP238	(0.045 COMP237)
Alkaline phosphatase inhibitor	0.109	COMP237	
Alkylator	0.241	COMP237	
Alpha-N-acetylglucosaminidase inhibitor	0.440	COMP237	(0.108 COMP238)
Alpha-glucosidase inhibitor	0.935	COMP234	(0.884 COMP235) (0.641 COMP238)
Alpha-mannosidase inhibitor	0.083	COMP237	(0.080 COMP235) (0.061 COMP234)
Alzheimer's disease treatment	0.417	COMP235	(0.390 COMP234) (0.267 COMP238)
Amidase inhibitor	0.094	COMP237	
Aminopeptidase B inhibitor	0.164	COMP237	
Aminopeptidase I inhibitor	0.106	COMP237	
Amylase inhibitor	0.529	COMP234	(0.292 COMP235) (0.183 COMP237) (0.105 COMP238)
Amyloid beta precursor protein antagonist	0.148	COMP237	
Amyotrophic lateral sclerosis treatment	0.217	COMP237	
Anabolic	0.180	COMP238	(0.159 COMP237) (0.092 COMP234)
Analeptic	0.547	COMP237	(0.464 COMP234) (0.390 COMP235) (0.221 COMP238)
Androgen agonist	0.109	COMP238	(0.062 COMP237)
Androgen antagonist	0.110	COMP238	
Anesthetic	0.420	COMP237	
Anesthetic general	0.611	COMP237	
Anesthetic inhalation	0.263	COMP237	
Anesthetic local	0.239	COMP237	
Angiogenesis inhibitor	0.288	COMP234	(0.261 COMP235)
Angiogenesis stimulant	0.837	COMP234	(0.821 COMP235) (0.381 COMP237) (0.379 COMP238)
