Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.217	COMP999	(0.184 COMP1003)
AR expression inhibitor	0.424	COMP999	(0.402 COMP1003) (0.328 COMP1000)
CTGF expression inhibitor	0.431	COMP1003	(0.424 COMP999) (0.311 COMP1000)
GRP78 expression inhibitor	0.023	COMP1000	
ICAM1 expression inhibitor	0.584	COMP1003	(0.449 COMP999) (0.215 COMP1000)
LDLR expression enhancer	0.314	COMP1003	(0.262 COMP999)
NOS2 expression inhibitor	0.604	COMP999	(0.535 COMP1003) (0.237 COMP1000)
NOS3 expression enhancer	0.181	COMP1003	
NOS3 expression inhibitor	0.826	COMP999	(0.797 COMP1003)
TNF expression inhibitor	0.897	COMP1003	(0.879 COMP999) (0.331 COMP1000) (0.206 COMP1001)
VCAM1 expression inhibitor	0.231	COMP1000	(0.198 COMP1003)
VEGF expression inhibitor	0.210	COMP997	(0.201 COMP1000) (0.182 COMP1002) (0.163 COMP995)
