Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.324 COMP389/COMP390) (0.282 COMP606) (0.252 COMP542) (0.159 COMP62) (0.141 COMP48) (0.140 COMP14) (0.137 COMP282) (0.126 COMP1728) (0.122 COMP1718) (0.116 COMP1067/COMP1727) (0.111 COMP178) (0.102 COMP1721/COMP191) (0.099 COMP1) (0.086 COMP1724/COMP1725/COMP1726/COMP463/COMP774/COMP891)
AR expression inhibitor	0.937	COMP48	(0.894 COMP463/COMP774/COMP891) (0.884 COMP1) (0.877 COMP1728) (0.870 COMP191/COMP282) (0.820 COMP1724/COMP1725/COMP1726) (0.773 COMP508) (0.752 COMP692) (0.714 COMP696) (0.659 COMP389/COMP390) (0.609 COMP14) (0.581 COMP178) (0.562 COMP606) (0.485 COMP77) (0.479 COMP62) (0.458 COMP1727) (0.446 COMP1067) (0.438 COMP542) (0.418 COMP146) (0.388 COMP1709) (0.373 COMP1721) (0.350 COMP1723) (0.337 COMP1605/COMP1711/COMP1713/COMP1722) (0.334 COMP1151) (0.296 COMP106) (0.294 COMP1715) (0.262 COMP1716) (0.240 COMP1710) (0.206 COMP32) (0.200 COMP1719)
CTGF expression inhibitor	0.928	COMP48	(0.912 COMP191) (0.821 COMP389/COMP390) (0.811 COMP77) (0.795 COMP508) (0.779 COMP32) (0.701 COMP106) (0.693 COMP692) (0.673 COMP1067/COMP606) (0.651 COMP14) (0.632 COMP146) (0.607 COMP542) (0.585 COMP1151) (0.551 COMP463/COMP774/COMP891) (0.507 COMP696) (0.505 COMP1721) (0.478 COMP1605/COMP1711/COMP1713/COMP1722) (0.463 COMP1) (0.457 COMP1724/COMP1725/COMP1726) (0.335 COMP1718) (0.297 COMP1719) (0.284 COMP62) (0.249 COMP1727) (0.227 COMP178) (0.206 COMP1716) (0.202 COMP1714) (0.197 COMP282) (0.196 COMP1715)
GRP78 expression inhibitor	0.034	COMP542	(0.033 COMP1067) (0.027 COMP696) (0.026 COMP606) (0.024 COMP1723/COMP508) (0.023 COMP1709) (0.021 COMP32) (0.020 COMP1151)
ICAM1 expression inhibitor	0.679	COMP178	(0.576 COMP692) (0.561 COMP282) (0.560 COMP48/COMP508) (0.525 COMP696) (0.504 COMP1709) (0.500 COMP1723) (0.495 COMP62) (0.490 COMP1727) (0.483 COMP1710) (0.481 COMP1728) (0.480 COMP389/COMP390) (0.470 COMP463/COMP774/COMP891) (0.457 COMP1724/COMP1725/COMP1726) (0.456 COMP191) (0.435 COMP606) (0.418 COMP146) (0.413 COMP77) (0.406 COMP542) (0.405 COMP1721) (0.355 COMP1605/COMP1711/COMP1713/COMP1722) (0.344 COMP1715) (0.337 COMP1067) (0.333 COMP1718) (0.296 COMP1719) (0.283 COMP1714) (0.267 COMP106) (0.266 COMP1716) (0.255 COMP1720) (0.238 COMP1)
LDLR expression enhancer	0.365	COMP77	(0.349 COMP48) (0.315 COMP191) (0.266 COMP389/COMP390) (0.256 COMP146) (0.228 COMP606) (0.223 COMP1) (0.218 COMP1067) (0.205 COMP1728) (0.196 COMP1151) (0.187 COMP106/COMP1718) (0.184 COMP1605/COMP1711/COMP1713/COMP1722) (0.183 COMP1714/COMP282) (0.172 COMP1716) (0.168 COMP542) (0.165 COMP1721) (0.157 COMP1719) (0.147 COMP1724/COMP1725/COMP1726) (0.137 COMP463/COMP774/COMP891)
NOS2 expression inhibitor	0.950	COMP508	(0.935 COMP696) (0.926 COMP692) (0.903 COMP48) (0.861 COMP191) (0.847 COMP282) (0.790 COMP1728) (0.767 COMP62) (0.691 COMP146) (0.689 COMP1727) (0.686 COMP1709) (0.618 COMP1723) (0.603 COMP77) (0.585 COMP389/COMP390) (0.540 COMP1710) (0.496 COMP1718) (0.482 COMP1724/COMP1725/COMP1726) (0.479 COMP178) (0.467 COMP1) (0.466 COMP463/COMP774/COMP891) (0.448 COMP1605/COMP1711/COMP1713/COMP1722) (0.440 COMP606) (0.433 COMP1716/COMP542) (0.404 COMP1714) (0.396 COMP106) (0.392 COMP1067/COMP1151) (0.353 COMP1721) (0.348 COMP1719) (0.320 COMP1720) (0.281 COMP14) (0.277 COMP1715) (0.273 COMP32)
NOS3 expression enhancer	0.767	COMP463/COMP774/COMP891	(0.715 COMP508) (0.703 COMP48) (0.694 COMP692) (0.693 COMP1724/COMP1725/COMP1726) (0.673 COMP389/COMP390) (0.655 COMP696) (0.599 COMP191) (0.406 COMP1727) (0.365 COMP62) (0.322 COMP1709) (0.314 COMP606) (0.291 COMP1723) (0.263 COMP77) (0.237 COMP1721) (0.202 COMP146) (0.119 COMP542)
NOS3 expression inhibitor	0.910	COMP77	(0.893 COMP62) (0.852 COMP1727) (0.827 COMP48) (0.801 COMP508) (0.788 COMP692) (0.717 COMP696) (0.703 COMP191) (0.658 COMP606) (0.589 COMP1709) (0.582 COMP1723) (0.564 COMP463/COMP774/COMP891) (0.545 COMP542) (0.537 COMP1724/COMP1725/COMP1726) (0.510 COMP1067) (0.506 COMP389/COMP390) (0.499 COMP282) (0.498 COMP178) (0.452 COMP1728) (0.405 COMP1151) (0.351 COMP1721) (0.297 COMP1605/COMP1711/COMP1713/COMP1722) (0.293 COMP146) (0.270 COMP1715) (0.257 COMP1710) (0.249 COMP106) (0.238 COMP1718) (0.227 COMP1) (0.189 COMP14)
TNF expression inhibitor	0.942	COMP62/COMP692	(0.931 COMP508) (0.899 COMP77) (0.877 COMP48/COMP696) (0.855 COMP1727) (0.836 COMP191) (0.811 COMP282) (0.801 COMP389/COMP390) (0.773 COMP606) (0.737 COMP542) (0.733 COMP1151) (0.730 COMP1709) (0.704 COMP146) (0.671 COMP1723) (0.650 COMP178) (0.636 COMP463/COMP774/COMP891) (0.601 COMP1) (0.600 COMP1728) (0.592 COMP1067) (0.583 COMP1724/COMP1725/COMP1726) (0.534 COMP1605/COMP1711/COMP1713/COMP1722) (0.492 COMP1710) (0.487 COMP1721) (0.444 COMP106) (0.425 COMP1719) (0.415 COMP1718) (0.382 COMP1714) (0.379 COMP1716) (0.338 COMP32) (0.319 COMP1720) (0.307 COMP14)
