Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.920	COMP1	(0.825 COMP32) (0.654 COMP1151) (0.623 COMP14) (0.534 COMP606) (0.395 COMP106) (0.371 COMP1067) (0.332 COMP77) (0.306 COMP389/COMP390) (0.295 COMP1718) (0.269 COMP62) (0.263 COMP542) (0.260 COMP282) (0.259 COMP1728) (0.251 COMP1727) (0.242 COMP1710) (0.144 COMP1720) (0.141 COMP1721) (0.137 COMP463/COMP774/COMP891) (0.132 COMP1724/COMP1725/COMP1726) (0.116 COMP146/COMP1716) (0.114 COMP178) (0.111 COMP1714)
Aldehyde dehydrogenase substrate	0.899	COMP14	(0.783 COMP1) (0.700 COMP32) (0.407 COMP106) (0.298 COMP1067) (0.277 COMP606) (0.219 COMP389/COMP390) (0.214 COMP542) (0.198 COMP1151) (0.125 COMP146/COMP282) (0.118 COMP1724/COMP1725/COMP1726/COMP463/COMP774/COMP891) (0.115 COMP1721) (0.111 COMP1728) (0.110 COMP1718) (0.101 COMP1605/COMP1709/COMP1711/COMP1713/COMP1722)
Aldehyde oxidase substrate	0.692	COMP14	(0.666 COMP32) (0.348 COMP106) (0.249 COMP1067) (0.229 COMP542) (0.219 COMP389/COMP390) (0.186 COMP1718) (0.173 COMP191) (0.170 COMP1) (0.169 COMP606) (0.158 COMP1151) (0.147 COMP146/COMP1721) (0.139 COMP48)
Aldose reductase substrate	0.885	COMP14	(0.737 COMP1) (0.429 COMP542) (0.422 COMP696) (0.398 COMP508) (0.396 COMP1723) (0.379 COMP1709) (0.356 COMP62) (0.326 COMP692) (0.304 COMP1727) (0.267 COMP463/COMP774/COMP891) (0.245 COMP1724/COMP1725/COMP1726) (0.209 COMP606) (0.190 COMP389/COMP390) (0.182 COMP32) (0.170 COMP1718) (0.153 COMP106) (0.125 COMP1720)
Arylamine N-Acetyltransferase substrate	0.269	COMP606	(0.248 COMP692) (0.194 COMP191) (0.185 COMP389/COMP390) (0.179 COMP542) (0.175 COMP1067) (0.114 COMP48) (0.103 COMP32) (0.095 COMP508) (0.084 COMP1721) (0.077 COMP1151)
CYP1A2 inhibitor	0.945	COMP48	(0.843 COMP191) (0.608 COMP146) (0.425 COMP508) (0.362 COMP389/COMP390) (0.322 COMP14) (0.294 COMP692) (0.288 COMP106) (0.247 COMP1151) (0.233 COMP32) (0.232 COMP1067) (0.184 COMP1721) (0.175 COMP1714) (0.174 COMP1716) (0.169 COMP1718)
CYP1A2 substrate	0.912	COMP48	(0.896 COMP696) (0.766 COMP508) (0.763 COMP1716) (0.758 COMP191) (0.691 COMP14) (0.644 COMP32) (0.585 COMP606) (0.569 COMP389/COMP390) (0.568 COMP1605/COMP1711/COMP1713/COMP1722) (0.550 COMP146) (0.526 COMP106) (0.497 COMP1714) (0.476 COMP692) (0.430 COMP1151) (0.427 COMP1) (0.405 COMP1720) (0.404 COMP1719) (0.362 COMP1067) (0.352 COMP1709) (0.320 COMP1718/COMP1723) (0.297 COMP542) (0.269 COMP77) (0.264 COMP463/COMP774/COMP891) (0.256 COMP1721) (0.220 COMP1724/COMP1725/COMP1726) (0.191 COMP62)
CYP24 inhibitor	0.060	COMP77	(0.026 COMP1710) (0.025 COMP1727) (0.024 COMP62) (0.021 COMP1719) (0.020 COMP146)
CYP2A6 inhibitor	0.390	COMP32	(0.183 COMP1) (0.176 COMP106) (0.161 COMP1067) (0.140 COMP1151) (0.135 COMP14) (0.109 COMP191) (0.093 COMP48) (0.077 COMP1719) (0.069 COMP146)
CYP2B6 inhibitor	0.528	COMP191	(0.374 COMP48) (0.360 COMP606) (0.351 COMP1067) (0.321 COMP1151) (0.319 COMP1) (0.315 COMP389/COMP390) (0.262 COMP1718) (0.249 COMP542) (0.248 COMP146) (0.225 COMP32) (0.222 COMP14) (0.219 COMP1605/COMP1711/COMP1713/COMP1722) (0.212 COMP1721) (0.205 COMP106) (0.180 COMP1714) (0.172 COMP1719) (0.167 COMP1728) (0.162 COMP282) (0.152 COMP77) (0.148 COMP1720) (0.147 COMP1716)
