Name	Activation_Prob	Compound	Another_Probs
AR expression inhibitor	0.536	COMP2823/COMP2824	
CTGF expression inhibitor	0.249	COMP2823/COMP2824	
GRP78 expression inhibitor	0.058	COMP455	
ICAM1 expression inhibitor	0.395	COMP2823/COMP2824	
LDLR expression enhancer	0.164	COMP2823/COMP2824	
NOS2 expression inhibitor	0.549	COMP2823/COMP2824	(0.188 COMP455)
NOS3 expression enhancer	0.142	COMP2823/COMP2824	
NOS3 expression inhibitor	0.682	COMP2823/COMP2824	
TNF expression inhibitor	0.777	COMP2823/COMP2824	(0.231 COMP455)
VEGF expression inhibitor	0.238	COMP2823/COMP2824	(0.218 COMP455)
