Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.169	COMP2823/COMP2824	
Aldehyde dehydrogenase substrate	0.140	COMP455	
Aldehyde oxidase substrate	0.234	COMP455	
Arylamine N-Acetyltransferase substrate	0.357	COMP455	
CYP1A2 inhibitor	0.339	COMP455	
CYP1A2 substrate	0.342	COMP455	
CYP2A6 inhibitor	0.356	COMP455	
CYP2B6 inhibitor	0.237	COMP455	
CYP2C19 inhibitor	0.486	COMP455	
CYP2C19 substrate	0.414	COMP2823/COMP2824	(0.249 COMP455)
CYP2C9 inhibitor	0.373	COMP455	
CYP2C9 substrate	0.620	COMP2823/COMP2824	(0.321 COMP455)
CYP2D6 inhibitor	0.408	COMP455	
CYP2D6 substrate	0.571	COMP455	
CYP3A4 inhibitor	0.279	COMP455	
CYP3A4 substrate	0.779	COMP2823/COMP2824	(0.233 COMP455)
FMO1 substrate	0.301	COMP455	
FMO3 substrate	0.678	COMP455	
Flavin-containing monooxygenase substrate	0.687	COMP455	
GST A substrate	0.323	COMP455	
GST M1-1 substrate	0.250	COMP455	
GST T1-1 substrate	0.111	COMP455	
NAT1 substrate	0.067	COMP455	
NAT2 substrate	0.479	COMP455	
SULT1A1 substrate	0.133	COMP455	
SULT1A3 substrate	0.274	COMP455	
SULT1E1 substrate	0.157	COMP2823/COMP2824	
SULT2A1 substrate	0.095	COMP2823/COMP2824	(0.076 COMP455)
Sulfotransferase substrate	0.162	COMP2823/COMP2824	(0.140 COMP455)
UDP-glucuronosyltransferase substrate	0.771	COMP2823/COMP2824	
UGT1A1 substrate	0.460	COMP2823/COMP2824	(0.142 COMP455)
UGT1A3 substrate	0.197	COMP2823/COMP2824	
UGT1A4 substrate	0.798	COMP2823/COMP2824	(0.118 COMP455)
UGT1A6 substrate	0.509	COMP2823/COMP2824/COMP455	
UGT1A9 substrate	0.418	COMP2823/COMP2824	(0.388 COMP455)
UGT2B1 substrate	0.126	COMP2823/COMP2824	
UGT2B10 substrate	0.313	COMP2823/COMP2824	(0.139 COMP455)
UGT2B11 substrate	0.242	COMP2823/COMP2824	
UGT2B15 substrate	0.497	COMP2823/COMP2824	
UGT2B4 substrate	0.562	COMP2823/COMP2824	(0.202 COMP455)
UGT2B7 substrate	0.528	COMP2823/COMP2824	(0.180 COMP455)
UGT2B9 substrate	0.508	COMP2823/COMP2824	
