Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.491	COMP281	(0.457 COMP280) (0.432 COMP279) (0.392 COMP278) (0.340 COMP118) (0.285 COMP273) (0.259 COMP158)
Carcinogenic	0.636	COMP279	(0.489 COMP158) (0.350 COMP118) (0.307 COMP278) (0.217 COMP273) (0.158 COMP280) (0.136 COMP281)
Carcinogenic. group 1	0.387	COMP118	(0.321 COMP273) (0.148 COMP158)
Carcinogenic. group 2A	0.293	COMP273	(0.271 COMP118)
Carcinogenic. group 2B	0.494	COMP118	(0.201 COMP273) (0.087 COMP158)
Carcinogenic. group 3	0.346	COMP118	(0.229 COMP158) (0.224 COMP279) (0.131 COMP278)
Cardiodepressant	0.545	COMP118	(0.259 COMP281) (0.236 COMP273) (0.225 COMP280)
Cytotoxic	0.693	COMP279	(0.639 COMP278) (0.505 COMP273) (0.470 COMP158) (0.393 COMP281) (0.358 COMP280) (0.273 COMP118)
DNA damaging	0.479	COMP279	(0.359 COMP273) (0.353 COMP278) (0.339 COMP158) (0.239 COMP118)
Embryotoxic	0.687	COMP279	(0.501 COMP278) (0.290 COMP158) (0.285 COMP118) (0.278 COMP280) (0.243 COMP273) (0.212 COMP281)
Eye irritation. high	0.307	COMP158	(0.250 COMP118) (0.161 COMP273) (0.121 COMP279)
Genotoxic	0.632	COMP273	(0.625 COMP118) (0.167 COMP279) (0.147 COMP158) (0.138 COMP278)
Hypoglycemic	0.350	COMP273	(0.306 COMP281) (0.291 COMP118) (0.276 COMP280) (0.197 COMP279) (0.195 COMP278)
Mutagenic	0.590	COMP279	(0.548 COMP278) (0.416 COMP273) (0.291 COMP118) (0.206 COMP158)
Pneumotoxic	0.619	COMP273	(0.409 COMP158) (0.369 COMP118) (0.293 COMP278/COMP279)
Sedative	0.419	COMP118	(0.245 COMP158) (0.235 COMP273) (0.217 COMP280) (0.174 COMP281)
Sensitization	0.977	COMP279	(0.963 COMP278) (0.881 COMP281) (0.860 COMP280) (0.654 COMP158) (0.484 COMP118) (0.454 COMP273)
Skin irritative effect	0.648	COMP158	(0.375 COMP118) (0.164 COMP273) (0.113 COMP279) (0.087 COMP280)
Teratogen	0.726	COMP279	(0.550 COMP278) (0.321 COMP158) (0.292 COMP118/COMP280) (0.242 COMP273) (0.225 COMP281)
Toxic. respiratory center	0.189	COMP280	(0.180 COMP273) (0.169 COMP278/COMP279)
Ulceration	0.446	COMP118	(0.437 COMP273) (0.396 COMP280)
