Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.867	COMP288	(0.856 COMP292) (0.827 COMP290) (0.816 COMP291) (0.205 COMP282) (0.153 COMP287) (0.102 COMP77) (0.044 COMP285)
5 Hydroxytryptamine 2A agonist	0.057	COMP284	
ATPase inhibitor	0.176	COMP286	(0.171 COMP289) (0.160 COMP284)
Acetylcholinesterase inhibitor	0.391	COMP289	(0.380 COMP286) (0.369 COMP284) (0.247 COMP283) (0.164 COMP291) (0.133 COMP290) (0.131 COMP292) (0.117 COMP288)
Adenylate cyclase inhibitor	0.100	COMP287	
Aldosterone antagonist	0.518	COMP291	(0.261 COMP290) (0.215 COMP282) (0.201 COMP292) (0.179 COMP288) (0.177 COMP287) (0.149 COMP77) (0.091 COMP285) (0.049 COMP286)
Alkaline phosphatase inhibitor	0.343	COMP286	(0.262 COMP284) (0.255 COMP289) (0.191 COMP283)
Androgen agonist	0.470	COMP287	(0.450 COMP77) (0.288 COMP285) (0.175 COMP292) (0.155 COMP282) (0.151 COMP290) (0.116 COMP288) (0.105 COMP291) (0.096 COMP286) (0.058 COMP289) (0.056 COMP283)
Androgen antagonist	0.803	COMP287	(0.687 COMP285) (0.667 COMP77) (0.210 COMP292) (0.194 COMP290) (0.188 COMP282) (0.156 COMP291) (0.144 COMP288) (0.111 COMP286)
Aryl hydrocarbon receptor agonist	0.722	COMP286	(0.600 COMP283) (0.486 COMP289) (0.447 COMP284)
Butyrylcholinesterase inhibitor	0.290	COMP286	(0.143 COMP289) (0.117 COMP284) (0.104 COMP283)
CYP1A2 inhibitor	0.908	COMP283	(0.901 COMP284) (0.886 COMP289) (0.662 COMP286)
CYP2C9 inhibitor	0.509	COMP289	(0.401 COMP286) (0.390 COMP284) (0.299 COMP283)
CYP2D6 inhibitor	0.339	COMP284	(0.324 COMP289) (0.316 COMP283) (0.183 COMP286)
CYP3A4 inhibitor	0.607	COMP284	(0.595 COMP283) (0.581 COMP289) (0.354 COMP286) (0.201 COMP291)
Ca2+-transporting ATPase inhibitor	0.148	COMP286	(0.141 COMP288) (0.138 COMP283/COMP284/COMP289) (0.130 COMP290)
Carbonic anhydrase inhibitor	0.093	COMP289	(0.081 COMP284)
Cyclooxygenase 1 inhibitor	0.259	COMP286	
Cyclooxygenase 2 inhibitor	0.164	COMP286	(0.135 COMP289) (0.119 COMP284)
Cyclooxygenase inhibitor	0.219	COMP286	(0.140 COMP289) (0.121 COMP284)
Cystathionine beta-synthase inhibitor	0.160	COMP286	(0.154 COMP284) (0.150 COMP289) (0.103 COMP283)
DNA polymerase beta inhibitor	0.557	COMP289	(0.451 COMP284) (0.281 COMP283)
DOPA decarboxylase inhibitor	0.121	COMP289	(0.110 COMP284)
Dopamine D2 antagonist	0.066	COMP284	
Electron transport complex I inhibitor	0.231	COMP286	(0.112 COMP289) (0.104 COMP284)
Estrogen agonist	0.302	COMP77	(0.271 COMP287) (0.200 COMP285) (0.128 COMP282/COMP290) (0.116 COMP292) (0.103 COMP291) (0.092 COMP288) (0.054 COMP286)
GABA aminotransferase inhibitor	0.323	COMP284	(0.164 COMP289) (0.147 COMP283) (0.080 COMP286)
Glucocorticoid agonist	0.052	COMP287	(0.049 COMP77) (0.045 COMP285) (0.018 COMP292) (0.015 COMP282) (0.013 COMP290)
Glucocorticoid antagonist	0.114	COMP287	(0.106 COMP77) (0.082 COMP285) (0.044 COMP282) (0.033 COMP292) (0.029 COMP291)
Glucose-6-phosphate isomerase inhibitor	0.078	COMP284/COMP289	(0.075 COMP283) (0.048 COMP286)
HMG CoA reductase inhibitor	0.073	COMP77	(0.072 COMP287) (0.068 COMP285) (0.049 COMP292) (0.043 COMP290) (0.042 COMP288) (0.033 COMP282)
Heat shock protein 70 antagonist	0.140	COMP284	(0.131 COMP289)
MAO A inhibitor	0.662	COMP283	(0.472 COMP284) (0.464 COMP289) (0.421 COMP286)
MAO inhibitor	0.762	COMP283	(0.517 COMP289) (0.489 COMP286) (0.483 COMP284)
Na+ K+ transporting ATPase inhibitor	0.213	COMP282	(0.193 COMP287) (0.184 COMP77) (0.179 COMP285) (0.172 COMP290) (0.164 COMP288) (0.163 COMP292) (0.153 COMP291) (0.118 COMP283) (0.115 COMP286) (0.102 COMP284) (0.099 COMP289)
Opioid kappa receptor agonist	0.077	COMP284	(0.040 COMP283)
Peroxidase inhibitor	0.222	COMP284	(0.191 COMP289) (0.116 COMP286)
Phosphodiesterase 4D inhibitor	0.320	COMP286	
Phosphofructokinase-1 inhibitor	0.085	COMP284/COMP289	(0.073 COMP283) (0.059 COMP286)
Phospholipase A2 inhibitor	0.279	COMP286	(0.230 COMP288) (0.204 COMP290) (0.197 COMP283) (0.183 COMP291) (0.149 COMP292) (0.146 COMP285/COMP289) (0.129 COMP284) (0.125 COMP77) (0.122 COMP287)
Phospholipase C inhibitor	0.727	COMP292	(0.677 COMP290) (0.604 COMP287) (0.590 COMP77) (0.544 COMP282) (0.516 COMP288) (0.387 COMP291) (0.362 COMP285)
Phosphorylase inhibitor	0.541	COMP290	(0.513 COMP292) (0.422 COMP288) (0.234 COMP291) (0.208 COMP282)
Pyruvate kinase inhibitor	0.234	COMP284	(0.223 COMP289)
Retinoic acid alpha receptor agonist	0.041	COMP286	
Succinate dehydrogenase inhibitor	0.256	COMP289	(0.241 COMP284) (0.174 COMP283) (0.170 COMP286)
Superoxide dismutase inhibitor	0.412	COMP286	(0.194 COMP283) (0.183 COMP284) (0.172 COMP289)
Topoisomerase I inhibitor	0.168	COMP282	(0.127 COMP290) (0.125 COMP289) (0.122 COMP288) (0.091 COMP284)
Topoisomerase II alpha inhibitor	0.184	COMP289	(0.130 COMP284) (0.116 COMP291) (0.113 COMP282) (0.104 COMP290) (0.086 COMP286) (0.084 COMP283) (0.068 COMP288)
Tyrosine 3 hydroxylase inhibitor	0.294	COMP286	(0.219 COMP284/COMP289)
