Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.141	COMP48	
AR expression inhibitor	0.937	COMP48	(0.424 COMP273) (0.379 COMP277) (0.366 COMP276) (0.323 COMP275) (0.311 COMP274)
CTGF expression inhibitor	0.928	COMP48	(0.457 COMP273) (0.197 COMP277)
ICAM1 expression inhibitor	0.628	COMP273	(0.560 COMP48) (0.535 COMP276) (0.503 COMP277) (0.493 COMP274) (0.465 COMP275)
LDLR expression enhancer	0.349	COMP48	(0.278 COMP273)
NOS2 expression inhibitor	0.903	COMP48	(0.821 COMP273) (0.507 COMP276) (0.432 COMP274) (0.322 COMP277) (0.311 COMP275)
NOS3 expression enhancer	0.703	COMP48	(0.350 COMP273)
NOS3 expression inhibitor	0.827	COMP48	(0.446 COMP277) (0.418 COMP276) (0.415 COMP275) (0.402 COMP273) (0.384 COMP274)
TNF expression inhibitor	0.877	COMP48	(0.609 COMP273) (0.539 COMP275) (0.520 COMP276) (0.489 COMP274) (0.478 COMP277)
VCAM1 expression inhibitor	0.615	COMP273	(0.354 COMP276) (0.306 COMP48) (0.286 COMP274) (0.235 COMP277) (0.200 COMP275)
VEGF expression inhibitor	0.433	COMP48	(0.246 COMP273)
