Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP478	(0.377 COMP450) (0.375 COMP1173) (0.332 COMP522) (0.232 COMP1101) (0.231 COMP55) (0.223 COMP1082) (0.185 COMP189) (0.180 COMP155) (0.163 COMP18) (0.150 COMP717) (0.145 COMP49) (0.140 COMP1098) (0.139 COMP1087) (0.137 COMP1100) (0.136 COMP1022) (0.124 COMP767) (0.123 COMP1092) (0.122 COMP1099) (0.117 COMP1196) (0.116 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.113 COMP1029) (0.103 COMP27) (0.098 COMP153) (0.087 COMP1090) (0.083 COMP1194/COMP2325)
AR expression inhibitor	0.991	COMP478	(0.937 COMP49) (0.758 COMP1182) (0.703 COMP1194) (0.675 COMP1022) (0.655 COMP1029) (0.613 COMP1028) (0.602 COMP1021/COMP1052) (0.560 COMP1173) (0.559 COMP1073) (0.530 COMP522) (0.529 COMP523) (0.524 COMP27) (0.521 COMP2307) (0.517 COMP1090) (0.516 COMP189) (0.504 COMP18) (0.499 COMP450) (0.478 COMP1092) (0.450 COMP1100/COMP129) (0.446 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.423 COMP1087) (0.422 COMP1940) (0.411 COMP55) (0.408 COMP165) (0.398 COMP1088) (0.377 COMP1101/COMP767) (0.351 COMP717) (0.347 COMP1098) (0.338 COMP153) (0.319 COMP1104) (0.288 COMP1196) (0.273 COMP2325) (0.268 COMP1099) (0.242 COMP1082) (0.231 COMP1107) (0.227 COMP300) (0.182 COMP2327) (0.181 COMP155)
CTGF expression inhibitor	0.919	COMP49	(0.824 COMP450) (0.766 COMP18) (0.742 COMP27) (0.704 COMP478) (0.691 COMP189) (0.686 COMP1098) (0.673 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.644 COMP1090) (0.633 COMP1100) (0.618 COMP1182) (0.601 COMP1101) (0.588 COMP767) (0.555 COMP1099) (0.521 COMP55) (0.490 COMP717) (0.485 COMP1173) (0.463 COMP1087) (0.421 COMP2325) (0.416 COMP1082) (0.372 COMP1157) (0.368 COMP129) (0.364 COMP2327) (0.332 COMP1196) (0.305 COMP155) (0.294 COMP1092) (0.258 COMP300) (0.244 COMP1022) (0.233 COMP2307) (0.231 COMP1088) (0.228 COMP153) (0.218 COMP1029) (0.210 COMP2326) (0.197 COMP1107) (0.193 COMP523)
GRP78 expression inhibitor	0.072	COMP2307	(0.055 COMP1940) (0.048 COMP189) (0.039 COMP717) (0.038 COMP55) (0.035 COMP767) (0.033 COMP1064/COMP1067/COMP1079/COMP1102/COMP18/COMP667/COMP869/COMP988) (0.032 COMP1100) (0.029 COMP1092) (0.027 COMP1098/COMP1101/COMP1157) (0.025 COMP1099/COMP1182) (0.024 COMP1082) (0.023 COMP1087) (0.021 COMP27) (0.020 COMP1173/COMP1196)
ICAM1 expression inhibitor	0.785	COMP155	(0.668 COMP1073) (0.605 COMP2307) (0.581 COMP1182) (0.564 COMP49) (0.562 COMP1028) (0.560 COMP1101) (0.554 COMP1940) (0.551 COMP1021/COMP1052) (0.550 COMP1194) (0.520 COMP1022) (0.511 COMP27) (0.509 COMP1029) (0.498 COMP153) (0.470 COMP1100/COMP165) (0.468 COMP1082) (0.459 COMP189) (0.453 COMP1196) (0.436 COMP18) (0.427 COMP450) (0.417 COMP1092) (0.413 COMP1173) (0.392 COMP1104) (0.391 COMP1099) (0.376 COMP523) (0.372 COMP717) (0.359 COMP1090) (0.354 COMP1098) (0.351 COMP767) (0.346 COMP2325) (0.344 COMP1088) (0.337 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.332 COMP2327) (0.321 COMP129) (0.320 COMP1107) (0.318 COMP300) (0.290 COMP55) (0.263 COMP1087) (0.256 COMP1157) (0.247 COMP522)
LDLR expression enhancer	0.378	COMP450	(0.314 COMP49) (0.277 COMP1107) (0.253 COMP1022) (0.241 COMP1029) (0.234 COMP1088) (0.229 COMP1100) (0.227 COMP1098) (0.226 COMP27) (0.218 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.208 COMP153) (0.192 COMP1082) (0.189 COMP189) (0.186 COMP1194) (0.181 COMP1092) (0.178 COMP1101/COMP18) (0.176 COMP155) (0.173 COMP523) (0.170 COMP717) (0.166 COMP1173) (0.157 COMP767) (0.154 COMP1099) (0.152 COMP165) (0.149 COMP1090/COMP1196) (0.136 COMP300)
NOS2 expression inhibitor	0.949	COMP1182	(0.901 COMP1028) (0.886 COMP1021/COMP1052) (0.871 COMP49) (0.773 COMP1073) (0.749 COMP1022) (0.718 COMP1088) (0.713 COMP1029) (0.675 COMP1090) (0.660 COMP1107) (0.625 COMP523) (0.613 COMP155) (0.583 COMP2307) (0.578 COMP153) (0.573 COMP450) (0.542 COMP27) (0.486 COMP1092) (0.476 COMP1196) (0.470 COMP1100) (0.460 COMP1940) (0.450 COMP1194) (0.445 COMP18) (0.442 COMP522) (0.426 COMP189) (0.415 COMP767) (0.404 COMP1101) (0.392 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.384 COMP165) (0.382 COMP717) (0.377 COMP1087) (0.376 COMP1098) (0.360 COMP1173) (0.357 COMP2325) (0.325 COMP1099) (0.321 COMP55) (0.296 COMP300) (0.290 COMP478) (0.231 COMP129) (0.221 COMP1082) (0.214 COMP1157)
NOS3 expression enhancer	0.756	COMP2307	(0.718 COMP1182) (0.697 COMP49) (0.455 COMP1082) (0.444 COMP1940) (0.301 COMP450) (0.296 COMP1101) (0.276 COMP1090) (0.230 COMP1028) (0.212 COMP1021/COMP1052) (0.199 COMP1100) (0.186 COMP189) (0.141 COMP27) (0.139 COMP1073) (0.137 COMP1157)
NOS3 expression inhibitor	0.943	COMP2307	(0.919 COMP450) (0.842 COMP27) (0.841 COMP1182) (0.834 COMP49) (0.757 COMP1940) (0.708 COMP189) (0.664 COMP18) (0.635 COMP1021/COMP1052) (0.624 COMP1028) (0.582 COMP717) (0.559 COMP1073) (0.557 COMP55) (0.526 COMP1029) (0.516 COMP1194) (0.510 COMP1022/COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.492 COMP1087) (0.486 COMP1098) (0.481 COMP1173) (0.479 COMP767) (0.446 COMP1092) (0.425 COMP2325) (0.412 COMP1100) (0.403 COMP129/COMP522) (0.398 COMP1090) (0.330 COMP1099) (0.326 COMP1088) (0.309 COMP478) (0.306 COMP2327) (0.301 COMP1101) (0.300 COMP300) (0.275 COMP1104) (0.264 COMP523) (0.239 COMP165) (0.205 COMP155) (0.196 COMP1196)
TNF expression inhibitor	0.937	COMP1182	(0.902 COMP1021/COMP1052) (0.881 COMP1028/COMP27) (0.875 COMP450) (0.869 COMP1022) (0.847 COMP49) (0.831 COMP1029) (0.770 COMP1073) (0.763 COMP18) (0.715 COMP1194) (0.678 COMP189) (0.671 COMP2325) (0.662 COMP2307) (0.658 COMP1087) (0.653 COMP1101) (0.648 COMP717) (0.634 COMP153) (0.615 COMP767) (0.605 COMP523) (0.597 COMP1940) (0.594 COMP1092) (0.592 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.590 COMP1098) (0.584 COMP1104) (0.572 COMP55) (0.539 COMP1100) (0.530 COMP1088/COMP1157) (0.518 COMP1173) (0.515 COMP1099) (0.508 COMP1196) (0.494 COMP1090) (0.448 COMP478) (0.447 COMP155) (0.431 COMP1107) (0.404 COMP129) (0.391 COMP165) (0.384 COMP300) (0.362 COMP2327) (0.346 COMP522) (0.321 COMP1082)
