Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.928	COMP478	(0.730 COMP1087) (0.638 COMP1098) (0.500 COMP523) (0.408 COMP522) (0.400 COMP27) (0.371 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.361 COMP767) (0.352 COMP18) (0.340 COMP717) (0.339 COMP1099) (0.338 COMP450) (0.333 COMP1194) (0.322 COMP189) (0.231 COMP2325) (0.221 COMP2307) (0.207 COMP1029) (0.200 COMP1022) (0.183 COMP55) (0.165 COMP1021/COMP1052) (0.160 COMP1028) (0.152 COMP1173) (0.150 COMP2326) (0.146 COMP1196) (0.144 COMP1092) (0.141 COMP1100) (0.127 COMP153) (0.125 COMP1082) (0.124 COMP155) (0.117 COMP1101) (0.115 COMP1940) (0.111 COMP1088) (0.109 COMP129) (0.107 COMP1107) (0.106 COMP300)
Aldehyde dehydrogenase substrate	0.934	COMP478	(0.327 COMP1098) (0.301 COMP27) (0.298 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.297 COMP523) (0.294 COMP18) (0.283 COMP189) (0.280 COMP522) (0.254 COMP1087) (0.253 COMP1099) (0.227 COMP2326) (0.208 COMP2325) (0.207 COMP1194) (0.206 COMP717) (0.201 COMP2307) (0.197 COMP1104) (0.189 COMP55) (0.188 COMP1100) (0.143 COMP767) (0.111 COMP1196) (0.109 COMP1082) (0.101 COMP2327)
Aldehyde oxidase substrate	0.498	COMP2326	(0.404 COMP1082) (0.334 COMP189) (0.332 COMP478/COMP717) (0.255 COMP18) (0.249 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.247 COMP1100) (0.246 COMP1157) (0.224 COMP1087/COMP1099) (0.223 COMP55) (0.217 COMP767) (0.212 COMP1098) (0.209 COMP2325) (0.166 COMP27) (0.165 COMP1104) (0.143 COMP1101)
Aldose reductase substrate	0.992	COMP478	(0.954 COMP2307) (0.792 COMP1940) (0.487 COMP717) (0.482 COMP1182) (0.358 COMP189) (0.318 COMP1087) (0.286 COMP1021/COMP1052) (0.283 COMP1073) (0.279 COMP1028) (0.268 COMP767) (0.258 COMP55) (0.248 COMP18) (0.217 COMP1104) (0.214 COMP1098) (0.210 COMP2327) (0.180 COMP1100) (0.179 COMP27) (0.151 COMP1157) (0.149 COMP1088) (0.146 COMP2325) (0.143 COMP1099) (0.133 COMP450)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.417 COMP1100) (0.373 COMP189) (0.318 COMP18) (0.305 COMP717) (0.196 COMP1082) (0.186 COMP767) (0.175 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.172 COMP55) (0.168 COMP1090) (0.167 COMP2326) (0.152 COMP1087) (0.135 COMP1157) (0.131 COMP1098) (0.123 COMP49) (0.120 COMP2327) (0.111 COMP1101) (0.110 COMP2307)
CYP1A2 inhibitor	0.914	COMP49	(0.702 COMP1090) (0.355 COMP1182) (0.336 COMP1107) (0.250 COMP1082) (0.232 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.197 COMP1098) (0.191 COMP1101) (0.187 COMP1100) (0.178 COMP27)
CYP1A2 substrate	0.905	COMP49	(0.600 COMP27) (0.559 COMP1182) (0.488 COMP1098) (0.428 COMP18) (0.421 COMP189) (0.398 COMP717) (0.362 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.352 COMP1090) (0.348 COMP767) (0.342 COMP478) (0.318 COMP450) (0.302 COMP1087) (0.298 COMP1100) (0.290 COMP1157) (0.283 COMP1173) (0.278 COMP1101) (0.276 COMP1082) (0.261 COMP1088) (0.251 COMP2307) (0.248 COMP1196) (0.245 COMP1099) (0.237 COMP55) (0.228 COMP1107) (0.223 COMP522) (0.220 COMP300) (0.208 COMP1092) (0.205 COMP155) (0.200 COMP2325)
CYP24 inhibitor	0.066	COMP450	(0.053 COMP153) (0.052 COMP165) (0.027 COMP300) (0.021 COMP1196)
CYP2A6 inhibitor	0.228	COMP1082	(0.182 COMP523) (0.161 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.158 COMP300) (0.134 COMP1090) (0.127 COMP49) (0.126 COMP1101) (0.107 COMP767) (0.091 COMP189/COMP478) (0.087 COMP522) (0.084 COMP1196) (0.081 COMP155) (0.073 COMP18) (0.071 COMP1099/COMP1157) (0.070 COMP717)
CYP2B6 inhibitor	0.430	COMP27	(0.406 COMP1090) (0.367 COMP1098) (0.356 COMP49) (0.351 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.330 COMP18) (0.325 COMP523) (0.298 COMP189) (0.288 COMP300) (0.279 COMP1099) (0.278 COMP1082) (0.250 COMP478) (0.245 COMP1196) (0.239 COMP522) (0.236 COMP1100) (0.234 COMP767) (0.230 COMP717) (0.216 COMP165) (0.213 COMP2325) (0.197 COMP153) (0.188 COMP1157) (0.185 COMP55) (0.184 COMP1101) (0.175 COMP1107) (0.170 COMP155) (0.160 COMP450) (0.158 COMP1087) (0.156 COMP1173)
CYP2C19 inhibitor	0.640	COMP49	(0.618 COMP1107) (0.584 COMP1088) (0.491 COMP1090) (0.480 COMP1101) (0.418 COMP1104) (0.414 COMP27) (0.382 COMP1082) (0.380 COMP523) (0.369 COMP1100) (0.368 COMP153) (0.339 COMP1182) (0.331 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.326 COMP1098) (0.322 COMP767) (0.315 COMP189) (0.313 COMP1029) (0.309 COMP450) (0.308 COMP18) (0.306 COMP1196/COMP522) (0.305 COMP717) (0.301 COMP1022) (0.296 COMP2307) (0.292 COMP1194) (0.255 COMP1028) (0.229 COMP1157) (0.221 COMP1099/COMP55)
