Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.684	COMP1100	(0.673 COMP1099) (0.601 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.578 COMP1098) (0.554 COMP1101) (0.526 COMP2325) (0.462 COMP18) (0.441 COMP1196) (0.420 COMP27) (0.387 COMP767) (0.380 COMP300) (0.379 COMP155) (0.355 COMP189) (0.353 COMP478) (0.327 COMP717) (0.312 COMP2307) (0.307 COMP1082) (0.265 COMP55) (0.240 COMP1090) (0.233 COMP1092) (0.232 COMP1157) (0.214 COMP153) (0.195 COMP1940) (0.180 COMP49/COMP523) (0.171 COMP1087) (0.166 COMP522) (0.157 COMP129) (0.143 COMP165) (0.136 COMP1107)
Acetylcholine release stimulant	0.327	COMP2325	(0.222 COMP1099) (0.201 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.192 COMP1098) (0.174 COMP1082) (0.157 COMP1157) (0.149 COMP18) (0.143 COMP189) (0.131 COMP478) (0.118 COMP1088) (0.117 COMP1100) (0.114 COMP767) (0.112 COMP27) (0.107 COMP717) (0.106 COMP1107) (0.102 COMP1101)
Actinic keratosis treatment	0.422	COMP450	(0.280 COMP2325) (0.261 COMP1196) (0.256 COMP165) (0.249 COMP1101/COMP18) (0.234 COMP1100) (0.233 COMP189) (0.221 COMP27) (0.211 COMP522) (0.207 COMP1099) (0.196 COMP1082) (0.195 COMP129) (0.184 COMP1064/COMP1067/COMP1079/COMP1102/COMP523/COMP667/COMP869/COMP988) (0.183 COMP1173) (0.182 COMP767) (0.179 COMP717) (0.178 COMP153) (0.176 COMP55) (0.175 COMP1098) (0.169 COMP1092) (0.165 COMP1087) (0.155 COMP155) (0.151 COMP2307) (0.148 COMP49) (0.146 COMP1090) (0.145 COMP300) (0.141 COMP1104) (0.115 COMP1182) (0.102 COMP478) (0.092 COMP1022) (0.089 COMP1157) (0.085 COMP1029)
Acute neurologic disorders treatment	0.828	COMP767	(0.473 COMP189) (0.396 COMP18) (0.386 COMP1101) (0.339 COMP27) (0.331 COMP1100) (0.301 COMP1087) (0.298 COMP478) (0.272 COMP1157/COMP2325) (0.235 COMP1104) (0.198 COMP1098) (0.195 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988)
Acute respiratory distress syndrome (ARDS) treatment	0.526	COMP2307	(0.461 COMP1073) (0.424 COMP1940) (0.375 COMP1104) (0.374 COMP1028) (0.372 COMP1021/COMP1052) (0.358 COMP717) (0.318 COMP1182) (0.303 COMP27) (0.255 COMP1194) (0.246 COMP1029) (0.232 COMP189) (0.227 COMP2325) (0.224 COMP1022) (0.218 COMP55) (0.215 COMP1092) (0.209 COMP18) (0.177 COMP1098) (0.156 COMP450) (0.151 COMP2326) (0.149 COMP522) (0.130 COMP1099) (0.128 COMP767) (0.126 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988)
Age-related macular degeneration treatment	0.268	COMP189	(0.266 COMP1157) (0.253 COMP1082) (0.239 COMP18) (0.230 COMP2326) (0.189 COMP450) (0.182 COMP1098) (0.179 COMP1100) (0.163 COMP27)
Allergic rhinitis treatment	0.484	COMP189	(0.330 COMP18) (0.189 COMP717) (0.161 COMP27) (0.113 COMP1098) (0.108 COMP55)
Alzheimer's disease treatment	0.627	COMP300	(0.551 COMP155) (0.499 COMP1182) (0.491 COMP1028) (0.489 COMP1194) (0.484 COMP1196) (0.451 COMP49) (0.435 COMP1157) (0.408 COMP1073) (0.404 COMP2327) (0.358 COMP1022) (0.352 COMP1029) (0.335 COMP1021/COMP1052) (0.326 COMP153) (0.313 COMP450) (0.264 COMP1107)
Amyotrophic lateral sclerosis treatment	0.709	COMP450	(0.350 COMP2325) (0.278 COMP2327) (0.245 COMP1082) (0.233 COMP1196) (0.224 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.221 COMP1101) (0.210 COMP767) (0.204 COMP189) (0.192 COMP1157) (0.190 COMP27) (0.189 COMP18) (0.183 COMP1098) (0.180 COMP49) (0.176 COMP717)
Anabolic	0.216	COMP450	(0.202 COMP1022/COMP1029) (0.196 COMP165) (0.192 COMP27) (0.190 COMP1173) (0.187 COMP1194) (0.183 COMP153) (0.182 COMP18) (0.178 COMP1196) (0.177 COMP1092) (0.176 COMP1064/COMP1067/COMP1079/COMP1102/COMP667/COMP869/COMP988) (0.175 COMP129) (0.174 COMP189) (0.171 COMP523) (0.168 COMP767) (0.167 COMP1098/COMP1100) (0.163 COMP1099/COMP55) (0.160 COMP717) (0.159 COMP1101/COMP155) (0.158 COMP300) (0.157 COMP1157) (0.154 COMP2325/COMP478) (0.147 COMP1021/COMP1052/COMP522) (0.138 COMP1087) (0.135 COMP49) (0.133 COMP1028) (0.131 COMP1090) (0.130 COMP2307) (0.120 COMP1082) (0.114 COMP1088) (0.101 COMP1940) (0.100 COMP1073) (0.097 COMP1107) (0.091 COMP1104)
