Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.093	COMP2328	(0.084 COMP2329)
AR expression inhibitor	0.853	COMP2328	(0.551 COMP2330) (0.450 COMP1065) (0.249 COMP2329)
CTGF expression inhibitor	0.889	COMP2328	(0.529 COMP2330) (0.463 COMP1065) (0.300 COMP2329)
GRP78 expression inhibitor	0.035	COMP2329	
ICAM1 expression inhibitor	0.504	COMP2328	(0.490 COMP2329) (0.464 COMP1065) (0.275 COMP2330)
LDLR expression enhancer	0.349	COMP2328	(0.260 COMP2330) (0.146 COMP2329)
NOS2 expression inhibitor	0.908	COMP2328	(0.721 COMP2330) (0.395 COMP1065) (0.255 COMP2329)
NOS3 expression enhancer	0.497	COMP2328	(0.118 COMP2330)
NOS3 expression inhibitor	0.641	COMP2328	(0.531 COMP2329) (0.433 COMP1065) (0.323 COMP2330)
TNF expression inhibitor	0.816	COMP2328	(0.512 COMP2330) (0.452 COMP1065) (0.404 COMP2329)
VCAM1 expression inhibitor	0.352	COMP2328	(0.280 COMP2330) (0.273 COMP1065) (0.222 COMP2329)
VEGF expression inhibitor	0.433	COMP2328	(0.219 COMP2330) (0.191 COMP2329)
