Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.291	COMP2329	(0.242 COMP2330) (0.226 COMP1065)
Acetylcholine release stimulant	0.103	COMP2329	
Actinic keratosis treatment	0.181	COMP2329	(0.119 COMP1065) (0.088 COMP2328)
Alzheimer's disease treatment	0.462	COMP2329	(0.408 COMP2330) (0.373 COMP2328)
Anabolic	0.190	COMP1065	(0.177 COMP2329) (0.096 COMP2328)
Analeptic	0.970	COMP1065	(0.277 COMP2329) (0.206 COMP2328)
Anesthetic	0.216	COMP2329	(0.112 COMP1065)
Anesthetic general	0.338	COMP2329	(0.168 COMP2330) (0.149 COMP2328)
Anesthetic inhalation	0.077	COMP2329	
Angiogenesis inhibitor	0.268	COMP2328	
Angiogenesis stimulant	0.318	COMP2328	
Antiacne	0.270	COMP2329	(0.260 COMP1065)
Antialcoholic	0.176	COMP2329	(0.163 COMP2328)
Antiallergic	0.295	COMP2328	
Antiamyloidogenic	0.574	COMP2328	(0.286 COMP2330)
Antibacterial	0.575	COMP1065	(0.452 COMP2328) (0.368 COMP2329) (0.295 COMP2330)
Antibiotic	0.165	COMP1065	(0.108 COMP2329)
Antibiotic Macrolide-like	0.020	COMP1065	
Antibiotic Tetracycline-like	0.015	COMP1065	
Anticataract	0.098	COMP2328	
Anticholelithogenic	0.110	COMP2329	(0.096 COMP1065) (0.066 COMP2328) (0.064 COMP2330)
Antidiabetic	0.431	COMP2329	(0.343 COMP2328)
Antidiabetic symptomatic	0.265	COMP2328	
Antidiarrheal	0.163	COMP1065	(0.144 COMP2329) (0.139 COMP2328)
Antidote	0.352	COMP2328	
Antidote. heavy metal	0.142	COMP2328	
Antidote. mercury	0.103	COMP2329	
Antidote. organophosphates	0.080	COMP2329	
Antifungal	0.461	COMP1065	(0.335 COMP2328) (0.318 COMP2329) (0.215 COMP2330)
Antifungal (Aspergillus)	0.109	COMP2328	
Antifungal (Cryptococcus)	0.307	COMP1065	(0.146 COMP2329)
Antifungal (Pneumocystis)	0.155	COMP2328	(0.115 COMP2330) (0.112 COMP1065) (0.111 COMP2329)
Antifungal enhancer	0.512	COMP1065	(0.213 COMP2328) (0.209 COMP2329) (0.184 COMP2330)
Antihelmintic	0.652	COMP2329	(0.454 COMP1065) (0.340 COMP2328) (0.212 COMP2330)
Antihelmintic (Nematodes)	0.183	COMP1065	(0.141 COMP2329) (0.127 COMP2328)
Antihelmintic (Trematoda)	0.478	COMP2328	(0.159 COMP2330)
Antihemophilic	0.072	COMP2329	
Antihemorrhagic	0.509	COMP2328	(0.287 COMP2330) (0.127 COMP1065)
Antihypercholesterolemic	0.584	COMP2330	(0.491 COMP2328) (0.441 COMP1065) (0.408 COMP2329)
Antihyperlipoproteinemic	0.154	COMP1065	(0.121 COMP2329) (0.117 COMP2328)
Antihypermotility	0.097	COMP1065	
Antihypertriglyceridemic	0.543	COMP2328	(0.412 COMP2330) (0.331 COMP1065)
Antihypotensive	0.480	COMP2328	(0.261 COMP2329) (0.220 COMP2330) (0.190 COMP1065)
Antihypoxic	0.687	COMP2328	(0.372 COMP2330) (0.273 COMP1065)
Antiinflammatory	0.944	COMP2329	(0.877 COMP1065) (0.649 COMP2328) (0.323 COMP2330)
Antiischemic	0.244	COMP2328	
Antileprosy	0.083	COMP2329	
Antileukemic	0.781	COMP1065	(0.751 COMP2328) (0.696 COMP2330) (0.326 COMP2329)
Antimitotic	0.654	COMP2330	(0.434 COMP2328) (0.423 COMP1065)
Antimutagenic	0.964	COMP2328	(0.515 COMP2330) (0.172 COMP1065) (0.105 COMP2329)
Antimycobacterial	0.209	COMP2328	
