Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.057	COMP153	(0.046 COMP381) (0.036 COMP1467)
5 Hydroxytryptamine 3 agonist	0.115	COMP381	
5 Hydroxytryptamine 3A agonist	0.235	COMP381	(0.106 COMP222)
5 Hydroxytryptamine 4 agonist	0.033	COMP381	
5 Hydroxytryptamine uptake inhibitor	0.645	COMP381	(0.245 COMP385) (0.206 COMP378/COMP380/COMP384) (0.065 COMP1467) (0.055 COMP1463/COMP1465)
ATPase inhibitor	0.388	COMP1463/COMP1465	(0.264 COMP218) (0.253 COMP222) (0.251 COMP381) (0.233 COMP172) (0.199 COMP153) (0.198 COMP378/COMP380/COMP384) (0.189 COMP383) (0.183 COMP385) (0.165 COMP382)
Acetylcholine M1 receptor agonist	0.231	COMP381	(0.063 COMP378/COMP380/COMP384) (0.060 COMP385)
Acetylcholine M1 receptor antagonist	0.716	COMP383	(0.708 COMP378/COMP380/COMP384) (0.655 COMP385) (0.439 COMP381) (0.238 COMP1463/COMP1465) (0.117 COMP1466)
Acetylcholine M2 receptor agonist	0.079	COMP1467	(0.072 COMP1463/COMP1465) (0.066 COMP381)
Acetylcholine M2 receptor antagonist	0.464	COMP383	(0.449 COMP378/COMP380/COMP384) (0.368 COMP385) (0.217 COMP381) (0.102 COMP1463/COMP1465)
Acetylcholine M3 receptor agonist	0.199	COMP1466	(0.154 COMP1463/COMP1465) (0.151 COMP381) (0.142 COMP1467/COMP378/COMP380/COMP384) (0.118 COMP383) (0.094 COMP385)
Acetylcholine M3 receptor antagonist	0.460	COMP383	(0.421 COMP378/COMP380/COMP384) (0.389 COMP385) (0.247 COMP381)
Acetylcholinesterase inhibitor	0.519	COMP218	(0.502 COMP222) (0.399 COMP1467) (0.181 COMP153) (0.156 COMP382) (0.117 COMP172)
Aconitate hydratase inhibitor	0.077	COMP222	(0.052 COMP381) (0.047 COMP172/COMP218)
Acyl-CoA dehydrogenase inhibitor	0.114	COMP381	(0.080 COMP1464) (0.062 COMP222) (0.060 COMP1466)
Adenosine A1 receptor agonist	0.025	COMP1464	(0.022 COMP1466) (0.021 COMP381)
Adenosine deaminase inhibitor	0.061	COMP1464	(0.060 COMP381) (0.049 COMP1466)
Adenylate cyclase inhibitor	0.241	COMP381	(0.166 COMP378/COMP380/COMP384) (0.147 COMP385) (0.114 COMP383) (0.098 COMP222)
Adenylate kinase inhibitor	0.172	COMP381	(0.153 COMP1464) (0.136 COMP222) (0.125 COMP1466) (0.091 COMP218)
Adrenaline uptake inhibitor	0.553	COMP381	(0.194 COMP378/COMP380/COMP384) (0.156 COMP385) (0.082 COMP383) (0.057 COMP1464)
Alcohol dehydrogenase inhibitor	0.228	COMP222	(0.135 COMP218)
Aldosterone antagonist	0.153	COMP1467	(0.058 COMP153) (0.048 COMP381) (0.046 COMP222)
Alkaline phosphatase inhibitor	0.329	COMP218	(0.310 COMP222)
Alpha 1a adrenoreceptor antagonist	0.075	COMP1463/COMP1465	
Alpha 2a adrenoreceptor antagonist	0.664	COMP1463/COMP1465	(0.067 COMP381)
Alpha-mannosidase inhibitor	0.690	COMP1466	(0.642 COMP1464) (0.200 COMP381) (0.094 COMP385) (0.079 COMP378/COMP380/COMP384) (0.071 COMP383) (0.053 COMP222)
Androgen agonist	0.210	COMP1467	(0.162 COMP381) (0.138 COMP222) (0.097 COMP218) (0.091 COMP153) (0.083 COMP385) (0.076 COMP1464/COMP172) (0.073 COMP378/COMP380/COMP384) (0.059 COMP383)
Androgen antagonist	0.336	COMP1467	(0.227 COMP222) (0.197 COMP172) (0.174 COMP218) (0.140 COMP381) (0.138 COMP153)
Arginase inhibitor	0.059	COMP381	(0.047 COMP222) (0.036 COMP1464)
Argininosuccinate synthase inhibitor	0.119	COMP1464	(0.110 COMP381) (0.087 COMP1466) (0.063 COMP222)
Aryl hydrocarbon receptor agonist	0.673	COMP218	(0.608 COMP222) (0.311 COMP382)
Beta 2 adrenoreceptor agonist	0.062	COMP383	(0.061 COMP378/COMP380/COMP384)
Butyrylcholinesterase inhibitor	0.436	COMP1467	(0.350 COMP218) (0.343 COMP222) (0.122 COMP1463/COMP1465) (0.100 COMP382)
CYP1A2 inhibitor	0.699	COMP218	(0.610 COMP222) (0.399 COMP382)
CYP2C9 inhibitor	0.558	COMP382	(0.408 COMP218) (0.406 COMP222) (0.258 COMP1463/COMP1465)
CYP2D6 inhibitor	0.699	COMP1463/COMP1465	(0.504 COMP382) (0.468 COMP378/COMP380/COMP384) (0.406 COMP385) (0.397 COMP383) (0.370 COMP381)
CYP3A4 inhibitor	0.504	COMP382	(0.385 COMP1463/COMP1465) (0.325 COMP218) (0.320 COMP222) (0.278 COMP1467) (0.261 COMP381) (0.224 COMP153)
