Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.045	COMP1464	(0.039 COMP381/COMP385) (0.029 COMP378/COMP380/COMP384) (0.028 COMP383)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.088	COMP381	(0.045 COMP153)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.057	COMP153	(0.046 COMP381) (0.036 COMP1467)
12-Lipoxygenase inhibitor	0.557	COMP218	(0.470 COMP222) (0.316 COMP382)
15-Lipoxygenase inhibitor	0.740	COMP218	(0.685 COMP222) (0.311 COMP382)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.049	COMP172	(0.041 COMP153) (0.040 COMP1467) (0.037 COMP381)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.018	COMP1467	
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.083	COMP222	(0.050 COMP218)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.058	COMP222	(0.047 COMP218)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.121	COMP222	(0.089 COMP218)
3C-like protease (Human coronavirus) inhibitor	0.352	COMP222	(0.328 COMP218) (0.212 COMP382)
5 Hydroxytryptamine 1 antagonist	0.096	COMP382	
5 Hydroxytryptamine 1A antagonist	0.058	COMP382	
5 Hydroxytryptamine 1B antagonist	0.064	COMP382	
5 Hydroxytryptamine 1E antagonist	0.319	COMP381	(0.300 COMP382) (0.197 COMP1463/COMP1465) (0.194 COMP218/COMP222)
5 Hydroxytryptamine 1F agonist	0.027	COMP1463/COMP1465	
5 Hydroxytryptamine 1F antagonist	0.077	COMP381	
5 Hydroxytryptamine 2 antagonist	0.113	COMP382	
5 Hydroxytryptamine 2A antagonist	0.091	COMP382	
5 Hydroxytryptamine 2B antagonist	0.105	COMP381	
5 Hydroxytryptamine 3 agonist	0.115	COMP381	
5 Hydroxytryptamine 3 antagonist	0.172	COMP381	
5 Hydroxytryptamine 3A agonist	0.235	COMP381	(0.106 COMP222)
5 Hydroxytryptamine 3A antagonist	0.133	COMP381	(0.063 COMP378/COMP380/COMP384)
5 Hydroxytryptamine 3B antagonist	0.084	COMP381	
5 Hydroxytryptamine 3E antagonist	0.251	COMP382	(0.187 COMP222) (0.165 COMP381)
5 Hydroxytryptamine 4 agonist	0.033	COMP381	
5 Hydroxytryptamine 4 antagonist	0.108	COMP381	(0.057 COMP378/COMP380/COMP384) (0.051 COMP383) (0.050 COMP385)
5 Hydroxytryptamine 5 antagonist	0.101	COMP382	
5 Hydroxytryptamine 5A antagonist	0.105	COMP382	
5 Hydroxytryptamine 6 antagonist	0.052	COMP381	
5 Hydroxytryptamine antagonist	0.158	COMP381	(0.113 COMP378/COMP380/COMP384) (0.111 COMP382)
5 Hydroxytryptamine release inhibitor	0.666	COMP222	(0.598 COMP218) (0.448 COMP382) (0.289 COMP1464) (0.280 COMP381)
