Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.379	COMP172	(0.364 COMP222) (0.232 COMP218) (0.214 COMP153) (0.184 COMP381) (0.135 COMP1464) (0.121 COMP383)
Acetylcholine release stimulant	0.184	COMP381	(0.175 COMP378/COMP380/COMP384) (0.129 COMP385) (0.117 COMP1467) (0.114 COMP383)
Actinic keratosis treatment	0.178	COMP153	(0.148 COMP172) (0.139 COMP222) (0.117 COMP1467) (0.101 COMP381) (0.089 COMP218)
Acute respiratory distress syndrome (ARDS) treatment	0.418	COMP385	(0.401 COMP383) (0.393 COMP378/COMP380/COMP384) (0.221 COMP381)
Age-related macular degeneration treatment	0.284	COMP1463/COMP1465	
Allergic rhinitis treatment	0.384	COMP378/COMP380/COMP384	(0.234 COMP383) (0.233 COMP385)
Alzheimer's disease treatment	0.651	COMP1467	(0.634 COMP1463/COMP1465) (0.415 COMP218) (0.393 COMP222) (0.377 COMP381) (0.326 COMP153) (0.247 COMP172)
Amyotrophic lateral sclerosis treatment	0.340	COMP1467	(0.250 COMP381)
Anabolic	0.198	COMP1467	(0.183 COMP153) (0.155 COMP172) (0.154 COMP381) (0.142 COMP222) (0.119 COMP1464) (0.108 COMP218) (0.107 COMP1466) (0.104 COMP378/COMP380/COMP384) (0.103 COMP385)
Analeptic	0.811	COMP378/COMP380/COMP384	(0.779 COMP381) (0.739 COMP385) (0.734 COMP383) (0.616 COMP222) (0.595 COMP1467) (0.519 COMP218) (0.426 COMP172) (0.353 COMP153) (0.260 COMP1464) (0.230 COMP1466)
Analgesic	0.650	COMP385	(0.582 COMP381) (0.550 COMP378/COMP380/COMP384) (0.549 COMP383)
Analgesic. non-opioid	0.376	COMP381	(0.215 COMP378/COMP380/COMP384)
Analgesic. opioid	0.170	COMP381	(0.161 COMP385) (0.116 COMP378/COMP380/COMP384) (0.096 COMP383)
Andropause treatment	0.115	COMP1464	(0.101 COMP381) (0.091 COMP385) (0.076 COMP1467)
Anesthetic	0.811	COMP385	(0.777 COMP383) (0.717 COMP378/COMP380/COMP384) (0.637 COMP1467) (0.416 COMP381) (0.236 COMP172) (0.217 COMP1463/COMP1465) (0.164 COMP153) (0.101 COMP222)
Anesthetic general	0.690	COMP1463/COMP1465	(0.618 COMP381) (0.517 COMP1467) (0.499 COMP385) (0.449 COMP378/COMP380/COMP384) (0.297 COMP383) (0.287 COMP222) (0.262 COMP218) (0.261 COMP172) (0.252 COMP1464) (0.135 COMP1466)
Anesthetic inhalation	0.110	COMP381	(0.082 COMP1464) (0.070 COMP1466) (0.065 COMP1467) (0.062 COMP153) (0.060 COMP172) (0.058 COMP222) (0.052 COMP218)
Anesthetic local	0.365	COMP385	(0.317 COMP378/COMP380/COMP384) (0.308 COMP381) (0.252 COMP1467) (0.160 COMP383) (0.130 COMP172)
Angiogenesis inhibitor	0.353	COMP382	(0.199 COMP218)
Angiogenesis stimulant	0.358	COMP153	(0.302 COMP378/COMP380/COMP384) (0.297 COMP381) (0.292 COMP385) (0.290 COMP172) (0.274 COMP383) (0.270 COMP1464) (0.245 COMP1466) (0.216 COMP1467) (0.204 COMP1463/COMP1465) (0.196 COMP218) (0.188 COMP222)
Antiacne	0.521	COMP1467	(0.463 COMP153) (0.337 COMP172) (0.147 COMP378/COMP380/COMP381/COMP384) (0.112 COMP222)
Antialcoholic	0.676	COMP153	(0.382 COMP1467) (0.300 COMP381) (0.279 COMP172) (0.194 COMP222)
Antiallergic	0.357	COMP378/COMP380/COMP384	(0.273 COMP383)
Antiamyloidogenic	0.543	COMP218	(0.422 COMP222) (0.153 COMP382)
Antianemic	0.165	COMP222	(0.150 COMP218)
Antianginal	0.212	COMP383	
Antianorexic	0.266	COMP382	
Antiarrhythmic	0.485	COMP385	(0.461 COMP378/COMP380/COMP384) (0.432 COMP383) (0.279 COMP381) (0.191 COMP1463/COMP1465) (0.140 COMP1467)
Antiarthritic	0.316	COMP378/COMP380/COMP384	(0.252 COMP382)
Antiasthmatic	0.789	COMP383	(0.634 COMP378/COMP380/COMP384) (0.447 COMP385) (0.419 COMP381)
Antibacterial	0.534	COMP172	(0.495 COMP153) (0.467 COMP222) (0.437 COMP218) (0.393 COMP1464) (0.362 COMP1466) (0.361 COMP1463/COMP1465) (0.351 COMP381) (0.284 COMP378/COMP380/COMP384) (0.278 COMP383) (0.236 COMP385) (0.216 COMP1467)
Antibiotic	0.164	COMP172	(0.138 COMP383) (0.131 COMP1464) (0.129 COMP381) (0.124 COMP153) (0.118 COMP378/COMP380/COMP384) (0.117 COMP385) (0.106 COMP1466) (0.091 COMP222) (0.081 COMP218)
Antibiotic Aminoglycoside-like	0.049	COMP1464	(0.045 COMP1466) (0.039 COMP381)
Antibiotic Anthracycline-like	0.025	COMP1464/COMP381	(0.019 COMP222/COMP385) (0.018 COMP1466)
Antibiotic Glycopeptide-like	0.101	COMP1464	(0.067 COMP1466) (0.044 COMP381)
Antibiotic Macrolide-like	0.021	COMP172	
Antibiotic Quinolone-like	0.031	COMP381	
Anticataract	0.215	COMP1467	(0.142 COMP381) (0.116 COMP222)
Anticholelithogenic	0.130	COMP381	(0.120 COMP378/COMP380/COMP384) (0.106 COMP385) (0.099 COMP1467) (0.092 COMP383) (0.082 COMP222) (0.069 COMP218) (0.066 COMP1464) (0.065 COMP382)
Anticonvulsant	0.386	COMP383	(0.311 COMP378/COMP380/COMP384) (0.168 COMP381) (0.150 COMP385)
Antidepressant	0.605	COMP381	(0.288 COMP1467) (0.280 COMP378/COMP380/COMP384) (0.273 COMP383)
Antidiabetic	0.425	COMP1466	(0.419 COMP378/COMP380/COMP384) (0.399 COMP383) (0.382 COMP385) (0.334 COMP1467) (0.290 COMP381)
Antidiabetic (type 1)	0.147	COMP1467	(0.119 COMP172)
Antidiabetic (type 2)	0.228	COMP1466	(0.204 COMP381)
Antidiabetic symptomatic	0.353	COMP385	(0.336 COMP378/COMP380/COMP384) (0.232 COMP383) (0.218 COMP1467) (0.167 COMP218)
Antidiarrheal	0.392	COMP378/COMP380/COMP384	(0.359 COMP385) (0.347 COMP383) (0.260 COMP381) (0.124 COMP222)
Antidote	0.411	COMP378/COMP380/COMP384	(0.339 COMP385) (0.289 COMP383) (0.280 COMP381) (0.260 COMP222) (0.236 COMP218)
Antidote. heavy metal	0.110	COMP222	(0.089 COMP218) (0.068 COMP381)
Antidote. mercury	0.178	COMP1464	(0.164 COMP222) (0.159 COMP381) (0.152 COMP1466) (0.109 COMP218) (0.083 COMP153)
Antidote. organophosphates	0.406	COMP378/COMP380/COMP384	(0.287 COMP385) (0.270 COMP383) (0.219 COMP381) (0.097 COMP1464/COMP222) (0.095 COMP1466) (0.076 COMP218)
Antieczematic	0.173	COMP1467	
Antiemetic	0.720	COMP381	(0.606 COMP383) (0.578 COMP378/COMP380/COMP384) (0.466 COMP385)
Antiemphysemic	0.262	COMP385	(0.244 COMP378/COMP380/COMP384) (0.200 COMP383)
Antiepileptic	0.435	COMP1467	(0.197 COMP153) (0.179 COMP381)
Antifungal	0.591	COMP172	(0.513 COMP153) (0.455 COMP222) (0.396 COMP218) (0.395 COMP1464) (0.368 COMP381) (0.344 COMP385) (0.288 COMP1463/COMP1465) (0.275 COMP383) (0.264 COMP378/COMP380/COMP384) (0.217 COMP1467)
Antifungal (Aspergillus)	0.129	COMP218	(0.127 COMP222) (0.104 COMP172)
Antifungal (Candida)	0.096	COMP172	
Antifungal (Cryptococcus)	0.217	COMP172	(0.173 COMP153) (0.152 COMP1464) (0.135 COMP222) (0.133 COMP385) (0.127 COMP381) (0.126 COMP1463/COMP1465)
Antifungal (Pneumocystis)	0.164	COMP218	(0.155 COMP222) (0.121 COMP381) (0.114 COMP1464)
Antifungal enhancer	0.393	COMP172	(0.349 COMP153) (0.257 COMP218) (0.247 COMP222) (0.225 COMP1463/COMP1465) (0.214 COMP1467) (0.167 COMP382) (0.161 COMP381) (0.139 COMP1464)
Antiglaucomic	0.242	COMP381	(0.154 COMP385) (0.149 COMP153)
Antihelmintic	0.477	COMP222	(0.408 COMP153) (0.406 COMP218) (0.380 COMP172) (0.182 COMP383) (0.158 COMP381) (0.151 COMP1467) (0.145 COMP385)
Antihelmintic (Fasciola)	0.211	COMP222	(0.130 COMP218) (0.104 COMP1464) (0.097 COMP381)
Antihelmintic (Nematodes)	0.335	COMP222	(0.261 COMP218) (0.201 COMP381) (0.200 COMP1464) (0.192 COMP383) (0.174 COMP172) (0.159 COMP385) (0.133 COMP378/COMP380/COMP384) (0.126 COMP153)
Antihelmintic (Trematoda)	0.218	COMP222	(0.211 COMP218) (0.111 COMP381)
Antihemophilic	0.083	COMP381	(0.070 COMP378/COMP380/COMP384)
Antihemorrhagic	0.278	COMP222	(0.256 COMP218) (0.152 COMP1464) (0.144 COMP1467) (0.136 COMP1466) (0.120 COMP381)
Antihyperaldosteronism	0.046	COMP381	(0.036 COMP1467)
Antihypercholesterolemic	0.648	COMP1467	(0.602 COMP222) (0.577 COMP218) (0.308 COMP172) (0.280 COMP378/COMP380/COMP384) (0.272 COMP385) (0.256 COMP383) (0.186 COMP381) (0.179 COMP1464/COMP1466)
Antihyperlipoproteinemic	0.354	COMP1467	(0.267 COMP222) (0.168 COMP218) (0.129 COMP378/COMP380/COMP384) (0.127 COMP172) (0.123 COMP385) (0.117 COMP381)
Antihypermotility	0.450	COMP383	(0.406 COMP378/COMP380/COMP384) (0.382 COMP385) (0.238 COMP381)
Antihypertensive	0.411	COMP1463/COMP1465	(0.285 COMP382) (0.212 COMP378/COMP380/COMP384) (0.190 COMP385)
Antihypertriglyceridemic	0.402	COMP222	(0.351 COMP218) (0.227 COMP383) (0.190 COMP382) (0.181 COMP378/COMP380/COMP384) (0.154 COMP385)
Antihypotensive	0.373	COMP1463/COMP1465	(0.339 COMP218) (0.331 COMP222) (0.265 COMP1464) (0.246 COMP381) (0.240 COMP1466) (0.239 COMP172) (0.225 COMP153) (0.174 COMP378/COMP380/COMP384)
Antihypoxic	0.397	COMP222	(0.394 COMP383) (0.371 COMP218) (0.351 COMP381) (0.302 COMP378/COMP380/COMP384) (0.301 COMP153) (0.271 COMP385) (0.261 COMP1464) (0.260 COMP172) (0.218 COMP1466) (0.181 COMP1463/COMP1465)
Antiinfertility. female	0.219	COMP1467	
Antiinflammatory	0.918	COMP153	(0.774 COMP172) (0.629 COMP383) (0.624 COMP1467) (0.578 COMP378/COMP380/COMP384) (0.576 COMP222) (0.556 COMP218) (0.486 COMP385) (0.299 COMP381) (0.278 COMP1463/COMP1465)
Antiischemic	0.503	COMP383	(0.271 COMP385) (0.259 COMP378/COMP380/COMP384) (0.173 COMP382)
Antiischemic. cerebral	0.175	COMP382	(0.119 COMP222)
Antileprosy	0.100	COMP381	
Antileukemic	0.888	COMP153	(0.809 COMP172) (0.586 COMP218) (0.466 COMP222) (0.323 COMP1464) (0.322 COMP382) (0.285 COMP1467)
Antimetabolite	0.051	COMP1464	
Antimigraine	0.569	COMP381	(0.294 COMP378/COMP380/COMP384) (0.247 COMP383) (0.181 COMP385)
Antimitotic	0.500	COMP1466	(0.484 COMP1464) (0.461 COMP218) (0.391 COMP172) (0.350 COMP153) (0.199 COMP222) (0.161 COMP382) (0.138 COMP1463/COMP1465)
Antimutagenic	0.893	COMP218	(0.859 COMP222) (0.218 COMP381) (0.157 COMP1464) (0.138 COMP153) (0.104 COMP1466)
Antimycobacterial	0.264	COMP222	(0.237 COMP218) (0.182 COMP382)
Antimycoplasmal	0.123	COMP381	(0.094 COMP222) (0.086 COMP172) (0.085 COMP378/COMP380/COMP384) (0.084 COMP1464) (0.082 COMP383) (0.081 COMP218) (0.078 COMP1466/COMP385) (0.058 COMP1467) (0.056 COMP153)
Antineoplastic (bladder cancer)	0.336	COMP218	(0.315 COMP222) (0.246 COMP382)
Antineoplastic (bone cancer)	0.209	COMP218	(0.198 COMP382)
Antineoplastic (brain cancer)	0.613	COMP153	(0.376 COMP382) (0.351 COMP172) (0.336 COMP218) (0.257 COMP1467) (0.246 COMP222) (0.195 COMP1463/COMP1465)
Antineoplastic (breast cancer)	0.880	COMP153	(0.742 COMP218) (0.682 COMP222) (0.647 COMP1467) (0.520 COMP172) (0.320 COMP1464) (0.300 COMP382) (0.250 COMP381)
Antineoplastic (carcinoma)	0.543	COMP153	(0.322 COMP1464) (0.293 COMP218) (0.211 COMP382) (0.198 COMP1466) (0.172 COMP222) (0.160 COMP172) (0.159 COMP1463/COMP1465) (0.118 COMP381)
Antineoplastic (cervical cancer)	0.639	COMP218	(0.521 COMP222) (0.380 COMP153) (0.230 COMP382) (0.225 COMP1467) (0.190 COMP172) (0.169 COMP1464)
Antineoplastic (colon cancer)	0.784	COMP153	(0.649 COMP218) (0.436 COMP222) (0.403 COMP172) (0.356 COMP382) (0.187 COMP1463/COMP1465)
Antineoplastic (colorectal cancer)	0.786	COMP153	(0.659 COMP218) (0.453 COMP222) (0.414 COMP172) (0.360 COMP382) (0.192 COMP1463/COMP1465)
Antineoplastic (endocrine cancer)	0.359	COMP153	(0.356 COMP1467) (0.353 COMP1464) (0.323 COMP1466) (0.314 COMP172) (0.264 COMP218) (0.245 COMP222) (0.240 COMP381) (0.234 COMP378/COMP380/COMP384) (0.215 COMP383)
Antineoplastic (gastric cancer)	0.248	COMP218	(0.231 COMP153) (0.201 COMP172) (0.145 COMP222)
Antineoplastic (glioblastoma multiforme)	0.607	COMP153	(0.465 COMP172) (0.415 COMP218) (0.380 COMP382) (0.244 COMP222) (0.170 COMP1467)
Antineoplastic (glioma)	0.649	COMP153	(0.525 COMP172) (0.466 COMP218) (0.381 COMP382) (0.320 COMP222) (0.221 COMP1467)
Antineoplastic (liver cancer)	0.717	COMP153	(0.476 COMP172) (0.415 COMP1467) (0.360 COMP218) (0.345 COMP381) (0.309 COMP222) (0.303 COMP383) (0.274 COMP382) (0.193 COMP378/COMP380/COMP384) (0.171 COMP1463/COMP1465) (0.163 COMP385)
Antineoplastic (lung cancer)	0.809	COMP153	(0.700 COMP218) (0.568 COMP382) (0.537 COMP222) (0.408 COMP1463/COMP1465) (0.354 COMP1467) (0.344 COMP172)
Antineoplastic (lymphocytic leukemia)	0.346	COMP153	(0.282 COMP218) (0.248 COMP382) (0.188 COMP222) (0.183 COMP172)
Antineoplastic (lymphoma)	0.415	COMP382	(0.308 COMP153) (0.285 COMP172) (0.276 COMP218) (0.246 COMP1464) (0.195 COMP1467) (0.180 COMP222) (0.165 COMP381)
Antineoplastic (melanoma)	0.793	COMP153	(0.511 COMP218) (0.481 COMP172) (0.430 COMP382) (0.361 COMP222) (0.332 COMP1467)
Antineoplastic (multiple myeloma)	0.634	COMP153	(0.614 COMP172) (0.321 COMP218) (0.270 COMP382) (0.208 COMP222) (0.199 COMP1467)
Antineoplastic (myeloid leukemia)	0.870	COMP1463/COMP1465	(0.385 COMP153)
Antineoplastic (non-Hodgkin's lymphoma)	0.286	COMP381	
Antineoplastic (non-small cell lung cancer)	0.568	COMP153	(0.471 COMP218) (0.376 COMP382) (0.272 COMP172) (0.244 COMP222) (0.217 COMP1464)
Antineoplastic (osteosarcoma)	0.348	COMP218	(0.301 COMP222) (0.261 COMP381) (0.221 COMP382)
Antineoplastic (ovarian cancer)	0.762	COMP153	(0.532 COMP218) (0.428 COMP1467) (0.418 COMP222) (0.341 COMP172) (0.293 COMP381) (0.257 COMP382) (0.225 COMP383) (0.211 COMP1464) (0.171 COMP385)
Antineoplastic (pancreatic cancer)	0.755	COMP153	(0.703 COMP172) (0.458 COMP218) (0.419 COMP1467) (0.410 COMP222) (0.228 COMP1464)
Antineoplastic (renal cancer)	0.515	COMP153	(0.437 COMP218) (0.421 COMP172) (0.353 COMP222) (0.335 COMP382) (0.312 COMP1464) (0.178 COMP1466) (0.174 COMP1467)
Antineoplastic (sarcoma)	0.437	COMP218	(0.352 COMP222) (0.224 COMP1467) (0.193 COMP381) (0.189 COMP382)
Antineoplastic (small cell lung cancer)	0.332	COMP382	(0.331 COMP218) (0.321 COMP1464) (0.319 COMP381) (0.297 COMP222) (0.284 COMP1466) (0.272 COMP172)
Antineoplastic (solid tumors)	0.492	COMP382	(0.300 COMP381)
Antineoplastic (squamous cell carcinoma)	0.512	COMP153	(0.426 COMP1464) (0.364 COMP218) (0.317 COMP1466) (0.238 COMP222) (0.222 COMP382) (0.196 COMP381) (0.176 COMP1463/COMP1465) (0.143 COMP172)
Antineoplastic (uterine cancer)	0.183	COMP218	(0.171 COMP222)
Antineoplastic alkaloid	0.263	COMP1467	(0.235 COMP381) (0.206 COMP1464) (0.204 COMP1463/COMP1465) (0.192 COMP385) (0.139 COMP378/COMP380/COMP384) (0.132 COMP382) (0.129 COMP218) (0.122 COMP383) (0.105 COMP222) (0.094 COMP153) (0.080 COMP1466) (0.076 COMP172)
Antineoplastic antibiotic	0.360	COMP1466	(0.336 COMP1464) (0.226 COMP153) (0.210 COMP172) (0.158 COMP222) (0.143 COMP218) (0.139 COMP381) (0.109 COMP1467) (0.108 COMP383) (0.101 COMP385) (0.078 COMP1463/COMP1465) (0.077 COMP378/COMP380/COMP384)
Antineoplastic antimetabolite	0.216	COMP1464	(0.173 COMP1466) (0.152 COMP381)
Antineoplastic enhancer	0.607	COMP153	(0.490 COMP1467) (0.450 COMP218) (0.432 COMP222) (0.188 COMP172)
Antineoplastic. alkylator	0.293	COMP381	(0.218 COMP1467/COMP378/COMP380/COMP384) (0.187 COMP385) (0.174 COMP383) (0.170 COMP1464) (0.151 COMP1466) (0.141 COMP222)
Antinephritic	0.314	COMP383	(0.224 COMP378/COMP380/COMP384) (0.187 COMP385) (0.179 COMP381)
Antineurogenic pain	0.227	COMP153	(0.225 COMP381)
Antiobesity	0.362	COMP1467	(0.290 COMP381)
Antiosteoporotic	0.699	COMP153	(0.491 COMP172) (0.477 COMP222) (0.472 COMP1467) (0.271 COMP218) (0.169 COMP381) (0.162 COMP382)
Antioxidant	0.701	COMP218	(0.700 COMP222) (0.442 COMP153) (0.288 COMP172) (0.273 COMP1463/COMP1465) (0.226 COMP383) (0.193 COMP385) (0.190 COMP378/COMP380/COMP384) (0.184 COMP1467)
Antiparasitic	0.481	COMP222	(0.424 COMP153) (0.419 COMP218) (0.391 COMP172) (0.212 COMP383) (0.169 COMP381) (0.155 COMP1467) (0.152 COMP385)
Antiparkinsonian	0.755	COMP383	(0.663 COMP381) (0.641 COMP378/COMP380/COMP384) (0.512 COMP385) (0.404 COMP218) (0.360 COMP222) (0.350 COMP1463/COMP1465)
Antiparkinsonian. rigidity relieving	0.418	COMP381	(0.300 COMP1467) (0.282 COMP172) (0.269 COMP153) (0.254 COMP378/COMP380/COMP384) (0.214 COMP385) (0.209 COMP382) (0.194 COMP383) (0.192 COMP1464)
Antiparkinsonian. tremor relieving	0.985	COMP383	(0.977 COMP378/COMP380/COMP384) (0.853 COMP385) (0.506 COMP381) (0.309 COMP222) (0.260 COMP218) (0.115 COMP1464)
Antiprotozoal	0.437	COMP1463/COMP1465	(0.428 COMP153) (0.310 COMP382)
Antiprotozoal (Amoeba)	0.153	COMP222	(0.143 COMP1467) (0.138 COMP218)
Antiprotozoal (Babesia)	0.137	COMP222	(0.120 COMP381)
Antiprotozoal (Coccidial)	0.338	COMP222	(0.288 COMP218) (0.146 COMP381)
Antiprotozoal (Leishmania)	0.510	COMP153	(0.503 COMP1467) (0.396 COMP218) (0.371 COMP222) (0.295 COMP382) (0.256 COMP1463/COMP1465) (0.230 COMP172)
Antiprotozoal (Plasmodium)	0.440	COMP1463/COMP1465	(0.346 COMP382) (0.324 COMP153)
Antiprotozoal (Toxoplasma)	0.155	COMP382	(0.115 COMP172) (0.100 COMP153) (0.095 COMP381)
Antiprotozoal (Trichomonas)	0.153	COMP222	(0.133 COMP381) (0.118 COMP218)
Antiprotozoal (Trypanosoma)	0.207	COMP381	(0.205 COMP218) (0.201 COMP222) (0.188 COMP153)
Antiprotozoal activity enhancer	0.250	COMP1464	(0.225 COMP1466) (0.121 COMP1463/COMP1465) (0.102 COMP381) (0.095 COMP378/COMP380/COMP384) (0.087 COMP383) (0.081 COMP385) (0.079 COMP1467)
Antipruritic	0.204	COMP381	(0.171 COMP1467)
Antipruritic. allergic	0.588	COMP172	(0.574 COMP1467) (0.499 COMP222) (0.489 COMP381) (0.484 COMP378/COMP380/COMP384) (0.476 COMP383) (0.472 COMP153) (0.460 COMP218) (0.444 COMP385) (0.339 COMP1464) (0.305 COMP1466)
