Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.504	COMP1467	(0.497 COMP381) (0.380 COMP378/COMP380/COMP384) (0.364 COMP385) (0.334 COMP153) (0.278 COMP383) (0.259 COMP172) (0.255 COMP222) (0.213 COMP218) (0.211 COMP382) (0.197 COMP1464) (0.176 COMP1466)
Carcinogenic	0.666	COMP383	(0.662 COMP222) (0.515 COMP218) (0.489 COMP172) (0.384 COMP385) (0.362 COMP378/COMP380/COMP384) (0.329 COMP153) (0.250 COMP1467) (0.220 COMP381)
Carcinogenic. group 1	0.685	COMP222	(0.544 COMP218) (0.257 COMP381) (0.191 COMP382) (0.174 COMP1464) (0.155 COMP378/COMP380/COMP384) (0.148 COMP1466/COMP172) (0.145 COMP383/COMP385)
Carcinogenic. group 2A	0.270	COMP222	(0.263 COMP218) (0.156 COMP381) (0.093 COMP382) (0.087 COMP1464)
Carcinogenic. group 2B	0.243	COMP222	(0.185 COMP218) (0.126 COMP153) (0.102 COMP382) (0.087 COMP172)
Carcinogenic. group 3	0.785	COMP222	(0.466 COMP218) (0.229 COMP172) (0.178 COMP153) (0.108 COMP381) (0.100 COMP1464) (0.097 COMP1463/COMP1465)
Cardiodepressant	0.668	COMP381	(0.597 COMP378/COMP380/COMP384) (0.586 COMP385) (0.452 COMP1467) (0.357 COMP383) (0.314 COMP382) (0.265 COMP218) (0.241 COMP222) (0.219 COMP1463/COMP1465) (0.178 COMP1464)
Cytotoxic	0.470	COMP172	(0.457 COMP153) (0.402 COMP218) (0.399 COMP222) (0.361 COMP1467) (0.313 COMP1464) (0.308 COMP381) (0.248 COMP1466) (0.240 COMP383) (0.162 COMP378/COMP380/COMP384) (0.158 COMP385)
DNA damaging	0.505	COMP218	(0.427 COMP222) (0.421 COMP1463/COMP1465) (0.339 COMP172) (0.267 COMP381) (0.248 COMP153) (0.189 COMP382) (0.185 COMP1464) (0.162 COMP383)
Embryotoxic	0.837	COMP383	(0.729 COMP378/COMP380/COMP384) (0.724 COMP385) (0.686 COMP1467) (0.490 COMP381) (0.400 COMP1464) (0.394 COMP222) (0.291 COMP218) (0.290 COMP172) (0.245 COMP1466/COMP153)
Eye irritation. high	0.699	COMP378/COMP380/COMP384	(0.663 COMP383) (0.582 COMP385) (0.323 COMP381) (0.312 COMP222) (0.307 COMP172) (0.186 COMP153) (0.177 COMP218) (0.131 COMP1464) (0.120 COMP1467)
Genotoxic	0.486	COMP222	(0.481 COMP218) (0.186 COMP382) (0.177 COMP381) (0.147 COMP172) (0.146 COMP153) (0.125 COMP1464)
Hypoglycemic	0.464	COMP222	(0.384 COMP218) (0.165 COMP378/COMP380/COMP384)
Mutagenic	0.537	COMP222	(0.494 COMP383) (0.434 COMP218) (0.400 COMP153) (0.257 COMP385) (0.242 COMP378/COMP380/COMP384) (0.206 COMP172) (0.164 COMP381) (0.141 COMP1464)
Pneumotoxic	0.649	COMP381	(0.491 COMP378/COMP380/COMP384) (0.470 COMP222) (0.457 COMP218) (0.409 COMP172) (0.391 COMP385) (0.364 COMP383) (0.313 COMP153) (0.306 COMP1464) (0.288 COMP1466) (0.165 COMP1463/COMP1465)
Sedative	0.800	COMP1463/COMP1465	(0.716 COMP383) (0.545 COMP378/COMP380/COMP384) (0.474 COMP385) (0.294 COMP381) (0.270 COMP1467) (0.245 COMP172) (0.210 COMP153) (0.175 COMP218) (0.143 COMP222)
Sensitization	0.845	COMP153	(0.654 COMP172) (0.549 COMP378/COMP380/COMP384) (0.529 COMP385) (0.483 COMP381) (0.456 COMP222) (0.427 COMP383) (0.362 COMP218) (0.355 COMP1467) (0.137 COMP1464)
Skin irritative effect	0.714	COMP383	(0.648 COMP172) (0.382 COMP378/COMP380/COMP384) (0.277 COMP385) (0.219 COMP222) (0.161 COMP153) (0.120 COMP218)
Teratogen	0.829	COMP383	(0.730 COMP1467) (0.720 COMP378/COMP380/COMP384) (0.718 COMP385) (0.482 COMP381) (0.443 COMP1464) (0.439 COMP222) (0.342 COMP218) (0.321 COMP172) (0.281 COMP153) (0.273 COMP1466)
Toxic. respiratory center	0.285	COMP1467	(0.255 COMP381) (0.182 COMP383) (0.178 COMP385) (0.175 COMP378/COMP380/COMP384)
Ulceration	0.698	COMP218	(0.688 COMP378/COMP380/COMP384) (0.644 COMP222) (0.620 COMP385) (0.565 COMP381) (0.523 COMP383) (0.478 COMP1463/COMP1465) (0.215 COMP1464)
