Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake inhibitor	0.645	COMP381	(0.245 COMP385) (0.206 COMP378/COMP380/COMP384) (0.065 COMP1467) (0.055 COMP1463/COMP1465)
5 Hydroxytryptamine uptake stimulant	0.709	COMP218	(0.678 COMP222) (0.650 COMP381) (0.470 COMP378/COMP380/COMP384) (0.362 COMP385) (0.344 COMP383) (0.329 COMP1464) (0.324 COMP1466) (0.270 COMP172) (0.261 COMP153) (0.232 COMP1467)
Adenosine uptake inhibitor	0.037	COMP381	(0.033 COMP172)
Adrenaline uptake inhibitor	0.553	COMP381	(0.194 COMP378/COMP380/COMP384) (0.156 COMP385) (0.082 COMP383) (0.057 COMP1464)
Apical sodium codependent bile acid transporter inhibitor	0.017	COMP381	
Dopamine transporter inhibitor	0.676	COMP381	(0.412 COMP385) (0.316 COMP378/COMP380/COMP384) (0.179 COMP383) (0.161 COMP1464) (0.107 COMP1466) (0.062 COMP1463/COMP1465)
Dopamine uptake inhibitor	0.325	COMP381	(0.213 COMP385) (0.179 COMP378/COMP380/COMP384) (0.085 COMP1464/COMP383) (0.054 COMP1466) (0.050 COMP1467)
Electron transport complex I inhibitor	0.182	COMP218	(0.132 COMP222)
Endocannabinoid uptake inhibitor	0.081	COMP382	(0.069 COMP222) (0.065 COMP218)
Excitatory amino acid transporter EAAC1 inhibitor	0.193	COMP222	(0.179 COMP381) (0.166 COMP1464) (0.127 COMP1466/COMP378/COMP380/COMP384) (0.099 COMP218) (0.097 COMP383)
GABA transporter 3 inhibitor	0.029	COMP222	
GABA uptake inhibitor	0.044	COMP153/COMP172	
Ileal bile acid transport inhibitor	0.018	COMP1467	(0.017 COMP381)
Monocarboxylic acid transporter 1 inhibitor	0.027	COMP222	(0.022 COMP218)
Monocarboxylic acid transporter inhibitor	0.027	COMP222	(0.022 COMP218)
Multidrug resistance-associated protein 1 inhibitor	0.208	COMP218	(0.185 COMP222) (0.100 COMP382)
Nucleoside transporters inhibitor	0.054	COMP218	(0.044 COMP222)
P-glycoprotein inhibitor	0.493	COMP383	(0.484 COMP385) (0.399 COMP378/COMP380/COMP384) (0.387 COMP218) (0.271 COMP222) (0.197 COMP1467) (0.189 COMP153) (0.182 COMP382) (0.181 COMP381) (0.151 COMP172)
Sodium-dependent vitamin C transporter 2 inhibitor	0.090	COMP222	(0.048 COMP218) (0.038 COMP1464) (0.037 COMP381)
Sodium/bile acid cotransporter inhibitor	0.451	COMP1467	(0.420 COMP385) (0.419 COMP378/COMP380/COMP384) (0.407 COMP383) (0.373 COMP381) (0.339 COMP222) (0.316 COMP218) (0.298 COMP172) (0.225 COMP1464)
Sodium/glucose cotransporter 1 inhibitor	0.027	COMP1464	
Sodium/glucose cotransporter 2 inhibitor	0.026	COMP1464/COMP382	
Sodium/glucose cotransporter inhibitor	0.026	COMP1464	
Sodium/hydrogen exchanger 5 inhibitor	0.087	COMP381	
Vesicle monoamine transporter inhibitor	0.127	COMP382	(0.122 COMP381) (0.062 COMP378/COMP380/COMP384) (0.051 COMP385) (0.045 COMP383) (0.035 COMP1463/COMP1465)
Vesicular acetylcholine transporter inhibitor	0.119	COMP381	(0.057 COMP385) (0.051 COMP378/COMP380/COMP384) (0.033 COMP1464/COMP383) (0.023 COMP1466)
Vesicular glutamate transport inhibitor	0.019	COMP222	(0.016 COMP382)
