Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.854	COMP329	(0.196 COMP330/COMP332)
15-Lipoxygenase inhibitor	0.748	COMP329	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.237	COMP329	
5 Hydroxytryptamine 1 antagonist	0.117	COMP330/COMP332	
5 Hydroxytryptamine 1A agonist	0.042	COMP330/COMP332	
5 Hydroxytryptamine 1A antagonist	0.113	COMP330/COMP332	
5 Hydroxytryptamine 1E antagonist	0.268	COMP330/COMP332	(0.171 COMP329)
5 Hydroxytryptamine 1F antagonist	0.102	COMP330/COMP332	
5 Hydroxytryptamine 2 antagonist	0.114	COMP330/COMP332	
5 Hydroxytryptamine 2A agonist	0.070	COMP330/COMP332	
5 Hydroxytryptamine 2A antagonist	0.086	COMP330/COMP332	
5 Hydroxytryptamine 2B antagonist	0.172	COMP330/COMP332	
5 Hydroxytryptamine 2C antagonist	0.099	COMP330/COMP332	
5 Hydroxytryptamine 6 antagonist	0.072	COMP330/COMP332	
5 Hydroxytryptamine 7 agonist	0.068	COMP330/COMP332	
5 Hydroxytryptamine 7 antagonist	0.104	COMP330/COMP332	
5 Hydroxytryptamine antagonist	0.234	COMP330/COMP332	
5 Hydroxytryptamine release inhibitor	0.554	COMP329	(0.252 COMP330/COMP332)
5 Hydroxytryptamine release stimulant	0.594	COMP330/COMP332	(0.216 COMP329)
5 Hydroxytryptamine uptake stimulant	0.390	COMP329	(0.223 COMP330/COMP332)
5-Lipoxygenase inhibitor	0.392	COMP329	
AMP-activated protein kinase stimulant	0.247	COMP329	(0.165 COMP330/COMP332)
ATP citrate lysase inhibitor	0.038	COMP329	
ATPase inhibitor	0.143	COMP329	
Acetylcholine M1 receptor antagonist	0.132	COMP330/COMP332	
Acetylcholine antagonist	0.412	COMP330/COMP332	
Acetylcholine muscarinic antagonist	0.134	COMP330/COMP332	
Acetylcholine nicotinic antagonist	0.595	COMP330/COMP332	
Acetylcholinesterase inhibitor	0.466	COMP329	(0.215 COMP330/COMP332)
Adenosine A3 receptor antagonist	0.075	COMP329	
Adenylate cyclase stimulant	0.143	COMP329	
Adrenaline antagonist	0.223	COMP330/COMP332	
Alcohol dehydrogenase inhibitor	0.176	COMP329	
Aldehyde dehydrogenase inhibitor	0.223	COMP329	
Aldehyde oxidase inhibitor	0.884	COMP329	(0.152 COMP330/COMP332)
Aldose reductase inhibitor	0.378	COMP329	
Alkaline phosphatase inhibitor	0.542	COMP329	
Alkylator	0.207	COMP329	(0.149 COMP330/COMP332)
Alpha 1 adrenoreceptor antagonist	0.155	COMP330/COMP332	
Alpha 1a adrenoreceptor antagonist	0.120	COMP330/COMP332	
Alpha 1b adrenoreceptor antagonist	0.061	COMP330/COMP332	
Alpha 2 adrenoreceptor antagonist	0.330	COMP330/COMP332	
Alpha 2a adrenoreceptor antagonist	0.248	COMP330/COMP332	
Alpha 2b adrenoreceptor antagonist	0.169	COMP330/COMP332	
Alpha 2c adrenoreceptor antagonist	0.205	COMP330/COMP332	
Alpha adrenoreceptor antagonist	0.267	COMP330/COMP332	
Alpha tubulin antagonist	0.375	COMP329	(0.067 COMP330/COMP332)
Amylase inhibitor	0.565	COMP329	
Amyloid beta aggregation inhibitor	0.746	COMP329	(0.208 COMP330/COMP332)
Amyloid beta precursor protein antagonist	0.281	COMP329	
Anabolic	0.102	COMP329	
Analgesic	0.507	COMP330/COMP332	
Analgesic. opioid	0.392	COMP330/COMP332	
Androgen antagonist	0.105	COMP329	
Anesthetic general	0.721	COMP330/COMP332	(0.164 COMP329)
Angiogenesis inhibitor	0.271	COMP329	
Angiogenesis stimulant	0.335	COMP329	
Antiadrenergic	0.233	COMP330/COMP332	
Antiamyloidogenic	0.565	COMP329	(0.156 COMP330/COMP332)
Antibacterial	0.464	COMP329	(0.334 COMP330/COMP332)
Antiinflammatory	0.661	COMP329	
Antimitotic	0.448	COMP329	(0.383 COMP330/COMP332)
Antineoplastic alkaloid	0.154	COMP330/COMP332	
Antineoplastic antibiotic	0.160	COMP329	
Antioxidant	0.857	COMP329	(0.331 COMP330/COMP332)
Antithrombotic	0.318	COMP329	
Apoptosis agonist	0.873	COMP329	(0.754 COMP330/COMP332)
Apoptosis antagonist	0.564	COMP329	(0.305 COMP330/COMP332)
Arachidonic acid antagonist	0.178	COMP329	
Arginase inhibitor	0.056	COMP329	
Aromatase inhibitor	0.178	COMP329	
Aryl hydrocarbon receptor agonist	0.657	COMP329	
Aryl hydrocarbon receptor antagonist	0.124	COMP329	
Beta 3 adrenoreceptor antagonist	0.062	COMP329	
Beta adrenoreceptor antagonist	0.059	COMP329	
Beta amyloid protein antagonist	0.140	COMP329	
Beta glucuronidase inhibitor	0.355	COMP329	
Beta tubulin antagonist	0.354	COMP329	(0.070 COMP330/COMP332)
Bone formation stimulant	0.275	COMP329	
Breast cancer-resistant protein inhibitor	0.753	COMP329	(0.188 COMP330/COMP332)
Bronchodilator	0.122	COMP329	(0.092 COMP330/COMP332)
Butyrylcholinesterase inhibitor	0.283	COMP329	(0.199 COMP330/COMP332)
CD45 antagonist	0.076	COMP329	
CDC25A inhibitor	0.191	COMP329	
CDC25B inhibitor	0.115	COMP329	
CF transmembrane conductance regulator agonist	0.196	COMP329	
Ca2+-transporting ATPase inhibitor	0.135	COMP329	
Calcium antagonist	0.378	COMP330/COMP332	(0.077 COMP329)
Calcium channel L-type blocker	0.121	COMP330/COMP332	
Carbonic anhydrase III inhibitor	0.492	COMP329	
Carbonic anhydrase V inhibitor	0.158	COMP329	
Carbonic anhydrase VA inhibitor	0.147	COMP329	
Carbonic anhydrase VB inhibitor	0.067	COMP329	
Carbonic anhydrase VI inhibitor	0.445	COMP329	
Carbonic anhydrase VII inhibitor	0.288	COMP329	
Carbonic anhydrase XII inhibitor	0.069	COMP329	
Carbonic anhydrase XIII inhibitor	0.618	COMP329	
Carbonic anhydrase XIV inhibitor	0.105	COMP329	
Carbonic anhydrase XV inhibitor	0.350	COMP329	
Caspase 3 stimulant	0.779	COMP329	(0.458 COMP330/COMP332)
Caspase 9 stimulant	0.925	COMP329	(0.398 COMP330/COMP332)
Chelator	0.343	COMP329	
Cholesterol esterase inhibitor	0.045	COMP329	
Cholesterol synthesis inhibitor	0.185	COMP329	
Cholinergic	0.362	COMP329	(0.229 COMP330/COMP332)
Cholinergic antagonist	0.412	COMP330/COMP332	
Creatine kinase inhibitor	0.436	COMP329	
Cyclic AMP phosphodiesterase inhibitor	0.262	COMP329	
Cyclin B inhibitor	0.055	COMP329	
Cyclin B1 inhibitor	0.070	COMP329	
Cyclin B2 inhibitor	0.066	COMP329	
Cyclin B3 inhibitor	0.194	COMP329	
Cyclin D1 inhibitor	0.054	COMP329	
Cyclooxygenase 1 inhibitor	0.234	COMP329	
Cyclooxygenase 2 inhibitor	0.181	COMP329	
Cyclooxygenase 3 inhibitor	0.292	COMP329	
Cyclooxygenase inhibitor	0.216	COMP329	
Cyclophilin D inhibitor	0.340	COMP329	
Cystathionine beta-synthase inhibitor	0.775	COMP329	
Cytokine production inhibitor	0.282	COMP329	
D-Ala-D-Ala ligase inhibitor	0.224	COMP329	
DNA damaging	0.584	COMP329	(0.314 COMP330/COMP332)
DNA directed DNA polymerase inhibitor	0.406	COMP329	
DNA gyrase subunit A inhibitor	0.046	COMP329	
DNA intercalator	0.113	COMP329	
DNA methylase inhibitor	0.441	COMP329	(0.392 COMP330/COMP332)
DNA methyltransferase I inhibitor	0.484	COMP329	
DNA polymerase I inhibitor	0.151	COMP329	
DNA polymerase beta inhibitor	0.432	COMP329	
DNA repair enzyme inhibitor	0.166	COMP329	
DNA-dependent protein kinase inhibitor	0.057	COMP329	
DOPA decarboxylase inhibitor	0.216	COMP329	
Death-associated protein kinase 2 inhibitor	0.162	COMP329	
Dopamine D1 agonist	0.057	COMP330/COMP332	(0.025 COMP329)
Dopamine D1 antagonist	0.599	COMP330/COMP332	(0.070 COMP329)
Dopamine D2 agonist	0.286	COMP330/COMP332	
Dopamine D2 antagonist	0.394	COMP330/COMP332	
Dopamine D3 antagonist	0.093	COMP330/COMP332	
Dopamine D4 antagonist	0.071	COMP330/COMP332	
Dopamine D5 agonist	0.067	COMP329	(0.048 COMP330/COMP332)
Dopamine D5 antagonist	0.236	COMP330/COMP332	
Dopamine agonist	0.369	COMP330/COMP332	
Dopamine antagonist	0.434	COMP330/COMP332	
Dopamine transporter inhibitor	0.050	COMP330/COMP332	
Dopamine uptake inhibitor	0.069	COMP330/COMP332	
Dual specificity phosphatase 3 inhibitor	0.365	COMP329	
Dual specificity phosphatase inhibitor	0.394	COMP329	
Dual specificity tyrosine-phosphorylation regulated kinase 1A inhibitor	0.343	COMP329	
Dyrk kinase inhibitor	0.307	COMP329	
Electron transport complex I inhibitor	0.273	COMP329	(0.242 COMP330/COMP332)
Estradiol 17 beta-dehydrogenase 1 inhibitor	0.062	COMP329	
Estrogen agonist	0.160	COMP329	
Estrogen antagonist	0.230	COMP329	(0.104 COMP330/COMP332)
Estrogen receptor alpha antagonist	0.179	COMP329	
Estrogen receptor beta antagonist	0.228	COMP329	(0.097 COMP330/COMP332)
Estrogen-related receptor alpha antagonist	0.029	COMP329	
Estrogen-related receptor beta antagonist	0.052	COMP329	
Estrone sulfatase inhibitor	0.024	COMP329	
Expectorant	0.195	COMP329	(0.104 COMP330/COMP332)
Factor III inhibitor	0.057	COMP330/COMP332	
Farnesoid X receptor antagonist	0.133	COMP329	
Fatty acid synthase inhibitor	0.136	COMP329	
Free radical scavenger	0.874	COMP329	(0.414 COMP330/COMP332)
GABA B receptor antagonist	0.085	COMP329	
GABA C receptor antagonist	0.151	COMP329	
GABA C receptor rho-1 antagonist	0.177	COMP329	
GABA C receptor rho-2 antagonist	0.318	COMP329	
GABA C receptor rho-3 antagonist	0.565	COMP329	
Glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase inhibitor	0.449	COMP329	
Glucose-6-phosphate translocase inhibitor	0.101	COMP329	
Glutamate (mGluR7) antagonist	0.105	COMP329	
Glutamate decarboxylase inhibitor	0.071	COMP329	
Glutathione S-transferase inhibitor	0.082	COMP329	
Glyceraldehyde-3-phosphate dehydrogenase inhibitor	0.454	COMP329	
Granulocyte macrophage colony stimulating factor agonist	0.113	COMP329	
HIV-1 integrase (3'-Processing) inhibitor	0.338	COMP329	
HIV-1 integrase (Overall Integration) inhibitor	0.111	COMP329	
HIV-1 integrase (Strand Transfer) inhibitor	0.312	COMP329	
HIV-1 integrase inhibitor	0.151	COMP329	
Heat shock protein 70 antagonist	0.218	COMP329	
Heat shock protein 90 alpha antagonist	0.272	COMP329	
Heat shock protein 90 antagonist	0.327	COMP329	
Heat shock protein 90 beta antagonist	0.112	COMP329	
Hemostatic	0.237	COMP329	
Hepatoprotectant	0.473	COMP329	(0.281 COMP330/COMP332)
Hexokinase inhibitor	0.143	COMP329	
Histamine N-methyltransferase inhibitor	0.216	COMP330/COMP332	
Histamine release inhibitor	0.693	COMP329	(0.648 COMP330/COMP332)
Histidine decarboxylase inhibitor	0.292	COMP329	
