Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.225	COMP887	(0.167 COMP2451) (0.165 COMP1136) (0.145 COMP49) (0.141 COMP48) (0.136 COMP238) (0.109 COMP2463) (0.098 COMP779) (0.091 COMP2464) (0.086 COMP2461/COMP2466)
AR expression inhibitor	0.937	COMP48/COMP49	(0.911 COMP2463) (0.902 COMP1414/COMP462) (0.895 COMP2461) (0.884 COMP2460) (0.883 COMP2453) (0.881 COMP2454/COMP779) (0.877 COMP2456/COMP2469) (0.875 COMP1419) (0.873 COMP2455) (0.868 COMP2459) (0.866 COMP2457/COMP2465) (0.865 COMP2458) (0.862 COMP2464) (0.861 COMP2462/COMP2468) (0.851 COMP2466) (0.850 COMP2452/COMP2467) (0.771 COMP301) (0.726 COMP1838) (0.666 COMP238) (0.587 COMP887) (0.581 COMP2018) (0.504 COMP2451) (0.444 COMP1136) (0.358 COMP2450) (0.195 COMP396)
CTGF expression inhibitor	0.928	COMP48	(0.919 COMP49) (0.900 COMP779) (0.885 COMP2463) (0.876 COMP2466) (0.872 COMP2464) (0.843 COMP2460) (0.836 COMP2458) (0.830 COMP1419/COMP2461) (0.829 COMP2454) (0.802 COMP887) (0.800 COMP2452/COMP2467) (0.792 COMP2462) (0.790 COMP2459) (0.784 COMP2468) (0.768 COMP2457/COMP2465) (0.766 COMP1414) (0.759 COMP2469) (0.758 COMP462) (0.757 COMP2453) (0.750 COMP2456) (0.728 COMP2455) (0.714 COMP2451) (0.664 COMP301) (0.642 COMP1136) (0.630 COMP1838) (0.283 COMP2448) (0.249 COMP2449) (0.248 COMP2450) (0.215 COMP396) (0.191 COMP238)
GRP78 expression inhibitor	0.048	COMP1136	(0.046 COMP2448) (0.043 COMP2451) (0.040 COMP2449) (0.020 COMP301)
ICAM1 expression inhibitor	0.688	COMP238	(0.685 COMP2018) (0.578 COMP301) (0.564 COMP49) (0.562 COMP2463) (0.560 COMP48) (0.556 COMP1838) (0.514 COMP779) (0.513 COMP2464) (0.509 COMP2466) (0.507 COMP462) (0.506 COMP2460) (0.504 COMP1414) (0.501 COMP2454/COMP2459) (0.500 COMP2468) (0.498 COMP1419) (0.497 COMP2462) (0.495 COMP2458) (0.494 COMP2452/COMP2467) (0.488 COMP2453) (0.487 COMP2456) (0.484 COMP2461/COMP2469) (0.481 COMP2457/COMP2465) (0.480 COMP2455) (0.457 COMP2451) (0.452 COMP887) (0.412 COMP1136) (0.359 COMP396)
LDLR expression enhancer	0.349	COMP48	(0.339 COMP2463) (0.336 COMP779) (0.331 COMP2466) (0.315 COMP2464) (0.314 COMP49) (0.312 COMP887) (0.307 COMP2457/COMP2465) (0.300 COMP2453) (0.297 COMP2458) (0.295 COMP2461) (0.293 COMP2469) (0.291 COMP2454) (0.288 COMP2452/COMP2467) (0.284 COMP1419) (0.283 COMP2455) (0.282 COMP2459/COMP2460) (0.276 COMP2462) (0.275 COMP2456) (0.260 COMP2468) (0.213 COMP1414) (0.197 COMP462) (0.193 COMP2451) (0.189 COMP1136) (0.158 COMP238) (0.149 COMP1838)
NOS2 expression inhibitor	0.965	COMP1838	(0.963 COMP1414) (0.960 COMP462) (0.958 COMP301) (0.913 COMP779) (0.903 COMP48) (0.885 COMP2463) (0.875 COMP2466) (0.871 COMP49) (0.860 COMP2464) (0.858 COMP2458) (0.852 COMP2460) (0.841 COMP1419) (0.840 COMP2454) (0.797 COMP2452/COMP2467) (0.783 COMP2461) (0.778 COMP2459/COMP2462) (0.762 COMP2457/COMP2465) (0.761 COMP2018) (0.758 COMP2468) (0.746 COMP2469) (0.745 COMP2453) (0.728 COMP2456) (0.718 COMP2455) (0.649 COMP887) (0.596 COMP238) (0.422 COMP2451) (0.390 COMP1136) (0.229 COMP2448) (0.215 COMP2449) (0.162 COMP396)
NOS3 expression enhancer	0.731	COMP462	(0.730 COMP1414) (0.721 COMP301) (0.703 COMP48) (0.697 COMP49) (0.690 COMP1838) (0.599 COMP2463) (0.567 COMP779) (0.550 COMP887) (0.524 COMP2464) (0.502 COMP2466) (0.463 COMP2461) (0.434 COMP2460) (0.401 COMP1419) (0.397 COMP2469) (0.387 COMP2454/COMP2456) (0.384 COMP2453/COMP2458) (0.380 COMP2457/COMP2465) (0.376 COMP2462) (0.366 COMP2468) (0.363 COMP2459) (0.361 COMP2452/COMP2467) (0.344 COMP2455) (0.163 COMP2451) (0.132 COMP1136) (0.128 COMP2448)
NOS3 expression inhibitor	0.837	COMP301	(0.834 COMP49) (0.827 COMP48) (0.798 COMP1838) (0.729 COMP2463) (0.713 COMP462) (0.711 COMP2451) (0.703 COMP1414) (0.689 COMP779) (0.650 COMP2464) (0.638 COMP2466) (0.606 COMP1136) (0.602 COMP2460) (0.590 COMP2454) (0.582 COMP1419/COMP2461) (0.573 COMP2458) (0.564 COMP2018) (0.562 COMP2468) (0.558 COMP2459) (0.550 COMP2462) (0.541 COMP2452/COMP2467) (0.539 COMP2456) (0.535 COMP2453) (0.529 COMP2469) (0.525 COMP2455) (0.520 COMP2457/COMP2465) (0.470 COMP238) (0.454 COMP887) (0.184 COMP2449)
TNF expression inhibitor	0.959	COMP1838	(0.951 COMP301) (0.877 COMP48) (0.858 COMP2018) (0.847 COMP49) (0.841 COMP779) (0.833 COMP887) (0.832 COMP2463) (0.812 COMP2466) (0.809 COMP238) (0.799 COMP2464) (0.769 COMP1414) (0.748 COMP462) (0.729 COMP2460) (0.728 COMP2458) (0.725 COMP2454) (0.715 COMP1419) (0.709 COMP2452/COMP2467) (0.705 COMP2459) (0.700 COMP2451) (0.695 COMP2462) (0.677 COMP2461) (0.675 COMP2468) (0.667 COMP2457/COMP2465) (0.663 COMP2453) (0.654 COMP2469) (0.636 COMP2456) (0.633 COMP2455) (0.610 COMP1136) (0.361 COMP2449) (0.338 COMP2448) (0.285 COMP396)
VCAM1 expression inhibitor	0.668	COMP1838	(0.602 COMP301) (0.578 COMP887) (0.405 COMP2451) (0.369 COMP462) (0.356 COMP1136) (0.354 COMP1414) (0.346 COMP779) (0.345 COMP2466) (0.334 COMP2464) (0.324 COMP2454/COMP2459) (0.323 COMP2468) (0.321 COMP2452/COMP2458/COMP2467) (0.319 COMP2460) (0.311 COMP1419/COMP2462) (0.309 COMP2463) (0.308 COMP49) (0.306 COMP48) (0.304 COMP2455) (0.299 COMP2453/COMP2456) (0.296 COMP2457/COMP2465) (0.287 COMP2469) (0.270 COMP2461) (0.219 COMP2449) (0.203 COMP396) (0.186 COMP2448)
VEGF expression inhibitor	0.444	COMP779	(0.433 COMP48) (0.402 COMP49) (0.391 COMP2466) (0.380 COMP2464) (0.351 COMP2463) (0.331 COMP2458) (0.328 COMP2460) (0.323 COMP2454) (0.322 COMP1419/COMP2461) (0.303 COMP2452/COMP2467) (0.296 COMP2459/COMP2462) (0.290 COMP2468) (0.284 COMP2457/COMP2465) (0.278 COMP2453/COMP2469) (0.272 COMP2456) (0.269 COMP2455) (0.250 COMP1414) (0.246 COMP462) (0.240 COMP887) (0.229 COMP2451) (0.228 COMP1136) (0.225 COMP1838) (0.217 COMP301) (0.208 COMP2448) (0.195 COMP2449)
