Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.327	COMP2451	(0.311 COMP2450) (0.288 COMP1136) (0.254 COMP887) (0.122 COMP238)
Aldehyde dehydrogenase substrate	0.344	COMP2450	(0.289 COMP2451) (0.251 COMP1136) (0.206 COMP887) (0.118 COMP2448) (0.098 COMP1838)
Aldehyde oxidase substrate	0.302	COMP1136/COMP2451	(0.274 COMP2448) (0.205 COMP887) (0.169 COMP2449) (0.168 COMP2459) (0.164 COMP2452/COMP2466/COMP2467) (0.159 COMP2462/COMP2464) (0.151 COMP2453) (0.150 COMP2454) (0.148 COMP2457/COMP2465) (0.147 COMP2458) (0.143 COMP2463/COMP2469) (0.142 COMP1419/COMP2461) (0.140 COMP2455) (0.139 COMP2450/COMP48) (0.134 COMP2468)
Aldose reductase substrate	0.442	COMP301	(0.411 COMP2450) (0.402 COMP1838) (0.358 COMP1136) (0.319 COMP2451) (0.300 COMP462) (0.290 COMP1414) (0.254 COMP2018) (0.180 COMP887)
Arylamine N-Acetyltransferase substrate	0.371	COMP2451	(0.316 COMP1136) (0.196 COMP2448) (0.125 COMP2468) (0.123 COMP49) (0.115 COMP887) (0.114 COMP48) (0.113 COMP2460) (0.102 COMP2462) (0.099 COMP2456) (0.092 COMP2452/COMP2467) (0.089 COMP2449/COMP2459) (0.085 COMP1419/COMP2461) (0.074 COMP2458) (0.072 COMP2469) (0.071 COMP2454)
CYP1A2 inhibitor	0.977	COMP779	(0.945 COMP48) (0.940 COMP2463) (0.934 COMP2458) (0.933 COMP2460) (0.931 COMP1419) (0.919 COMP2461) (0.914 COMP49) (0.912 COMP2454) (0.895 COMP2466) (0.892 COMP2464) (0.851 COMP2452/COMP2467) (0.847 COMP2462) (0.844 COMP2457/COMP2465) (0.840 COMP2469) (0.828 COMP2468) (0.822 COMP2456) (0.817 COMP2459) (0.810 COMP2453) (0.791 COMP2455) (0.455 COMP1838) (0.430 COMP887) (0.397 COMP301) (0.371 COMP2448) (0.351 COMP396) (0.272 COMP1414) (0.262 COMP462)
CYP1A2 substrate	0.912	COMP48	(0.905 COMP49) (0.812 COMP779) (0.808 COMP2461) (0.760 COMP2463) (0.739 COMP2460) (0.691 COMP1419) (0.687 COMP2464) (0.684 COMP2458) (0.680 COMP2466) (0.664 COMP2454) (0.657 COMP2456) (0.636 COMP2469) (0.628 COMP2457/COMP2465) (0.616 COMP2468) (0.604 COMP2453) (0.593 COMP2462) (0.586 COMP2452/COMP2467) (0.582 COMP2455) (0.572 COMP301) (0.569 COMP1838) (0.564 COMP2459/COMP887) (0.532 COMP462) (0.512 COMP1414) (0.498 COMP2448) (0.400 COMP2451) (0.340 COMP1136) (0.242 COMP2449)
CYP2A6 inhibitor	0.231	COMP2448	(0.127 COMP49) (0.093 COMP48) (0.081 COMP2451) (0.080 COMP1136/COMP396) (0.074 COMP2468) (0.070 COMP2460) (0.068 COMP779)
CYP2B6 inhibitor	0.381	COMP779	(0.374 COMP48) (0.356 COMP49) (0.325 COMP2460) (0.321 COMP2464) (0.320 COMP887) (0.319 COMP2466) (0.317 COMP1419/COMP2461) (0.315 COMP2458) (0.304 COMP2454) (0.303 COMP2451) (0.296 COMP2463) (0.282 COMP2462/COMP2468) (0.280 COMP2452/COMP2467) (0.269 COMP2459) (0.268 COMP1136) (0.258 COMP2456/COMP2469) (0.256 COMP2457/COMP2465) (0.245 COMP2453) (0.236 COMP2455) (0.231 COMP2448/COMP396) (0.156 COMP1414/COMP462)
CYP2C19 inhibitor	0.672	COMP2463	(0.659 COMP779) (0.651 COMP48) (0.640 COMP49) (0.624 COMP2461) (0.623 COMP2464) (0.615 COMP1419) (0.610 COMP2460) (0.606 COMP2466) (0.597 COMP2458) (0.583 COMP2454) (0.579 COMP2462) (0.571 COMP2468) (0.564 COMP2469) (0.560 COMP2452/COMP2467) (0.557 COMP2456) (0.548 COMP2459) (0.547 COMP2457/COMP2465) (0.537 COMP1414) (0.536 COMP2453) (0.534 COMP2455) (0.530 COMP462) (0.480 COMP887) (0.436 COMP396) (0.393 COMP2448) (0.376 COMP1838) (0.354 COMP301) (0.322 COMP2449) (0.301 COMP2451) (0.246 COMP1136)
