Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.485	COMP2451	(0.453 COMP238) (0.442 COMP1136) (0.375 COMP887) (0.330 COMP2449) (0.279 COMP2448) (0.227 COMP2468) (0.225 COMP2018) (0.210 COMP49) (0.207 COMP2462) (0.204 COMP2455/COMP2459) (0.203 COMP2456) (0.202 COMP2464) (0.201 COMP48) (0.198 COMP2452/COMP2467) (0.194 COMP2466/COMP779) (0.191 COMP1419) (0.189 COMP2454) (0.188 COMP2460) (0.187 COMP2469) (0.185 COMP2453) (0.183 COMP2458/COMP2463) (0.180 COMP2457/COMP2465) (0.169 COMP2461) (0.148 COMP2450)
Carcinogenic	0.912	COMP301	(0.848 COMP1838) (0.818 COMP1414) (0.814 COMP462) (0.753 COMP48) (0.724 COMP49) (0.614 COMP2463) (0.612 COMP779) (0.590 COMP2461) (0.574 COMP2018) (0.544 COMP2464) (0.512 COMP2460) (0.500 COMP2451) (0.499 COMP2466) (0.493 COMP2469) (0.483 COMP2456) (0.475 COMP1419) (0.456 COMP2453) (0.452 COMP2457/COMP2465) (0.446 COMP2462) (0.442 COMP2454) (0.438 COMP2468) (0.437 COMP2458) (0.433 COMP887) (0.417 COMP2455) (0.412 COMP2459) (0.406 COMP2452/COMP2467) (0.386 COMP238) (0.349 COMP1136) (0.169 COMP2448) (0.138 COMP2449)
Carcinogenic. group 1	0.550	COMP2451	(0.519 COMP1136) (0.405 COMP2456) (0.393 COMP301) (0.368 COMP2468) (0.357 COMP1838) (0.355 COMP2455) (0.328 COMP2469) (0.318 COMP2453) (0.316 COMP2457/COMP2465) (0.313 COMP49) (0.299 COMP2462/COMP2464) (0.294 COMP2461) (0.291 COMP2459) (0.289 COMP2452/COMP2466/COMP2467) (0.269 COMP2463) (0.268 COMP48) (0.266 COMP2460) (0.261 COMP462) (0.254 COMP779) (0.243 COMP1419) (0.237 COMP2454) (0.235 COMP2458) (0.228 COMP396) (0.223 COMP887) (0.217 COMP1414) (0.193 COMP2449) (0.189 COMP2448)
Carcinogenic. group 2A	0.184	COMP1136	(0.166 COMP396) (0.165 COMP2451) (0.158 COMP301) (0.148 COMP1838) (0.130 COMP462) (0.126 COMP2448) (0.123 COMP2455) (0.122 COMP1414) (0.104 COMP2453/COMP2456) (0.097 COMP2469) (0.096 COMP2461) (0.093 COMP887) (0.092 COMP2457/COMP2465) (0.090 COMP2459/COMP2468) (0.083 COMP2462/COMP2464) (0.079 COMP2452/COMP2466/COMP2467) (0.077 COMP49) (0.074 COMP2454)
Carcinogenic. group 2B	0.348	COMP887	(0.248 COMP1136) (0.232 COMP49) (0.226 COMP48) (0.221 COMP2464) (0.216 COMP2451) (0.202 COMP301) (0.194 COMP1414) (0.189 COMP779) (0.188 COMP2463/COMP2466) (0.183 COMP462) (0.158 COMP2448) (0.151 COMP2462) (0.145 COMP1838) (0.141 COMP1419/COMP2461/COMP2468) (0.140 COMP2460) (0.125 COMP2452/COMP2467/COMP2469) (0.124 COMP2459) (0.115 COMP2456) (0.114 COMP2454/COMP2458) (0.098 COMP2453/COMP2457/COMP2465) (0.095 COMP2449) (0.088 COMP2455)
Carcinogenic. group 3	0.799	COMP49	(0.751 COMP48) (0.474 COMP2463) (0.426 COMP779) (0.420 COMP462) (0.413 COMP2451) (0.409 COMP2464) (0.395 COMP301) (0.354 COMP2466) (0.343 COMP1414) (0.338 COMP2468) (0.325 COMP1136) (0.320 COMP2460) (0.291 COMP2456) (0.282 COMP2462) (0.277 COMP887) (0.274 COMP1419) (0.260 COMP2461) (0.240 COMP1838) (0.235 COMP2452/COMP2467) (0.233 COMP2459) (0.228 COMP2458) (0.227 COMP2454) (0.225 COMP2469) (0.197 COMP2455) (0.187 COMP2457/COMP2465) (0.186 COMP2453) (0.126 COMP2450) (0.115 COMP2449) (0.111 COMP2448) (0.104 COMP396)
Cardiodepressant	0.592	COMP2452/COMP2467	(0.583 COMP2459) (0.575 COMP2462) (0.553 COMP2468) (0.540 COMP2457/COMP2465) (0.530 COMP2453) (0.519 COMP2458/COMP2469) (0.516 COMP2466) (0.508 COMP2454/COMP2455) (0.503 COMP238) (0.496 COMP1419) (0.492 COMP2464) (0.491 COMP2456) (0.490 COMP2460) (0.426 COMP2463) (0.411 COMP2461) (0.403 COMP779) (0.360 COMP2451) (0.330 COMP1136) (0.329 COMP48) (0.317 COMP887) (0.314 COMP49) (0.269 COMP2449) (0.243 COMP2448) (0.150 COMP1414) (0.148 COMP1838) (0.135 COMP301) (0.133 COMP462)
Cytotoxic	0.762	COMP2018	(0.626 COMP1414/COMP1838/COMP301) (0.623 COMP462) (0.595 COMP238) (0.455 COMP2463) (0.454 COMP48) (0.446 COMP779) (0.441 COMP2460) (0.435 COMP2453/COMP2459) (0.433 COMP2462/COMP2469) (0.432 COMP2452/COMP2467) (0.431 COMP2457/COMP2465) (0.429 COMP2464) (0.428 COMP2454/COMP2466) (0.427 COMP2468) (0.426 COMP1419/COMP2456) (0.425 COMP2458) (0.423 COMP49) (0.414 COMP2461) (0.413 COMP2455) (0.335 COMP2451) (0.291 COMP887) (0.263 COMP1136) (0.187 COMP396) (0.172 COMP2448) (0.167 COMP2449)
DNA damaging	0.851	COMP1838	(0.824 COMP301) (0.677 COMP1414) (0.644 COMP462) (0.628 COMP2453) (0.626 COMP2457/COMP2465) (0.611 COMP2461) (0.610 COMP2455) (0.606 COMP2454/COMP2469) (0.604 COMP2458) (0.589 COMP2459) (0.588 COMP2466) (0.587 COMP2452/COMP2467) (0.585 COMP779) (0.583 COMP1419) (0.568 COMP2456) (0.567 COMP2464) (0.565 COMP2462) (0.564 COMP2460) (0.525 COMP2468) (0.506 COMP2463) (0.479 COMP48) (0.441 COMP49) (0.437 COMP887) (0.354 COMP2451) (0.311 COMP2448) (0.252 COMP1136) (0.205 COMP396)
Embryotoxic	0.768	COMP301	(0.702 COMP1838) (0.585 COMP2451) (0.515 COMP1414) (0.512 COMP462) (0.461 COMP48) (0.443 COMP1136) (0.438 COMP49) (0.434 COMP2018) (0.377 COMP887) (0.296 COMP2463) (0.279 COMP2469) (0.276 COMP2456) (0.274 COMP2464) (0.273 COMP2453) (0.271 COMP779) (0.268 COMP2462) (0.266 COMP2468) (0.263 COMP2459/COMP2461) (0.262 COMP2455) (0.258 COMP2460) (0.254 COMP2457/COMP2465) (0.249 COMP1419) (0.248 COMP2466) (0.244 COMP2454) (0.243 COMP2452/COMP2467) (0.231 COMP2449) (0.227 COMP2458) (0.163 COMP238)
