Name	Activation_Prob	Compound	Another_Probs
Aconitate hydratase inhibitor	0.049	COMP3177	
Adenylate kinase inhibitor	0.104	COMP3177	
Alcohol dehydrogenase inhibitor	0.134	COMP3177	
CYP2C9 inhibitor	0.252	COMP3177	
Ca2+-transporting ATPase inhibitor	0.141	COMP3177	
Cystathionine beta-synthase inhibitor	0.244	COMP3177	
DOPA decarboxylase inhibitor	0.117	COMP3177	
GABA aminotransferase inhibitor	0.076	COMP3177	
Glutamate dehydrogenase inhibitor	0.070	COMP3177	
Heat shock protein 70 antagonist	0.130	COMP3177	
Peroxidase inhibitor	0.158	COMP3177	
Phenylalanine 4-hydroxylase inhibitor	0.061	COMP3177	
Phosphodiesterase inhibitor	0.591	COMP3177	
Phosphofructokinase-1 inhibitor	0.059	COMP3177	
Phospholipase C inhibitor	0.160	COMP3177	
Pyruvate kinase inhibitor	0.138	COMP3177	
Succinate dehydrogenase inhibitor	0.164	COMP3177	
Superoxide dismutase inhibitor	0.180	COMP3177	
Triose-phosphate isomerase inhibitor	0.096	COMP3177	
Tyrosine 3 hydroxylase inhibitor	0.209	COMP3177	
UDP-glucose 4-epimerase inhibitor	0.084	COMP3177	
