Name	Activation_Prob	Compound	Another_Probs
Alzheimer's disease treatment	0.339	COMP3177	
Antiamyloidogenic	0.230	COMP3177	
Antianemic	0.186	COMP3177	
Antianginal	0.181	COMP3177	
Antidiabetic (type 1)	0.134	COMP3177	
Antidiabetic symptomatic	0.182	COMP3177	
Antidiarrheal	0.216	COMP3177	
Antifibrinolytic	0.327	COMP3177	
Antifungal	0.336	COMP3177	
Antifungal (Aspergillus)	0.108	COMP3177	
Antifungal (Pneumocystis)	0.145	COMP3177	
Antiglaucomic	0.324	COMP3177	
Antihypercholesterolemic	0.150	COMP3177	
Antihypertensive	0.358	COMP3177	
Antihypotensive	0.215	COMP3177	
Antihypoxic	0.341	COMP3177	
Antiinflammatory	0.277	COMP3177	
Antiischemic	0.350	COMP3177	
Antimutagenic	0.123	COMP3177	
Antineoplastic (ovarian cancer)	0.191	COMP3177	
Antiparkinsonian	0.458	COMP3177	
Antipruritic. allergic	0.224	COMP3177	
Antipsoriatic	0.191	COMP3177	
Antirickettsial	0.149	COMP3177	
Antithrombocytopenic	0.095	COMP3177	
Antitussive	0.130	COMP3177	
Antiviral (HIV)	0.180	COMP3177	
Antiviral (Influenza B)	0.169	COMP3177	
Antiviral (Influenza)	0.190	COMP3177	
Anxiolytic	0.218	COMP3177	
Atherosclerosis treatment	0.590	COMP3177	
Autoimmune disorders treatment	0.282	COMP3177	
Cardiotonic	0.164	COMP3177	
Cell wall synthesis inhibitor	0.202	COMP3177	
Cognition disorders treatment	0.283	COMP3177	
DNA synthesis inhibitor	0.205	COMP3177	
Diabetic nephropathy treatment	0.206	COMP3177	
Diuretic	0.145	COMP3177	
Dysmenorrhea treatment	0.129	COMP3177	
Erectile dysfunction treatment	0.203	COMP3177	
Female sexual dysfunction treatment	0.088	COMP3177	
Fibrosis treatment	0.202	COMP3177	
Gout treatment	0.243	COMP3177	
Heart failure treatment	0.518	COMP3177	
Hemostatic	0.311	COMP3177	
Hepatic disorders treatment	0.288	COMP3177	
Huntington's disease treatment	0.705	COMP3177	
Inflammatory Bowel disease treatment	0.409	COMP3177	
Insulin sensitizer	0.189	COMP3177	
Liver cirrhosis treatment	0.112	COMP3177	
Male reproductive disfunction treatment	0.270	COMP3177	
Menstruation disorders treatment	0.101	COMP3177	
Metabolic disease treatment	0.192	COMP3177	
Multiple sclerosis treatment	0.468	COMP3177	
Myocardial ischemia treatment	0.174	COMP3177	
Nootropic	0.312	COMP3177	
Proliferative diseases treatment	0.172	COMP3177	
Psychosexual dysfunction treatment	0.405	COMP3177	
Pulmonary hypertension treatment	0.286	COMP3177	
Raynaud's phenomenon treatment	0.160	COMP3177	
Renal disease treatment	0.657	COMP3177	
Renal failure treatment	0.433	COMP3177	
Stroke treatment	0.240	COMP3177	
Thrombolytic	0.132	COMP3177	
Uric acid excretion stimulant	0.201	COMP3177	
Urinary incontinence treatment	0.116	COMP3177	
Urolithiasis treatment	0.375	COMP3177	
Urologic disorders treatment	0.403	COMP3177	
Vascular (periferal) disease treatment	0.463	COMP3177	
Vasodilator. coronary	0.237	COMP3177	
Wound healing agent	0.165	COMP3177	
