Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.843	COMP178	(0.736 COMP2021) (0.553 COMP3041) (0.193 COMP927) (0.186 COMP320) (0.102 COMP77) (0.086 COMP1752) (0.033 COMP62) (0.026 COMP2451) (0.025 COMP3034)
5 Hydroxytryptamine 2A agonist	0.062	COMP3038	
5 Hydroxytryptamine 3A agonist	0.107	COMP188/COMP2451	(0.091 COMP215)
ATPase inhibitor	0.296	COMP706	(0.294 COMP175) (0.289 COMP3034) (0.259 COMP122/COMP215) (0.226 COMP27) (0.225 COMP1180/COMP303) (0.222 COMP188) (0.218 COMP2451) (0.202 COMP1425/COMP1508) (0.187 COMP1061/COMP3033) (0.183 COMP1515/COMP870) (0.180 COMP857) (0.158 COMP3035/COMP3039) (0.137 COMP3037/COMP3040) (0.135 COMP3036)
Acetylcholine M1 receptor agonist	0.039	COMP3038	
Acetylcholine M1 receptor antagonist	0.182	COMP2025	(0.149 COMP2451/COMP3034) (0.140 COMP188) (0.132 COMP1515) (0.120 COMP1425/COMP1508)
Acetylcholine M2 receptor agonist	0.076	COMP3038	(0.073 COMP1515)
Acetylcholine M2 receptor antagonist	0.088	COMP1515	
Acetylcholine M3 receptor agonist	0.184	COMP1515	(0.178 COMP3038)
Acetylcholinesterase inhibitor	0.941	COMP2025	(0.533 COMP215) (0.443 COMP3039) (0.429 COMP3035) (0.428 COMP3036) (0.427 COMP3040) (0.416 COMP3037) (0.382 COMP857) (0.334 COMP3038) (0.320 COMP1515) (0.181 COMP3033) (0.139 COMP1752/COMP870) (0.113 COMP178) (0.102 COMP188/COMP36)
Aconitate hydratase inhibitor	0.784	COMP2451	(0.346 COMP27) (0.190 COMP122) (0.176 COMP175) (0.152 COMP706) (0.123 COMP1425/COMP1508) (0.109 COMP188) (0.083 COMP1061) (0.078 COMP857) (0.075 COMP215) (0.055 COMP870) (0.051 COMP3034)
Acyl-CoA dehydrogenase inhibitor	0.260	COMP27	(0.245 COMP2451) (0.197 COMP175) (0.191 COMP706) (0.167 COMP188) (0.151 COMP122) (0.102 COMP1425/COMP1508) (0.088 COMP3034) (0.072 COMP857) (0.062 COMP215) (0.059 COMP1061) (0.049 COMP3035)
Adenosine A1 receptor agonist	0.026	COMP3033	(0.022 COMP706)
Adenosine deaminase inhibitor	0.085	COMP2451	(0.082 COMP27) (0.067 COMP706) (0.066 COMP122/COMP175) (0.054 COMP3036) (0.049 COMP1425/COMP1508) (0.048 COMP857) (0.044 COMP188) (0.043 COMP3033)
Adenylate cyclase inhibitor	0.235	COMP2451	(0.162 COMP706) (0.133 COMP3033) (0.129 COMP175) (0.128 COMP62) (0.127 COMP122) (0.126 COMP27) (0.125 COMP215) (0.123 COMP3034) (0.119 COMP3039) (0.098 COMP3035) (0.096 COMP870) (0.095 COMP2021)
Adenylate kinase inhibitor	0.450	COMP27	(0.432 COMP2451) (0.302 COMP175) (0.286 COMP706) (0.259 COMP122) (0.223 COMP188) (0.176 COMP1061) (0.153 COMP3034) (0.150 COMP1425/COMP1508) (0.144 COMP857) (0.136 COMP215) (0.124 COMP3035) (0.122 COMP870) (0.104 COMP3039/COMP3040)
Adrenaline uptake inhibitor	0.093	COMP1515	(0.067 COMP3038)
Alcohol dehydrogenase inhibitor	0.372	COMP2451	(0.301 COMP3036) (0.292 COMP3040) (0.273 COMP122) (0.269 COMP857) (0.249 COMP3039) (0.241 COMP3035) (0.229 COMP27) (0.208 COMP215) (0.194 COMP3037) (0.143 COMP175) (0.135 COMP706) (0.129 COMP870) (0.124 COMP3033) (0.098 COMP1425/COMP1508)
Aldosterone antagonist	0.321	COMP320	(0.149 COMP77) (0.134 COMP927) (0.124 COMP188) (0.118 COMP2021) (0.117 COMP178) (0.084 COMP3041) (0.076 COMP3034) (0.058 COMP215) (0.057 COMP2451) (0.055 COMP1425/COMP1508) (0.047 COMP3038) (0.045 COMP706)
Alkaline phosphatase inhibitor	0.406	COMP3036	(0.316 COMP215) (0.252 COMP122) (0.251 COMP857) (0.244 COMP3037) (0.232 COMP870) (0.224 COMP3039) (0.223 COMP3040) (0.220 COMP3033) (0.205 COMP3035) (0.113 COMP2451)
Alpha 1a adrenoreceptor antagonist	0.064	COMP3038	
Alpha 2a adrenoreceptor antagonist	0.219	COMP1515	(0.216 COMP3038)
Alpha 2b adrenoreceptor agonist	0.018	COMP3034	
Alpha-mannosidase inhibitor	0.160	COMP706	(0.139 COMP3033) (0.137 COMP2451) (0.110 COMP1515) (0.089 COMP175) (0.084 COMP27) (0.072 COMP3038) (0.067 COMP122/COMP1425/COMP1508) (0.064 COMP62) (0.059 COMP3034) (0.055 COMP3035) (0.054 COMP188/COMP870) (0.053 COMP857)
Aminopeptidase A inhibitor	0.047	COMP2451	(0.025 COMP27)
Aminopeptidase N inhibitor	0.059	COMP2451	
Androgen agonist	0.450	COMP77	(0.178 COMP62) (0.168 COMP2021) (0.167 COMP1180/COMP303) (0.160 COMP36) (0.131 COMP215) (0.130 COMP178) (0.111 COMP927) (0.107 COMP706) (0.106 COMP3041) (0.100 COMP3034) (0.094 COMP175) (0.093 COMP857) (0.086 COMP320) (0.080 COMP2451) (0.073 COMP1752) (0.070 COMP1425/COMP1508) (0.068 COMP3035) (0.065 COMP3039) (0.064 COMP3040) (0.063 COMP3038) (0.062 COMP188) (0.053 COMP27)
Androgen antagonist	0.667	COMP77	(0.331 COMP1180/COMP303) (0.223 COMP215) (0.196 COMP62) (0.168 COMP2021) (0.157 COMP3040) (0.154 COMP857) (0.153 COMP3036) (0.146 COMP3039) (0.142 COMP3035) (0.122 COMP3037) (0.119 COMP178/COMP3034) (0.117 COMP870) (0.106 COMP927) (0.099 COMP1752) (0.094 COMP2451) (0.093 COMP188) (0.086 COMP320) (0.081 COMP3041) (0.079 COMP706)
