Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.830	COMP1061	(0.569 COMP1425/COMP1508) (0.541 COMP870) (0.495 COMP188) (0.400 COMP27) (0.332 COMP77) (0.327 COMP2451) (0.293 COMP3034) (0.269 COMP62) (0.246 COMP320) (0.232 COMP927) (0.159 COMP1752) (0.153 COMP2021) (0.144 COMP1515) (0.132 COMP36) (0.131 COMP1180/COMP303) (0.124 COMP706) (0.122 COMP122) (0.119 COMP3041) (0.114 COMP178) (0.106 COMP3033) (0.105 COMP175) (0.104 COMP3039/COMP857)
Aldehyde dehydrogenase substrate	0.698	COMP1061	(0.503 COMP870) (0.301 COMP27) (0.289 COMP2451) (0.268 COMP1425/COMP1508) (0.235 COMP3034) (0.182 COMP188) (0.179 COMP122) (0.127 COMP927) (0.121 COMP320) (0.108 COMP36) (0.105 COMP215) (0.099 COMP175/COMP857)
Aldehyde oxidase substrate	0.525	COMP870	(0.302 COMP2451) (0.259 COMP122) (0.205 COMP706) (0.193 COMP215) (0.181 COMP1061) (0.175 COMP175) (0.171 COMP3039/COMP857) (0.168 COMP3038) (0.166 COMP27) (0.161 COMP3035) (0.156 COMP188)
Aldose reductase substrate	0.949	COMP1061	(0.535 COMP706) (0.426 COMP3033) (0.356 COMP62) (0.319 COMP2451) (0.300 COMP1425/COMP1508) (0.249 COMP175) (0.187 COMP36) (0.179 COMP27) (0.172 COMP870) (0.168 COMP3035) (0.160 COMP122) (0.148 COMP3039/COMP3040) (0.146 COMP3037) (0.138 COMP215)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.371 COMP2451) (0.214 COMP122) (0.164 COMP175) (0.151 COMP215) (0.123 COMP706) (0.102 COMP3035) (0.098 COMP188) (0.094 COMP857) (0.092 COMP3039)
CYP1A2 inhibitor	0.970	COMP3036	(0.613 COMP215) (0.413 COMP3037) (0.381 COMP857) (0.335 COMP3040) (0.309 COMP3039) (0.308 COMP870) (0.273 COMP3035) (0.266 COMP1515) (0.261 COMP3038) (0.254 COMP3033) (0.250 COMP188) (0.240 COMP122) (0.178 COMP27)
CYP1A2 substrate	0.947	COMP3037	(0.944 COMP3040) (0.936 COMP3039) (0.933 COMP3035) (0.912 COMP3036) (0.798 COMP215) (0.761 COMP857) (0.754 COMP870) (0.685 COMP3033) (0.600 COMP27) (0.400 COMP2451) (0.392 COMP3034) (0.373 COMP122) (0.352 COMP175) (0.313 COMP1515) (0.280 COMP1425/COMP1508) (0.269 COMP77) (0.261 COMP1180/COMP303) (0.250 COMP1061) (0.240 COMP3038) (0.230 COMP36) (0.229 COMP188) (0.222 COMP706) (0.191 COMP62)
CYP24 inhibitor	0.060	COMP77	(0.035 COMP1752) (0.030 COMP175) (0.024 COMP62)
CYP2A6 inhibitor	0.280	COMP188	(0.255 COMP215) (0.190 COMP870) (0.188 COMP3034) (0.130 COMP857) (0.082 COMP3036) (0.081 COMP2451) (0.067 COMP1061)
CYP2B6 inhibitor	0.462	COMP188	(0.443 COMP215) (0.430 COMP27) (0.366 COMP3036) (0.348 COMP1425/COMP1508) (0.303 COMP2451) (0.288 COMP3034) (0.254 COMP1061) (0.248 COMP3039) (0.243 COMP1180/COMP303) (0.235 COMP3035) (0.226 COMP870) (0.221 COMP3037) (0.213 COMP3040) (0.207 COMP122) (0.202 COMP857) (0.188 COMP1515) (0.159 COMP3038) (0.152 COMP77)
CYP2C19 inhibitor	0.736	COMP3037	(0.701 COMP3040) (0.685 COMP3039) (0.679 COMP3036) (0.675 COMP1515/COMP3035) (0.489 COMP3038) (0.483 COMP215) (0.457 COMP188) (0.414 COMP27) (0.408 COMP3033) (0.401 COMP870) (0.353 COMP857) (0.315 COMP122) (0.301 COMP2451) (0.261 COMP77) (0.227 COMP1425/COMP1508)
CYP2C19 substrate	0.917	COMP62	(0.897 COMP77) (0.856 COMP36) (0.851 COMP3037) (0.827 COMP3039) (0.823 COMP3040) (0.797 COMP3035) (0.767 COMP3033) (0.725 COMP3034) (0.710 COMP870) (0.687 COMP215) (0.678 COMP27) (0.643 COMP1425/COMP1508) (0.640 COMP188) (0.609 COMP1061) (0.546 COMP1180/COMP303) (0.545 COMP3036) (0.488 COMP2451) (0.476 COMP122) (0.407 COMP927) (0.327 COMP175/COMP706) (0.309 COMP857) (0.272 COMP3041) (0.269 COMP320) (0.265 COMP1752) (0.236 COMP3038) (0.231 COMP2021) (0.183 COMP1515)
CYP2C9 inhibitor	0.657	COMP3036	(0.633 COMP3037) (0.610 COMP3040) (0.602 COMP3039) (0.574 COMP3035) (0.493 COMP1515) (0.417 COMP215) (0.370 COMP188) (0.338 COMP122) (0.326 COMP3038) (0.315 COMP27) (0.267 COMP857) (0.253 COMP706) (0.217 COMP2451/COMP870)
