Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.102	COMP77	
5 Hydroxytryptamine 1B agonist	0.108	COMP823/COMP828	
5 Hydroxytryptamine 2A agonist	0.251	COMP823/COMP828	(0.124 COMP841) (0.118 COMP673/COMP834) (0.111 COMP809/COMP819/COMP836) (0.085 COMP804/COMP813/COMP833) (0.081 COMP525) (0.060 COMP801) (0.057 COMP356/COMP805/COMP827) (0.055 COMP825)
5 Hydroxytryptamine 2B agonist	0.064	COMP823/COMP828	(0.056 COMP841) (0.051 COMP809/COMP819/COMP836) (0.043 COMP525) (0.042 COMP673/COMP834) (0.039 COMP804/COMP813/COMP833)
5 Hydroxytryptamine 3 agonist	0.094	COMP604	(0.079 COMP796) (0.066 COMP798) (0.064 COMP799/COMP841) (0.063 COMP823/COMP828) (0.060 COMP356/COMP805/COMP827) (0.056 COMP14)
5 Hydroxytryptamine 3A agonist	0.199	COMP796	(0.178 COMP841) (0.177 COMP823/COMP828) (0.141 COMP801) (0.136 COMP14) (0.112 COMP825) (0.108 COMP792) (0.100 COMP794) (0.096 COMP356/COMP805/COMP827) (0.093 COMP800/COMP816)
5 Hydroxytryptamine 4 agonist	0.024	COMP356/COMP805/COMP827	
5 Hydroxytryptamine uptake inhibitor	0.086	COMP803	
ATPase inhibitor	0.280	COMP525	(0.262 COMP683) (0.252 COMP389/COMP390/COMP843) (0.232 COMP844) (0.207 COMP845) (0.204 COMP803) (0.200 COMP57) (0.191 COMP14) (0.182 COMP822) (0.176 COMP715/COMP721/COMP810) (0.175 COMP798) (0.167 COMP804/COMP813/COMP833) (0.161 COMP814/COMP832/COMP841) (0.160 COMP821/COMP835) (0.159 COMP817/COMP842) (0.156 COMP824) (0.139 COMP673/COMP834) (0.138 COMP797) (0.137 COMP809/COMP819/COMP836) (0.135 COMP48/COMP49)
Acetylcholine M1 receptor agonist	0.090	COMP796	(0.042 COMP844) (0.037 COMP356/COMP805/COMP827)
Acetylcholine M1 receptor antagonist	0.231	COMP816	(0.217 COMP356/COMP805/COMP827) (0.192 COMP841) (0.190 COMP809/COMP819/COMP836) (0.188 COMP673/COMP834) (0.184 COMP804/COMP813/COMP833) (0.180 COMP814/COMP832) (0.158 COMP815/COMP838) (0.156 COMP793) (0.150 COMP829/COMP830) (0.137 COMP796/COMP823/COMP828) (0.133 COMP825) (0.132 COMP683/COMP817/COMP842) (0.127 COMP843) (0.126 COMP792) (0.119 COMP808/COMP818)
Acetylcholine M2 receptor agonist	0.051	COMP798	
Acetylcholine M2 receptor antagonist	0.061	COMP841	
Acetylcholine M3 receptor agonist	0.092	COMP356/COMP805/COMP827	(0.085 COMP844)
Acetylcholine M3 receptor antagonist	0.087	COMP841	(0.059 COMP356/COMP805/COMP827)
Acetylcholinesterase inhibitor	0.457	COMP48	(0.443 COMP49) (0.283 COMP715/COMP721/COMP810) (0.268 COMP803) (0.259 COMP846) (0.192 COMP793) (0.138 COMP57) (0.102 COMP34/COMP36)
Aconitate hydratase inhibitor	0.403	COMP843	(0.318 COMP683) (0.313 COMP829/COMP830) (0.277 COMP815/COMP838) (0.212 COMP845) (0.203 COMP822) (0.189 COMP389/COMP390) (0.188 COMP821/COMP835) (0.184 COMP804/COMP813/COMP817/COMP833/COMP842) (0.182 COMP809/COMP819/COMP836) (0.181 COMP814/COMP832) (0.162 COMP824) (0.148 COMP816) (0.112 COMP673/COMP834) (0.105 COMP14) (0.103 COMP812/COMP840) (0.098 COMP57/COMP841) (0.097 COMP356/COMP805/COMP827) (0.094 COMP825) (0.090 COMP796) (0.089 COMP808/COMP818) (0.085 COMP844) (0.077 COMP807/COMP826) (0.076 COMP794/COMP823/COMP828) (0.067 COMP831) (0.066 COMP604) (0.065 COMP801) (0.064 COMP820) (0.062 COMP800) (0.061 COMP799) (0.060 COMP837) (0.058 COMP792) (0.055 COMP803) (0.054 COMP797) (0.050 COMP525) (0.046 COMP49/COMP839)
Acyl-CoA dehydrogenase inhibitor	0.269	COMP843	(0.231 COMP845) (0.217 COMP822) (0.216 COMP683) (0.207 COMP844) (0.205 COMP804/COMP813/COMP833) (0.198 COMP57) (0.193 COMP814/COMP832) (0.188 COMP792) (0.183 COMP815/COMP838) (0.171 COMP808/COMP818) (0.166 COMP829/COMP830) (0.164 COMP816) (0.159 COMP821/COMP835) (0.152 COMP812/COMP840) (0.147 COMP824) (0.146 COMP797) (0.141 COMP817/COMP842) (0.135 COMP837) (0.132 COMP802/COMP825) (0.118 COMP799) (0.116 COMP809/COMP819/COMP836) (0.107 COMP841) (0.100 COMP389/COMP390) (0.098 COMP800) (0.097 COMP356/COMP805/COMP826/COMP827) (0.092 COMP831/COMP839) (0.091 COMP803) (0.088 COMP796) (0.087 COMP14) (0.080 COMP673/COMP834) (0.077 COMP807) (0.071 COMP794) (0.065 COMP801/COMP820) (0.064 COMP604)
Adenosine A1 receptor agonist	0.031	COMP796	(0.026 COMP794)
Adenosine A2a receptor antagonist	0.140	COMP826	(0.097 COMP796) (0.068 COMP604)
Adenosine deaminase inhibitor	0.106	COMP812/COMP840	(0.094 COMP845) (0.091 COMP822) (0.087 COMP843) (0.085 COMP816/COMP820/COMP829/COMP830) (0.082 COMP814/COMP832) (0.081 COMP57/COMP815/COMP838) (0.079 COMP683) (0.076 COMP808/COMP818) (0.075 COMP804/COMP813/COMP833) (0.072 COMP809/COMP819/COMP836) (0.068 COMP817/COMP842) (0.067 COMP49) (0.066 COMP14/COMP673/COMP825/COMP834) (0.064 COMP48/COMP821/COMP835) (0.063 COMP824) (0.059 COMP841) (0.054 COMP356/COMP805/COMP827) (0.053 COMP844) (0.050 COMP792/COMP823/COMP828) (0.047 COMP803) (0.044 COMP826)
Adenylate cyclase inhibitor	0.327	COMP825	(0.297 COMP808/COMP818) (0.294 COMP816) (0.292 COMP822) (0.290 COMP796) (0.268 COMP815/COMP838) (0.259 COMP814/COMP832) (0.248 COMP389/COMP390) (0.239 COMP673/COMP834) (0.226 COMP817/COMP829/COMP830/COMP842) (0.223 COMP804/COMP813/COMP833) (0.221 COMP821/COMP823/COMP828/COMP835) (0.219 COMP809/COMP819/COMP836) (0.218 COMP683) (0.208 COMP812/COMP840) (0.200 COMP802) (0.196 COMP824) (0.183 COMP799) (0.174 COMP792) (0.168 COMP797) (0.162 COMP837) (0.160 COMP845) (0.151 COMP801/COMP831) (0.150 COMP841) (0.147 COMP843) (0.141 COMP800) (0.135 COMP820) (0.131 COMP839) (0.120 COMP794) (0.117 COMP356/COMP805/COMP827)
Adenylate kinase inhibitor	0.464	COMP843	(0.460 COMP829/COMP830) (0.436 COMP812/COMP840) (0.429 COMP815/COMP838) (0.417 COMP816) (0.410 COMP822) (0.400 COMP804/COMP813/COMP833) (0.384 COMP814/COMP832) (0.363 COMP817/COMP842) (0.362 COMP57) (0.356 COMP825) (0.354 COMP821/COMP835) (0.343 COMP683) (0.340 COMP808/COMP818) (0.334 COMP845) (0.329 COMP823/COMP828) (0.324 COMP824) (0.318 COMP809/COMP819/COMP836) (0.266 COMP673/COMP834) (0.258 COMP14) (0.254 COMP820) (0.216 COMP841) (0.202 COMP826) (0.196 COMP792) (0.194 COMP389/COMP390) (0.190 COMP844) (0.184 COMP797) (0.174 COMP799) (0.169 COMP356/COMP805/COMP827) (0.163 COMP796) (0.160 COMP800) (0.149 COMP837) (0.148 COMP803) (0.141 COMP604) (0.138 COMP807) (0.137 COMP794) (0.134 COMP831) (0.123 COMP839) (0.114 COMP801) (0.105 COMP802) (0.096 COMP49)
Adrenaline uptake inhibitor	0.053	COMP356/COMP805/COMP827	
Alcohol dehydrogenase inhibitor	0.598	COMP812/COMP840	(0.435 COMP48) (0.425 COMP49) (0.402 COMP683) (0.386 COMP829/COMP830) (0.385 COMP803) (0.354 COMP820) (0.329 COMP815/COMP838) (0.278 COMP673/COMP834) (0.270 COMP843) (0.265 COMP804/COMP813/COMP833) (0.258 COMP816) (0.256 COMP715/COMP721/COMP810) (0.245 COMP814/COMP832) (0.231 COMP817/COMP842) (0.220 COMP822) (0.212 COMP57) (0.211 COMP809/COMP819/COMP836) (0.197 COMP841) (0.195 COMP389/COMP390) (0.188 COMP821/COMP835) (0.185 COMP845) (0.162 COMP808/COMP818) (0.158 COMP824) (0.153 COMP14) (0.137 COMP825) (0.124 COMP823/COMP828) (0.104 COMP796) (0.092 COMP792) (0.082 COMP356/COMP805/COMP827)
Aldosterone antagonist	0.149	COMP77	(0.065 COMP844) (0.054 COMP845) (0.043 COMP683)
Alkaline phosphatase inhibitor	0.403	COMP48	(0.367 COMP49) (0.301 COMP715/COMP721/COMP810) (0.280 COMP812/COMP840) (0.268 COMP683) (0.184 COMP826) (0.183 COMP846) (0.179 COMP389/COMP390) (0.175 COMP604/COMP673/COMP834) (0.152 COMP525) (0.138 COMP809/COMP819/COMP836) (0.134 COMP803) (0.131 COMP841) (0.114 COMP814/COMP832) (0.110 COMP808/COMP818) (0.108 COMP817/COMP842)
Alpha 1a adrenoreceptor antagonist	0.104	COMP793	
Alpha 1b adrenoreceptor antagonist	0.064	COMP793	
Alpha 2a adrenoreceptor agonist	0.023	COMP841	(0.016 COMP796)
Alpha 2a adrenoreceptor antagonist	0.164	COMP793	(0.110 COMP796) (0.087 COMP841) (0.072 COMP715/COMP721/COMP810) (0.068 COMP801)
Alpha 2b adrenoreceptor agonist	0.022	COMP14	(0.021 COMP525) (0.020 COMP794/COMP799) (0.019 COMP796) (0.018 COMP801)
Alpha-mannosidase inhibitor	0.360	COMP845	(0.324 COMP812/COMP840) (0.197 COMP814/COMP822/COMP832) (0.167 COMP356/COMP805/COMP827) (0.134 COMP816) (0.133 COMP804/COMP813/COMP833) (0.131 COMP57) (0.123 COMP815/COMP838) (0.113 COMP821/COMP835) (0.112 COMP817/COMP842) (0.108 COMP829/COMP830) (0.107 COMP841) (0.103 COMP809/COMP819/COMP824/COMP836) (0.092 COMP843) (0.090 COMP14) (0.089 COMP673/COMP834) (0.088 COMP808/COMP818) (0.084 COMP825) (0.078 COMP826) (0.074 COMP683) (0.069 COMP792) (0.068 COMP803) (0.058 COMP794) (0.056 COMP389/COMP390) (0.054 COMP800/COMP807) (0.053 COMP820) (0.051 COMP801/COMP831) (0.050 COMP796/COMP823/COMP828)
Aminopeptidase A inhibitor	0.236	COMP812/COMP840	(0.110 COMP808/COMP818) (0.106 COMP824) (0.092 COMP817/COMP842) (0.090 COMP829/COMP830) (0.080 COMP815/COMP838) (0.072 COMP821/COMP835) (0.063 COMP809/COMP819/COMP836) (0.061 COMP839) (0.059 COMP807/COMP822) (0.056 COMP804/COMP813/COMP833) (0.049 COMP816) (0.048 COMP673/COMP834) (0.034 COMP814/COMP832) (0.028 COMP843) (0.026 COMP825) (0.025 COMP823/COMP828) (0.022 COMP356/COMP805/COMP827) (0.019 COMP683)
Aminopeptidase N inhibitor	0.273	COMP812/COMP840	(0.168 COMP817/COMP842) (0.143 COMP808/COMP818) (0.141 COMP14/COMP821/COMP835) (0.138 COMP824) (0.128 COMP829/COMP830) (0.126 COMP815/COMP838) (0.118 COMP804/COMP813/COMP833) (0.116 COMP809/COMP819/COMP836) (0.114 COMP816) (0.105 COMP814/COMP832) (0.101 COMP825) (0.092 COMP673/COMP834) (0.082 COMP822) (0.074 COMP839) (0.061 COMP807) (0.051 COMP820) (0.044 COMP823/COMP828) (0.043 COMP841)
Aminopeptidase P inhibitor	0.100	COMP812/COMP840	(0.051 COMP804/COMP813/COMP833) (0.047 COMP817/COMP842) (0.045 COMP822) (0.038 COMP809/COMP819/COMP836) (0.037 COMP821/COMP835) (0.033 COMP815/COMP838) (0.031 COMP824) (0.030 COMP829/COMP830) (0.028 COMP673/COMP814/COMP832/COMP834) (0.025 COMP356/COMP805/COMP827) (0.024 COMP808/COMP816/COMP818) (0.022 COMP845)
Androgen agonist	0.450	COMP77	(0.160 COMP34/COMP36) (0.078 COMP356/COMP805/COMP827) (0.077 COMP844) (0.068 COMP715/COMP721/COMP810) (0.062 COMP683/COMP843) (0.061 COMP803) (0.058 COMP841) (0.057 COMP845) (0.056 COMP525) (0.054 COMP49/COMP826)
Androgen antagonist	0.667	COMP77	(0.242 COMP715/COMP721/COMP810) (0.208 COMP796) (0.193 COMP48) (0.188 COMP49) (0.164 COMP846) (0.138 COMP845) (0.098 COMP683) (0.095 COMP525) (0.092 COMP389/COMP390) (0.079 COMP831) (0.077 COMP844) (0.076 COMP843) (0.075 COMP800)
Arginase inhibitor	0.281	COMP816	(0.279 COMP825) (0.247 COMP812/COMP840) (0.214 COMP824) (0.213 COMP829/COMP830) (0.206 COMP817/COMP842) (0.198 COMP808/COMP818) (0.193 COMP821/COMP835) (0.175 COMP815/COMP838) (0.163 COMP839) (0.154 COMP356/COMP805/COMP827) (0.146 COMP814/COMP832) (0.145 COMP807) (0.143 COMP804/COMP813/COMP833) (0.129 COMP809/COMP819/COMP836) (0.123 COMP673/COMP834) (0.115 COMP715/COMP721/COMP810) (0.114 COMP820) (0.110 COMP48) (0.107 COMP822) (0.103 COMP49) (0.083 COMP683) (0.082 COMP843) (0.081 COMP841) (0.060 COMP823/COMP828) (0.053 COMP845) (0.047 COMP389/COMP390) (0.043 COMP792) (0.041 COMP57) (0.040 COMP802) (0.036 COMP800)
Argininosuccinate synthase inhibitor	0.733	COMP824	(0.681 COMP821/COMP835) (0.656 COMP815/COMP838) (0.605 COMP829/COMP830) (0.572 COMP817/COMP842) (0.491 COMP825) (0.468 COMP816) (0.447 COMP804/COMP813/COMP833) (0.437 COMP820) (0.404 COMP809/COMP819/COMP836) (0.373 COMP814/COMP832) (0.369 COMP822) (0.347 COMP673/COMP834) (0.309 COMP807) (0.286 COMP808/COMP818) (0.284 COMP57) (0.281 COMP823/COMP828) (0.279 COMP843) (0.276 COMP812/COMP840) (0.252 COMP683) (0.200 COMP14) (0.147 COMP356/COMP805/COMP827) (0.131 COMP792) (0.128 COMP845) (0.117 COMP800) (0.113 COMP826/COMP841) (0.107 COMP831) (0.103 COMP389/COMP390) (0.093 COMP803) (0.075 COMP796) (0.074 COMP844) (0.072 COMP604) (0.057 COMP839) (0.051 COMP794) (0.050 COMP801)
Aryl hydrocarbon receptor agonist	0.809	COMP48	(0.797 COMP49) (0.501 COMP604) (0.324 COMP683) (0.316 COMP525) (0.267 COMP826) (0.218 COMP823/COMP828) (0.148 COMP389/COMP390/COMP796)
Beta 1 adrenoreceptor agonist	0.034	COMP683	(0.028 COMP673/COMP834) (0.026 COMP841) (0.023 COMP356/COMP805/COMP827/COMP845) (0.022 COMP796) (0.021 COMP809/COMP819/COMP836) (0.020 COMP822)
Beta 1 adrenoreceptor antagonist	0.086	COMP845	(0.073 COMP841) (0.065 COMP673/COMP834) (0.064 COMP683) (0.057 COMP389/COMP390/COMP843) (0.056 COMP811) (0.054 COMP822) (0.052 COMP804/COMP813/COMP833) (0.051 COMP809/COMP819/COMP836) (0.049 COMP14/COMP525/COMP57)
Beta 2 adrenoreceptor agonist	0.087	COMP841	(0.076 COMP673/COMP834) (0.075 COMP683) (0.071 COMP826) (0.068 COMP845) (0.067 COMP809/COMP819/COMP836) (0.065 COMP816) (0.063 COMP796/COMP801/COMP804/COMP813/COMP833) (0.062 COMP356/COMP389/COMP390/COMP805/COMP823/COMP827/COMP828) (0.060 COMP814/COMP832) (0.059 COMP715/COMP721/COMP810) (0.058 COMP792)
Beta 2 adrenoreceptor antagonist	0.081	COMP841	(0.072 COMP845) (0.067 COMP673/COMP834) (0.055 COMP683) (0.053 COMP356/COMP805/COMP809/COMP819/COMP827/COMP836) (0.052 COMP804/COMP813/COMP833) (0.051 COMP816/COMP822) (0.050 COMP389/COMP390/COMP823/COMP828) (0.046 COMP843)
Bradykinin B1 receptor agonist	0.005	COMP825	(0.004 COMP816) (0.003 COMP814/COMP832)
