Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP57	(0.362 COMP77) (0.324 COMP389/COMP390) (0.182 COMP683) (0.168 COMP846) (0.162 COMP34/COMP36) (0.157 COMP525) (0.145 COMP49) (0.144 COMP715/COMP721/COMP810) (0.141 COMP48) (0.140 COMP14) (0.119 COMP843) (0.106 COMP826)
AR expression inhibitor	0.991	COMP57	(0.937 COMP48/COMP49) (0.927 COMP34/COMP36) (0.805 COMP715/COMP721/COMP810) (0.711 COMP846) (0.659 COMP389/COMP390) (0.631 COMP683) (0.609 COMP14) (0.556 COMP843) (0.498 COMP673/COMP834) (0.485 COMP77) (0.457 COMP844) (0.420 COMP809/COMP819/COMP836) (0.356 COMP841) (0.345 COMP829/COMP830) (0.339 COMP817/COMP842) (0.334 COMP821/COMP835) (0.327 COMP793) (0.326 COMP815/COMP838) (0.325 COMP824) (0.314 COMP803) (0.313 COMP799) (0.312 COMP804/COMP813/COMP833) (0.303 COMP826) (0.290 COMP797) (0.281 COMP814/COMP832) (0.279 COMP823/COMP828) (0.277 COMP822) (0.267 COMP820) (0.242 COMP816) (0.235 COMP525) (0.210 COMP812/COMP840) (0.202 COMP837) (0.196 COMP808/COMP818) (0.195 COMP845)
CTGF expression inhibitor	0.928	COMP48	(0.919 COMP49) (0.868 COMP34/COMP36) (0.821 COMP389/COMP390) (0.811 COMP77) (0.783 COMP715/COMP721/COMP810) (0.777 COMP843) (0.704 COMP57) (0.652 COMP683) (0.651 COMP14) (0.619 COMP803) (0.598 COMP673/COMP834) (0.493 COMP829/COMP830) (0.492 COMP844) (0.490 COMP841) (0.458 COMP809/COMP819/COMP836) (0.443 COMP604) (0.424 COMP815/COMP838) (0.423 COMP804/COMP813/COMP833) (0.422 COMP821/COMP835) (0.409 COMP824) (0.397 COMP814/COMP832) (0.387 COMP817/COMP842) (0.380 COMP525) (0.369 COMP845) (0.329 COMP826) (0.317 COMP822) (0.316 COMP816) (0.291 COMP796) (0.290 COMP807) (0.266 COMP792) (0.263 COMP808/COMP818) (0.249 COMP801/COMP846) (0.244 COMP794) (0.241 COMP800) (0.233 COMP831) (0.229 COMP812/COMP840) (0.227 COMP356/COMP805/COMP827) (0.222 COMP825) (0.221 COMP823/COMP828) (0.207 COMP793) (0.198 COMP820) (0.192 COMP839)
GRP78 expression inhibitor	0.113	COMP820	(0.091 COMP823/COMP828) (0.086 COMP816) (0.070 COMP825) (0.063 COMP829/COMP830) (0.060 COMP804/COMP813/COMP833) (0.058 COMP809/COMP815/COMP819/COMP836/COMP838) (0.057 COMP814/COMP832) (0.052 COMP673/COMP834) (0.050 COMP821/COMP835) (0.049 COMP356/COMP805/COMP827) (0.047 COMP822) (0.046 COMP817/COMP842) (0.042 COMP824) (0.034 COMP812/COMP840) (0.033 COMP683) (0.029 COMP845) (0.028 COMP808/COMP818) (0.024 COMP803/COMP841) (0.023 COMP826/COMP843) (0.021 COMP792/COMP800)
ICAM1 expression inhibitor	0.633	COMP34/COMP36	(0.564 COMP49) (0.560 COMP48) (0.480 COMP389/COMP390) (0.477 COMP843) (0.468 COMP844) (0.446 COMP683) (0.441 COMP846) (0.429 COMP715/COMP721/COMP810) (0.413 COMP77) (0.407 COMP812/COMP840) (0.381 COMP826) (0.379 COMP673/COMP834) (0.375 COMP803) (0.337 COMP845) (0.336 COMP841) (0.333 COMP829/COMP830) (0.325 COMP525) (0.318 COMP809/COMP819/COMP836) (0.313 COMP821/COMP835) (0.311 COMP817/COMP842) (0.300 COMP804/COMP813/COMP833) (0.289 COMP815/COMP838) (0.287 COMP814/COMP832) (0.275 COMP824) (0.273 COMP822) (0.232 COMP820) (0.198 COMP808/COMP818)
LDLR expression enhancer	0.393	COMP715/COMP721/COMP810	(0.365 COMP77) (0.349 COMP48) (0.314 COMP49) (0.300 COMP803) (0.280 COMP525) (0.272 COMP683) (0.266 COMP389/COMP390) (0.251 COMP34/COMP36) (0.244 COMP793) (0.212 COMP844) (0.210 COMP843) (0.202 COMP841) (0.194 COMP673/COMP834) (0.165 COMP809/COMP819/COMP836) (0.155 COMP845)
NOS2 expression inhibitor	0.903	COMP48	(0.871 COMP49) (0.867 COMP846) (0.822 COMP715/COMP721/COMP810) (0.603 COMP77) (0.585 COMP389/COMP390) (0.561 COMP34/COMP36) (0.515 COMP843) (0.441 COMP803) (0.440 COMP673/COMP834) (0.432 COMP525) (0.423 COMP824) (0.411 COMP683) (0.405 COMP822) (0.402 COMP817/COMP842) (0.385 COMP812/COMP840) (0.373 COMP821/COMP835) (0.372 COMP814/COMP832) (0.366 COMP829/COMP830/COMP841) (0.363 COMP815/COMP838) (0.357 COMP845) (0.356 COMP804/COMP813/COMP833) (0.341 COMP809/COMP819/COMP836) (0.333 COMP799) (0.306 COMP797) (0.301 COMP844) (0.291 COMP826) (0.290 COMP57) (0.281 COMP14) (0.276 COMP807) (0.273 COMP816) (0.262 COMP801) (0.261 COMP792) (0.253 COMP837) (0.246 COMP800) (0.241 COMP831) (0.230 COMP823/COMP828) (0.226 COMP356/COMP805/COMP827) (0.225 COMP796) (0.221 COMP794) (0.207 COMP825) (0.206 COMP808/COMP818) (0.202 COMP604) (0.178 COMP793)
NOS3 expression enhancer	0.721	COMP34/COMP36	(0.703 COMP48) (0.697 COMP49) (0.673 COMP389/COMP390) (0.668 COMP715/COMP721/COMP810) (0.528 COMP846) (0.435 COMP683) (0.263 COMP77) (0.189 COMP844) (0.173 COMP798) (0.170 COMP843) (0.138 COMP841)
NOS3 expression inhibitor	0.960	COMP845	(0.910 COMP77) (0.834 COMP49) (0.827 COMP48) (0.764 COMP843) (0.674 COMP715/COMP721/COMP810) (0.671 COMP829/COMP830) (0.644 COMP815/COMP838) (0.601 COMP812/COMP840) (0.569 COMP817/COMP842) (0.548 COMP808/COMP818) (0.508 COMP816) (0.506 COMP389/COMP390) (0.493 COMP673/COMP834) (0.484 COMP822) (0.483 COMP803) (0.482 COMP814/COMP832) (0.480 COMP821/COMP835) (0.455 COMP804/COMP813/COMP833) (0.439 COMP809/COMP819/COMP836) (0.433 COMP683) (0.431 COMP824) (0.419 COMP825) (0.409 COMP846) (0.372 COMP841) (0.366 COMP34/COMP36) (0.309 COMP57) (0.303 COMP826) (0.302 COMP844) (0.293 COMP525) (0.265 COMP823/COMP828) (0.237 COMP839) (0.221 COMP793/COMP820) (0.211 COMP807) (0.204 COMP797) (0.189 COMP14) (0.183 COMP356/COMP805/COMP827)
TNF expression inhibitor	0.949	COMP34/COMP36	(0.899 COMP77) (0.877 COMP48) (0.857 COMP843) (0.847 COMP49) (0.807 COMP846) (0.801 COMP389/COMP390) (0.760 COMP829/COMP830) (0.756 COMP812/COMP840) (0.744 COMP817/COMP842) (0.723 COMP816) (0.709 COMP824) (0.695 COMP715/COMP721/COMP810) (0.660 COMP815/COMP838) (0.647 COMP822) (0.627 COMP804/COMP813/COMP833) (0.623 COMP673/COMP834) (0.588 COMP821/COMP835) (0.584 COMP683) (0.582 COMP814/COMP832) (0.578 COMP825) (0.576 COMP808/COMP818) (0.562 COMP844) (0.537 COMP809/COMP819/COMP836) (0.523 COMP845) (0.515 COMP525) (0.491 COMP803) (0.479 COMP807) (0.450 COMP841) (0.448 COMP57) (0.414 COMP797/COMP823/COMP828) (0.396 COMP792) (0.370 COMP800/COMP826) (0.362 COMP796) (0.355 COMP356/COMP799/COMP805/COMP827) (0.335 COMP837) (0.314 COMP831) (0.307 COMP14) (0.299 COMP793) (0.283 COMP820) (0.279 COMP839) (0.254 COMP604) (0.234 COMP802) (0.233 COMP794/COMP801)
