Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.928	COMP57	(0.623 COMP14) (0.537 COMP826) (0.523 COMP845) (0.421 COMP843) (0.408 COMP604) (0.332 COMP77) (0.306 COMP389/COMP390) (0.244 COMP822) (0.230 COMP814/COMP832) (0.157 COMP824/COMP829/COMP830) (0.155 COMP804/COMP813/COMP833) (0.154 COMP817/COMP842) (0.151 COMP844) (0.146 COMP797/COMP821/COMP835) (0.144 COMP815/COMP838) (0.143 COMP683) (0.132 COMP34/COMP36) (0.131 COMP816) (0.126 COMP673/COMP834) (0.122 COMP809/COMP819/COMP836) (0.116 COMP792/COMP846) (0.108 COMP715/COMP721/COMP810) (0.107 COMP803) (0.106 COMP825) (0.104 COMP807)
Aldehyde dehydrogenase substrate	0.934	COMP57	(0.899 COMP14) (0.341 COMP604) (0.311 COMP843) (0.219 COMP389/COMP390) (0.217 COMP829/COMP830) (0.210 COMP845) (0.206 COMP683) (0.181 COMP814/COMP826/COMP832) (0.180 COMP804/COMP813/COMP833) (0.179 COMP815/COMP838) (0.171 COMP816) (0.163 COMP823/COMP828) (0.160 COMP824) (0.158 COMP673/COMP834) (0.148 COMP809/COMP819/COMP836) (0.147 COMP808/COMP818) (0.145 COMP822) (0.144 COMP817/COMP842) (0.141 COMP821/COMP825/COMP835) (0.128 COMP792) (0.124 COMP841) (0.118 COMP844) (0.108 COMP34/COMP36) (0.104 COMP803) (0.102 COMP797)
Aldehyde oxidase substrate	0.692	COMP14	(0.332 COMP57) (0.306 COMP845) (0.295 COMP683/COMP804/COMP813/COMP833) (0.279 COMP820) (0.277 COMP809/COMP819/COMP836) (0.270 COMP829/COMP830) (0.258 COMP814/COMP832) (0.254 COMP822) (0.245 COMP823/COMP828) (0.244 COMP815/COMP838) (0.233 COMP673/COMP834) (0.221 COMP800) (0.219 COMP389/COMP390) (0.213 COMP796) (0.212 COMP604/COMP821/COMP835) (0.209 COMP841) (0.205 COMP801) (0.188 COMP794) (0.186 COMP817/COMP842/COMP843) (0.177 COMP816/COMP824) (0.174 COMP825) (0.169 COMP844) (0.162 COMP356/COMP525/COMP805/COMP827) (0.161 COMP799) (0.157 COMP831) (0.153 COMP792) (0.142 COMP837) (0.140 COMP826) (0.139 COMP48/COMP715/COMP721/COMP810) (0.138 COMP793)
Aldose reductase substrate	0.992	COMP57	(0.968 COMP845) (0.885 COMP14) (0.287 COMP817/COMP842) (0.252 COMP822) (0.250 COMP814/COMP821/COMP832/COMP835) (0.231 COMP826) (0.220 COMP824) (0.206 COMP804/COMP813/COMP833) (0.196 COMP815/COMP838) (0.194 COMP843) (0.193 COMP809/COMP819/COMP836) (0.190 COMP389/COMP390) (0.187 COMP34/COMP36) (0.181 COMP829/COMP830) (0.180 COMP673/COMP834) (0.155 COMP816) (0.152 COMP683) (0.148 COMP831) (0.139 COMP807) (0.131 COMP823/COMP825/COMP828)
Arylamine N-Acetyltransferase substrate	0.790	COMP829/COMP830	(0.774 COMP816) (0.623 COMP815/COMP838) (0.497 COMP808/COMP818) (0.466 COMP804/COMP813/COMP833) (0.453 COMP822) (0.441 COMP673/COMP834) (0.435 COMP823/COMP828) (0.425 COMP812/COMP840) (0.404 COMP814/COMP832) (0.381 COMP843) (0.378 COMP809/COMP819/COMP836) (0.374 COMP825) (0.356 COMP817/COMP842) (0.345 COMP821/COMP835) (0.332 COMP683) (0.312 COMP820) (0.307 COMP841) (0.267 COMP824) (0.185 COMP389/COMP390) (0.170 COMP845) (0.158 COMP844) (0.147 COMP799) (0.138 COMP796) (0.123 COMP49) (0.114 COMP48) (0.107 COMP797) (0.101 COMP800) (0.097 COMP839)
CYP1A2 inhibitor	0.945	COMP48	(0.914 COMP49) (0.526 COMP794) (0.471 COMP801) (0.454 COMP796) (0.372 COMP792) (0.368 COMP841) (0.363 COMP797) (0.362 COMP389/COMP390) (0.333 COMP837) (0.325 COMP799) (0.322 COMP14) (0.309 COMP846) (0.299 COMP715/COMP721/COMP810) (0.293 COMP826) (0.268 COMP831) (0.265 COMP525) (0.246 COMP800) (0.230 COMP802) (0.205 COMP683) (0.182 COMP604)
CYP1A2 substrate	0.912	COMP48	(0.905 COMP49) (0.706 COMP715/COMP721/COMP810) (0.695 COMP796) (0.691 COMP14) (0.569 COMP389/COMP390) (0.532 COMP843) (0.458 COMP525) (0.430 COMP803) (0.406 COMP841) (0.397 COMP683) (0.386 COMP673/COMP834) (0.374 COMP846) (0.368 COMP845) (0.352 COMP823/COMP828) (0.342 COMP57) (0.339 COMP793) (0.336 COMP804/COMP813/COMP833) (0.332 COMP809/COMP819/COMP836) (0.314 COMP797) (0.302 COMP799) (0.295 COMP800) (0.289 COMP801) (0.287 COMP844) (0.279 COMP829/COMP830) (0.278 COMP792) (0.272 COMP822) (0.269 COMP77) (0.266 COMP814/COMP832) (0.258 COMP837) (0.257 COMP831) (0.256 COMP815/COMP838) (0.252 COMP821/COMP835) (0.246 COMP604) (0.241 COMP794) (0.230 COMP34/COMP356/COMP36/COMP805/COMP827) (0.227 COMP816) (0.225 COMP817/COMP842) (0.218 COMP824) (0.210 COMP826)
CYP24 inhibitor	0.060	COMP77	(0.024 COMP525)
CYP2A6 inhibitor	0.418	COMP801	(0.329 COMP604) (0.284 COMP798/COMP799) (0.283 COMP794) (0.247 COMP841) (0.241 COMP797) (0.232 COMP792) (0.230 COMP837) (0.205 COMP802) (0.199 COMP831) (0.198 COMP800) (0.174 COMP796) (0.173 COMP826) (0.135 COMP14) (0.127 COMP49) (0.125 COMP844) (0.111 COMP525) (0.096 COMP803) (0.093 COMP48) (0.092 COMP823/COMP828) (0.091 COMP57) (0.080 COMP809/COMP819/COMP836) (0.075 COMP804/COMP813/COMP833) (0.066 COMP843)
CYP2B6 inhibitor	0.539	COMP794	(0.414 COMP792/COMP841) (0.405 COMP797) (0.391 COMP843) (0.374 COMP48) (0.370 COMP799/COMP800) (0.362 COMP831) (0.356 COMP49) (0.345 COMP801) (0.343 COMP837) (0.334 COMP798) (0.315 COMP389/COMP390) (0.283 COMP796) (0.277 COMP826) (0.274 COMP673/COMP834) (0.267 COMP844) (0.257 COMP604) (0.253 COMP829/COMP830) (0.252 COMP804/COMP813/COMP833) (0.251 COMP816) (0.250 COMP57) (0.249 COMP525) (0.246 COMP809/COMP819/COMP836) (0.243 COMP802) (0.240 COMP845) (0.234 COMP812/COMP840) (0.222 COMP14) (0.215 COMP821/COMP835) (0.214 COMP814/COMP815/COMP832/COMP838) (0.210 COMP683) (0.196 COMP715/COMP721/COMP810) (0.192 COMP817/COMP842) (0.188 COMP824) (0.184 COMP820) (0.183 COMP822) (0.165 COMP803/COMP823/COMP828) (0.152 COMP77) (0.149 COMP825)
