Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.544 COMP843) (0.456 COMP34/COMP36) (0.407 COMP683) (0.405 COMP817/COMP842) (0.404 COMP822) (0.402 COMP845) (0.392 COMP389/COMP390) (0.388 COMP829/COMP830) (0.381 COMP824) (0.358 COMP57) (0.353 COMP814/COMP832) (0.349 COMP356/COMP805/COMP827) (0.340 COMP673/COMP834) (0.337 COMP826) (0.335 COMP821/COMP835) (0.326 COMP815/COMP838) (0.322 COMP804/COMP813/COMP833) (0.318 COMP715/COMP721/COMP810) (0.304 COMP844) (0.302 COMP820) (0.295 COMP823/COMP828) (0.291 COMP807) (0.287 COMP816) (0.284 COMP809/COMP819/COMP836) (0.269 COMP825) (0.246 COMP841) (0.241 COMP792) (0.234 COMP14) (0.227 COMP803) (0.225 COMP604) (0.221 COMP797) (0.215 COMP525) (0.210 COMP49) (0.202 COMP831) (0.201 COMP48) (0.190 COMP800) (0.188 COMP799) (0.180 COMP837) (0.174 COMP796/COMP801) (0.172 COMP808/COMP818) (0.158 COMP793) (0.153 COMP812/COMP840) (0.151 COMP846) (0.141 COMP794)
Carcinogenic	0.925	COMP77	(0.845 COMP799) (0.753 COMP48) (0.750 COMP715/COMP721/COMP810) (0.735 COMP34/COMP36) (0.734 COMP846) (0.731 COMP57) (0.724 COMP49) (0.708 COMP843) (0.705 COMP845) (0.699 COMP797) (0.694 COMP837) (0.668 COMP803) (0.625 COMP796) (0.621 COMP792) (0.619 COMP812/COMP840) (0.607 COMP389/COMP390) (0.580 COMP814/COMP832) (0.570 COMP829/COMP830) (0.538 COMP801) (0.531 COMP816) (0.522 COMP683) (0.520 COMP824) (0.507 COMP794) (0.504 COMP822) (0.498 COMP673/COMP834) (0.484 COMP815/COMP838) (0.483 COMP831) (0.459 COMP817/COMP842) (0.458 COMP604) (0.436 COMP821/COMP835) (0.429 COMP826) (0.424 COMP808/COMP818) (0.422 COMP809/COMP819/COMP836) (0.405 COMP804/COMP813/COMP833) (0.379 COMP802) (0.376 COMP844) (0.335 COMP800) (0.282 COMP841) (0.256 COMP14) (0.232 COMP825) (0.216 COMP823/COMP828) (0.199 COMP525) (0.191 COMP820) (0.147 COMP807) (0.137 COMP356/COMP805/COMP827)
Carcinogenic. group 1	0.658	COMP809/COMP819/COMP836	(0.633 COMP673/COMP834) (0.528 COMP845) (0.520 COMP829/COMP830) (0.489 COMP815/COMP838) (0.441 COMP814/COMP832/COMP843) (0.429 COMP808/COMP818) (0.424 COMP804/COMP813/COMP833) (0.422 COMP822) (0.395 COMP826) (0.382 COMP821/COMP835) (0.371 COMP844) (0.356 COMP14) (0.351 COMP824) (0.350 COMP841) (0.341 COMP817/COMP842) (0.326 COMP812/COMP840) (0.315 COMP683) (0.313 COMP49) (0.306 COMP816) (0.298 COMP604) (0.287 COMP803) (0.285 COMP796) (0.268 COMP48) (0.267 COMP57) (0.262 COMP823/COMP828) (0.256 COMP799) (0.241 COMP801) (0.237 COMP820) (0.236 COMP389/COMP390/COMP839) (0.231 COMP837) (0.229 COMP825) (0.227 COMP525) (0.223 COMP802) (0.219 COMP794) (0.210 COMP797) (0.205 COMP792) (0.204 COMP800) (0.203 COMP831) (0.199 COMP807) (0.177 COMP356/COMP805/COMP827) (0.176 COMP715/COMP721/COMP810) (0.136 COMP798)
Carcinogenic. group 2A	0.240	COMP799	(0.236 COMP826) (0.227 COMP814/COMP832) (0.226 COMP845) (0.211 COMP841) (0.199 COMP14) (0.197 COMP804/COMP813/COMP833) (0.189 COMP796) (0.185 COMP604) (0.183 COMP837) (0.176 COMP683) (0.175 COMP794) (0.170 COMP800) (0.169 COMP798) (0.164 COMP797) (0.145 COMP57) (0.143 COMP809/COMP819/COMP836) (0.139 COMP844) (0.134 COMP525/COMP815/COMP838) (0.128 COMP801/COMP821/COMP835) (0.126 COMP822) (0.115 COMP803/COMP829/COMP830) (0.113 COMP831) (0.102 COMP389/COMP390) (0.099 COMP843) (0.096 COMP715/COMP721/COMP810) (0.093 COMP792) (0.086 COMP673/COMP834) (0.081 COMP816/COMP817/COMP842) (0.077 COMP49) (0.076 COMP812/COMP840)
Carcinogenic. group 2B	0.509	COMP389/COMP390	(0.474 COMP604) (0.447 COMP814/COMP832) (0.385 COMP826) (0.383 COMP809/COMP819/COMP836) (0.373 COMP673/COMP834) (0.364 COMP804/COMP813/COMP833) (0.360 COMP822) (0.334 COMP14) (0.263 COMP844) (0.257 COMP57) (0.232 COMP49) (0.231 COMP841) (0.228 COMP845) (0.227 COMP803) (0.226 COMP48) (0.222 COMP796) (0.216 COMP815/COMP838) (0.215 COMP821/COMP835) (0.205 COMP683) (0.195 COMP799) (0.184 COMP829/COMP830) (0.163 COMP817/COMP842) (0.161 COMP812/COMP840/COMP843) (0.157 COMP824) (0.151 COMP823/COMP828) (0.148 COMP837) (0.147 COMP800) (0.143 COMP816) (0.142 COMP797) (0.122 COMP794) (0.121 COMP525) (0.117 COMP715/COMP721/COMP810) (0.115 COMP846) (0.112 COMP792) (0.106 COMP801) (0.105 COMP820) (0.095 COMP808/COMP818) (0.088 COMP356/COMP805/COMP827) (0.086 COMP825/COMP831)
Carcinogenic. group 3	0.901	COMP799	(0.799 COMP49) (0.751 COMP48) (0.721 COMP57) (0.697 COMP604) (0.626 COMP797) (0.615 COMP837) (0.492 COMP792) (0.455 COMP796) (0.454 COMP843) (0.441 COMP844) (0.439 COMP389/COMP390) (0.434 COMP801) (0.405 COMP831) (0.402 COMP803) (0.379 COMP683) (0.372 COMP800) (0.363 COMP826) (0.352 COMP794) (0.343 COMP845) (0.335 COMP829/COMP830) (0.332 COMP14) (0.321 COMP673/COMP834) (0.305 COMP804/COMP813/COMP833) (0.292 COMP809/COMP819/COMP836) (0.281 COMP815/COMP838/COMP841) (0.275 COMP822) (0.257 COMP814/COMP832) (0.240 COMP77/COMP816) (0.228 COMP817/COMP842) (0.202 COMP812/COMP840) (0.198 COMP821/COMP835) (0.191 COMP824) (0.175 COMP715/COMP721/COMP810) (0.155 COMP802) (0.147 COMP525) (0.133 COMP846) (0.110 COMP356/COMP805/COMP827) (0.108 COMP825)
Cardiodepressant	0.547	COMP793	(0.413 COMP822) (0.409 COMP804/COMP813/COMP833) (0.401 COMP845) (0.393 COMP683) (0.369 COMP816) (0.357 COMP77/COMP817/COMP842) (0.341 COMP821/COMP835) (0.336 COMP673/COMP834) (0.332 COMP356/COMP805/COMP827) (0.331 COMP814/COMP832) (0.329 COMP48) (0.326 COMP809/COMP819/COMP836) (0.325 COMP829/COMP830) (0.321 COMP715/COMP721/COMP810/COMP841) (0.317 COMP824) (0.316 COMP843) (0.314 COMP49) (0.304 COMP815/COMP838) (0.295 COMP389/COMP390) (0.287 COMP803) (0.279 COMP525) (0.266 COMP831) (0.239 COMP34/COMP36) (0.238 COMP823/COMP828) (0.231 COMP825) (0.224 COMP57) (0.216 COMP826) (0.181 COMP792) (0.178 COMP14) (0.176 COMP799) (0.175 COMP800) (0.160 COMP820) (0.153 COMP801) (0.145 COMP844)
Cytotoxic	0.607	COMP77	(0.550 COMP34/COMP36) (0.500 COMP715/COMP721/COMP810) (0.454 COMP48) (0.441 COMP824) (0.433 COMP843) (0.423 COMP49) (0.421 COMP821/COMP835) (0.417 COMP817/COMP842) (0.413 COMP846) (0.406 COMP829/COMP830) (0.395 COMP673/COMP834) (0.384 COMP797) (0.351 COMP816) (0.346 COMP799) (0.340 COMP815/COMP838) (0.335 COMP792) (0.332 COMP837) (0.330 COMP57) (0.322 COMP809/COMP819/COMP836) (0.312 COMP831) (0.308 COMP822) (0.303 COMP803) (0.297 COMP804/COMP813/COMP833) (0.295 COMP683) (0.290 COMP389/COMP390) (0.285 COMP814/COMP832) (0.281 COMP794) (0.249 COMP823/COMP828) (0.230 COMP845) (0.229 COMP800/COMP841) (0.228 COMP525) (0.222 COMP801) (0.218 COMP825) (0.209 COMP820) (0.203 COMP808/COMP818) (0.187 COMP826) (0.186 COMP14) (0.185 COMP796) (0.175 COMP812/COMP840) (0.172 COMP356/COMP805/COMP827) (0.170 COMP802) (0.167 COMP844) (0.143 COMP807) (0.134 COMP604) (0.133 COMP793)
DNA damaging	0.479	COMP48	(0.441 COMP49) (0.409 COMP715/COMP721/COMP810) (0.403 COMP389/COMP390) (0.388 COMP803) (0.384 COMP816) (0.379 COMP814/COMP832) (0.368 COMP823/COMP828) (0.359 COMP822) (0.354 COMP804/COMP813/COMP833) (0.339 COMP673/COMP834) (0.326 COMP809/COMP819/COMP836) (0.307 COMP829/COMP830) (0.294 COMP683) (0.275 COMP843) (0.267 COMP845) (0.235 COMP34/COMP36) (0.234 COMP820/COMP841) (0.232 COMP525) (0.229 COMP815/COMP838) (0.202 COMP826) (0.194 COMP77) (0.182 COMP821/COMP835) (0.168 COMP825)
Embryotoxic	0.908	COMP77	(0.766 COMP799) (0.720 COMP816) (0.718 COMP797) (0.712 COMP57) (0.702 COMP843) (0.698 COMP829/COMP830) (0.693 COMP814/COMP832) (0.659 COMP845) (0.654 COMP837) (0.653 COMP792) (0.638 COMP673/COMP834) (0.631 COMP715/COMP721/COMP810) (0.610 COMP817/COMP842) (0.608 COMP815/COMP838) (0.597 COMP808/COMP818) (0.594 COMP822) (0.586 COMP809/COMP819/COMP836) (0.578 COMP796) (0.573 COMP804/COMP813/COMP833) (0.526 COMP812/COMP840) (0.516 COMP683) (0.512 COMP824) (0.502 COMP389/COMP390) (0.478 COMP844) (0.473 COMP831) (0.468 COMP801) (0.461 COMP48) (0.448 COMP821/COMP835) (0.447 COMP800) (0.438 COMP49) (0.414 COMP802) (0.397 COMP841) (0.366 COMP14) (0.357 COMP825) (0.318 COMP823/COMP828) (0.311 COMP820) (0.303 COMP803) (0.270 COMP846) (0.265 COMP794) (0.233 COMP356/COMP805/COMP827) (0.227 COMP793) (0.182 COMP826) (0.169 COMP807) (0.165 COMP525) (0.160 COMP34/COMP36) (0.138 COMP839)
