Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake inhibitor	0.086	COMP803	
5 Hydroxytryptamine uptake stimulant	0.628	COMP809/COMP819/COMP836	(0.623 COMP673/COMP834) (0.594 COMP804/COMP813/COMP833) (0.575 COMP829/COMP830) (0.566 COMP683) (0.555 COMP815/COMP838) (0.534 COMP843) (0.530 COMP816) (0.495 COMP821/COMP835) (0.492 COMP824) (0.484 COMP715/COMP721/COMP810) (0.482 COMP808/COMP818) (0.481 COMP817/COMP842) (0.474 COMP825) (0.472 COMP822) (0.469 COMP792) (0.460 COMP48/COMP814/COMP832) (0.457 COMP841) (0.441 COMP49) (0.439 COMP57) (0.430 COMP14) (0.414 COMP823/COMP828) (0.413 COMP389/COMP390) (0.411 COMP800) (0.401 COMP356/COMP805/COMP827) (0.397 COMP803) (0.394 COMP812/COMP840) (0.365 COMP801) (0.352 COMP807) (0.346 COMP797) (0.343 COMP525) (0.340 COMP839) (0.324 COMP837) (0.310 COMP802) (0.295 COMP796/COMP845) (0.292 COMP794) (0.291 COMP844) (0.286 COMP799) (0.285 COMP826) (0.281 COMP820) (0.272 COMP831) (0.264 COMP793) (0.247 COMP604) (0.208 COMP846)
Adenosine uptake inhibitor	0.038	COMP525/COMP821/COMP835	(0.037 COMP57) (0.035 COMP804/COMP813/COMP833) (0.034 COMP824) (0.033 COMP815/COMP816/COMP829/COMP830/COMP838)
Adrenaline uptake inhibitor	0.053	COMP356/COMP805/COMP827	
Antiviral (CMV)	0.175	COMP845	(0.143 COMP843) (0.136 COMP821/COMP835)
Apical sodium codependent bile acid transporter inhibitor	0.072	COMP845	(0.037 COMP77) (0.024 COMP843) (0.021 COMP57) (0.019 COMP808/COMP815/COMP818/COMP829/COMP830/COMP838) (0.018 COMP803/COMP824)
Dopamine transporter inhibitor	0.200	COMP796	(0.058 COMP356/COMP805/COMP827)
Dopamine uptake inhibitor	0.107	COMP796	(0.106 COMP801) (0.086 COMP799) (0.082 COMP837) (0.081 COMP797) (0.075 COMP792) (0.070 COMP794) (0.069 COMP356/COMP805/COMP827) (0.063 COMP831) (0.059 COMP802) (0.053 COMP800) (0.052 COMP841)
Electron transport complex I inhibitor	0.448	COMP803	(0.306 COMP34/COMP36) (0.212 COMP843) (0.205 COMP49) (0.195 COMP48) (0.184 COMP846) (0.163 COMP525) (0.162 COMP57) (0.147 COMP715/COMP721/COMP810) (0.122 COMP844) (0.115 COMP793) (0.100 COMP792)
Endocannabinoid uptake inhibitor	0.202	COMP843	(0.136 COMP826) (0.135 COMP389/COMP390) (0.121 COMP845) (0.116 COMP57) (0.114 COMP841) (0.106 COMP604) (0.096 COMP673/COMP834) (0.091 COMP683) (0.087 COMP14) (0.084 COMP814/COMP832) (0.081 COMP792) (0.078 COMP809/COMP819/COMP836) (0.077 COMP844) (0.072 COMP797/COMP801) (0.069 COMP803) (0.066 COMP794) (0.065 COMP525) (0.064 COMP804/COMP813/COMP829/COMP830/COMP833) (0.062 COMP798)
Equilibrative nucleoside transport protein inhibitor	0.065	COMP845	
