Name	Activation_Prob	Compound	Another_Probs
1.3-Beta-glucan synthase inhibitor	0.031	COMP789	
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.175	COMP789	(0.110 COMP788) (0.067 COMP790)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.411	COMP789	(0.070 COMP788) (0.047 COMP790)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.660	COMP790	(0.203 COMP788) (0.095 COMP789)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.017	COMP789	
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.061	COMP789	
5 Hydroxytryptamine release stimulant	0.601	COMP789	(0.584 COMP790) (0.382 COMP788)
5 Hydroxytryptamine uptake stimulant	0.245	COMP789	
5-Alpha-reductase 1 inhibitor	0.027	COMP789	
5-Alpha-reductase 2 inhibitor	0.026	COMP789	
5-Alpha-reductase inhibitor	0.163	COMP789	(0.079 COMP790) (0.043 COMP788)
ABCA1 expression enhancer	0.201	COMP789	(0.084 COMP790)
AMP-activated protein kinase stimulant	0.473	COMP790	(0.405 COMP789) (0.366 COMP788)
ATP citrate lysase inhibitor	0.031	COMP789	
ATPase (Vacuolar H+) inhibitor	0.100	COMP789	
ATPase inhibitor	0.136	COMP789	
Acetyl-CoA transferase 1 inhibitor	0.042	COMP790	
Acetyl-CoA transferase 2 inhibitor	0.095	COMP790	(0.089 COMP789) (0.081 COMP788)
Acetyl-CoA transferase inhibitor	0.084	COMP790	(0.077 COMP788) (0.052 COMP789)
Adenylate cyclase inhibitor	0.160	COMP789	
Adenylate cyclase stimulant	0.249	COMP789	(0.223 COMP790) (0.208 COMP788)
Aldosterone antagonist	0.206	COMP789	(0.081 COMP790) (0.045 COMP788)
Alpha-N-acetylglucosaminidase inhibitor	0.134	COMP789	
Alpha-mannosidase inhibitor	0.056	COMP789	
Amylase inhibitor	0.189	COMP789	
Amyloid beta precursor protein antagonist	0.171	COMP791	
Anabolic	0.194	COMP789/COMP790	(0.189 COMP788)
Androgen agonist	0.170	COMP789	(0.128 COMP788) (0.118 COMP790)
Androgen antagonist	0.237	COMP789	(0.102 COMP788)
Anesthetic general	0.409	COMP789	(0.217 COMP788)
Angiogenesis stimulant	0.502	COMP790	(0.464 COMP788) (0.385 COMP789)
Antibacterial	0.548	COMP790	(0.496 COMP789) (0.474 COMP791) (0.350 COMP788)
Antiinflammatory	0.949	COMP788	(0.935 COMP790) (0.919 COMP789)
Antineoplastic alkaloid	0.110	COMP788	(0.103 COMP789) (0.089 COMP790)
Antineoplastic antibiotic	0.237	COMP789	(0.189 COMP790) (0.183 COMP788)
Antiobesity	0.429	COMP790	(0.342 COMP788) (0.240 COMP789)
Antioxidant	0.554	COMP790	(0.447 COMP789) (0.439 COMP788)
Antipruritic	0.235	COMP789	
Antithrombotic	0.614	COMP790	(0.548 COMP789) (0.457 COMP788)
Apoptosis agonist	0.944	COMP790	(0.937 COMP788) (0.935 COMP789)
Apoptosis antagonist	0.616	COMP790	(0.578 COMP789) (0.499 COMP788)
Arachidonic acid antagonist	0.263	COMP789	(0.260 COMP790) (0.230 COMP788) (0.151 COMP791)
Aromatase inhibitor	0.105	COMP789	(0.069 COMP790)
Bcl2 antagonist	0.065	COMP789	
Bone formation stimulant	0.122	COMP789	(0.110 COMP790)
Botulinum neurotoxin type A inhibitor	0.069	COMP790	(0.062 COMP788)
CC chemokine 6 receptor antagonist	0.153	COMP789	
CDC25A inhibitor	0.429	COMP790	(0.278 COMP788) (0.150 COMP789)
CDC25B inhibitor	0.100	COMP788	(0.077 COMP790) (0.068 COMP789)
CF transmembrane conductance regulator agonist	0.141	COMP789	
CYP24 inhibitor	0.022	COMP789	
Ca2+-transporting ATPase inhibitor	0.144	COMP789	(0.129 COMP790)
Calcineurin inhibitor	0.018	COMP791	
Calcium channel activator	0.347	COMP789	
Calcium-independent phospholipase A2 inhibitor	0.065	COMP791	
Caspase 3 stimulant	0.674	COMP790	(0.597 COMP789) (0.530 COMP788) (0.227 COMP791)
Caspase 9 stimulant	0.900	COMP790	(0.876 COMP789) (0.864 COMP788)
Cholesterol antagonist	0.626	COMP790	(0.575 COMP789) (0.550 COMP788)
Cholesterol ester transfer protein antagonist	0.068	COMP789	(0.044 COMP790) (0.028 COMP788)
Cholesterol esterase inhibitor	0.089	COMP789	(0.050 COMP790)
