Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.122	COMP789	
Actinic keratosis treatment	0.194	COMP789	(0.109 COMP788) (0.092 COMP790)
Acute respiratory distress syndrome (ARDS) treatment	0.374	COMP789	(0.288 COMP790) (0.276 COMP788)
Amyotrophic lateral sclerosis treatment	0.246	COMP789	
Anabolic	0.194	COMP789/COMP790	(0.189 COMP788)
Analeptic	0.450	COMP789	(0.327 COMP788/COMP790)
Andropause treatment	0.073	COMP788	(0.067 COMP789)
Anesthetic	0.294	COMP789	(0.174 COMP788) (0.128 COMP790)
Anesthetic general	0.409	COMP789	(0.217 COMP788)
Anesthetic inhalation	0.117	COMP789	(0.065 COMP790) (0.055 COMP788) (0.051 COMP791)
Angiogenesis stimulant	0.502	COMP790	(0.464 COMP788) (0.385 COMP789)
Antiacne	0.492	COMP789	(0.405 COMP788) (0.329 COMP790)
Antialcoholic	0.303	COMP789	
Antiarthritic	0.384	COMP788	
Antibacterial	0.548	COMP790	(0.496 COMP789) (0.474 COMP791) (0.350 COMP788)
Antibiotic	0.110	COMP789	(0.082 COMP790)
Anticataract	0.185	COMP789	(0.089 COMP790)
Anticholelithogenic	0.198	COMP789	(0.099 COMP788) (0.096 COMP790)
Antidiabetic	0.681	COMP788	(0.656 COMP790) (0.623 COMP789)
Antidiabetic (type 1)	0.233	COMP788	(0.210 COMP789)
Antidiabetic (type 2)	0.407	COMP790	(0.367 COMP789) (0.326 COMP788)
Antidiabetic symptomatic	0.317	COMP790	
Antidiarrheal	0.205	COMP790	(0.172 COMP788) (0.157 COMP789)
Antieczematic	0.166	COMP788	
Antiepileptic	0.195	COMP789	
Antifungal	0.446	COMP791	(0.445 COMP789) (0.410 COMP790) (0.381 COMP788)
Antifungal (Cryptococcus)	0.156	COMP789	(0.155 COMP790) (0.128 COMP788)
Antifungal enhancer	0.282	COMP790	(0.260 COMP789) (0.225 COMP788)
Antiglaucomic	0.334	COMP789	(0.319 COMP790)
Antihelmintic	0.648	COMP790	(0.602 COMP788) (0.457 COMP789) (0.186 COMP791)
Antihelmintic (Nematodes)	0.285	COMP789	(0.239 COMP790) (0.191 COMP788)
Antihemorrhagic	0.250	COMP789	(0.210 COMP790) (0.142 COMP788)
Antihypercholesterolemic	0.543	COMP790	(0.486 COMP789) (0.480 COMP788)
Antihyperlipoproteinemic	0.163	COMP789	
Antihypertriglyceridemic	0.451	COMP790	(0.372 COMP788) (0.310 COMP789)
Antihypotensive	0.266	COMP790	(0.222 COMP789) (0.186 COMP788)
Antihypoxic	0.554	COMP790	(0.390 COMP789) (0.381 COMP788)
Antiinfertility. female	0.454	COMP790	(0.292 COMP788) (0.197 COMP789)
Antiinflammatory	0.949	COMP788	(0.935 COMP790) (0.919 COMP789)
Antileukemic	0.944	COMP791	(0.740 COMP788) (0.726 COMP790) (0.716 COMP789)
Antimutagenic	0.108	COMP790	
Antimycobacterial	0.788	COMP791	(0.271 COMP790)
Antimycoplasmal	0.092	COMP789	(0.069 COMP790) (0.057 COMP788)
Antineoplastic (bone cancer)	0.141	COMP790	
Antineoplastic (brain cancer)	0.528	COMP790	(0.404 COMP789) (0.326 COMP788)
Antineoplastic (breast cancer)	0.878	COMP790	(0.794 COMP789) (0.769 COMP788) (0.567 COMP791)
Antineoplastic (carcinoma)	0.667	COMP788	(0.586 COMP790) (0.185 COMP789)
Antineoplastic (cervical cancer)	0.631	COMP789	(0.601 COMP790) (0.522 COMP788) (0.257 COMP791)
