Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.774	COMP2018	(0.764 COMP1647) (0.736 COMP2021) (0.650 COMP2009) (0.357 COMP2010) (0.353 COMP2014) (0.315 COMP2012) (0.248 COMP2015) (0.205 COMP282) (0.178 COMP2013) (0.165 COMP436) (0.164 COMP2020) (0.162 COMP2005) (0.104 COMP2008) (0.091 COMP2007) (0.085 COMP2022) (0.080 COMP2011) (0.057 COMP153) (0.044 COMP285) (0.028 COMP1100/COMP322)
5 Hydroxytryptamine 3 agonist	0.065	COMP322	
5 Hydroxytryptamine 3A agonist	0.157	COMP322	(0.106 COMP222) (0.092 COMP725) (0.091 COMP215)
ATPase inhibitor	0.353	COMP774	(0.331 COMP2004) (0.280 COMP2016) (0.274 COMP2006) (0.264 COMP218) (0.259 COMP215) (0.253 COMP222) (0.252 COMP2019/COMP389) (0.248 COMP56) (0.238 COMP60) (0.237 COMP2017/COMP697) (0.234 COMP2003) (0.230 COMP46) (0.218 COMP725) (0.212 COMP1100) (0.207 COMP322) (0.199 COMP153) (0.139 COMP780) (0.135 COMP48)
Acetylcholine M1 receptor antagonist	0.145	COMP322	(0.136 COMP60) (0.128 COMP1100) (0.118 COMP725)
Acetylcholine M3 receptor antagonist	0.054	COMP322	
Acetylcholinesterase inhibitor	0.533	COMP215	(0.519 COMP218) (0.502 COMP222) (0.457 COMP48) (0.456 COMP780) (0.255 COMP2017) (0.250 COMP2019) (0.231 COMP56) (0.227 COMP2003) (0.206 COMP46) (0.202 COMP2006) (0.186 COMP2004) (0.181 COMP153)
Aconitate hydratase inhibitor	0.329	COMP60	(0.306 COMP322) (0.285 COMP1100) (0.224 COMP725) (0.215 COMP697) (0.189 COMP389) (0.077 COMP2016/COMP222) (0.075 COMP215) (0.050 COMP774) (0.047 COMP218)
Acyl-CoA dehydrogenase inhibitor	0.211	COMP60	(0.201 COMP322) (0.185 COMP1100) (0.174 COMP725) (0.115 COMP697) (0.114 COMP2016) (0.100 COMP389) (0.062 COMP215/COMP222)
Adenosine A1 receptor agonist	0.024	COMP56	(0.021 COMP2019)
Adenosine deaminase inhibitor	0.076	COMP322	(0.074 COMP56/COMP60) (0.073 COMP1100) (0.069 COMP725) (0.064 COMP48) (0.060 COMP2019) (0.045 COMP780)
