Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.759	COMP2016	(0.353 COMP436) (0.323 COMP2022) (0.317 COMP2020) (0.312 COMP285) (0.307 COMP697) (0.306 COMP389) (0.260 COMP282) (0.179 COMP1647) (0.153 COMP2021) (0.152 COMP60) (0.144 COMP725) (0.141 COMP1100) (0.139 COMP2011) (0.137 COMP774) (0.136 COMP2007/COMP2015) (0.133 COMP2008) (0.127 COMP153) (0.117 COMP322) (0.105 COMP2010) (0.104 COMP2009)
Aldehyde dehydrogenase substrate	0.311	COMP2016	(0.219 COMP389) (0.217 COMP60) (0.211 COMP697) (0.199 COMP725) (0.188 COMP1100) (0.149 COMP322) (0.125 COMP282) (0.118 COMP774) (0.112 COMP2020) (0.111 COMP218) (0.105 COMP215) (0.098 COMP2019)
Aldehyde oxidase substrate	0.322	COMP60	(0.279 COMP322) (0.247 COMP1100) (0.219 COMP389) (0.218 COMP725) (0.193 COMP215) (0.182 COMP218) (0.180 COMP697) (0.157 COMP222) (0.139 COMP48)
Aldose reductase substrate	0.442	COMP56	(0.435 COMP2004) (0.402 COMP2019) (0.379 COMP46) (0.361 COMP2006) (0.353 COMP2003) (0.291 COMP2017) (0.289 COMP2009) (0.283 COMP2012) (0.280 COMP2010) (0.277 COMP2014) (0.273 COMP2005) (0.268 COMP2013) (0.267 COMP774) (0.263 COMP2011) (0.258 COMP2007/COMP2015) (0.254 COMP2018) (0.252 COMP2008) (0.204 COMP697) (0.190 COMP389) (0.180 COMP1100) (0.165 COMP60) (0.164 COMP436) (0.161 COMP322) (0.151 COMP725) (0.150 COMP222) (0.138 COMP215) (0.137 COMP218)
Arylamine N-Acetyltransferase substrate	0.442	COMP725	(0.417 COMP1100) (0.350 COMP60) (0.234 COMP322) (0.219 COMP697) (0.185 COMP389) (0.171 COMP222) (0.151 COMP215) (0.114 COMP48) (0.092 COMP218)
CYP1A2 inhibitor	0.983	COMP780	(0.945 COMP48) (0.699 COMP218) (0.613 COMP215) (0.610 COMP222) (0.547 COMP2017) (0.455 COMP2019) (0.397 COMP56) (0.362 COMP389) (0.352 COMP697) (0.339 COMP2003) (0.312 COMP2004) (0.284 COMP2006) (0.280 COMP46) (0.243 COMP2016) (0.217 COMP60) (0.213 COMP725) (0.187 COMP1100) (0.178 COMP322)
CYP1A2 substrate	0.912	COMP48	(0.910 COMP780) (0.818 COMP222) (0.798 COMP215) (0.795 COMP218) (0.587 COMP2004) (0.574 COMP697) (0.572 COMP56) (0.569 COMP2019/COMP389) (0.557 COMP46) (0.554 COMP2003) (0.506 COMP2006) (0.382 COMP436) (0.370 COMP2017) (0.359 COMP60) (0.347 COMP2016) (0.320 COMP725) (0.298 COMP1100) (0.275 COMP322) (0.264 COMP774) (0.260 COMP2022) (0.236 COMP285) (0.182 COMP2020)
CYP24 inhibitor	0.066	COMP436	(0.062 COMP2022) (0.060 COMP285) (0.053 COMP153)
CYP2A6 inhibitor	0.284	COMP222	(0.255 COMP215) (0.192 COMP2016) (0.186 COMP218) (0.122 COMP322) (0.093 COMP48)
CYP2B6 inhibitor	0.576	COMP2016	(0.450 COMP222) (0.448 COMP218) (0.443 COMP215) (0.378 COMP780) (0.374 COMP48) (0.317 COMP697) (0.315 COMP389) (0.252 COMP725) (0.239 COMP322) (0.238 COMP60) (0.236 COMP1100) (0.198 COMP436) (0.197 COMP153) (0.162 COMP282) (0.159 COMP2022)
CYP2C19 inhibitor	0.667	COMP780	(0.651 COMP48) (0.501 COMP218) (0.483 COMP2017/COMP215) (0.480 COMP222) (0.472 COMP697) (0.461 COMP389) (0.426 COMP2016) (0.415 COMP2022) (0.413 COMP436) (0.376 COMP2019) (0.369 COMP1100) (0.368 COMP153) (0.354 COMP56) (0.348 COMP725) (0.319 COMP60) (0.285 COMP2003) (0.271 COMP322) (0.264 COMP46) (0.262 COMP2004) (0.234 COMP2006) (0.219 COMP285)
CYP2C19 substrate	0.950	COMP436	(0.903 COMP2022) (0.783 COMP285) (0.757 COMP2016) (0.703 COMP2020) (0.702 COMP2004) (0.696 COMP218) (0.687 COMP215/COMP222) (0.659 COMP2019) (0.648 COMP56) (0.577 COMP2003) (0.566 COMP46) (0.558 COMP2017/COMP780) (0.554 COMP2006) (0.548 COMP48) (0.528 COMP282/COMP389) (0.521 COMP697) (0.494 COMP153) (0.459 COMP60) (0.415 COMP725) (0.367 COMP1100) (0.340 COMP774) (0.298 COMP322) (0.288 COMP1647) (0.231 COMP2021) (0.191 COMP2018)
