Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.874	COMP685	(0.225 COMP1221) (0.223 COMP1082) (0.216 COMP3021/COMP971) (0.215 COMP2278) (0.212 COMP3004) (0.210 COMP2273/COMP732) (0.194 COMP3005/COMP3013) (0.177 COMP3003) (0.148 COMP875/COMP974) (0.144 COMP512/COMP715) (0.139 COMP19) (0.136 COMP238) (0.112 COMP487) (0.111 COMP178) (0.109 COMP3025) (0.108 COMP927) (0.106 COMP826) (0.102 COMP1417) (0.099 COMP1) (0.097 COMP3027/COMP924) (0.091 COMP910) (0.089 COMP1210) (0.087 COMP308) (0.086 COMP463/COMP774) (0.083 COMP3014)
AR expression inhibitor	0.968	COMP685	(0.894 COMP463/COMP774) (0.884 COMP1) (0.866 COMP358) (0.860 COMP3005/COMP3013) (0.859 COMP3021/COMP971) (0.848 COMP3004) (0.845 COMP2273/COMP732) (0.843 COMP875/COMP974) (0.832 COMP1210) (0.806 COMP308) (0.805 COMP512/COMP715) (0.802 COMP2511/COMP716) (0.801 COMP3003) (0.786 COMP910/COMP927) (0.784 COMP348) (0.782 COMP3011) (0.777 COMP3012) (0.774 COMP2278) (0.770 COMP3009) (0.758 COMP1182) (0.751 COMP3006/COMP3007) (0.741 COMP3010) (0.738 COMP3002/COMP3008) (0.706 COMP487) (0.703 COMP1417) (0.666 COMP238) (0.601 COMP2999) (0.595 COMP3023) (0.587 COMP1221) (0.582 COMP2996) (0.581 COMP178) (0.577 COMP2998) (0.571 COMP3022) (0.566 COMP2993) (0.563 COMP2994) (0.552 COMP2997) (0.541 COMP2995) (0.538 COMP3001) (0.534 COMP3) (0.520 COMP3027/COMP924) (0.444 COMP3015) (0.432 COMP3026) (0.429 COMP303) (0.408 COMP3014) (0.369 COMP3028) (0.336 COMP3025) (0.303 COMP826) (0.299 COMP3016) (0.261 COMP19) (0.242 COMP1082)
CTGF expression inhibitor	0.905	COMP308	(0.880 COMP1210) (0.813 COMP358) (0.812 COMP2273/COMP732) (0.806 COMP3004) (0.803 COMP3021/COMP971) (0.802 COMP1221) (0.789 COMP3003) (0.786 COMP487) (0.783 COMP512/COMP715) (0.752 COMP3005/COMP3013) (0.738 COMP875/COMP974) (0.663 COMP3014) (0.618 COMP1182) (0.605 COMP2511/COMP716) (0.592 COMP3016) (0.573 COMP3012) (0.555 COMP348) (0.551 COMP19/COMP463/COMP774) (0.504 COMP3026) (0.463 COMP1) (0.447 COMP3025) (0.416 COMP1082) (0.407 COMP303) (0.403 COMP1417/COMP3006/COMP3007) (0.391 COMP1063) (0.373 COMP3010) (0.371 COMP2278) (0.360 COMP3002/COMP3008) (0.336 COMP3015) (0.329 COMP826) (0.328 COMP3020) (0.327 COMP3024) (0.317 COMP3028) (0.304 COMP3011) (0.254 COMP3009) (0.249 COMP801) (0.227 COMP178) (0.226 COMP3018) (0.207 COMP685) (0.191 COMP238)
GRP78 expression inhibitor	0.036	COMP3024	(0.033 COMP3014) (0.031 COMP3020) (0.025 COMP1182/COMP19) (0.024 COMP1082/COMP3016) (0.023 COMP826) (0.022 COMP3002/COMP3008) (0.021 COMP2511/COMP348/COMP716)
ICAM1 expression inhibitor	0.711	COMP2998	(0.708 COMP2994) (0.701 COMP2997) (0.698 COMP3027/COMP924) (0.696 COMP2999) (0.694 COMP2996) (0.688 COMP238) (0.680 COMP3001) (0.679 COMP178) (0.678 COMP2993) (0.669 COMP2995) (0.664 COMP3023) (0.654 COMP3022) (0.630 COMP3002/COMP3008) (0.626 COMP3006/COMP3007) (0.615 COMP348) (0.611 COMP3009/COMP3010) (0.607 COMP3011) (0.597 COMP3012) (0.581 COMP1182) (0.576 COMP2511/COMP716) (0.568 COMP927) (0.549 COMP910) (0.501 COMP2278) (0.498 COMP358) (0.483 COMP3005/COMP3013) (0.477 COMP3028) (0.470 COMP463/COMP774) (0.468 COMP1082) (0.458 COMP3004/COMP3021/COMP971) (0.457 COMP685) (0.454 COMP2273/COMP732) (0.452 COMP1221) (0.449 COMP3026) (0.437 COMP3003) (0.432 COMP308) (0.431 COMP1417/COMP3015) (0.429 COMP512/COMP715) (0.418 COMP875/COMP974) (0.407 COMP1210) (0.404 COMP3) (0.383 COMP3016) (0.381 COMP19/COMP826) (0.365 COMP303) (0.335 COMP487) (0.317 COMP3025) (0.244 COMP3014) (0.238 COMP1)
LDLR expression enhancer	0.735	COMP3003	(0.616 COMP2273/COMP732) (0.597 COMP3021/COMP971) (0.581 COMP3004) (0.464 COMP3005/COMP3013) (0.431 COMP685) (0.424 COMP2278) (0.414 COMP875/COMP974) (0.393 COMP512/COMP715) (0.375 COMP308) (0.368 COMP1210) (0.312 COMP1221/COMP3025) (0.279 COMP358) (0.261 COMP3026) (0.231 COMP3028) (0.226 COMP1417) (0.223 COMP1) (0.207 COMP3014) (0.205 COMP3024) (0.192 COMP1082) (0.158 COMP238) (0.152 COMP487) (0.141 COMP19/COMP3016) (0.138 COMP303) (0.137 COMP463/COMP774)
NOS2 expression inhibitor	0.975	COMP3009	(0.972 COMP3011) (0.968 COMP3006/COMP3007) (0.964 COMP3010) (0.963 COMP3012) (0.961 COMP3002/COMP3008) (0.960 COMP348) (0.949 COMP1182/COMP2511/COMP716) (0.893 COMP308) (0.864 COMP2999) (0.822 COMP512/COMP715) (0.819 COMP1210/COMP358) (0.783 COMP3003) (0.774 COMP3005/COMP3013) (0.770 COMP2998) (0.767 COMP875/COMP974) (0.764 COMP3028) (0.761 COMP910) (0.755 COMP3026) (0.745 COMP2997) (0.742 COMP2273/COMP732) (0.740 COMP2994) (0.730 COMP927) (0.725 COMP3004/COMP3021/COMP971) (0.721 COMP2993) (0.714 COMP3001) (0.697 COMP2995) (0.695 COMP3023) (0.691 COMP2996) (0.668 COMP3022) (0.649 COMP1221/COMP2278) (0.596 COMP238) (0.575 COMP3025) (0.553 COMP1417) (0.479 COMP178) (0.467 COMP1) (0.466 COMP463/COMP774) (0.446 COMP3016) (0.431 COMP685) (0.421 COMP3015) (0.411 COMP3027/COMP924) (0.399 COMP3014) (0.376 COMP19) (0.355 COMP487) (0.323 COMP303) (0.291 COMP826) (0.262 COMP801) (0.245 COMP3024) (0.221 COMP1082) (0.206 COMP3) (0.200 COMP3020)
NOS3 expression enhancer	0.767	COMP463/COMP774	(0.734 COMP3005/COMP3013) (0.728 COMP2511/COMP716) (0.720 COMP3012/COMP348) (0.718 COMP1182) (0.715 COMP3011/COMP3021/COMP971) (0.714 COMP3009) (0.711 COMP3004) (0.707 COMP2273/COMP732) (0.705 COMP3010) (0.703 COMP3006/COMP3007) (0.701 COMP3002/COMP3008) (0.682 COMP875/COMP974) (0.668 COMP512/COMP715) (0.667 COMP3003) (0.559 COMP2278) (0.550 COMP1221) (0.474 COMP308) (0.461 COMP1210) (0.455 COMP1082) (0.382 COMP358) (0.375 COMP3014) (0.300 COMP1417) (0.296 COMP3020) (0.261 COMP2994) (0.259 COMP3022) (0.229 COMP3028) (0.224 COMP2997) (0.204 COMP2995) (0.199 COMP3001/COMP3023) (0.192 COMP3) (0.178 COMP2999) (0.172 COMP2996) (0.169 COMP2998) (0.156 COMP2993) (0.153 COMP3026) (0.126 COMP1063)
NOS3 expression inhibitor	0.841	COMP1182	(0.839 COMP2511/COMP716) (0.759 COMP348) (0.745 COMP3002/COMP3008) (0.744 COMP3006/COMP3007) (0.701 COMP3012) (0.692 COMP3010) (0.682 COMP3021/COMP971) (0.674 COMP512/COMP715/COMP875/COMP974) (0.665 COMP3004) (0.664 COMP2273/COMP732) (0.657 COMP3009) (0.642 COMP3011) (0.631 COMP308) (0.623 COMP1210) (0.617 COMP3003) (0.594 COMP3005/COMP3013) (0.564 COMP463/COMP774) (0.559 COMP358) (0.553 COMP487) (0.519 COMP2278) (0.518 COMP2999) (0.513 COMP3026) (0.511 COMP2998/COMP3015) (0.509 COMP2994) (0.503 COMP3023) (0.498 COMP178/COMP910) (0.496 COMP2993) (0.495 COMP2997) (0.494 COMP2996) (0.492 COMP3027/COMP924) (0.490 COMP3) (0.488 COMP3022) (0.484 COMP3001) (0.481 COMP2995) (0.473 COMP927) (0.470 COMP238) (0.454 COMP1221) (0.446 COMP3028) (0.419 COMP303) (0.337 COMP3025) (0.303 COMP826) (0.270 COMP19) (0.265 COMP3016) (0.256 COMP1417) (0.227 COMP1) (0.187 COMP3014)
TNF expression inhibitor	0.938	COMP2511/COMP716	(0.937 COMP1182) (0.905 COMP685) (0.893 COMP3010) (0.884 COMP3012) (0.878 COMP3006/COMP3007) (0.860 COMP308) (0.856 COMP3009) (0.848 COMP3002/COMP3008) (0.846 COMP3003) (0.836 COMP348) (0.833 COMP1221) (0.823 COMP3011) (0.819 COMP2273/COMP732) (0.815 COMP3021/COMP971) (0.809 COMP238) (0.805 COMP3004) (0.798 COMP1210) (0.795 COMP2999) (0.789 COMP3005/COMP3013) (0.746 COMP3026) (0.733 COMP2278) (0.710 COMP910) (0.703 COMP927) (0.695 COMP512/COMP715) (0.691 COMP1417) (0.683 COMP358) (0.678 COMP2998) (0.653 COMP2997) (0.651 COMP875/COMP974) (0.650 COMP178) (0.636 COMP2994/COMP463/COMP774) (0.635 COMP3023) (0.620 COMP3016) (0.614 COMP3022) (0.612 COMP3001) (0.601 COMP1) (0.598 COMP2993) (0.597 COMP3028) (0.596 COMP3015) (0.577 COMP2995) (0.562 COMP2996) (0.559 COMP3027/COMP924) (0.542 COMP487) (0.513 COMP303) (0.493 COMP3014) (0.475 COMP19) (0.422 COMP1522) (0.399 COMP3025) (0.396 COMP3) (0.383 COMP3024) (0.370 COMP826) (0.348 COMP3019) (0.321 COMP1082) (0.305 COMP3020) (0.233 COMP801) (0.223 COMP3017)
