Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.933	COMP487	(0.920 COMP1) (0.788 COMP685) (0.537 COMP826) (0.285 COMP910) (0.277 COMP19) (0.255 COMP1063) (0.254 COMP1221) (0.244 COMP3025) (0.232 COMP927) (0.199 COMP1417) (0.165 COMP3023) (0.160 COMP3026) (0.158 COMP3022) (0.151 COMP2996) (0.150 COMP2993) (0.145 COMP2995) (0.141 COMP3016) (0.137 COMP463/COMP774) (0.133 COMP3028) (0.131 COMP303) (0.130 COMP3027/COMP924) (0.125 COMP1082) (0.123 COMP3005/COMP3013) (0.122 COMP238) (0.115 COMP3015) (0.114 COMP178/COMP2999) (0.112 COMP2994/COMP2998) (0.108 COMP2997/COMP512/COMP715) (0.106 COMP3021/COMP971) (0.104 COMP2273/COMP732/COMP875/COMP974)
Aldehyde dehydrogenase substrate	0.809	COMP487	(0.783 COMP1) (0.422 COMP685) (0.369 COMP1063) (0.211 COMP19) (0.206 COMP1221) (0.181 COMP826) (0.136 COMP910) (0.128 COMP3025) (0.127 COMP927) (0.118 COMP463/COMP774) (0.113 COMP2996) (0.111 COMP1417) (0.109 COMP1082) (0.108 COMP3026) (0.107 COMP2993) (0.104 COMP2995/COMP3023) (0.101 COMP3022) (0.100 COMP3016) (0.099 COMP308)
Aldehyde oxidase substrate	0.690	COMP3018	(0.461 COMP3019) (0.404 COMP1082) (0.383 COMP3014) (0.328 COMP1063) (0.312 COMP3017) (0.296 COMP1522) (0.273 COMP3020) (0.258 COMP3024) (0.228 COMP3026) (0.224 COMP3016) (0.205 COMP1221/COMP801) (0.198 COMP487) (0.170 COMP1) (0.164 COMP308) (0.140 COMP1210/COMP826) (0.139 COMP512/COMP715) (0.138 COMP358) (0.134 COMP3028)
Aldose reductase substrate	0.797	COMP487	(0.737 COMP1) (0.482 COMP1182) (0.461 COMP3002/COMP3008) (0.437 COMP2511/COMP716) (0.430 COMP3006/COMP3007) (0.404 COMP348) (0.349 COMP3010) (0.325 COMP3009) (0.308 COMP3012) (0.297 COMP3014) (0.295 COMP3011) (0.281 COMP3018) (0.267 COMP463/COMP774) (0.231 COMP826) (0.224 COMP1417) (0.223 COMP2996) (0.220 COMP2994/COMP3001) (0.219 COMP3023) (0.216 COMP2999) (0.215 COMP2993/COMP3022) (0.212 COMP2998) (0.211 COMP2995) (0.208 COMP2997) (0.180 COMP1221) (0.174 COMP3016) (0.145 COMP3019) (0.137 COMP3026)
Arylamine N-Acetyltransferase substrate	0.632	COMP1522	(0.473 COMP3017) (0.454 COMP3019) (0.374 COMP3018) (0.304 COMP3014) (0.213 COMP3016) (0.196 COMP1082) (0.164 COMP3020) (0.135 COMP308) (0.115 COMP1221) (0.107 COMP1210) (0.106 COMP3024) (0.098 COMP487) (0.084 COMP358)
CYP1A2 inhibitor	0.928	COMP358	(0.908 COMP308) (0.856 COMP1210) (0.519 COMP3025) (0.471 COMP801) (0.430 COMP1221) (0.382 COMP3020) (0.366 COMP685) (0.362 COMP2511/COMP716) (0.355 COMP1182) (0.352 COMP3014) (0.299 COMP512/COMP715) (0.293 COMP826) (0.271 COMP3005/COMP3013) (0.270 COMP875/COMP974) (0.268 COMP1522) (0.254 COMP3012/COMP3017) (0.253 COMP1063) (0.252 COMP348) (0.250 COMP1082) (0.249 COMP3003) (0.231 COMP3016) (0.227 COMP3026) (0.209 COMP2273/COMP732) (0.201 COMP3024) (0.193 COMP3004) (0.189 COMP3021/COMP971)
CYP1A2 substrate	0.935	COMP685	(0.776 COMP3017) (0.775 COMP1522) (0.769 COMP3004) (0.764 COMP3005/COMP3013) (0.762 COMP2273/COMP732) (0.759 COMP3003) (0.755 COMP308) (0.752 COMP1210) (0.750 COMP3016) (0.741 COMP3021/COMP971) (0.727 COMP875/COMP974) (0.710 COMP358) (0.706 COMP512/COMP715) (0.703 COMP3019) (0.626 COMP3018) (0.621 COMP2278) (0.614 COMP3025) (0.590 COMP2511/COMP487/COMP716) (0.564 COMP1221) (0.559 COMP1182) (0.547 COMP3026) (0.544 COMP348) (0.514 COMP3014) (0.473 COMP3006/COMP3007) (0.461 COMP3002/COMP3008) (0.427 COMP1) (0.413 COMP3012) (0.334 COMP3010) (0.312 COMP3020) (0.311 COMP1063) (0.304 COMP3028) (0.289 COMP801) (0.281 COMP3011) (0.277 COMP3024) (0.276 COMP1082) (0.271 COMP3015) (0.264 COMP463/COMP774) (0.261 COMP3009/COMP303) (0.217 COMP19) (0.215 COMP1417) (0.210 COMP826)
CYP2A6 inhibitor	0.418	COMP801	(0.388 COMP1063) (0.296 COMP3020) (0.263 COMP3014) (0.228 COMP1082) (0.183 COMP1) (0.173 COMP826) (0.126 COMP3024) (0.100 COMP1417) (0.080 COMP487) (0.077 COMP3016) (0.075 COMP3025) (0.069 COMP1210) (0.066 COMP308)
CYP2B6 inhibitor	0.646	COMP685	(0.533 COMP308) (0.463 COMP1210) (0.370 COMP3014) (0.354 COMP3025) (0.345 COMP801) (0.320 COMP1221) (0.319 COMP1) (0.315 COMP358) (0.295 COMP487) (0.287 COMP3024) (0.278 COMP1082) (0.277 COMP826) (0.272 COMP3016) (0.262 COMP3020) (0.243 COMP303) (0.239 COMP19) (0.225 COMP1417) (0.197 COMP3026) (0.196 COMP512/COMP715) (0.180 COMP1063) (0.165 COMP875/COMP974) (0.148 COMP3003) (0.146 COMP2273/COMP732)
CYP2C19 inhibitor	0.613	COMP358	(0.585 COMP3025) (0.575 COMP308) (0.548 COMP1210) (0.547 COMP826) (0.545 COMP3005/COMP3013) (0.527 COMP512/COMP715) (0.502 COMP875/COMP974) (0.480 COMP1221) (0.460 COMP2278) (0.439 COMP3003) (0.430 COMP685) (0.420 COMP2273/COMP732) (0.410 COMP3004) (0.408 COMP3021/COMP971) (0.403 COMP3014) (0.384 COMP3015/COMP3017) (0.382 COMP1082) (0.378 COMP3020) (0.370 COMP3026) (0.342 COMP3024) (0.339 COMP1182) (0.337 COMP1522) (0.332 COMP3012) (0.327 COMP1417) (0.323 COMP2511/COMP716) (0.322 COMP3016) (0.292 COMP3009) (0.291 COMP3011) (0.287 COMP1) (0.257 COMP3028) (0.251 COMP348) (0.231 COMP487) (0.227 COMP3010) (0.215 COMP3019)
