Name	Activation_Prob	Compound	Another_Probs
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.093	COMP905	(0.071 COMP136) (0.055 COMP1409) (0.051 COMP1413) (0.049 COMP501) (0.046 COMP1411) (0.044 COMP285) (0.041 COMP1420) (0.039 COMP1399) (0.038 COMP616) (0.035 COMP1403) (0.028 COMP1415) (0.027 COMP987/COMP988/COMP990)
5 Hydroxytryptamine 1A agonist	0.245	COMP670	(0.137 COMP1404) (0.077 COMP1399)
5 Hydroxytryptamine 1B agonist	0.091	COMP1399	(0.080 COMP670)
5 Hydroxytryptamine 2A agonist	0.644	COMP1404	(0.186 COMP670) (0.158 COMP1399) (0.117 COMP1408) (0.115 COMP1409) (0.105 COMP1406) (0.102 COMP1394) (0.087 COMP987/COMP988/COMP990) (0.071 COMP101)
5 Hydroxytryptamine 2B agonist	0.814	COMP1404	(0.139 COMP1399) (0.071 COMP670) (0.064 COMP1408) (0.061 COMP1409) (0.045 COMP987/COMP988/COMP990) (0.042 COMP1406) (0.040 COMP616) (0.036 COMP1394)
5 Hydroxytryptamine 2C antagonist	0.442	COMP1404	(0.142 COMP1399) (0.094 COMP670) (0.089 COMP1408)
5 Hydroxytryptamine 3 agonist	0.155	COMP1399	(0.115 COMP1404) (0.111 COMP32) (0.095 COMP1409) (0.084 COMP1408) (0.081 COMP987/COMP988/COMP990) (0.079 COMP1402) (0.071 COMP670) (0.070 COMP1406) (0.056 COMP14)
5 Hydroxytryptamine 3A agonist	0.297	COMP1399	(0.285 COMP1404) (0.255 COMP1409) (0.220 COMP1408) (0.214 COMP670) (0.207 COMP1406) (0.188 COMP987/COMP988/COMP990) (0.159 COMP1394) (0.154 COMP32) (0.136 COMP14) (0.130 COMP1402) (0.116 COMP616) (0.101 COMP198) (0.090 COMP191)
5 Hydroxytryptamine 4 agonist	0.034	COMP1399	(0.032 COMP670) (0.028 COMP987/COMP988/COMP990) (0.026 COMP1408)
5 Hydroxytryptamine uptake inhibitor	0.422	COMP1399	(0.267 COMP1404) (0.164 COMP670) (0.054 COMP1409)
ATPase inhibitor	0.340	COMP1411	(0.334 COMP501) (0.291 COMP1409) (0.274 COMP616) (0.257 COMP155) (0.252 COMP28/COMP40/COMP41) (0.251 COMP20) (0.249 COMP1406) (0.235 COMP1408/COMP987/COMP988/COMP990) (0.226 COMP1407/COMP1412/COMP27) (0.218 COMP101) (0.214 COMP16/COMP18/COMP266/COMP53/COMP54) (0.209 COMP1397) (0.204 COMP1394) (0.200 COMP191/COMP198) (0.197 COMP1405/COMP367) (0.191 COMP14/COMP1415) (0.184 COMP1386/COMP1387) (0.183 COMP1399) (0.182 COMP1400) (0.181 COMP151) (0.169 COMP1143/COMP612) (0.160 COMP1393) (0.159 COMP1134) (0.158 COMP1417/COMP1418) (0.156 COMP905) (0.154 COMP1380) (0.153 COMP1395) (0.151 COMP1403) (0.149 COMP32) (0.147 COMP1414/COMP462) (0.143 COMP670) (0.135 COMP1388/COMP1389)
Acetylcholine M1 receptor agonist	0.217	COMP1404	(0.193 COMP1399) (0.109 COMP987/COMP988/COMP990) (0.085 COMP259) (0.084 COMP670) (0.037 COMP1402)
Acetylcholine M1 receptor antagonist	0.387	COMP1404	(0.276 COMP1399) (0.217 COMP987/COMP988/COMP990) (0.157 COMP16/COMP18/COMP266/COMP53/COMP54) (0.147 COMP1406) (0.145 COMP1402) (0.144 COMP1408) (0.139 COMP1394) (0.137 COMP1415) (0.136 COMP1403) (0.134 COMP1373/COMP1410) (0.132 COMP1409) (0.129 COMP259) (0.127 COMP28/COMP40/COMP41) (0.124 COMP1400) (0.122 COMP501) (0.120 COMP670)
Acetylcholine M2 receptor agonist	0.123	COMP1404	(0.092 COMP1399) (0.056 COMP670)
Acetylcholine M2 receptor antagonist	0.175	COMP1404	(0.118 COMP1399) (0.080 COMP987/COMP988/COMP990) (0.071 COMP259) (0.065 COMP32)
Acetylcholine M3 receptor agonist	0.190	COMP1399	(0.170 COMP1404) (0.168 COMP670) (0.093 COMP987/COMP988/COMP990)
Acetylcholine M3 receptor antagonist	0.206	COMP1404	(0.109 COMP1399) (0.069 COMP1394) (0.064 COMP987/COMP988/COMP990) (0.063 COMP259/COMP32) (0.059 COMP1406) (0.057 COMP1409) (0.052 COMP1400)
Acetylcholinesterase inhibitor	0.495	COMP191	(0.482 COMP198) (0.433 COMP360) (0.418 COMP1419) (0.251 COMP155) (0.232 COMP1408) (0.231 COMP1405/COMP367) (0.196 COMP616) (0.190 COMP1400) (0.189 COMP1134) (0.170 COMP1406) (0.161 COMP1414) (0.159 COMP1396) (0.154 COMP1379) (0.151 COMP101/COMP1143/COMP1375) (0.145 COMP462) (0.130 COMP1402) (0.127 COMP1399) (0.126 COMP987/COMP988/COMP990) (0.115 COMP1377/COMP1385) (0.113 COMP1373/COMP1382/COMP1410/COMP1417/COMP1418) (0.109 COMP1394)
