Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.366	COMP501	(0.294 COMP259) (0.289 COMP1420) (0.240 COMP285) (0.198 COMP1415) (0.189 COMP1413) (0.180 COMP155) (0.163 COMP16/COMP18/COMP266/COMP53/COMP54) (0.154 COMP905) (0.140 COMP14) (0.133 COMP136) (0.130 COMP1403) (0.126 COMP616) (0.119 COMP1384/COMP28/COMP40/COMP41) (0.116 COMP1395/COMP987/COMP988/COMP990) (0.109 COMP1380) (0.104 COMP1376) (0.103 COMP1407/COMP1412/COMP27) (0.102 COMP1386/COMP1387/COMP1417/COMP1418/COMP191/COMP198) (0.101 COMP1388/COMP1389) (0.097 COMP670) (0.096 COMP1421) (0.095 COMP1372) (0.094 COMP1378) (0.093 COMP1392) (0.092 COMP1375/COMP1396) (0.090 COMP1394) (0.089 COMP1390/COMP1409/COMP20) (0.087 COMP1411) (0.086 COMP1379) (0.085 COMP1406)
AR expression inhibitor	0.902	COMP1414/COMP462	(0.875 COMP1419) (0.870 COMP191) (0.862 COMP198) (0.854 COMP360) (0.757 COMP1383) (0.749 COMP1379) (0.740 COMP1377/COMP1385) (0.733 COMP1396) (0.715 COMP1381) (0.703 COMP1417/COMP1418) (0.671 COMP1374) (0.640 COMP905) (0.632 COMP1421) (0.612 COMP1382) (0.609 COMP14) (0.577 COMP151) (0.557 COMP101) (0.556 COMP28/COMP40/COMP41) (0.549 COMP1373/COMP1410) (0.546 COMP1393) (0.536 COMP136) (0.535 COMP1394) (0.527 COMP1391) (0.525 COMP1378) (0.524 COMP1407/COMP1412/COMP27) (0.504 COMP1406/COMP16/COMP18/COMP266/COMP53/COMP54) (0.495 COMP1386/COMP1387) (0.485 COMP1397) (0.484 COMP20) (0.482 COMP1380) (0.475 COMP1388/COMP1389/COMP1420) (0.466 COMP1375/COMP1390) (0.462 COMP1395) (0.457 COMP285) (0.446 COMP987/COMP988/COMP990) (0.442 COMP1384) (0.440 COMP612) (0.437 COMP1409) (0.430 COMP1376) (0.421 COMP1134) (0.420 COMP1143) (0.417 COMP1411) (0.414 COMP1372) (0.408 COMP1392) (0.407 COMP1413) (0.390 COMP1405/COMP367) (0.376 COMP1415) (0.369 COMP1400) (0.364 COMP1403) (0.325 COMP259) (0.311 COMP1408) (0.278 COMP616) (0.264 COMP501) (0.248 COMP1401) (0.206 COMP32) (0.199 COMP670) (0.181 COMP155)
CTGF expression inhibitor	0.912	COMP191	(0.902 COMP198) (0.894 COMP1380) (0.862 COMP1143) (0.858 COMP1395) (0.830 COMP1419) (0.826 COMP1409) (0.818 COMP1393) (0.816 COMP360) (0.792 COMP1388/COMP1389) (0.779 COMP32) (0.777 COMP28/COMP40/COMP41) (0.771 COMP1394) (0.767 COMP285) (0.766 COMP1414/COMP16/COMP18/COMP266/COMP53/COMP54) (0.759 COMP1384) (0.758 COMP462) (0.742 COMP1407/COMP1412/COMP27) (0.687 COMP1406) (0.678 COMP20) (0.675 COMP1375/COMP1396) (0.673 COMP987/COMP988/COMP990) (0.659 COMP1386/COMP1387) (0.651 COMP14) (0.622 COMP1415) (0.619 COMP1391) (0.613 COMP1372) (0.611 COMP501) (0.585 COMP1413) (0.575 COMP1390) (0.573 COMP612) (0.572 COMP1134) (0.561 COMP101) (0.559 COMP1377/COMP1385) (0.552 COMP1405/COMP367) (0.541 COMP1408) (0.529 COMP1379) (0.518 COMP1400) (0.511 COMP1403) (0.506 COMP259) (0.449 COMP1383/COMP1411) (0.421 COMP1382) (0.412 COMP1373/COMP1410) (0.408 COMP905) (0.403 COMP1417/COMP1418) (0.387 COMP1374) (0.376 COMP616) (0.370 COMP670) (0.364 COMP1376) (0.355 COMP1421) (0.353 COMP136) (0.328 COMP1420) (0.319 COMP1381) (0.311 COMP1402) (0.305 COMP155) (0.297 COMP1399) (0.250 COMP1378) (0.237 COMP1392)
GRP78 expression inhibitor	0.042	COMP1397	(0.039 COMP905) (0.038 COMP1399) (0.035 COMP1411) (0.034 COMP1406) (0.033 COMP16/COMP18/COMP266/COMP53/COMP54/COMP987/COMP988/COMP990) (0.031 COMP1408) (0.030 COMP136) (0.027 COMP501) (0.025 COMP1403) (0.024 COMP1394/COMP1421) (0.023 COMP28/COMP40/COMP41) (0.021 COMP1407/COMP1412/COMP20/COMP27/COMP32) (0.020 COMP1409/COMP1415/COMP616)
ICAM1 expression inhibitor	0.785	COMP155	(0.568 COMP1397) (0.531 COMP1415) (0.511 COMP1407/COMP1412/COMP27) (0.507 COMP462) (0.504 COMP1379/COMP1381/COMP1414) (0.500 COMP20) (0.498 COMP1383/COMP1419) (0.493 COMP905) (0.489 COMP360) (0.488 COMP1411) (0.477 COMP28/COMP40/COMP41) (0.463 COMP1374) (0.458 COMP1377/COMP1385) (0.456 COMP191) (0.452 COMP198) (0.441 COMP1394) (0.436 COMP16/COMP18/COMP266/COMP53/COMP54) (0.431 COMP1417/COMP1418) (0.417 COMP1388/COMP1389/COMP1406) (0.416 COMP1396) (0.412 COMP616) (0.411 COMP1421/COMP612) (0.407 COMP1409/COMP1413) (0.406 COMP1375) (0.405 COMP151/COMP285) (0.404 COMP1134) (0.399 COMP1390) (0.384 COMP1393) (0.380 COMP1376) (0.376 COMP101) (0.373 COMP1380) (0.371 COMP136) (0.367 COMP1372) (0.365 COMP1391) (0.363 COMP1382) (0.359 COMP1395) (0.358 COMP1405/COMP367) (0.351 COMP1386/COMP1387) (0.349 COMP1373/COMP1400/COMP1410) (0.344 COMP1384) (0.337 COMP987/COMP988/COMP990) (0.335 COMP1392) (0.333 COMP1143) (0.329 COMP1378) (0.305 COMP1408) (0.298 COMP259) (0.294 COMP1420) (0.274 COMP501) (0.259 COMP1402) (0.242 COMP670)
LDLR expression enhancer	0.318	COMP1377/COMP1385	(0.315 COMP191) (0.307 COMP1383) (0.303 COMP1374) (0.301 COMP101) (0.291 COMP1405/COMP367) (0.286 COMP198) (0.284 COMP1419) (0.280 COMP1406/COMP360) (0.277 COMP1381) (0.259 COMP1408) (0.256 COMP285) (0.251 COMP1394) (0.229 COMP1134/COMP616) (0.228 COMP905) (0.227 COMP1400) (0.226 COMP1407/COMP1412/COMP1417/COMP1418/COMP27) (0.218 COMP987/COMP988/COMP990) (0.217 COMP1411) (0.214 COMP1143/COMP1413) (0.213 COMP1414) (0.211 COMP20) (0.210 COMP28/COMP40/COMP41) (0.209 COMP1399) (0.203 COMP1409) (0.197 COMP462) (0.195 COMP1396) (0.192 COMP501) (0.185 COMP612) (0.178 COMP16/COMP18/COMP266/COMP53/COMP54) (0.176 COMP155) (0.173 COMP1379/COMP1380) (0.167 COMP1375) (0.162 COMP1415) (0.158 COMP136) (0.156 COMP1390/COMP1395) (0.155 COMP1386/COMP1387) (0.153 COMP670) (0.150 COMP1421) (0.145 COMP151) (0.143 COMP1403) (0.139 COMP1393/COMP259)
NOS2 expression inhibitor	0.963	COMP1414	(0.960 COMP462) (0.929 COMP1396) (0.924 COMP1379) (0.909 COMP1382) (0.866 COMP1383) (0.861 COMP1377/COMP1385/COMP191) (0.841 COMP1419) (0.826 COMP360) (0.825 COMP1381) (0.807 COMP198) (0.761 COMP1374) (0.730 COMP1405/COMP367) (0.722 COMP1380) (0.709 COMP1373/COMP1410) (0.694 COMP101) (0.683 COMP1390/COMP1395) (0.620 COMP1372/COMP1375) (0.618 COMP1400) (0.613 COMP155) (0.607 COMP1378) (0.563 COMP1134/COMP1384) (0.553 COMP1417/COMP1418) (0.545 COMP1388/COMP1389/COMP1394) (0.543 COMP1386/COMP1387/COMP1406) (0.542 COMP1407/COMP1412/COMP27) (0.530 COMP1397) (0.525 COMP1391) (0.522 COMP905) (0.515 COMP28/COMP285/COMP40/COMP41) (0.512 COMP1393/COMP1413) (0.508 COMP1420) (0.502 COMP20) (0.493 COMP1421) (0.477 COMP1143) (0.469 COMP1376) (0.448 COMP612) (0.445 COMP16/COMP18/COMP266/COMP53/COMP54) (0.423 COMP1408) (0.419 COMP151) (0.413 COMP1392) (0.397 COMP616) (0.392 COMP1409/COMP987/COMP988/COMP990) (0.367 COMP1415) (0.366 COMP1403) (0.358 COMP136) (0.355 COMP1411) (0.349 COMP670) (0.337 COMP501) (0.281 COMP14) (0.273 COMP32) (0.269 COMP259) (0.237 COMP1399)
NOS3 expression enhancer	0.731	COMP462	(0.730 COMP1414) (0.599 COMP191) (0.562 COMP198) (0.409 COMP101) (0.406 COMP1396) (0.401 COMP1419) (0.383 COMP1397) (0.378 COMP1404) (0.349 COMP360) (0.334 COMP1379/COMP1394) (0.325 COMP1382) (0.324 COMP1413/COMP285) (0.300 COMP1417/COMP1418) (0.299 COMP1415) (0.294 COMP905) (0.288 COMP1411) (0.275 COMP1400) (0.258 COMP1405/COMP367) (0.239 COMP612) (0.235 COMP1395) (0.234 COMP1406) (0.228 COMP1377/COMP1385) (0.222 COMP1383) (0.208 COMP1409) (0.205 COMP1374) (0.201 COMP1420) (0.188 COMP1402) (0.186 COMP1380) (0.175 COMP1375) (0.173 COMP1386/COMP1387) (0.170 COMP28/COMP40/COMP41) (0.159 COMP1384) (0.157 COMP1393) (0.153 COMP1376) (0.149 COMP1388/COMP1389) (0.148 COMP1390) (0.141 COMP1407/COMP1412/COMP20/COMP27) (0.139 COMP1381) (0.137 COMP1143) (0.136 COMP1378) (0.135 COMP1372) (0.131 COMP616) (0.130 COMP1391) (0.129 COMP1134) (0.127 COMP1373/COMP1410) (0.121 COMP1421)
NOS3 expression inhibitor	0.862	COMP285	(0.842 COMP1407/COMP1412/COMP27) (0.823 COMP20) (0.803 COMP1413) (0.764 COMP28/COMP40/COMP41) (0.713 COMP462) (0.703 COMP1414/COMP191) (0.702 COMP198) (0.679 COMP1397) (0.664 COMP16/COMP18/COMP266/COMP53/COMP54) (0.634 COMP1403/COMP905) (0.582 COMP1411/COMP1419/COMP1420) (0.566 COMP1388/COMP1389) (0.565 COMP360) (0.546 COMP1386/COMP1387) (0.541 COMP1394) (0.523 COMP1382) (0.511 COMP1393) (0.510 COMP1396/COMP987/COMP988/COMP990) (0.508 COMP1421) (0.505 COMP1379) (0.469 COMP1380) (0.457 COMP1390) (0.456 COMP1134) (0.452 COMP612) (0.447 COMP1383) (0.443 COMP1375) (0.440 COMP1406) (0.439 COMP1391) (0.437 COMP136/COMP1395) (0.415 COMP1377/COMP1385) (0.388 COMP1384) (0.382 COMP1372) (0.380 COMP1373/COMP1410) (0.378 COMP1381) (0.376 COMP101) (0.375 COMP1415) (0.367 COMP1376) (0.353 COMP1400) (0.351 COMP1374/COMP1392) (0.348 COMP1405/COMP367) (0.330 COMP1378) (0.328 COMP1143) (0.315 COMP616) (0.308 COMP1409) (0.273 COMP501) (0.257 COMP670) (0.256 COMP1417/COMP1418) (0.255 COMP151) (0.248 COMP259) (0.213 COMP1408) (0.205 COMP155) (0.189 COMP14)
TNF expression inhibitor	0.892	COMP20	(0.881 COMP1407/COMP1412/COMP27) (0.870 COMP1383) (0.857 COMP28/COMP40/COMP41) (0.836 COMP191) (0.792 COMP198) (0.790 COMP1379) (0.775 COMP1381) (0.774 COMP1377/COMP1385) (0.769 COMP1414) (0.763 COMP16/COMP18/COMP266/COMP53/COMP54) (0.755 COMP285) (0.748 COMP462) (0.734 COMP1403) (0.720 COMP1396) (0.717 COMP1374) (0.715 COMP1419) (0.697 COMP1413) (0.694 COMP360) (0.691 COMP1417/COMP1418) (0.686 COMP1134) (0.667 COMP1380) (0.657 COMP905) (0.645 COMP1390) (0.634 COMP1393) (0.633 COMP101/COMP1415) (0.627 COMP1411) (0.625 COMP1421) (0.624 COMP1406) (0.606 COMP1382) (0.602 COMP1397) (0.601 COMP1386/COMP1387) (0.596 COMP1375/COMP1395) (0.592 COMP987/COMP988/COMP990) (0.589 COMP1394) (0.578 COMP1409) (0.575 COMP1405/COMP367/COMP612) (0.569 COMP1384) (0.544 COMP1372) (0.542 COMP1388/COMP1389) (0.540 COMP1373/COMP1410) (0.535 COMP616) (0.530 COMP1420) (0.527 COMP136) (0.526 COMP1143) (0.524 COMP1408) (0.500 COMP1376) (0.496 COMP1400) (0.488 COMP1378) (0.484 COMP151) (0.474 COMP1392) (0.449 COMP1391) (0.447 COMP155) (0.406 COMP501) (0.398 COMP259) (0.381 COMP1399) (0.349 COMP670) (0.338 COMP32) (0.307 COMP14) (0.284 COMP1401) (0.215 COMP1402)
